Column1,Block,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/16/6051,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/7663,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/2868,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/27356/A/81053,GNARE/NR/2024/12/20/3668,NR/2025/28774/A/80654,NR/2025/26860/A/81085,NR/2025/26861/A/81188,NR/2025/27167/A/80826,NR/2025/27725/A/81243,NR/2025/27728/A/81241,NR/2025/27726/A/81242,NR/2025/27187/A/81246,NR/2025/27185/A/81247,NR/2025/26777/A/80703,NR/2025/28849/A/81048,NR/2025/28993/C,NR/2025/29159/C,NR/2025/27506/A/80658,NR/2025/26571/A/81190,NR/2025/27168/A/80828,NR/2025/26975/A/81249,NR/2025/26952/A/80632,NR/2025/26785/A/80602,NR/2025/28851/A/81050,NR/2025/27500/A/80659,NR/2025/27088/A/81123,NR/2025/27100/A/81097,NR/2025/26889/A/81116,NR/2025/27162/A/81248,NR/2025/27499/A/81115,NR/2025/26562/A/81194,NR/2025/27281/A/81226,NR/2025/27727/A/81240,NR/2025/27157/A/80728,NR/2025/27242/A/81080,NR/2025/28719/A/80753,NR/2025/29116/C,NR/2025/26565/A/81193,NR/2025/27782/A/81239,NR/2025/26566/A/81192,NR/2025/26085/A/80613,NR/2025/26445/A/81131,NR/2025/26572/A/81189,NR/2025/29137/C,NR/2025/29133/C,NR/2025/29067/C,NR/2025/29135/C,NR/2025/29126/C,NR/2025/29100/C,NR/2025/29134/C,NR/2025/29101/C,NR/2025/29127/C,NR/2025/29102/C,NR/2025/29128/C,NR/2025/29143/C,NR/2025/29066/C,NR/2025/29132/C,NR/2025/29106/C,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/9719,NR/2025/29125/C,GNA/NR/2025/06/01/7782,NR/2025/29124/C,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/5280,NR/2025/29009/C,GNA/NR/2025/06/16/8791,Total
84,20:45-21:00,48.37,24.18,0,0,24.18,48.37,26.8,26.8,29.2,17.68,0,0,0,106.41,193.48,24.18,14.66,37.38,43.97,19.35,19.35,193.48,135.44,0,0,1.93,0,24.18,27.09,0,0,38.7,7.74,192.86,25.23,5.8,56.05,8.71,145.11,24.91,43.97,217.66,48.37,13.54,0,0,14.66,145.11,0.92,31.17,145.11,0,0,0,0,0,0,163.06,0,0,0,0,0,0,14.51,234.11,48.37,24.18,0,11.92,0,62.88,11.93,0,0,2823.060000000001

85,21:00-21:15,48.37,24.18,0,0,24.18,48.37,26.8,26.8,29.2,17.87,0,0,0,106.41,193.48,24.18,14.66,37.38,43.97,19.35,19.35,193.48,135.44,0,0.97,1.93,0,24.18,27.09,0,0,38.7,7.74,192.86,25.23,5.8,56.05,8.71,145.11,24.91,43.97,217.66,48.37,12.58,0,0,14.66,145.11,0.92,31.17,145.11,0,0,0,0,0,0,163.06,0,0,0,0,0,0,14.51,234.11,48.37,24.18,0,11.92,0,62.88,11.93,0,0,2823.2600000000007

86,21:15-21:30,48.37,24.18,0,0,24.18,48.37,26.8,26.8,29.2,17.87,0,0,0,106.41,193.48,24.18,14.66,37.38,43.97,19.35,19.35,193.48,135.44,0,0.97,1.93,0,24.18,27.09,0,0,38.7,7.74,192.86,25.23,5.8,56.05,8.71,145.11,24.91,43.97,217.66,48.37,12.58,0,0,14.66,145.11,0.92,31.17,145.11,0,0,0,0,0,0,163.06,0,0,0,0,0,0,14.51,234.11,48.37,24.18,0,11.92,0,62.88,11.93,0,0,2823.2600000000007

87,21:30-21:45,48.37,24.18,0,0,24.18,48.37,26.8,26.8,29.2,17.87,0,0,0,106.41,193.48,24.18,14.66,37.38,43.97,19.35,19.35,193.48,135.44,0,0.97,1.93,0,24.18,27.09,0,0,38.7,7.74,192.86,25.23,5.8,56.05,8.71,145.11,24.91,43.97,217.66,48.37,12.58,0,0,14.66,145.11,0.92,31.17,145.11,0,0,0,0,0,0,163.06,0,0,0,0,0,0,14.51,234.11,48.37,24.18,0,11.92,0,62.88,11.93,0,0,2823.2600000000007

88,21:45-22:00,48.37,24.18,0,0,24.18,48.37,26.8,26.8,29.2,17.87,0,0,0,106.41,193.48,24.18,14.66,37.38,43.97,19.35,19.35,193.48,135.44,0,0.97,1.93,0,24.18,27.09,0,0,38.7,7.74,192.86,25.23,5.8,56.05,8.71,145.11,24.91,43.97,217.66,48.37,12.58,0,0,14.66,145.11,0.92,31.17,145.11,0,0,0,0,0,0,163.06,0,0,0,0,0,0,14.51,234.11,48.37,24.18,0,11.92,0,62.88,11.93,0,0,2823.2600000000007

89,22:00-22:15,48.37,24.18,0,0,24.18,48.37,26.8,26.8,29.2,17.87,0,0,0,106.41,193.48,24.18,14.66,37.38,43.97,19.35,19.35,193.48,135.44,0,1.93,1.93,0,24.18,27.09,0,0,38.7,7.74,192.86,25.23,5.8,56.05,8.71,145.11,24.91,43.97,217.66,48.37,11.61,0,0,14.66,145.11,0.82,31.17,145.11,0,0,0,0,0,0,108.7,0,0,0,0,0,0,29.02,234.11,48.37,24.18,0,11.92,0,62.88,11.93,0,0,2783.3

90,22:15-22:30,48.37,24.18,0,0,24.18,48.37,26.8,26.8,29.2,17.87,0,0,0,106.41,193.48,24.18,14.66,37.38,43.97,19.35,19.35,193.48,135.44,0,1.93,1.93,0,24.18,27.09,0,0,38.7,7.74,192.86,25.23,5.8,56.05,8.71,145.11,24.91,43.97,217.66,48.37,11.61,0,0,14.66,145.11,0.82,31.17,145.11,0,0,0,0,0,0,108.7,0,0,0,0,0,0,29.02,234.11,48.37,24.18,0,11.92,0,62.88,11.93,0,0,2783.3

91,22:30-22:45,48.37,24.18,0,0,24.18,48.37,26.8,26.8,29.2,8.15,0,0,0,106.41,193.48,24.18,14.66,37.38,43.97,19.35,19.35,193.48,135.44,0,1.93,1.93,0,24.18,27.09,0,0,38.7,7.74,192.86,25.23,5.8,56.05,8.71,145.11,24.91,43.97,217.66,48.37,11.61,0,0,14.66,145.11,0.82,31.17,145.11,0,0,0,0,0,0,108.7,0,0,0,0,0,0,29.02,234.11,48.37,24.18,0,11.92,0,62.88,11.93,0,0,2773.5800000000004

92,22:45-23:00,48.37,24.18,0,0,24.18,48.37,26.8,26.8,29.2,8.15,0,0,0,106.41,193.48,24.18,14.66,37.38,43.97,19.35,19.35,193.48,135.44,0,1.93,1.93,0,24.18,27.09,0,0,38.7,7.74,192.86,25.23,5.8,56.05,8.71,145.11,24.91,43.97,217.66,48.37,11.61,0,0,14.66,145.11,0.82,31.17,145.11,0,0,0,0,0,0,108.7,0,0,0,0,0,0,29.02,234.11,48.37,24.18,0,11.92,0,62.88,11.93,0,0,2773.5800000000004

93,23:00-23:15,48.37,24.18,0,0,24.18,48.37,26.8,26.8,29.2,8.15,0,0,0,106.41,193.48,24.18,14.66,37.38,43.97,19.35,19.35,193.48,135.44,0,2.9,1.93,0,24.18,27.09,0,0,38.7,7.74,192.86,25.23,5.8,56.05,8.71,145.11,24.91,43.97,217.66,48.37,10.64,0,0,14.66,145.11,0.77,31.17,145.11,0,0,0,0,0,0,108.7,0,0,0,0,0,0,29.02,234.11,48.37,24.18,0,11.92,0,62.88,11.93,0,0,2773.53

94,23:15-23:30,48.37,24.18,0,0,24.18,48.37,26.8,26.8,29.2,8.15,0,0,0,106.41,193.48,24.18,14.66,37.38,43.97,19.35,19.35,193.48,135.44,0,2.9,1.93,0,24.18,27.09,0,0,38.7,7.74,192.86,25.23,5.8,56.05,8.71,145.11,24.91,43.97,217.66,48.37,10.64,0,0,14.66,145.11,0.77,31.17,145.11,0,0,0,0,0,0,108.7,0,0,0,0,0,0,29.02,234.11,48.37,24.18,0,11.92,0,62.88,11.93,0,0,2773.53

95,23:30-23:45,48.37,24.18,0,0,24.18,48.37,26.8,26.8,29.2,8.15,0,0,0,106.41,193.48,24.18,14.66,37.38,43.97,19.35,19.35,193.48,135.44,0,2.9,1.93,0,24.18,27.09,0,0,38.7,7.74,192.86,25.23,5.8,56.05,8.71,145.11,24.91,43.97,217.66,48.37,10.64,0,0,14.66,145.11,0.77,31.17,145.11,0,0,0,0,0,0,108.7,0,0,0,0,0,0,29.02,234.11,48.37,24.18,0,11.92,0,62.88,11.93,0,0,2773.53

96,23:45-24:00,48.37,24.18,0,0,24.18,48.37,26.8,26.8,29.2,8.15,0,0,0,106.41,193.48,24.18,14.66,37.38,43.97,19.35,19.35,193.48,135.44,0,2.9,1.93,0,24.18,27.09,0,0,38.7,7.74,192.86,25.23,5.8,55.82,8.71,145.11,24.91,43.97,217.66,48.37,10.64,0,0,14.66,145.11,0.77,31.17,145.11,0,0,0,0,0,0,108.7,0,0,0,0,0,0,29.02,234.11,48.37,24.18,0,12.19,0,62.88,11.93,0,0,2773.57

