Time,Block,NR/2023/10947/A,NR/2023/13970/D,NR/2023/12169/A,NR/2023/13964/D,NR/2023/13997/C,NR/2023/13369/F,NR/2023/13679/F,NR/2023/10959/A,NR/2023/10432/A,WR/2023/16529/C,NR/2023/13968/D,NR/2023/13984/C,NR/2023/12814/F,NR/2023/12923/F,NR/2023/10956/A,NR/2023/10488/A,NR/2023/10786/A,NR/2023/12813/F,NR/2023/13053/F,NR/2023/10705/A,NR/2023/10650/A,NR/2023/11953/A,NR/2023/13990/C,NR/2023/10435/A,NR/2023/10460/A,NR/2023/12872/F,NR/2023/13971/D,NR/2023/10436/A,NR/2023/10651/A,NR/2023/12921/F,NR/2023/11507/A,NR/2023/14009/C,NR/2023/11709/A,NR/2023/10720/A,ER/2023/8620/C,NR/2023/10561/A,NR/2023/13969/D,NR/2023/12924/F,NR/2023/12915/F,NR/2023/11266/A,NR/2023/12916/F,NR/2023/13053/F/II,NR/2023/12919/F,NR/2023/12706/A,NR/2023/11712/A,NR/2023/12920/F,NR/2023/12661/A,NR/2023/11068/A,NR/2023/14008/C,NR/2023/12922/F,NR/2023/12917/F,Total
92,22:45-23:00,23.240000,147.910000,54.220000,0,65.840000,0.000000,4.840000,21.280000,43.570000,0.000000,0.000000,36.690000,85.690000,0.610000,85.170000,48.410000,91.980000,62.930000,24.200000,232.470000,83.270000,36.530000,19.600000,24.200000,23.240000,0.730000,0,24.200000,63.180000,0.930000,255.520000,48.410000,23.180000,23.720000,0.000000,48.410000,0,0.610000,0.370000,63.630000,0.520000,0.000000,0.920000,6.780000,64.390000,0.930000,38.730000,48.410000,69.710000,1.020000,0.920000,2001.11

93,23:00-23:15,23.240000,147.910000,54.220000,0,128.770000,0.000000,4.840000,21.280000,43.570000,0.000000,0.000000,36.690000,85.690000,0.610000,85.170000,48.410000,91.980000,62.930000,24.200000,232.470000,83.270000,36.530000,19.600000,24.200000,23.240000,0.630000,0,24.200000,63.180000,0.930000,255.520000,48.410000,23.180000,23.720000,0.000000,48.410000,0,0.610000,0.370000,63.630000,0.520000,0.000000,0.920000,6.780000,64.390000,0.930000,38.730000,48.410000,69.710000,1.020000,0.920000,2063.94

94,23:15-23:30,23.240000,147.910000,54.220000,0,128.770000,0.000000,4.840000,21.280000,43.570000,0.000000,0.000000,36.690000,85.690000,0.610000,85.170000,48.410000,91.980000,62.930000,24.200000,232.470000,83.270000,36.530000,19.600000,24.200000,23.240000,0.630000,0,24.200000,63.180000,0.930000,255.520000,48.410000,23.180000,23.720000,0.000000,48.410000,0,0.610000,0.370000,63.630000,0.520000,0.000000,0.920000,6.780000,64.390000,0.930000,38.730000,48.410000,69.710000,1.020000,0.920000,2063.94

95,23:30-23:45,23.240000,147.910000,54.220000,0,128.770000,0.000000,4.840000,21.280000,43.570000,0.000000,0.000000,36.690000,85.690000,0.610000,85.170000,48.410000,91.980000,62.930000,24.200000,232.470000,83.270000,36.530000,19.600000,24.200000,23.240000,0.630000,0,24.200000,63.180000,0.930000,255.520000,48.410000,23.180000,23.720000,0.000000,48.410000,0,0.610000,0.370000,63.630000,0.520000,0.000000,0.920000,6.780000,64.390000,0.930000,38.730000,48.410000,69.710000,1.020000,0.920000,2063.94

96,23:45-24:00,23.240000,147.910000,54.220000,0,128.770000,0.000000,4.840000,21.280000,43.570000,0.000000,0.000000,36.690000,85.690000,0.610000,85.170000,48.410000,91.980000,62.930000,24.200000,232.470000,83.270000,36.530000,19.600000,24.200000,23.240000,0.630000,0,24.200000,63.180000,0.930000,255.520000,48.410000,23.180000,23.720000,0.000000,48.410000,0,0.610000,0.370000,63.630000,0.520000,0.000000,0.920000,6.780000,64.390000,0.930000,38.730000,48.410000,69.710000,1.020000,0.920000,2063.94

