Time,Block,NR/2024/21425/C,NR/01102023/02012046/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,NR/01072024/15072024/NR/01072024/15072024/717759,NR/2024/21076/A/26269,NR/2024/21146/A/26016,NR/2024/21173/A/26150,NR/2024/20688/A/26152,NR/2024/21023/A/25996,NR/2024/21104/A/26233,NR/2024/21062/A/26018,NR/2024/21376/A/26297,NR/2024/20930/A/26156,NR/2024/21426/C,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/30092023/26122029/SH-06,NR/2024/19779/A/25930,NR/2024/21156/A/26013,NR/2024/20573/A/26215,NR/2024/21186/A/26263,NR/2024/21072/A/26251,NR/2024/21142/A/25971,NR/2024/21089/A/26250,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/21144/A/25999,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21150/A/26014,NR/2024/21148/A/26015,NR/2024/20711/A/26298,ER/09072024/09072024/HPX-TAMCTG-090724-01596,NR/09072024/09072024/IEX_240708_01445,NR/2024/21153/A/26020,NR/2024/21152/A/25955,NR/2024/20877/A/26264,NR/2024/21339/A/25967,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21312/A/25819,NR/2024/21183/A/26271,NR/2024/21160/A/26017,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/30092023/31122025/SH-07,NR/01072024/31072024/R2,NR/01102023/23072042/L_NR_2012_04,NR/2024/21075/A/26270,NR/2024/21159/A/26019,NR/2024/20966/A/25956,NR/2024/21243/A/25998,NR/2024/21096/A/26238,NR/2024/21141/A/25973,NR/2024/21238/A/26275,NR/2024/21113/A/26249,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/2024/21087/A/26151,NR/2024/20574/A/26214,NR/2024/21108/A/26232,NR/2024/21099/A/25974,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/21427/C,NR/2024/21199/A/25995,NR/2024/21227/A/26234,NR/2024/21103/A/26235,NR/2024/21210/A/25970,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/21158/A/26023,Total
67,16:30-16:45,2.5,0,0,0.000000,90.550000,0.360000,20.710000,66.650000,81.880000,64.620000,20.470000,240.820000,163.760000,164.000000,0.000000,32.000000,0.820000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,14.530000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,81.880000,15.120000,10.600000,18.010000,0.970000,0.000000,26.330000,0.000000,0.000000,11.700000,0.880000,4.820000,134.860000,120.410000,0.000000,2.890000,37.210000,0.000000,20.710000,0.000000,24.010000,20.470000,0.000000,27.940000,61.410000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1987.75

68,16:45-17:00,3.19,0,0,0.000000,90.550000,0.360000,20.710000,66.650000,81.880000,64.620000,20.470000,240.820000,163.760000,164.000000,0.000000,32.000000,0.820000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,14.530000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,81.880000,15.120000,10.600000,18.010000,0.970000,0.000000,26.330000,0.000000,0.000000,11.700000,0.880000,4.820000,134.860000,120.410000,0.000000,2.890000,37.210000,0.000000,20.710000,0.000000,24.010000,20.470000,0.000000,27.940000,61.410000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1988.44

69,17:00-17:15,2.24,0,0,0.000000,90.550000,0.360000,20.710000,66.650000,81.880000,64.620000,20.470000,240.820000,163.760000,164.000000,0.000000,32.000000,0.820000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,14.530000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,81.880000,15.120000,10.600000,18.010000,0.970000,0.000000,26.330000,0.000000,0.000000,11.700000,0.880000,4.820000,134.860000,120.410000,0.000000,2.890000,37.210000,0.000000,20.710000,0.000000,24.010000,20.470000,0.000000,27.940000,61.410000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1987.49

70,17:15-17:30,1.33,0,0,0.000000,90.550000,0.360000,20.710000,66.650000,81.880000,64.620000,20.470000,240.820000,163.760000,164.000000,0.000000,32.000000,0.820000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,14.530000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,81.880000,15.120000,10.600000,18.010000,0.970000,0.000000,26.330000,0.000000,0.000000,11.700000,0.880000,4.820000,134.860000,120.410000,0.000000,2.890000,37.210000,0.000000,20.710000,0.000000,24.010000,20.470000,0.000000,27.940000,61.410000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1986.58

71,17:30-17:45,1.02,0,0,0.000000,90.550000,0.360000,20.710000,66.650000,81.880000,64.620000,20.470000,240.820000,163.760000,164.000000,0.000000,32.000000,0.820000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,14.530000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,81.880000,15.120000,10.600000,18.010000,0.970000,0.000000,26.330000,0.000000,0.000000,11.700000,0.880000,4.820000,134.860000,120.410000,0.000000,2.890000,37.210000,0.000000,20.710000,0.000000,24.010000,20.470000,0.000000,27.940000,61.410000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1986.27

72,17:45-18:00,0.26,0,0,0.000000,90.550000,0.360000,20.710000,66.650000,81.880000,64.620000,20.470000,240.820000,163.760000,164.000000,0.000000,32.000000,0.820000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,14.530000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,81.880000,15.120000,10.600000,18.010000,0.970000,0.000000,26.330000,0.000000,0.000000,11.700000,0.880000,4.820000,134.860000,120.410000,0.000000,2.890000,37.210000,0.000000,20.710000,0.000000,24.010000,20.470000,0.000000,27.940000,61.410000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1985.51

73,18:00-18:15,0.14,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,32.000000,0.820000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,14.530000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,0.000000,15.120000,8.670000,18.010000,0.970000,81.880000,26.330000,20.470000,0.000000,0.000000,0.880000,4.820000,134.860000,120.410000,47.640000,2.890000,37.210000,61.410000,20.710000,0.000000,24.010000,20.470000,81.880000,27.940000,0.000000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,2019.4

74,18:15-18:30,0,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,32.000000,0.820000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,14.530000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,0.000000,15.120000,8.670000,18.010000,0.970000,81.880000,26.330000,20.470000,0.000000,0.000000,0.880000,4.820000,134.860000,120.410000,47.640000,2.890000,37.210000,61.410000,20.710000,0.000000,24.010000,20.470000,81.880000,27.940000,0.000000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,2019.26

75,18:30-18:45,0,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,32.000000,0.820000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,14.530000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,0.000000,15.120000,8.670000,18.010000,0.970000,81.880000,26.330000,20.470000,0.000000,0.000000,0.880000,4.820000,134.860000,91.510000,47.640000,2.890000,37.210000,61.410000,20.710000,0.000000,24.010000,20.470000,81.880000,27.940000,0.000000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1990.36

76,18:45-19:00,0,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,32.000000,0.820000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,14.530000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,0.000000,15.120000,8.670000,18.010000,0.970000,81.880000,26.330000,20.470000,0.000000,0.000000,0.880000,4.820000,134.860000,91.510000,47.640000,2.890000,37.210000,61.410000,20.710000,0.000000,24.010000,20.470000,81.880000,27.940000,0.000000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1990.36

77,19:00-19:15,0,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,32.000000,0.820000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,14.530000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,0.000000,15.120000,8.670000,18.010000,0.970000,81.880000,32.000000,20.470000,0.000000,0.000000,0.880000,4.820000,134.860000,91.510000,47.640000,2.890000,37.210000,61.410000,20.710000,0.000000,24.010000,20.470000,81.880000,27.940000,0.000000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1996.03

78,19:15-19:30,0,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,32.000000,0.820000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,14.530000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,0.000000,15.120000,8.670000,18.010000,0.970000,81.880000,32.000000,20.470000,0.000000,0.000000,0.880000,4.820000,134.860000,91.510000,47.640000,2.890000,37.210000,61.410000,20.710000,0.000000,24.010000,20.470000,81.880000,27.940000,0.000000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1996.03

79,19:30-19:45,0,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,30.920000,0.820000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,14.530000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,0.000000,15.120000,8.670000,18.010000,0.970000,81.880000,30.920000,20.470000,0.000000,0.000000,0.880000,4.820000,134.860000,91.510000,47.640000,2.890000,37.210000,61.410000,20.710000,0.000000,24.010000,20.470000,81.880000,27.940000,0.000000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1993.87

80,19:45-20:00,0,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,30.920000,0.820000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,14.530000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,0.000000,15.120000,8.670000,18.010000,0.970000,81.880000,30.920000,20.470000,0.000000,0.000000,0.880000,4.820000,134.860000,91.510000,47.640000,2.890000,37.210000,61.410000,20.710000,0.000000,24.010000,20.470000,81.880000,27.940000,0.000000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1993.87

81,20:00-20:15,0,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,30.920000,0.870000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,14.530000,0.880000,0.520000,96.330000,50.000000,0.000000,1.590000,1.930000,0.000000,0.000000,15.120000,8.670000,18.010000,0.970000,81.880000,30.920000,20.470000,0.000000,0.000000,0.880000,4.820000,134.860000,91.510000,47.640000,2.890000,37.210000,61.410000,20.710000,0.000000,24.010000,20.470000,81.880000,27.940000,0.000000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,2043.92

82,20:15-20:30,0,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,30.920000,0.870000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,14.530000,0.880000,0.520000,96.330000,50.000000,0.000000,1.590000,1.930000,0.000000,0.000000,15.120000,8.670000,18.010000,0.970000,81.880000,30.920000,20.470000,0.000000,0.000000,0.880000,4.820000,134.860000,91.510000,47.640000,2.890000,37.210000,61.410000,20.710000,0.000000,24.010000,20.470000,81.880000,27.940000,0.000000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,2043.92

83,20:30-20:45,0,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,30.920000,0.870000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,14.530000,0.880000,0.520000,96.330000,50.000000,0.000000,1.590000,1.930000,0.000000,0.000000,15.120000,8.670000,18.010000,0.970000,81.880000,30.920000,20.470000,0.000000,0.000000,0.880000,4.820000,134.860000,91.510000,47.640000,2.890000,37.210000,61.410000,20.710000,0.000000,24.010000,20.470000,81.880000,27.940000,0.000000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,2043.92

84,20:45-21:00,0,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,30.920000,0.870000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,14.530000,0.880000,0.520000,96.330000,50.000000,0.000000,1.590000,1.930000,0.000000,0.000000,15.120000,8.670000,18.010000,0.970000,81.880000,30.920000,20.470000,0.000000,0.000000,0.880000,4.820000,134.860000,91.510000,47.640000,2.890000,37.210000,61.410000,20.710000,0.000000,24.010000,20.470000,81.880000,27.940000,0.000000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,2043.92

85,21:00-21:15,0,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,31.000000,0.870000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,14.530000,0.880000,0.520000,96.330000,50.000000,144.500000,1.590000,1.930000,0.000000,0.000000,15.120000,8.670000,18.010000,0.970000,81.880000,31.000000,20.470000,0.000000,0.000000,0.880000,4.820000,134.860000,91.510000,47.640000,2.890000,37.210000,61.410000,20.710000,0.000000,24.010000,20.470000,81.880000,27.940000,0.000000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,2188.58

86,21:15-21:30,0,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,31.000000,0.870000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,14.530000,0.880000,0.520000,96.330000,50.000000,144.500000,1.590000,1.930000,0.000000,0.000000,15.120000,8.670000,18.010000,0.970000,81.880000,31.000000,20.470000,0.000000,0.000000,0.880000,4.820000,134.860000,91.510000,47.640000,2.890000,37.210000,61.410000,20.710000,0.000000,24.010000,20.470000,81.880000,27.940000,0.000000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,2188.58

87,21:30-21:45,0,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,31.000000,0.870000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,14.530000,0.880000,0.520000,96.330000,50.000000,144.500000,1.590000,1.930000,0.000000,0.000000,15.120000,8.670000,18.010000,0.970000,81.880000,31.000000,20.470000,0.000000,0.000000,0.880000,4.820000,134.860000,91.510000,47.640000,2.890000,37.210000,61.410000,20.710000,0.000000,24.010000,20.470000,81.880000,27.940000,0.000000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,2188.58

88,21:45-22:00,0,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,31.000000,0.870000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,14.530000,0.880000,0.520000,96.330000,50.000000,144.500000,1.590000,1.930000,0.000000,0.000000,15.120000,8.670000,18.010000,0.970000,81.880000,31.000000,20.470000,0.000000,0.000000,0.880000,4.820000,134.860000,91.510000,47.640000,2.890000,37.210000,61.410000,20.710000,0.000000,24.010000,20.470000,81.880000,27.940000,0.000000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,2188.58

89,22:00-22:15,0,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,31.000000,0.870000,0.610000,54.190000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,14.530000,0.880000,0.520000,96.330000,50.000000,144.500000,1.590000,1.930000,0.000000,0.000000,15.120000,7.710000,18.010000,0.970000,81.880000,31.000000,20.470000,0.000000,0.000000,0.880000,4.820000,134.860000,91.510000,47.640000,2.890000,37.210000,61.410000,20.710000,18.060000,24.010000,20.470000,81.880000,27.940000,0.000000,12.190000,83.980000,40.940000,0.000000,12.410000,0.670000,2272.06

90,22:15-22:30,0,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,31.000000,0.870000,0.610000,54.190000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,14.530000,0.880000,0.520000,96.330000,50.000000,144.500000,1.590000,1.930000,0.000000,0.000000,15.120000,7.710000,18.010000,0.970000,81.880000,31.000000,20.470000,0.000000,0.000000,0.880000,4.820000,134.860000,91.510000,47.640000,2.890000,37.210000,61.410000,20.710000,18.060000,24.010000,20.470000,81.880000,27.940000,0.000000,12.190000,83.980000,40.940000,0.000000,12.410000,0.670000,2272.06

91,22:30-22:45,0,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,31.000000,0.870000,0.610000,54.190000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,14.530000,0.880000,0.520000,96.330000,50.000000,144.500000,1.590000,1.930000,0.000000,0.000000,15.120000,7.710000,18.010000,0.970000,81.880000,31.430000,20.470000,0.000000,0.000000,0.880000,4.820000,134.860000,308.260000,47.640000,2.890000,37.210000,61.410000,20.710000,18.060000,24.010000,20.470000,81.880000,27.940000,0.000000,12.190000,83.980000,40.940000,0.000000,12.410000,0.670000,2489.24

92,22:45-23:00,0,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,31.000000,0.870000,0.610000,54.190000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,14.530000,0.880000,0.520000,96.330000,50.000000,144.500000,1.590000,1.930000,0.000000,0.000000,15.120000,7.710000,18.010000,0.970000,81.880000,31.430000,20.470000,0.000000,0.000000,0.880000,4.820000,134.860000,308.260000,47.640000,2.890000,37.210000,61.410000,20.710000,18.060000,24.010000,20.470000,81.880000,27.940000,0.000000,12.190000,83.980000,40.940000,0.000000,12.410000,0.670000,2489.24

93,23:00-23:15,0,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,31.430000,0.820000,0.610000,54.190000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,14.530000,0.880000,0.520000,96.330000,50.000000,144.500000,1.590000,1.930000,0.000000,0.000000,15.120000,7.710000,18.010000,0.970000,81.880000,31.430000,20.470000,0.000000,0.000000,0.880000,4.820000,134.860000,308.260000,47.640000,2.890000,37.210000,61.410000,20.710000,18.060000,24.010000,20.470000,81.880000,27.940000,0.000000,12.190000,83.980000,40.940000,0.000000,12.410000,0.670000,2489.62

94,23:15-23:30,0,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,31.430000,0.820000,0.610000,54.190000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,14.530000,0.880000,0.520000,96.330000,50.000000,144.500000,1.590000,1.930000,0.000000,0.000000,15.120000,7.710000,18.010000,0.970000,81.880000,31.430000,20.470000,0.000000,0.000000,0.880000,4.820000,134.860000,308.260000,47.640000,2.890000,37.210000,61.410000,20.710000,18.060000,24.010000,20.470000,81.880000,27.940000,0.000000,12.190000,83.980000,40.940000,0.000000,12.410000,0.670000,2489.62

95,23:30-23:45,0,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,31.430000,0.820000,0.610000,54.190000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,14.530000,0.880000,0.520000,96.330000,50.000000,144.500000,1.590000,1.930000,0.000000,0.000000,15.120000,7.710000,18.010000,0.970000,81.880000,31.430000,20.470000,0.000000,0.000000,0.880000,4.820000,134.860000,308.260000,47.640000,2.890000,37.210000,61.410000,20.710000,18.060000,24.010000,20.470000,81.880000,27.940000,0.000000,12.190000,83.980000,40.940000,0.000000,12.410000,0.670000,2489.62

96,23:45-24:00,0,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,31.430000,0.820000,0.610000,54.190000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,14.530000,0.880000,0.520000,96.330000,50.000000,144.500000,1.590000,1.930000,0.000000,0.000000,15.120000,7.710000,18.010000,0.970000,81.880000,31.430000,20.470000,0.000000,0.000000,0.880000,4.820000,134.860000,308.260000,47.640000,2.890000,37.210000,61.410000,20.710000,18.060000,24.010000,20.470000,81.880000,27.940000,0.000000,12.190000,83.980000,40.940000,0.000000,12.410000,0.670000,2489.62

