Time,Block,NR/2024/22218/C,NR/01102023/14082046/L_NR_2021_16,NR/2024/22239/C,NR/01102023/02012046/L_NR_2021_17,NR/01082024/31082024/jitpl,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/21870/A/30159,NR/2024/21974/A/30387,NR/2024/21909/A/30320,NR/2024/21954/A/30377,NR/2024/21918/A/30414,NR/2024/22219/C,NR/03082024/03082024/IEX_240802-01871,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug24,NR/2024/22226/C,NR/2024/21966/A/30145,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/2024/21869/A/30163,NR/2024/22236/C,NR/2024/21971/A/30386,NR/03082024/03082024/DD20240803NR26018,NR/2024/22042/A/30112,NR/2024/21876/A/30157,NR/2024/22080/A/30043,NR/03082024/03082024/HPX-TAMCTG-020824-01969,NR/01082024/31082024/SKS-Raigarh,NR/01082024/30082024/	NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01102023/23072042/L_NR_2012_04,NR/2024/21872/A/30162,NR/2024/21658/A/30123,NR/2024/21814/A/30389,NR/30092023/31122025/SH-07,NR/2024/22081/A/30341,NR/2024/21940/A/30379,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/2024/21983/A/30274,NR/2024/21968/A/30383,NR/2024/21943/A/30376,NR/2024/22014/A/30113,NR/01082024/15082024/APL-Raigarh,NR/2024/21961/A/30353,NR/2024/22229/C,NR/2024/22010/A/30410,NR/2024/22231/C,NR/30092023/26122029/SH-06,NR/2024/22227/C,NR/2024/22238/C,NR/2024/21868/A/30160,NR/2024/21970/A/30384,NR/2024/21875/A/30156,NR/2024/21932/A/30146,NR/2024/21956/A/30385,NR/2024/21873/A/30158,NR/2024/22220/C,NR/2024/21860/A/30342,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/21871/A/30161,NR/2024/21938/A/30355,Total
78,19:15-19:30,0,0,0,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,288.960000,48.160000,0.000000,0.000000,48.160000,0.000000,96.320000,37.210000,96.320000,3.850000,0.000000,11.560000,0.000000,12.410000,0.000000,0.000000,0.000000,0.920000,48.160000,32.000000,240.800000,83.970000,0.000000,0.000000,37.210000,38.530000,1.930000,192.640000,0.000000,96.320000,0.000000,48.160000,25.160000,39.650000,0.000000,0.000000,12.410000,0.000000,0.000000,43.340000,0.000000,19.260000,48.160000,15.450000,0.000000,0.000000,1994.92

79,19:30-19:45,0,0,0,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,288.960000,48.160000,0.000000,0.000000,48.160000,0.000000,96.320000,37.210000,96.320000,3.850000,0.000000,11.560000,0.000000,12.410000,0.000000,0.000000,0.000000,0.920000,48.160000,32.000000,240.800000,83.970000,0.000000,0.000000,37.210000,38.530000,1.930000,192.640000,0.000000,96.320000,0.000000,48.160000,25.160000,40.750000,0.000000,0.000000,12.410000,0.000000,0.000000,43.340000,0.000000,19.260000,48.160000,15.450000,0.000000,0.000000,1996.02

80,19:45-20:00,0,0,0,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,288.960000,48.160000,0.000000,0.000000,48.160000,0.000000,96.320000,37.210000,96.320000,3.850000,0.000000,11.560000,0.000000,12.410000,0.000000,0.000000,0.000000,0.920000,48.160000,32.000000,240.800000,83.970000,0.000000,0.000000,37.210000,38.530000,1.930000,192.640000,0.000000,96.320000,0.000000,48.160000,25.160000,40.370000,0.000000,0.000000,12.410000,0.000000,0.000000,43.340000,0.000000,19.260000,48.160000,15.450000,0.000000,0.000000,1995.64

81,20:00-20:15,0,0,0,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,288.960000,48.160000,48.160000,0.000000,48.160000,0.000000,96.320000,37.210000,96.320000,3.850000,0.000000,11.560000,0.000000,12.410000,0.000000,0.000000,0.000000,0.920000,48.160000,32.000000,240.800000,83.970000,0.000000,0.000000,37.210000,38.530000,1.930000,192.640000,0.000000,96.320000,0.000000,48.160000,25.160000,38.980000,0.000000,0.000000,12.410000,0.000000,0.000000,43.340000,0.000000,19.260000,48.160000,15.450000,0.000000,0.000000,2042.41

82,20:15-20:30,0,0,0,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,288.960000,48.160000,48.160000,0.000000,48.160000,0.000000,96.320000,37.210000,96.320000,3.850000,0.000000,11.560000,0.000000,12.410000,0.000000,0.000000,0.000000,0.920000,48.160000,32.000000,240.800000,83.970000,0.000000,0.000000,37.210000,38.530000,1.930000,192.640000,0.000000,96.320000,0.000000,48.160000,25.160000,37.070000,0.000000,0.000000,12.410000,0.000000,0.000000,43.340000,0.000000,19.260000,48.160000,15.450000,0.000000,0.000000,2040.5

83,20:30-20:45,0,0,0,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,288.960000,48.160000,48.160000,0.000000,48.160000,0.000000,96.320000,37.210000,96.320000,3.850000,0.000000,10.600000,0.000000,12.410000,0.000000,0.000000,0.000000,0.920000,48.160000,32.000000,240.800000,83.970000,0.000000,0.000000,37.210000,38.530000,1.930000,192.640000,0.000000,96.320000,0.000000,48.160000,25.160000,36.270000,0.000000,0.000000,12.410000,0.000000,0.000000,43.340000,0.000000,19.260000,48.160000,15.450000,0.000000,0.000000,2038.74

84,20:45-21:00,0,0,0,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,288.960000,48.160000,48.160000,0.000000,48.160000,0.000000,96.320000,37.210000,96.320000,3.850000,0.000000,10.600000,0.000000,12.410000,0.000000,0.000000,0.000000,0.920000,48.160000,32.000000,240.800000,83.970000,0.000000,0.000000,37.210000,38.530000,1.930000,192.640000,0.000000,96.320000,0.000000,48.160000,25.160000,36.250000,0.000000,0.000000,12.410000,0.000000,0.000000,43.340000,0.000000,19.260000,48.160000,15.450000,0.000000,0.000000,2038.72

85,21:00-21:15,0,0,28.22,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,288.960000,48.160000,48.160000,0.000000,48.160000,0.000000,96.320000,37.210000,96.320000,3.850000,0.000000,10.600000,0.000000,12.410000,0.000000,0.000000,0.000000,0.920000,48.160000,32.000000,240.800000,83.970000,0.000000,0.000000,37.210000,38.530000,1.930000,192.640000,0.000000,96.320000,0.000000,48.160000,17.560000,35.290000,0.000000,0.000000,12.410000,0.000000,0.000000,43.340000,0.000000,19.260000,48.160000,16.830000,0.000000,0.000000,2059.76

86,21:15-21:30,0,0,28.22,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,288.960000,48.160000,48.160000,0.000000,48.160000,0.000000,96.320000,37.210000,96.320000,3.850000,0.000000,10.600000,0.000000,12.410000,0.000000,0.000000,0.000000,0.920000,48.160000,32.000000,240.800000,83.970000,0.000000,0.000000,37.210000,38.530000,1.930000,192.640000,0.000000,96.320000,0.000000,48.160000,17.560000,35.000000,0.000000,0.000000,12.410000,0.000000,0.000000,43.340000,0.000000,19.260000,48.160000,16.830000,0.000000,0.000000,2059.47

87,21:30-21:45,0,0,28.22,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,288.960000,48.160000,144.480000,0.000000,48.160000,0.000000,96.320000,37.210000,96.320000,3.850000,0.000000,10.600000,0.000000,12.410000,0.000000,0.000000,0.000000,0.920000,48.160000,32.000000,240.800000,83.970000,0.000000,0.000000,37.210000,38.530000,1.930000,192.640000,0.000000,96.320000,0.000000,48.160000,17.560000,36.910000,0.000000,0.000000,12.410000,0.000000,0.000000,43.340000,0.000000,19.260000,48.160000,16.830000,0.000000,0.000000,2157.7

88,21:45-22:00,0,0,28.22,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,288.960000,48.160000,144.480000,0.000000,48.160000,0.000000,96.320000,37.210000,96.320000,3.850000,0.000000,10.600000,0.000000,12.410000,0.000000,0.000000,0.000000,0.920000,48.160000,32.000000,240.800000,83.970000,0.000000,0.000000,37.210000,38.530000,1.930000,192.640000,0.000000,96.320000,0.000000,48.160000,17.560000,33.930000,0.000000,0.000000,12.410000,0.000000,0.000000,43.340000,0.000000,19.260000,48.160000,16.830000,0.000000,0.000000,2154.72

89,22:00-22:15,0,0,28.22,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,288.960000,48.160000,144.480000,0.000000,48.160000,0.000000,96.320000,37.210000,96.320000,3.850000,0.000000,10.600000,0.000000,12.410000,0.000000,0.000000,0.000000,0.920000,48.160000,26.300000,240.800000,83.970000,0.000000,0.000000,37.210000,38.530000,1.930000,192.640000,81.270000,96.320000,0.000000,48.160000,26.300000,34.760000,0.000000,0.000000,12.410000,0.000000,0.000000,43.340000,0.000000,19.260000,48.160000,16.830000,0.000000,27.090000,2266.95

90,22:15-22:30,0,0,28.22,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,288.960000,48.160000,144.480000,0.000000,48.160000,0.000000,96.320000,37.210000,96.320000,3.850000,0.000000,10.600000,0.000000,12.410000,0.000000,0.000000,0.000000,0.920000,48.160000,26.300000,240.800000,83.970000,0.000000,0.000000,37.210000,38.530000,1.930000,192.640000,81.270000,96.320000,0.000000,48.160000,26.300000,37.510000,0.000000,0.000000,12.410000,0.000000,0.000000,43.340000,0.000000,19.260000,48.160000,16.830000,0.000000,27.090000,2269.7

91,22:30-22:45,0,0,28.22,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,288.960000,48.160000,192.640000,0.000000,48.160000,0.000000,96.320000,37.210000,96.320000,3.850000,0.000000,10.600000,0.000000,12.410000,0.000000,0.000000,0.000000,0.920000,48.160000,26.300000,240.800000,83.970000,0.000000,0.000000,37.210000,38.530000,1.930000,192.640000,81.270000,96.320000,0.000000,48.160000,26.300000,39.040000,0.000000,0.000000,12.410000,0.000000,0.000000,67.420000,0.000000,19.260000,48.160000,16.830000,0.000000,27.090000,2343.47

92,22:45-23:00,0,0,28.22,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,288.960000,48.160000,192.640000,0.000000,48.160000,0.000000,96.320000,37.210000,96.320000,3.850000,0.000000,10.600000,0.000000,12.410000,0.000000,0.000000,0.000000,0.920000,48.160000,26.300000,240.800000,83.970000,0.000000,0.000000,37.210000,38.530000,1.930000,192.640000,81.270000,96.320000,0.000000,48.160000,26.300000,40.780000,0.000000,0.000000,12.410000,0.000000,0.000000,67.420000,0.000000,19.260000,48.160000,16.830000,0.000000,27.090000,2345.21

93,23:00-23:15,0,0,28.22,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,288.960000,48.160000,192.640000,0.000000,48.160000,0.000000,96.320000,37.210000,96.320000,3.850000,0.000000,9.630000,0.000000,12.410000,0.000000,0.000000,0.000000,0.870000,48.160000,26.300000,240.800000,83.970000,0.000000,0.000000,37.210000,38.530000,1.930000,192.640000,81.270000,96.320000,0.000000,48.160000,26.300000,42.220000,0.000000,0.000000,12.410000,0.000000,0.000000,67.420000,0.000000,19.260000,48.160000,16.830000,0.000000,27.090000,2345.63

94,23:15-23:30,0,0,28.22,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,288.960000,48.160000,192.640000,0.000000,48.160000,0.000000,96.320000,37.210000,96.320000,3.850000,0.000000,9.630000,0.000000,12.410000,0.000000,0.000000,0.000000,0.870000,48.160000,26.300000,240.800000,83.970000,0.000000,0.000000,37.210000,38.530000,1.930000,192.640000,81.270000,96.320000,0.000000,48.160000,26.300000,41.490000,0.000000,0.000000,12.410000,0.000000,0.000000,67.420000,0.000000,19.260000,48.160000,16.830000,0.000000,27.090000,2344.9

95,23:30-23:45,0,0,28.22,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,288.960000,48.160000,192.640000,0.000000,48.160000,0.000000,96.320000,37.210000,96.320000,3.850000,0.000000,9.630000,0.000000,12.410000,0.000000,0.000000,0.000000,0.870000,48.160000,26.300000,240.800000,83.970000,0.000000,0.000000,37.210000,38.530000,1.930000,192.640000,81.270000,96.320000,0.000000,48.160000,26.300000,42.130000,0.000000,0.000000,12.410000,0.000000,0.000000,67.420000,0.000000,19.260000,48.160000,16.830000,0.000000,27.090000,2345.54

96,23:45-24:00,0,0,28.22,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,288.960000,48.160000,192.640000,0.000000,48.160000,0.000000,96.320000,37.210000,96.320000,3.850000,0.000000,9.630000,0.000000,12.410000,0.000000,0.000000,0.000000,0.870000,48.160000,26.300000,240.800000,83.970000,0.000000,0.000000,37.210000,38.530000,1.930000,192.640000,81.270000,96.320000,0.000000,48.160000,26.300000,40.650000,0.000000,0.000000,12.410000,0.000000,0.000000,67.420000,0.000000,19.260000,48.160000,16.830000,0.000000,27.090000,2344.06

