Column1,Block,NR/2025/26082/A/72620,NR/2025/26202/A/72618,NR/2025/26909/C,NR/2025/26005/A/72174,NR/2025/26379/A/72573,NR/2025/26336/A/72297,NR/2025/25967/A/72572,NR/2025/26153/A/72206,NR/2025/26198/A/72771,NR/2025/26291/A/72661,NR/2025/26910/C,NR/2025/26197/A/72764,NR/2025/26200/A/72762,NR/2025/26191/A/72171,NR/2025/26913/C,NR/2025/26289/A/72663,NR/2025/26912/C,NR/2025/26233/A/72668,NR/2025/26232/A/72670,NR/2025/26199/A/72763,NR/2025/26201/A/72761,NR/2025/26085/A/72221,NR/2025/26265/A/72666,GNARE/NR/2024/12/20/3668,NR/2025/26755/A/72312,NR/2025/26335/A/72298,GNA/NR/2025/05/16/9317,GNA/NR/2025/05/16/1698,GNA/NR/2025/05/01/7791,GNA/SR/2025/05/16/7915,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/6363,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/ER/2025/05/16/9578,GNA/NR/2025/05/01/5800,NR/2025/26956/C,NR/2025/26878/C,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/4138,NR/2025/26689/A/72256,NR/2025/26004/A/72173,ER/2025/17598/C,NR/2025/26871/C,NR/2025/26899/C,NR/2025/26902/C,NR/2025/26911/C,NR/2025/26880/C,NR/2025/26900/C,GNA/NR/2025/05/01/8954,NR/2025/26901/C,GNA/NR/2025/05/01/2474,NR/2025/26904/C,NR/2025/25861/A/72567,NR/2025/25860/A/72566,NR/2025/26845/C,NR/2025/26843/C,NR/2025/25859/A/72565,NR/2025/26101/A/72309,GNA/NR/2025/05/01/9252,NR/2025/26846/C,NR/2025/26842/C,GNA/NR/2025/05/01/2069,NR/2025/26847/C,NR/2025/26844/C,NR/2025/26312/A/72135,GNA/NR/2025/05/01/6957,NR/2025/26891/C,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/3877,Total
92,22:45-23:00,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.77,96.3,0,0,0,96.3,24.08,19.26,100,29.5,4.5,14.44,10.87,0,67.41,8.4,0,10.59,0,7.7,48.15,93.41,0,79.93,0,0,33.7,48.15,5.78,102.01,28.94,0,110.74,0,0,0,96.3,33.7,13.48,0,0,0,0,0,0,192.6,150.67,14.44,28.89,5.78,28.89,2750.56

93,23:00-23:15,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.77,96.3,0,0,0,96.3,24.08,19.26,100,29.5,4.5,14.44,10.87,0,67.41,8.4,0,10.59,0,6.74,48.15,58.74,0,79.93,0,0,33.7,48.15,5.78,102.01,28.94,0,110.74,0,0,0,96.3,33.7,13.48,0,0,0,0,0,0,192.6,150.67,14.44,28.89,5.78,28.89,2714.9300000000003

94,23:15-23:30,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.77,96.3,0,0,0,96.3,24.08,19.26,100,29.5,4.5,14.44,10.87,0,67.41,8.4,0,10.59,0,6.74,48.15,52.96,0,79.93,0,0,33.7,48.15,5.78,102.01,28.94,0,110.74,0,0,0,96.3,33.7,13.48,0,0,0,0,0,0,192.6,150.67,14.44,28.89,5.78,28.89,2709.15

95,23:30-23:45,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.77,96.3,0,0,0,96.3,24.08,19.26,100,29.5,4.5,14.44,10.87,0,67.41,8.4,0,10.59,0,6.74,48.15,54.89,0,79.93,0,0,33.7,48.15,5.78,102.01,28.94,0,110.74,0,0,0,96.3,33.7,13.48,0,0,0,0,0,0,192.6,150.67,14.44,28.89,5.78,28.89,2711.0800000000004

96,23:45-24:00,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.77,96.3,0,0,0,96.3,24.08,19.26,100,29.5,4.5,14.44,10.87,0,67.41,8.4,0,10.59,0,6.74,48.15,66.45,0,79.93,0,0,33.7,48.15,5.78,102.01,28.94,0,110.74,0,0,0,96.3,33.7,13.48,0,0,0,0,0,0,192.6,150.67,14.44,28.89,5.78,28.89,2722.6400000000003

