Time,Block,NR/2023/11953/A,NR/2023/10956/A,NR/2023/13925/D,NR/2023/10435/A,NR/2023/13928/D,NR/2023/11712/A,NR/2023/10786/A,NR/2023/12814/F,NR/2023/13053/F,NR/2023/10460/A,NR/2023/12917/F,NR/2023/12924/F,NR/2023/12872/F,NR/2023/10947/A,NR/2023/13929/D,NR/2023/13935/D,NR/2023/10651/A,NR/2023/12919/F,NR/2023/13951/C,NR/2023/12706/A,NR/2023/12923/F,NR/2023/13954/C,NR/2023/11266/A,ER/2023/8598/C,NR/2023/13369/F,NR/2023/13923/D,NR/2023/12915/F,NR/2023/10650/A,NR/2023/12921/F,NR/2023/13955/C,NR/2023/10720/A,NR/2023/13679/F,NR/2023/13053/F/II,NR/2023/12920/F,NR/2023/10561/A,NR/2023/10488/A,NR/2023/13939/C,NR/2023/13937/C,NR/2023/11709/A,NR/2023/12916/F,NR/2023/10432/A,NR/2023/13934/D,NR/2023/10959/A,NR/2023/10705/A,NR/2023/12661/A,NR/2023/10436/A,NR/2023/11507/A,NR/2023/12813/F,NR/2023/12169/A,NR/2023/11068/A,NR/2023/12922/F,Total
92,22:45-23:00,36.530000,85.170000,0,24.200000,147.910000,64.390000,91.980000,85.690000,24.200000,23.240000,0.920000,0.610000,0.730000,23.240000,0.000000,0,63.180000,0.920000,0.000000,6.780000,0.610000,45.510000,63.630000,0.000000,0.000000,0.000000,0.370000,83.270000,0.930000,68.740000,23.720000,4.840000,0.000000,0.930000,48.410000,48.410000,19.410000,36.690000,23.180000,0.520000,43.570000,0,21.280000,232.470000,62.930000,24.200000,255.520000,62.930000,54.220000,48.410000,1.020000,1955.41

93,23:00-23:15,36.530000,85.170000,0,24.200000,147.910000,64.390000,91.980000,85.690000,24.200000,23.240000,0.920000,0.610000,0.630000,23.240000,0.000000,0,63.180000,0.920000,62.930000,6.780000,0.610000,45.510000,63.630000,0.000000,0.000000,0.000000,0.370000,83.270000,0.930000,68.740000,23.720000,4.840000,0.000000,0.930000,48.410000,48.410000,19.410000,36.690000,23.180000,0.520000,43.570000,0,21.280000,232.470000,62.930000,24.200000,255.520000,62.930000,54.220000,48.410000,1.020000,2018.24

94,23:15-23:30,36.530000,85.170000,0,24.200000,147.910000,64.390000,91.980000,85.690000,24.200000,23.240000,0.920000,0.610000,0.630000,23.240000,0.000000,0,63.180000,0.920000,62.930000,6.780000,0.610000,45.510000,63.630000,0.000000,0.000000,0.000000,0.370000,83.270000,0.930000,68.740000,23.720000,4.840000,0.000000,0.930000,48.410000,48.410000,19.410000,36.690000,23.180000,0.520000,43.570000,0,21.280000,232.470000,62.930000,24.200000,255.520000,62.930000,54.220000,48.410000,1.020000,2018.24

95,23:30-23:45,36.530000,85.170000,0,24.200000,147.910000,64.390000,91.980000,85.690000,24.200000,23.240000,0.920000,0.610000,0.630000,23.240000,0.000000,0,63.180000,0.920000,62.930000,6.780000,0.610000,45.510000,63.630000,0.000000,0.000000,0.000000,0.370000,83.270000,0.930000,68.740000,23.720000,4.840000,0.000000,0.930000,48.410000,48.410000,19.410000,36.690000,23.180000,0.520000,43.570000,0,21.280000,232.470000,62.930000,24.200000,255.520000,62.930000,54.220000,48.410000,1.020000,2018.24

96,23:45-24:00,36.530000,85.170000,0,24.200000,147.910000,64.390000,91.980000,85.690000,24.200000,23.240000,0.920000,0.610000,0.630000,23.240000,0.000000,0,63.180000,0.920000,62.930000,6.780000,0.610000,45.510000,63.630000,0.000000,0.000000,0.000000,0.370000,83.270000,0.930000,68.740000,23.720000,4.840000,0.000000,0.930000,48.410000,48.410000,19.410000,36.690000,23.180000,0.520000,43.570000,0,21.280000,232.470000,62.930000,24.200000,255.520000,62.930000,54.220000,48.410000,1.020000,2018.24

