Time,Block,NR/2023/13284/A,NR/2023/13283/A,NR/2023/11521/A,NR/2023/11205/A,NR/2023/14120/F,NR/2023/14117/F,NR/2023/11470/A,NR/2023/14498/D,NR/2023/13983/F,NR/2023/13704/A,NR/2023/14121/F,NR/2023/14114/F,NR/2023/13858/A,NR/2023/11325/A,NR/2023/11204/A,NR/2023/14115/F,NR/2023/11954/A,NR/2023/11264/A,NR/2023/11469/A,NR/2023/11458/A,NR/2023/14119/F,NR/2023/14116/F,NR/2023/11892/A,NR/2023/14516/C,NR/2023/11203/A,NR/2023/11524/A,NR/2023/13283/A/II,NR/2023/14496/D,NR/2023/13859/A,NR/2023/11654/A,NR/2023/14118/F,NR/2023/11697/A,NR/2023/14497/D,NR/2023/11739/A,NR/2023/14113/F,NR/2023/11315/A,NR/2023/13704/A/II,NR/2023/14513/C,NR/2023/14136/F,NR/2023/13573/A,NR/2023/14518/C,NR/2023/14187/F,NR/2023/11328/A,NR/2023/12646/A,NR/2023/14510/C,NR/2023/14521/C,NR/2023/13983/F/II,NR/2023/14499/D,NR/2023/13573/A/II,NR/2023/14493/D,NR/2023/14495/D,NR/2023/14494/D,ER/2023/8825/C,SR/2023/6839/C,Total
86,21:15-21:30,0.000000,0.000000,48.270000,15.780000,0.610000,0.930000,21.240000,0.000000,0.920000,6.760000,0.610000,0.520000,77.230000,24.140000,14.240000,0.950000,36.420000,21.530000,84.940000,91.710000,1.010000,0.970000,66.520000,43.440000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.870000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,175.700000,0.000000,62.750000,19.600000,9.650000,48.270000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.00,1794.03

87,21:30-21:45,0.000000,0.000000,48.270000,15.780000,0.610000,0.930000,21.240000,0.000000,0.920000,6.760000,0.610000,0.520000,77.230000,24.140000,14.240000,0.950000,36.420000,21.530000,84.940000,91.710000,1.010000,0.970000,66.520000,43.440000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.870000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,213.350000,0.000000,62.750000,19.600000,9.650000,48.270000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.00,1831.68

88,21:45-22:00,0.000000,0.000000,48.270000,15.820000,0.610000,0.930000,21.240000,0.000000,0.920000,6.760000,0.610000,0.520000,77.230000,24.140000,14.240000,0.950000,36.420000,21.530000,84.940000,91.710000,1.010000,0.970000,66.520000,43.440000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.870000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,232.660000,0.000000,62.750000,19.600000,9.650000,48.270000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.00,1851.03

89,22:00-22:15,77.710000,0.000000,48.270000,231.800000,0.610000,0.930000,21.240000,0.000000,0.490000,6.760000,0.610000,0.520000,77.230000,24.140000,83.020000,0.950000,36.420000,21.530000,84.940000,91.710000,1.010000,0.970000,66.520000,14.480000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.870000,33.310000,45.370000,42.470000,0.380000,22.200000,0.000000,24.140000,0.000000,62.750000,19.600000,9.650000,48.270000,23.100000,0.000000,4.830000,0.420000,0.000000,0.000000,0,0,0,0.000000,0.00,2032.42

90,22:15-22:30,77.710000,0.000000,48.270000,231.800000,0.610000,0.930000,21.240000,0.000000,0.490000,6.760000,0.610000,0.520000,77.230000,24.140000,83.020000,0.950000,36.420000,21.530000,84.940000,91.710000,1.010000,0.970000,66.520000,43.440000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.870000,33.310000,45.370000,42.470000,0.380000,22.200000,0.000000,24.140000,0.000000,62.750000,19.600000,9.650000,48.270000,23.100000,0.000000,4.830000,0.420000,0.000000,0.000000,0,0,0,0.000000,0.00,2061.38

91,22:30-22:45,77.710000,0.000000,48.270000,231.800000,0.610000,0.930000,21.240000,0.000000,0.490000,6.760000,0.610000,0.520000,77.230000,24.140000,83.020000,0.950000,36.420000,21.530000,84.940000,91.710000,1.010000,0.970000,66.520000,43.440000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.870000,33.310000,45.370000,42.470000,0.380000,22.200000,0.000000,35.720000,0.000000,62.750000,19.600000,9.650000,48.270000,23.100000,0.000000,4.830000,0.420000,0.000000,0.000000,0,0,0,0.000000,0.00,2072.96

92,22:45-23:00,77.710000,0.000000,48.270000,231.800000,0.610000,0.930000,21.240000,0.000000,0.490000,6.760000,0.610000,0.520000,77.230000,24.140000,83.020000,0.950000,36.420000,21.530000,84.940000,91.710000,1.010000,0.970000,66.520000,43.440000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.870000,33.310000,45.370000,42.470000,0.380000,22.200000,0.000000,52.130000,0.000000,62.750000,19.600000,9.650000,48.270000,23.100000,0.000000,4.830000,0.420000,0.000000,0.000000,0,0,0,0.000000,0.00,2089.37

93,23:00-23:15,77.710000,0.000000,48.270000,231.800000,0.610000,0.930000,21.240000,0.000000,0.000000,6.540000,0.610000,0.520000,77.230000,24.140000,83.020000,0.950000,36.420000,21.530000,84.940000,91.710000,1.010000,0.970000,66.520000,43.440000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.870000,33.310000,45.370000,42.470000,0.380000,22.200000,0.220000,55.990000,0.000000,60.710000,19.600000,9.650000,48.270000,23.100000,0.000000,4.830000,0.870000,0.000000,2.040000,0,0,0,0.000000,0.00,2093.19

94,23:15-23:30,77.710000,0.000000,48.270000,231.800000,0.610000,0.930000,21.240000,0.000000,0.000000,6.540000,0.610000,0.520000,77.230000,24.140000,83.020000,0.950000,36.420000,21.530000,84.940000,91.710000,1.010000,0.970000,66.520000,43.440000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.870000,33.310000,45.370000,42.470000,0.380000,22.200000,0.220000,43.440000,0.000000,60.710000,19.600000,9.650000,48.270000,23.100000,0.000000,4.830000,0.870000,0.000000,2.040000,0,0,0,0.000000,0.00,2080.64

95,23:30-23:45,77.710000,0.000000,48.270000,231.800000,0.610000,0.930000,21.240000,0.000000,0.000000,6.540000,0.610000,0.520000,77.230000,24.140000,83.020000,0.950000,36.420000,21.530000,84.940000,91.710000,1.010000,0.970000,66.520000,43.440000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.870000,33.310000,45.370000,42.470000,0.380000,22.200000,0.220000,27.030000,0.000000,60.710000,19.600000,9.650000,48.270000,23.100000,0.000000,4.830000,0.870000,0.000000,2.040000,0,0,0,0.000000,0.00,2064.23

96,23:45-24:00,77.710000,0.000000,48.270000,231.800000,0.610000,0.930000,21.240000,0.000000,0.000000,6.540000,0.610000,0.520000,77.230000,24.140000,83.020000,0.950000,36.420000,21.530000,84.940000,91.710000,1.010000,0.970000,66.520000,43.440000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.870000,33.310000,45.370000,42.470000,0.380000,22.200000,0.220000,24.140000,0.000000,60.710000,19.600000,9.650000,48.270000,23.100000,0.000000,4.830000,0.870000,0.000000,2.040000,0,0,0,0.000000,0.00,2061.34

