Column1,Block,NR/2025/29470/C,NR/2025/29464/C,NR/30092023/31122025/SH-07,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/16/8791,GNA/NR/2025/06/20/3628,NR/2025/29507/C,GNA/NR/2025/06/01/5280,NR/2025/29508/C,NR/2025/29510/C,NR/2025/29472/C,NR/2025/29387/C,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/16/6051,NR/2025/29378/C,NR/2025/29471/C,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/4973,NR/2025/29456/C,GNA/NR/2025/06/01/9719,NR/2025/29523/C,NR/2025/29528/C/Alternate/1,NR/2025/29527/C,NR/2025/29528/C,NR/2025/26562/A/82276,NR/2025/26975/A/82486,NR/2025/26889/A/82298,NR/2025/27281/A/82401,SR/2025/17681/C,NR/2025/29540/C,NR/2025/27157/A/81898,NR/2025/26445/A/82334,NR/2025/27506/A/81775,NR/2025/27726/A/82305,NR/2025/27176/A/82318,NR/2025/29504/C,NR/2025/27168/A/81795,NR/2025/29505/C,NR/2025/27100/A/81900,NR/2025/26566/A/82278,NR/2025/27167/A/81792,NR/2025/29541/C,NR/2025/27725/A/82306,NR/2025/26572/A/82280,NR/2025/26571/A/82279,NR/2025/27499/A/82297,NR/2025/27242/A/82001,NR/2025/26861/A/82292,NR/2025/28719/A/81876,NR/2025/27782/A/82302,NR/2025/27187/A/82312,NR/2025/27728/A/82304,NR/2025/27088/A/82330,NR/2025/27185/A/82316,NR/2025/26565/A/82277,NR/2025/26777/A/81860,NR/2025/26860/A/82213,NR/2025/29502/C,NR/2025/26085/A/81873,NR/2025/27727/A/82303,NR/2025/26952/A/81843,NR/2025/29162/A/81884,NR/2025/29536/C,NR/2025/26785/A/81777,NR/2025/27500/A/81776,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/7786,GNARE/NR/2024/12/20/3668,NR/2025/28774/A/81771,NR/2025/27356/A/81936,Total
86,21:15-21:30,0,0,26.96,11.92,0,20.87,0,11.93,0,0,0,0,26.96,33.86,0,0,0,17.87,16.93,33.86,0,16.93,0,0,28.05,164.7,116.09,27.09,5.8,24.91,0,0,217.66,0,1.93,26.38,106.41,0,16.93,0,25.23,116.09,16.93,0,8.79,116.09,0,8.71,33.86,135.44,12.58,8.79,19.35,26.38,135.44,19.35,0,135.44,74.49,0,0.92,26.38,0,0.97,0,0,7.74,0,44.02,29.02,16.93,33.86,0,0,0,2006.84

87,21:30-21:45,0,0,29,11.92,0,20.87,0,11.93,0,0,0,0,26.73,33.86,0,0,0,17.87,16.93,33.86,0,16.93,0,0,28.05,164.7,116.09,27.09,5.8,24.91,0,0,217.66,0,1.93,26.38,106.41,0,16.93,0,25.23,116.09,16.93,0,8.79,116.09,0,8.71,33.86,135.44,12.58,8.79,19.35,26.38,135.44,19.35,0,135.44,74.49,0,0.92,26.38,0,0.97,0,0,7.74,0,44.02,29.02,16.93,33.86,0,0,0,2008.6499999999999

88,21:45-22:00,0,0,29,11.92,0,20.87,0,11.93,0,0,0,0,26.73,33.86,0,0,0,17.87,16.93,33.86,0,16.93,0,0,28.05,164.7,116.09,27.09,5.8,24.91,0,0,217.66,0,1.93,26.38,106.41,0,16.93,0,25.23,116.09,16.93,0,8.79,116.09,0,8.71,33.86,135.44,12.58,8.79,19.35,26.38,135.44,19.35,0,135.44,74.49,0,0.92,26.38,0,0.97,0,0,7.74,0,44.02,29.02,16.93,33.86,0,0,0,2008.6499999999999

89,22:00-22:15,0,0,29,11.92,0,20.87,0,11.93,0,0,0,0,23.38,33.86,0,0,0,17.68,16.93,33.86,0,16.93,0,0,28.05,164.7,116.09,27.09,5.8,24.91,0,0,217.66,0,1.93,26.38,106.41,0,16.93,0,25.23,116.09,16.93,0,8.79,116.09,0,8.71,33.86,135.44,11.61,8.79,19.35,26.38,135.44,19.35,0,135.44,74.49,0,0.82,26.38,0,1.93,0,0,7.74,0,44.02,29.02,16.93,33.86,0,0,0,2004.9999999999998

90,22:15-22:30,0,0,29,11.92,0,20.87,0,11.93,0,0,0,0,23.38,33.86,0,0,0,17.68,16.93,33.86,0,16.93,0,0,28.05,164.7,116.09,27.09,5.8,24.91,0,0,217.66,0,1.93,26.38,106.41,0,16.93,0,25.23,116.09,16.93,0,8.79,116.09,0,8.71,33.86,135.44,11.61,8.79,19.35,26.38,135.44,19.35,0,135.44,74.49,0,0.82,26.38,0,1.93,0,0,7.74,0,44.02,29.02,16.93,33.86,0,0,0,2004.9999999999998

91,22:30-22:45,0,0,29,11.92,0,20.87,0,11.93,0,0,0,0,19.86,33.86,0,0,0,17.68,16.93,33.86,0,16.93,0,0,28.05,164.7,116.09,27.09,5.8,24.91,0,0,217.66,0,1.93,26.38,106.41,0,16.93,0,25.23,116.09,16.93,0,8.79,116.09,0,8.71,33.86,135.44,11.61,8.79,19.35,26.38,135.44,19.35,0,135.44,74.49,0,0.82,26.38,0,1.93,0,0,7.74,0,44.02,29.02,16.93,33.86,0,0,0,2001.4799999999998

92,22:45-23:00,0,0,29,11.92,0,20.87,0,11.93,0,0,0,0,19.86,33.86,0,0,0,17.68,16.93,33.86,0,16.93,0,0,28.05,164.7,116.09,27.09,5.8,24.91,0,0,217.66,0,1.93,26.38,106.41,0,16.93,0,25.23,116.09,16.93,0,8.79,116.09,0,8.71,33.86,135.44,11.61,8.79,19.35,26.38,135.44,19.35,0,135.44,74.49,0,0.82,26.38,0,1.93,0,0,7.74,0,44.02,29.02,16.93,33.86,0,0,0,2001.4799999999998

93,23:00-23:15,0,0,29,11.92,0,20.87,0,11.93,0,0,0,0,23.38,33.86,0,0,0,17.4,16.93,33.86,0,16.93,0,0,28.05,164.7,116.09,27.09,5.8,24.91,0,0,217.66,0,1.93,26.38,106.41,0,16.93,0,25.23,116.09,16.93,0,8.79,116.09,0,8.71,33.86,135.44,10.64,8.79,19.35,26.38,135.44,19.35,0,135.44,74.49,0,0.77,26.38,0,2.9,0,0,7.74,0,44.02,29.02,16.93,33.86,0,0,0,2004.6699999999998

94,23:15-23:30,0,0,29,11.92,0,20.87,0,11.93,0,0,0,0,23.38,33.86,0,0,0,17.4,16.93,33.86,0,16.93,0,0,28.05,164.7,116.09,27.09,5.8,24.91,0,0,217.66,0,1.93,26.38,106.41,0,16.93,0,25.23,116.09,16.93,0,8.79,116.09,0,8.71,33.86,135.44,10.64,8.79,19.35,26.38,135.44,19.35,0,135.44,74.49,0,0.77,26.38,0,2.9,0,0,7.74,0,44.02,29.02,16.93,33.86,0,0,0,2004.6699999999998

95,23:30-23:45,0,0,29,11.92,0,20.87,0,11.93,0,0,0,0,29,33.86,0,0,0,17.4,16.93,33.86,0,16.93,0,0,28.05,164.7,116.09,27.09,5.8,24.91,0,0,217.66,0,1.93,26.38,106.41,0,16.93,0,25.23,116.09,16.93,0,8.79,116.09,0,8.71,33.86,135.44,10.64,8.79,19.35,26.38,135.44,19.35,0,135.44,74.49,0,0.77,26.38,0,2.9,0,0,7.74,0,44.02,29.02,16.93,33.86,0,0,0,2010.29

96,23:45-24:00,0,0,29,12.19,0,20.87,0,11.93,0,0,0,0,29,33.86,0,0,0,17.4,16.93,33.86,0,16.93,0,0,28.05,164.7,116.09,27.09,5.8,24.91,0,0,217.66,0,1.93,26.38,106.41,0,16.93,0,25.23,116.09,16.93,0,8.79,116.09,0,8.71,33.86,135.44,10.64,8.79,19.35,26.38,135.44,19.35,0,135.44,74.49,0,0.77,26.38,0,2.9,0,0,7.74,0,44.02,29.02,16.93,33.86,0,0,0,2010.56

