Block,Time,KHSTPP-I,BRBCL,KHSTPP-II,FSTPP I & II,TALA,SASAN,SALAL,SEWA2,NAPP,URI2,DADRI_GF,SINGRAULI_HYDRO,JHAJJAR,RAMPUR,DADRI_LF,ANTA_LF,DHAULIGNGA,AURY_LF,KOLDAM,CHAMERA1,UNCHAHAR4,DADRI_CRF,ANTA_RF,DADRT2,AURY_CRF,UNCHAHAR1,KISHANGANGA,RAPPB,ANTA_CRF,RIHAND2,UNCHAHAR2,AURY_GF,UNCHAHAR3,CHAMERA2,TEHRI,CHAMERA3,TANAKPUR,RAPPC,ANTA_GF,KOTESHWR,RIHAND3,BSIUL,TANDA2,AURY_RF,DADRI_RF,PARBATI3,SINGRAULI,DULHASTI,NJPC,RIHAND1,URI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
28,06:45-07:00,44.538477,18.550424,141.355738,19.898727,0.000000,401.977323,53.539382,10.113537,20.503464,4.519401,0.000000,0.734515,626.958781,0.000000,0.000000,0.000000,15.216335,0.000000,0.000000,26.541235,0.000000,0.000000,0.000000,644.942507,0.000000,20.945018,0.000000,0.000000,0.000000,56.691694,40.690257,0.000000,25.331857,25.283843,44.811012,0.000000,0.000000,52.257052,0.000000,25.554458,118.706633,12.518632,0.000000,0.000000,0.000000,0.000000,132.466200,31.636100,112.264625,88.310800,25.433510,0,0,0,0,0

29,07:00-07:15,44.538477,19.197964,141.355738,19.898727,0.000000,401.977323,53.539382,10.113537,20.503464,4.519401,0.000000,0.734515,626.958781,0.000000,0.000000,0.000000,17.539362,0.000000,0.000000,26.541235,0.000000,0.000000,0.000000,644.942507,0.000000,20.945018,0.000000,0.000000,0.000000,56.691694,40.690257,0.000000,25.331857,25.283843,44.811012,0.000000,0.000000,52.257052,0.000000,25.554458,118.706633,12.518632,0.000000,0.000000,0.000000,0.000000,132.466200,31.636100,112.264625,88.310800,4.238918,0,0,0,0,0

30,07:15-07:30,44.538477,17.501513,141.355738,19.898727,0.000000,401.977323,53.539382,10.113537,20.503464,4.519401,0.000000,0.734515,626.958781,0.000000,0.000000,0.000000,17.539362,0.000000,0.000000,26.541235,0.000000,0.000000,0.000000,644.942507,0.000000,20.945018,0.000000,0.000000,0.000000,56.691694,40.690257,0.000000,25.331857,25.283843,44.811012,0.000000,0.000000,52.257052,0.000000,25.554458,118.706633,12.518632,0.000000,0.000000,0.000000,0.000000,132.466200,31.636100,112.264625,88.310800,2.119459,0,0,0,0,0

31,07:30-07:45,44.538477,16.813635,141.355738,19.898727,0.000000,401.977323,53.539382,10.113537,20.503464,4.519401,0.000000,0.734515,626.958781,0.000000,0.000000,0.000000,26.309043,0.000000,0.000000,26.541235,0.000000,0.000000,0.000000,644.942507,0.000000,20.945018,0.000000,0.000000,0.000000,56.691694,40.690257,0.000000,25.331857,25.283843,44.811012,0.000000,0.000000,52.257052,0.000000,25.554458,118.706633,12.518632,0.000000,0.000000,0.000000,0.000000,132.466200,31.636100,112.264625,88.310800,2.119459,0,0,0,0,0

32,07:45:08:00,44.538477,18.607705,141.355738,19.898727,0.000000,401.977323,53.539382,10.113537,20.503464,4.519401,0.000000,0.734515,626.958781,0.000000,0.000000,0.000000,26.309043,0.000000,0.000000,13.485981,0.000000,0.000000,0.000000,651.954481,0.000000,20.945018,0.000000,0.000000,0.000000,56.691694,40.690257,0.000000,25.331857,25.283843,44.811012,0.000000,0.000000,52.257052,0.000000,25.554458,118.706633,12.518632,0.000000,0.000000,0.000000,0.000000,132.466200,31.636100,112.264625,88.310800,2.119459,0,0,0,0,0

33,08:00-08:15,44.538477,15.877269,141.355738,19.898727,0.000000,401.977323,6.692423,10.113537,20.503464,4.519401,0.000000,0.734515,626.958781,0.000000,0.000000,0.000000,17.539362,0.000000,0.000000,13.485981,0.000000,0.000000,0.000000,651.954481,0.000000,20.945018,0.000000,0.000000,0.000000,56.691694,40.690257,0.000000,25.331857,25.283843,44.811012,0.000000,0.000000,52.257052,0.000000,25.554458,118.706633,12.518632,0.000000,0.000000,0.000000,0.000000,132.466200,31.636100,112.264625,88.310800,2.119459,0,0,0,0,0

34,08:15-08:30,44.538477,17.475596,141.355738,19.898727,0.000000,401.977323,1.338485,5.067005,20.503464,4.519401,0.000000,0.734515,626.958781,0.000000,0.000000,0.000000,15.216335,0.000000,0.000000,8.341531,0.000000,0.000000,0.000000,651.954481,0.000000,20.945018,0.000000,0.000000,0.000000,56.691694,40.690257,0.000000,25.331857,25.283843,44.811012,0.000000,0.000000,52.257052,0.000000,9.464614,118.706633,0.000000,0.000000,0.000000,0.000000,0.000000,132.466200,31.636100,81.812277,88.310800,3.179189,0,0,0,0,0

35,08:30-08:45,44.538477,19.197964,141.355738,19.898727,0.000000,401.977323,1.338485,0.000000,20.503464,4.519401,0.000000,0.734515,626.958781,0.000000,0.000000,0.000000,8.242181,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,651.954481,0.000000,20.945018,0.000000,0.000000,0.000000,56.691694,40.690257,0.000000,25.331857,12.641921,44.811012,0.000000,0.000000,52.257052,0.000000,8.518153,118.706633,0.000000,0.000000,0.000000,0.000000,0.000000,120.553841,31.636100,49.814586,88.310800,2.119459,0,0,0,0,0

36,08:45:09:00,44.538477,18.711073,141.355738,19.898727,0.000000,401.977323,1.338485,0.000000,20.503464,4.519401,0.000000,0.734515,626.958781,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,651.954481,0.000000,20.945018,0.000000,0.000000,0.000000,56.691694,40.690257,0.000000,25.331857,0.000000,44.811012,0.000000,0.000000,52.257052,0.000000,8.518153,118.706633,0.000000,0.000000,0.000000,0.000000,0.000000,120.553841,31.636100,23.634658,88.310800,2.119459,0,0,0,0,0

37,09:00:09:15,44.538477,19.197964,141.355738,19.898727,0.000000,401.977323,1.338485,0.000000,20.503464,4.519401,0.000000,0.550887,626.958781,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,651.954481,0.000000,20.279807,0.000000,0.000000,0.000000,56.691694,40.690257,0.000000,25.331857,0.000000,44.811012,0.000000,0.000000,52.257052,0.000000,8.518153,118.706633,0.000000,0.000000,0.000000,0.000000,0.000000,120.553841,15.818050,10.908304,88.310800,3.179189,0,0,0,0,0

38,09:15-09:30,44.538477,19.197964,141.355738,19.898727,0.000000,401.977323,1.338485,0.000000,20.503464,4.519401,0.000000,0.000000,626.958781,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,651.954481,0.000000,20.279807,0.000000,0.000000,0.000000,56.691694,40.690257,0.000000,25.331857,0.000000,44.811012,0.000000,0.000000,52.257052,0.000000,8.518153,118.706633,0.000000,0.000000,0.000000,0.000000,0.000000,120.553841,15.818050,0.000000,88.310800,25.433510,0,0,0,0,0

39,09:30-09:45,44.538477,19.197964,141.355738,19.898727,0.000000,401.977323,1.338485,0.000000,20.503464,4.519401,0.000000,0.000000,626.958781,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,651.954481,0.000000,20.279807,0.000000,0.000000,0.000000,56.691694,40.690257,0.000000,25.331857,0.000000,44.811012,0.000000,0.000000,52.257052,0.000000,8.518153,118.706633,0.000000,0.000000,0.000000,0.000000,0.000000,120.553841,15.818050,0.000000,88.310800,25.433510,0,0,0,0,0

40,09:45-10:00,44.538477,19.197964,141.355738,19.898727,0.000000,401.977323,1.338485,0.000000,20.503464,4.519401,0.000000,0.000000,626.958781,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,651.954481,0.000000,20.279807,0.000000,0.000000,0.000000,56.691694,40.690257,0.000000,25.331857,0.000000,44.811012,0.000000,0.000000,52.257052,0.000000,8.518153,118.706633,0.000000,0.000000,0.000000,0.000000,0.000000,120.553841,15.818050,0.000000,88.310800,4.238918,0,0,0,0,0

41,10:00-10:15,44.538477,19.197964,141.355738,19.898727,0.000000,401.977323,1.338485,0.000000,20.503464,8.005796,0.000000,0.000000,626.958781,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,651.954481,0.000000,20.279807,0.000000,0.000000,0.000000,56.691694,40.690257,0.000000,25.331857,0.000000,44.811012,0.000000,0.000000,52.257052,0.000000,8.518153,118.706633,0.000000,0.000000,0.000000,0.000000,0.000000,126.457610,15.818050,0.000000,88.310800,2.119459,0,0,0,0,0

42,10:15-10:30,44.538477,17.524204,141.355738,19.898727,0.000000,401.977323,1.338485,0.000000,20.503464,8.005796,0.000000,0.000000,626.958781,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,651.954481,0.000000,20.279807,0.000000,0.000000,0.000000,56.691694,40.690257,0.000000,25.331857,0.000000,44.811012,0.000000,0.000000,52.257052,0.000000,8.518153,118.706633,0.000000,0.000000,0.000000,0.000000,0.000000,126.457610,15.818050,0.000000,88.310800,2.119459,0,0,0,0,0

43,10:30-10:45,44.538477,19.197964,141.355738,19.898727,0.000000,401.977323,1.338485,0.000000,20.503464,8.005796,0.000000,0.000000,626.958781,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,651.954481,0.000000,20.279807,0.000000,0.000000,0.000000,56.691694,40.690257,0.000000,25.331857,0.000000,29.874008,0.000000,0.000000,52.257052,0.000000,8.518153,118.706633,0.000000,0.000000,0.000000,0.000000,0.000000,126.457610,0.000000,0.000000,88.310800,2.119459,0,0,0,0,0

