Time,Block,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,NR/20072024/20072024/IEX_240719_01603,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21695/C,NR/2024/21072/A/28064,NR/2024/21096/A/28046,NR/2024/21142/A/27765,NR/2024/21150/A/27806,NR/2024/21160/A/27808,NR/2024/21691/C,NR/2024/21710/C,NR/2024/21173/A/27815,NR/2024/21238/A/28035,NR/2024/21183/A/28032,NR/2024/21144/A/27787,NR/2024/21103/A/28043,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/20072024/20072024/HPX-TAMCTG-190724-01752,NR/2024/21075/A/28034,NR/2024/20966/A/27716,NR/2024/21714/C,NR/2024/21685/C,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/30092023/26122029/SH-06,NR/2024/20574/A/27850,NR/2024/21148/A/27805,NR/2024/21567/A/28061,NR/2024/21089/A/28063,NR/2024/21186/A/28073,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/21698/C,NR/2024/21023/A/27784,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/2024/20573/A/27847,NR/20072024/20072024/IEX_240720_01626,NR/2024/21692/C,NR/2024/21146/A/27807,NR/2024/21087/A/27816,NR/2024/21113/A/28062,NR/2024/21153/A/27804,NR/2024/20688/A/27817,NR/2024/21141/A/27767,NR/2024/20931/A/27991,NR/2024/21339/A/27760,NR/16072024/31072024/NR/16072024/31072024/717758,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/20711/A/28108,NR/2024/21158/A/27809,NR/2024/21159/A/27810,NR/2024/21062/A/27871,NR/2024/21108/A/28041,NR/20072024/20072024/IEX_240719_01602,NR/2024/21152/A/27715,NR/2024/21227/A/28042,NR/2024/21500/A/27632,NR/2024/21199/A/27783,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/01072024/31072024/R2,NR/2024/21076/A/28031,NR/2024/21156/A/27811,NR/2024/19779/A/27748,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01102023/23072042/L_NR_2012_04,NR/2024/21099/A/27768,NR/2024/21210/A/27764,NR/30092023/31122025/SH-07,Total
63,15:30-15:45,0,0,0.000000,11.740000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,3.66,1.920000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,23.710000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,96.040000,0.000000,0.000000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,48.020000,96.040000,0.000000,0.000000,96.040000,0.670000,0.870000,24.010000,23.930000,0.000000,1.920000,0.000000,10.560000,72.030000,0.000000,0.000000,90.280000,0.610000,0.960000,0.000000,0.000000,0.000000,24.010000,48.020000,23.710000,1616.99

64,15:45-16:00,0,0,0.000000,11.740000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,4.07,1.920000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,23.710000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,96.040000,0.000000,0.000000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,48.020000,96.040000,0.000000,0.000000,96.040000,0.670000,0.870000,24.010000,23.930000,0.000000,1.920000,0.000000,10.560000,72.030000,0.000000,0.000000,90.280000,0.610000,0.960000,0.000000,0.000000,0.000000,24.010000,48.020000,23.710000,1617.4

65,16:00-16:15,0,0,0.000000,11.740000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,3.65,1.920000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,23.710000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,96.040000,0.000000,0.000000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,48.020000,96.040000,0.000000,0.000000,96.040000,0.670000,0.870000,24.010000,23.930000,0.000000,1.920000,0.000000,10.560000,72.030000,0.000000,0.000000,90.280000,0.610000,0.820000,0.000000,0.000000,0.000000,24.010000,48.020000,23.710000,1616.84

66,16:15-16:30,0,0,0.000000,11.740000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,2.76,1.920000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,23.710000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,96.040000,0.000000,0.000000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,48.020000,96.040000,0.000000,0.000000,96.040000,0.670000,0.870000,24.010000,23.930000,0.000000,1.920000,0.000000,10.560000,72.030000,0.000000,0.000000,90.280000,0.610000,0.820000,0.000000,0.000000,0.000000,24.010000,48.020000,23.710000,1615.95

67,16:30-16:45,0,0,0.000000,11.740000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,2.38,1.920000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,24.400000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,96.040000,0.000000,0.000000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,48.020000,96.040000,0.000000,0.000000,96.040000,0.670000,0.870000,24.010000,23.930000,0.000000,1.920000,0.000000,10.560000,72.030000,0.000000,0.000000,90.280000,0.610000,0.820000,0.000000,0.000000,0.000000,24.010000,48.020000,24.400000,1616.95

68,16:45-17:00,0,0,0.000000,11.740000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,2.08,1.920000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,24.400000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,96.040000,0.000000,0.000000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,48.020000,96.040000,0.000000,0.000000,96.040000,0.670000,0.870000,24.010000,23.930000,0.000000,1.920000,0.000000,10.560000,72.030000,0.000000,0.000000,90.280000,0.610000,0.820000,0.000000,0.000000,0.000000,24.010000,48.020000,24.400000,1616.65

69,17:00-17:15,0,0,0.000000,12.200000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,1.88,1.920000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,16.100000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,96.040000,0.000000,0.000000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,48.020000,96.040000,0.000000,0.000000,96.040000,0.670000,0.870000,24.010000,23.930000,0.000000,1.920000,0.000000,10.560000,72.030000,0.000000,0.000000,90.280000,0.610000,0.820000,0.000000,0.000000,0.000000,24.010000,48.020000,16.100000,1600.31

70,17:15-17:30,0,0,0.000000,12.200000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,1.68,1.920000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,16.100000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,96.040000,0.000000,0.000000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,48.020000,96.040000,0.000000,0.000000,96.040000,0.670000,0.870000,24.010000,23.930000,0.000000,1.920000,0.000000,10.560000,72.030000,0.000000,0.000000,90.280000,0.610000,0.820000,0.000000,0.000000,0.000000,24.010000,48.020000,16.100000,1600.11

71,17:30-17:45,0,0,0.000000,12.200000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,1.41,1.920000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,16.100000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,96.040000,0.000000,0.000000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,48.020000,96.040000,0.000000,0.000000,96.040000,0.670000,0.870000,24.010000,23.930000,0.000000,1.920000,0.000000,10.560000,72.030000,0.000000,0.000000,90.280000,0.610000,0.820000,0.000000,0.000000,0.000000,24.010000,48.020000,16.100000,1599.84

72,17:45-18:00,0,0,0.000000,12.200000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,1.07,1.920000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,16.100000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,96.040000,0.000000,0.000000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,48.020000,96.040000,0.000000,0.000000,96.040000,0.670000,0.870000,24.010000,23.930000,0.000000,1.920000,0.000000,10.560000,72.030000,0.000000,0.000000,90.280000,0.610000,0.820000,0.000000,0.000000,0.000000,24.010000,48.020000,16.100000,1599.5

73,18:00-18:15,0,0,0.000000,12.650000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,0.71,0.960000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,0.000000,4.800000,0.000000,240.100000,15.080000,15.170000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,47.500000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,0.000000,1.920000,0.000000,10.560000,0.000000,72.030000,24.010000,90.280000,0.610000,0.820000,96.040000,0.000000,0.000000,24.010000,48.020000,15.170000,1632.6

74,18:15-18:30,0,0,0.000000,12.650000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,0.36,0.960000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,0.000000,4.800000,0.000000,240.100000,15.080000,15.170000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,47.500000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,0.000000,1.920000,0.000000,10.560000,0.000000,72.030000,24.010000,90.280000,0.610000,0.820000,96.040000,0.000000,0.000000,24.010000,48.020000,15.170000,1632.25

75,18:30-18:45,0,0,0.000000,12.650000,0.000000,37.100000,43.220000,48.020000,0.870000,0.970000,0.16,0.960000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,0.000000,4.800000,0.000000,240.100000,15.080000,0.000000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,47.500000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,0.000000,1.920000,0.000000,10.560000,0.000000,72.030000,24.010000,90.280000,0.610000,0.820000,96.040000,0.000000,0.000000,24.010000,48.020000,32.000000,1652.92

76,18:45-19:00,0,0,0.000000,12.650000,0.000000,37.100000,43.220000,48.020000,0.870000,0.970000,0,0.960000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,0.000000,4.800000,0.000000,240.100000,15.080000,0.000000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,47.500000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,0.000000,1.920000,0.000000,10.560000,0.000000,72.030000,24.010000,90.280000,0.610000,0.820000,96.040000,0.000000,0.000000,24.010000,48.020000,32.000000,1652.76

77,19:00-19:15,0,0,47.250000,13.110000,91.240000,37.100000,43.220000,48.020000,0.870000,0.970000,0,0.960000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,52.440000,0.000000,4.800000,0.000000,240.100000,15.080000,32.000000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,0.000000,0.000000,0.000000,76.830000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,47.500000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,33.810000,1.920000,0.000000,10.560000,0.000000,72.030000,24.010000,90.280000,0.610000,0.820000,96.040000,0.000000,0.000000,24.010000,32.890000,32.000000,1971.66

78,19:15-19:30,0,0,46.580000,13.110000,91.240000,37.100000,43.220000,48.020000,0.870000,0.970000,0,0.960000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,51.670000,0.000000,4.800000,0.000000,240.100000,15.080000,32.000000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,0.000000,0.000000,0.000000,76.830000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,47.500000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,33.610000,1.920000,0.000000,10.560000,0.000000,72.030000,24.010000,90.280000,0.610000,0.820000,96.040000,0.000000,0.000000,24.010000,32.890000,32.000000,1970.02

79,19:30-19:45,0,0,46.000000,13.110000,91.240000,37.100000,43.220000,48.020000,0.870000,0.970000,0,0.960000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,51.000000,0.000000,4.800000,0.000000,240.100000,15.080000,32.000000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,0.000000,0.000000,0.000000,76.830000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,47.500000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,33.420000,1.920000,0.000000,10.560000,0.000000,72.030000,24.010000,90.280000,0.610000,0.820000,96.040000,0.000000,0.000000,24.010000,32.890000,32.000000,1968.58

80,19:45-20:00,0,0,46.100000,13.110000,91.240000,37.100000,43.220000,48.020000,0.870000,0.970000,0,0.960000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,51.000000,0.000000,4.800000,0.000000,240.100000,15.080000,32.000000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,0.000000,0.000000,0.000000,76.830000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,47.500000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,33.230000,1.920000,0.000000,10.560000,0.000000,72.030000,24.010000,90.280000,0.610000,0.820000,96.040000,0.000000,0.000000,24.010000,32.890000,32.000000,1968.49

81,20:00-20:15,0,0,45.430000,13.110000,91.240000,37.100000,43.220000,48.020000,0.870000,0.970000,0,0.960000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,51.000000,0.000000,4.800000,0.000000,240.100000,15.080000,32.000000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,0.000000,0.000000,0.000000,76.830000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,47.500000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,33.040000,1.920000,0.000000,10.560000,0.000000,72.030000,24.010000,90.280000,0.610000,0.860000,96.040000,0.000000,0.000000,24.010000,32.890000,32.000000,1967.67

82,20:15-20:30,0,0,44.750000,13.110000,91.240000,37.100000,43.220000,48.020000,0.870000,0.970000,0,0.960000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,51.000000,0.000000,4.800000,0.000000,240.100000,15.080000,32.000000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,0.000000,0.000000,0.000000,76.830000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,47.500000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,33.420000,1.920000,0.000000,10.560000,0.000000,72.030000,24.010000,90.280000,0.610000,0.860000,96.040000,0.000000,0.000000,24.010000,32.890000,32.000000,1967.37

83,20:30-20:45,0,0,44.850000,13.110000,91.240000,37.100000,43.220000,48.020000,0.870000,0.970000,0,0.000000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,51.000000,0.000000,4.800000,0.000000,240.100000,15.080000,32.000000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,0.000000,0.000000,0.000000,76.830000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,47.500000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,33.810000,1.920000,0.000000,10.560000,0.000000,72.030000,24.010000,90.280000,0.610000,0.860000,96.040000,0.000000,0.000000,24.010000,32.890000,32.000000,1966.9

84,20:45-21:00,0,0,44.950000,13.110000,91.240000,37.100000,43.220000,48.020000,0.870000,0.970000,0,0.000000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,50.520000,0.000000,4.800000,0.000000,240.100000,15.080000,32.000000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,0.000000,0.000000,0.000000,76.830000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,47.500000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,34.190000,1.920000,0.000000,10.560000,0.000000,72.030000,24.010000,90.280000,0.610000,0.860000,96.040000,0.000000,0.000000,24.010000,32.890000,32.000000,1966.9

85,21:00-21:15,0,0,45.040000,13.110000,91.240000,37.100000,43.220000,48.020000,0.870000,0.970000,0,0.000000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,50.040000,0.000000,4.800000,38.420000,240.100000,15.080000,32.000000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,96.040000,0.000000,0.000000,0.000000,76.830000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,47.500000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,34.570000,1.920000,0.000000,10.560000,0.000000,72.030000,24.010000,90.280000,0.610000,0.860000,96.040000,0.000000,0.000000,24.010000,32.890000,32.000000,2101.35

86,21:15-21:30,0,0,45.230000,13.110000,91.240000,37.100000,43.220000,48.020000,0.870000,0.970000,0,0.000000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,49.460000,0.000000,4.800000,38.420000,240.100000,15.080000,32.000000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,96.040000,0.000000,0.000000,0.000000,76.830000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,47.500000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,34.380000,1.920000,0.000000,10.560000,0.000000,72.030000,24.010000,90.280000,0.610000,0.860000,96.040000,0.000000,0.000000,24.010000,32.890000,32.000000,2100.77

87,21:30-21:45,0,0,45.330000,13.110000,91.240000,37.100000,43.220000,48.020000,0.870000,0.970000,0,0.000000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,48.980000,0.000000,4.800000,38.420000,240.100000,15.080000,32.000000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,96.040000,0.000000,0.000000,0.000000,76.830000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,47.500000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,34.290000,1.920000,0.000000,10.560000,0.000000,72.030000,24.010000,90.280000,0.610000,0.860000,96.040000,0.000000,0.000000,24.010000,32.890000,32.000000,2100.3

88,21:45-22:00,0,0,45.430000,13.110000,91.240000,37.100000,43.220000,48.020000,0.870000,0.970000,0,0.000000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,49.270000,0.000000,4.800000,38.420000,240.100000,15.080000,32.000000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,96.040000,0.000000,0.000000,0.000000,76.830000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,47.500000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,34.090000,1.920000,0.000000,10.560000,0.000000,72.030000,24.010000,90.280000,0.610000,0.860000,96.040000,0.000000,0.000000,24.010000,32.890000,32.000000,2100.49

89,22:00-22:15,0,0,45.520000,13.110000,91.240000,37.100000,43.220000,48.020000,0.870000,0.970000,0,0.960000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,49.650000,0.000000,4.800000,38.420000,240.100000,15.080000,32.000000,6.000000,0.520000,12.370000,37.100000,48.020000,0.000000,96.040000,0.000000,0.000000,18.010000,115.250000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,47.500000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,34.000000,1.920000,12.150000,9.600000,0.000000,72.030000,24.010000,90.280000,0.610000,0.860000,96.040000,0.000000,0.000000,24.010000,32.890000,32.000000,2175.45

90,22:15-22:30,0,0,45.620000,13.110000,91.240000,37.100000,43.220000,48.020000,0.870000,0.970000,0,0.960000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,49.940000,0.000000,4.800000,38.420000,240.100000,15.080000,32.000000,6.000000,0.520000,12.370000,37.100000,48.020000,0.000000,96.040000,0.000000,0.000000,18.010000,115.250000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,47.500000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,34.090000,1.920000,12.150000,9.600000,0.000000,72.030000,24.010000,90.280000,0.610000,0.860000,96.040000,0.000000,0.000000,24.010000,32.890000,32.000000,2175.93

91,22:30-22:45,0,0,45.810000,13.110000,91.240000,37.100000,67.230000,48.020000,0.870000,0.970000,0,0.960000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,50.230000,0.000000,4.800000,38.420000,240.100000,15.080000,32.000000,6.000000,0.520000,12.370000,37.100000,48.020000,0.000000,96.040000,0.000000,0.000000,18.010000,115.250000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,47.500000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,34.190000,1.920000,12.150000,9.600000,0.000000,72.030000,24.010000,90.280000,0.610000,0.860000,96.040000,0.000000,0.000000,24.010000,32.890000,32.000000,2200.52

92,22:45-23:00,0,0,45.910000,13.110000,91.240000,37.100000,67.230000,48.020000,0.870000,0.970000,0,0.960000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,50.040000,0.000000,4.800000,38.420000,240.100000,15.080000,32.000000,6.000000,0.520000,12.370000,37.100000,48.020000,0.000000,96.040000,0.000000,0.000000,18.010000,115.250000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,47.500000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,34.380000,1.920000,12.150000,9.600000,0.000000,72.030000,24.010000,90.280000,0.610000,0.860000,96.040000,0.000000,0.000000,24.010000,32.890000,32.000000,2200.62

93,23:00-23:15,0,0,46.000000,13.110000,91.240000,37.100000,67.230000,48.020000,0.870000,0.970000,0,0.960000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,49.750000,0.000000,4.800000,38.420000,240.100000,15.080000,32.000000,6.000000,0.520000,12.370000,37.100000,48.020000,0.000000,96.040000,0.000000,0.000000,18.010000,144.060000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,47.500000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,34.480000,1.920000,12.150000,8.640000,0.000000,72.030000,24.010000,90.280000,0.610000,0.820000,96.040000,0.000000,0.000000,24.010000,32.890000,32.000000,2228.33

94,23:15-23:30,0,0,46.100000,13.110000,91.240000,37.100000,67.230000,48.020000,0.870000,0.970000,0,0.960000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,49.560000,0.000000,4.800000,38.420000,240.100000,15.080000,32.000000,6.000000,0.520000,12.370000,37.100000,48.020000,0.000000,96.040000,0.000000,0.000000,18.010000,144.060000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,47.500000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,34.480000,1.920000,12.150000,8.640000,0.000000,72.030000,24.010000,90.280000,0.610000,0.820000,96.040000,0.000000,0.000000,24.010000,32.890000,32.000000,2228.24

95,23:30-23:45,0,0,46.100000,13.110000,91.240000,37.100000,67.230000,48.020000,0.870000,0.970000,0,0.960000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,49.270000,0.000000,4.800000,38.420000,240.100000,15.080000,32.000000,6.000000,0.520000,12.370000,37.100000,48.020000,0.000000,96.040000,0.000000,0.000000,18.010000,144.060000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,47.500000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,34.480000,1.920000,12.150000,8.640000,0.000000,72.030000,24.010000,90.280000,0.610000,0.820000,96.040000,0.000000,0.000000,24.010000,32.890000,32.000000,2227.95

96,23:45-24:00,0,0,46.200000,13.110000,91.240000,37.100000,67.230000,48.020000,0.870000,0.970000,0,0.960000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,49.080000,0.000000,4.800000,38.420000,240.100000,15.080000,32.000000,6.000000,0.520000,12.370000,37.100000,48.020000,0.000000,96.040000,0.000000,0.000000,18.010000,144.060000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,47.500000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,35.050000,1.920000,12.150000,8.640000,0.000000,72.030000,24.010000,90.280000,0.610000,0.820000,96.040000,0.000000,0.000000,24.010000,32.890000,32.000000,2228.43

