Block,Time,DADRI_GF,RIHAND1,AURY_RF,DULHASTI,KISHANGANGA,SEWA2,ANTA_CRF,AURY_GF,UNCHAHAR2,AURY_CRF,RIHAND2,URI2,SINGRAULI_HYDRO,NJPC,DHAULIGNGA,TANAKPUR,RAPPB,KOLDAM,RAMPUR,TANDA2,UNCHAHAR4,CHAMERA3,DADRI_CRF,KOTESHWR,PARBATI3,BSIUL,CHAMERA2,NAPP,SALAL,JHAJJAR,SINGRAULI,ANTA_RF,DADRT2,KHSTPP-II,KUDGI,FSTPP I & II,KHSTPP-I,TALA,BRBCL,SASAN,UNCHAHAR1,AURY_LF,RIHAND3,UNCHAHAR3,ANTA_GF,ANTA_LF,RAPPC,TEHRI,CHAMERA1,DADRI_LF,DADRI_RF,URI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
32,07:45:08:00,0.000000,43.492500,0.000000,47.780431,0.000000,15.274612,0.000000,0.000000,18.849053,0.000000,114.167812,30.553191,0.961436,147.816993,35.319915,11.390396,0.000000,0.000000,0.000000,0.000000,0.000000,28.089204,0.000000,34.306884,3.075886,12.668495,38.186531,37.366436,81.422792,319.486240,134.643115,0.000000,363.342555,70.042352,19.33,1.933000,9.665000,26.426043,14.497500,400.131000,11.429710,0.000000,119.522827,13.294506,0.000000,0.000000,49.304838,65.029986,41.230890,0.000000,0.000000,45.348180,0,0,0,0,0

33,08:00-08:15,0.000000,43.492500,0.000000,47.780431,0.000000,15.274612,0.000000,0.000000,18.064525,0.000000,114.167812,30.553191,0.961436,147.816993,35.319915,11.390396,0.000000,0.000000,0.000000,0.000000,0.000000,28.089204,0.000000,34.306884,3.075886,12.668495,38.186531,37.366436,81.422792,319.486240,134.643115,0.000000,363.343125,70.042352,46.39,5.431247,13.696465,26.426043,14.497500,400.131000,11.429710,0.000000,119.522827,13.360407,0.000000,0.000000,49.304838,65.029986,41.230890,0.000000,0.000000,45.348180,0,0,0,0,0

34,08:15-08:30,0.000000,43.492500,0.000000,47.780431,0.000000,15.274612,0.000000,0.000000,18.451590,0.000000,114.167812,30.553191,0.961436,147.816993,35.319915,11.390396,0.000000,0.000000,0.000000,0.000000,0.000000,28.089204,0.000000,34.306884,3.075886,12.668495,38.186531,37.366436,81.422792,319.486240,134.643115,0.000000,363.343125,70.042352,61.86,5.431247,13.696465,26.426043,14.497500,400.131000,11.429710,0.000000,119.522827,13.360407,0.000000,0.000000,49.304838,65.029986,41.230890,0.000000,0.000000,45.348180,0,0,0,0,0

35,08:30-08:45,0.000000,43.492500,0.000000,47.780431,0.000000,15.274612,0.000000,0.000000,18.451590,0.000000,114.167812,30.553191,0.961436,147.816993,35.319915,8.666606,0.000000,0.000000,0.000000,0.000000,0.000000,28.089204,0.000000,34.306884,3.075886,12.668495,38.186531,37.366436,81.422792,319.486240,134.643115,0.000000,363.067523,70.042352,113.08,5.431247,13.696465,26.426043,14.497500,400.131000,11.398273,0.000000,119.522827,13.294506,0.000000,0.000000,49.304838,65.029986,41.230890,0.000000,0.000000,45.348180,0,0,0,0,0

36,08:45:09:00,0.000000,43.492500,0.000000,47.780431,0.000000,15.274612,0.000000,0.000000,18.451590,0.000000,114.167812,30.553191,0.961436,147.816993,35.319915,8.666606,0.000000,0.000000,0.000000,0.000000,0.000000,28.089204,0.000000,34.306884,3.075886,12.668495,38.186531,37.366436,81.422792,319.486240,134.643115,0.000000,363.067523,70.042352,130.48,5.431247,13.696465,26.426043,14.497500,400.131000,11.398273,0.000000,119.522827,13.294506,0.000000,0.000000,49.304838,65.029986,41.230890,0.000000,0.000000,45.348180,0,0,0,0,0

