Column1,Block,NR/2025/27622/A/79574,GNARE/NR/2024/12/20/3668,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/13/7863,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/4973,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/9719,NR/2025/28762/C,NR/2025/28645/C,NR/2025/28763/C,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/28766/C,NR/2025/28673/C,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/5280,NR/2025/28757/C,NR/2025/28733/C,NR/2025/28765/C,NR/2025/28634/C,NR/2025/28758/C,NR/2025/28642/C,GNA/NR/2025/06/01/7663,NR/30092023/31122025/SH-07,NR/2025/28643/C,NR/2025/28686/C,GNA/NR/2025/06/01/2868,NR/2025/28857/C,NR/2025/28714/C,NR/2025/28567/C,NR/2025/26952/A/79639,NR/2025/28716/C,NR/2025/28722/C,NR/2025/27499/A/80057,NR/2025/26785/A/79582,NR/2025/27728/A/80046,NR/2025/28692/C,NR/2025/28723/C,NR/2025/27242/A/80070,NR/2025/27725/A/80048,NR/2025/27726/A/80047,NR/2025/27462/A/79576,NR/2025/28693/C,NR/2025/28138/A/79990,NR/2025/27088/A/80078,NR/2025/26889/A/80058,NR/2025/27724/A/79664,NR/2025/27167/A/80049,NR/2025/27168/A/80056,NR/2025/28717/C,NR/2025/26085/A/79558,NR/2025/28732/C,NR/2025/28718/C,NR/2025/27281/A/80104,NR/2025/26564/A/80019,NR/2025/28141/A/80166,NR/2025/26975/A/80053,NR/2025/27162/A/80052,NR/2025/28140/A/80165,NR/2025/26563/A/80018,NR/2025/28721/C,NR/2025/27157/A/79726,NR/2025/26861/A/80028,NR/2025/28712/C,NR/2025/26561/A/80017,NR/2025/26569/A/80020,NR/2025/28603/C,NR/2025/26445/A/80083,NR/2025/26570/A/80021,NR/2025/26777/A/79650,NR/2025/28559/C,NR/2025/26860/A/80002,NR/2025/27782/A/80044,NR/2025/27727/A/80045,NR/2025/28139/A/80164,NR/2025/27356/A/80167,Total
84,20:45-21:00,0,0,24.16,62.81,0,96.63,11.9,48.32,32,24.16,32.85,0,87.93,16,96.63,146.88,48.32,24.16,11.91,170.07,48.32,33.05,0,48.32,0,48.32,32,0,0,29.16,0,0,0,0,0,14.49,8.7,0,37.34,0,162.87,48.32,14.64,43.92,9.66,0,38.65,192.64,5.8,13.53,24.16,24.16,0,0.92,96.63,0,24.88,144.94,135.28,27.06,55.99,33.82,0,0,217.42,193.26,0,144.94,0,0,63.58,144.94,193.26,0,106.29,14.64,43.92,28.99,0,3483.5400000000013

85,21:00-21:15,0,0,24.16,62.81,0,96.63,11.9,48.32,32,24.16,32.85,0,87.93,16,96.63,146.88,48.32,24.16,11.91,170.07,48.32,33.05,0,48.32,0,48.32,32,0,0,29.16,0.97,0,0,0,0,28.99,8.7,0,37.34,0,102.36,48.32,14.64,43.92,9.66,0,38.65,192.64,5.8,12.56,24.16,24.16,0,0.92,96.63,0,24.88,144.94,135.28,27.06,55.99,33.82,0,0,217.42,193.26,0,144.94,0,0,63.58,144.94,193.26,0,106.29,14.64,43.92,28.99,0,3437.53

86,21:15-21:30,0,0,24.16,62.81,0,96.63,11.9,48.32,32,24.16,32.85,0,87.93,16,96.63,146.88,48.32,24.16,11.91,170.07,48.32,33.05,0,48.32,0,48.32,32,0,0,29.16,0.97,0,0,0,0,28.99,8.7,0,37.34,0,102.36,48.32,14.64,43.92,9.66,0,38.65,192.64,5.8,12.56,24.16,24.16,0,0.92,96.63,0,24.88,144.94,135.28,27.06,55.99,33.82,0,0,217.42,193.26,0,144.94,0,0,63.58,144.94,193.26,0,106.29,14.64,43.92,28.99,0,3437.53

87,21:30-21:45,0,0,24.16,62.81,0,96.63,11.9,48.32,32,24.16,32.85,0,87.93,16,96.63,146.88,48.32,24.16,11.91,170.07,48.32,33.05,0,48.32,0,48.32,32,0,0,29.16,0.97,0,0,0,0,28.99,8.7,0,37.34,0,102.36,48.32,14.64,43.92,9.66,0,38.65,192.64,5.8,12.56,24.16,24.16,0,0.92,96.63,0,24.88,144.94,135.28,27.06,55.99,33.82,0,0,217.42,193.26,0,144.94,0,0,63.58,144.94,193.26,0,106.29,14.64,43.92,28.99,0,3437.53

88,21:45-22:00,0,0,24.16,62.81,0,96.63,11.9,48.32,32,24.16,32.85,0,87.93,16,96.63,146.88,48.32,24.16,11.91,170.07,48.32,33.05,0,48.32,0,48.32,32,0,0,29.16,0.97,0,0,0,0,28.99,8.7,0,37.34,0,102.36,48.32,14.64,43.92,9.66,0,38.65,192.64,5.8,12.56,24.16,24.16,0,0.92,96.63,0,24.88,144.94,135.28,27.06,55.99,33.82,0,0,217.42,193.26,0,144.94,0,0,63.58,144.94,193.26,0,106.29,14.64,43.92,28.99,0,3437.53

89,22:00-22:15,0,0,24.16,62.81,0,96.63,11.9,48.32,32,24.16,32.85,0,87.93,16,96.63,146.88,48.32,24.16,11.91,170.07,48.32,33.05,0,48.32,0,48.32,32,0,0,29.16,1.93,0,0,0,0,28.99,8.7,0,37.34,0,102.36,48.32,14.64,43.92,9.66,0,38.65,192.64,5.8,11.6,24.16,24.16,0,0.82,96.63,0,24.88,144.94,135.28,27.06,55.99,33.82,0,0,217.42,193.26,0,144.94,0,0,63.58,144.94,193.26,0,106.29,14.64,43.92,28.99,0,3437.4300000000007

90,22:15-22:30,0,0,24.16,62.81,0,96.63,11.9,48.32,32,24.16,32.85,0,87.93,16,96.63,146.88,48.32,24.16,11.91,170.07,48.32,33.05,0,48.32,0,48.32,32,0,0,29.16,1.93,0,0,0,0,28.99,8.7,0,37.34,0,102.36,48.32,14.64,43.92,9.66,0,38.65,192.64,5.8,11.6,24.16,24.16,0,0.82,96.63,0,24.88,144.94,135.28,27.06,55.99,33.82,0,0,217.42,193.26,0,144.94,0,0,63.58,144.94,193.26,0,106.29,14.64,43.92,28.99,0,3437.4300000000007

91,22:30-22:45,0,0,24.16,62.81,0,72.47,11.9,48.32,31.44,24.16,32.85,0,87.93,16,96.63,146.88,48.32,24.16,11.91,170.07,48.32,33.05,0,72.47,0,48.32,31.44,0,0,29.16,1.93,0,0,0,0,28.99,8.7,0,37.34,0,102.36,48.32,14.64,43.92,9.66,0,38.65,192.64,5.8,11.6,24.16,24.16,0,0.82,96.63,0,24.88,144.94,135.28,27.06,55.99,33.82,0,0,217.42,193.26,0,144.94,0,0,63.58,144.94,193.26,0,106.29,14.64,43.92,28.99,0,3436.3000000000006

92,22:45-23:00,0,0,24.16,62.81,0,72.47,11.9,48.32,31.44,24.16,32.85,0,87.93,16,96.63,146.88,48.32,24.16,11.91,170.07,48.32,33.05,0,72.47,0,48.32,31.44,0,0,29.16,1.93,0,0,0,0,28.99,8.7,0,37.34,0,102.36,48.32,14.64,43.92,9.66,0,38.65,192.64,5.8,11.6,24.16,24.16,0,0.82,96.63,0,24.88,144.94,135.28,27.06,55.99,33.82,0,0,217.42,193.26,0,144.94,0,0,63.58,144.94,193.26,0,106.29,14.64,43.92,28.99,0,3436.3000000000006

93,23:00-23:15,0,0,24.16,62.81,0,72.47,11.9,48.32,31.44,24.16,32.85,0,87.93,16,96.63,146.88,48.32,24.16,11.91,170.07,96.63,33.05,0,72.47,0,48.32,31.44,0,0,29.16,2.9,0,0,0,0,28.99,8.7,0,37.34,0,102.36,48.32,14.64,43.92,9.66,0,38.65,192.64,5.8,10.63,24.16,24.16,0,0.77,96.63,0,24.88,144.94,135.28,27.06,55.99,33.82,0,0,217.42,193.26,0,144.94,0,0,63.58,144.94,193.26,0,106.29,14.64,43.92,28.99,0,3484.560000000001

94,23:15-23:30,0,0,24.16,62.81,0,72.47,11.9,48.32,31.44,24.16,32.85,0,87.93,16,96.63,146.88,48.32,24.16,11.91,170.07,96.63,33.05,0,72.47,0,48.32,31.44,0,0,29.16,2.9,0,0,0,0,28.99,8.7,0,37.34,0,102.36,48.32,14.64,43.92,9.66,0,38.65,192.64,5.8,10.63,24.16,24.16,0,0.77,96.63,0,24.88,144.94,135.28,27.06,55.99,33.82,0,0,217.42,193.26,0,144.94,0,0,63.58,144.94,193.26,0,106.29,14.64,43.92,28.99,0,3484.560000000001

95,23:30-23:45,0,0,24.16,62.81,0,72.47,11.9,48.32,31.44,24.16,32.85,0,87.93,16,96.63,146.88,48.32,24.16,11.91,170.07,96.63,33.05,0,72.47,0,48.32,31.44,0,0,29.16,2.9,0,0,0,0,28.99,8.7,0,37.34,0,102.36,48.32,14.64,43.92,9.66,0,38.65,192.64,5.8,10.63,24.16,24.16,0,0.77,96.63,0,24.88,144.94,135.28,27.06,55.99,33.82,0,0,217.42,193.26,0,144.94,0,0,63.58,144.94,193.26,0,106.29,14.64,43.92,28.99,0,3484.560000000001

96,23:45-24:00,0,0,24.16,62.81,0,72.47,12.18,48.32,31.44,24.16,32.85,0,87.93,16,96.63,146.88,48.32,24.16,11.91,170.07,96.63,33.05,0,72.47,0,48.32,31.44,0,0,29.16,2.9,0,0,0,0,28.99,8.7,0,37.34,0,102.36,48.32,14.64,43.92,9.66,0,38.65,192.64,5.8,10.63,24.16,24.16,0,0.77,96.63,0,24.88,144.94,135.28,27.06,55.76,33.82,0,0,217.42,193.26,0,144.94,0,0,63.58,144.94,193.26,0,106.29,14.64,43.92,28.99,0,3484.610000000001

