Time,Block,NR/2023/11205/A,NR/2023/14117/F,NR/2023/11697/A,NR/2023/14432/C,NR/2023/14187/F,NR/2023/14136/F,NR/2023/11521/A,NR/2023/14413/C,NR/2023/13704/A,NR/2023/14421/C,NR/2023/14113/F,NR/2023/14121/F,NR/2023/14415/C,NR/2023/13573/A,NR/2023/14114/F,NR/2023/13283/A,NR/2023/11458/A,NR/2023/13858/A,NR/2023/11739/A,NR/2023/14381/D,NR/2023/13284/A,NR/2023/14120/F,NR/2023/12646/A,NR/2023/14115/F,NR/2023/14433/C,NR/2023/11469/A,NR/2023/11892/A,NR/2023/11470/A,NR/2023/13573/A/II,NR/2023/14118/F,NR/2023/11654/A,NR/2023/14389/C,NR/2023/14379/D,NR/2023/14417/C,NR/2023/11954/A,NR/2023/14380/D,NR/2023/13859/A,NR/2023/11325/A,NR/2023/14406/C,NR/2023/11315/A,NR/2023/11524/A,NR/2023/13983/F,NR/2023/11204/A,NR/2023/11264/A,NR/2023/14407/C,NR/2023/11328/A,NR/2023/13283/A/II,NR/2023/14116/F,NR/2023/14119/F,NR/2023/11203/A,NR/2023/14405/C,NR/2023/14431/C,NR/2023/13704/A/II,NR/2023/13983/F/II,NR/2023/14386/D,NR/2023/14385/D,NR/2023/14382/D,Total
82,20:15-20:30,15.780000,0.930000,0.000000,84.960000,9.650000,0.000000,48.270000,0.000000,6.760000,49.240000,0.380000,0.610000,4.830000,0.000000,0.520000,0.000000,48.270000,77.230000,42.470000,0.000000,0.000000,0.610000,0.000000,0.950000,69.510000,84.940000,66.520000,21.240000,62.750000,0.870000,257.760000,0.000000,147.460000,18.660000,36.420000,45.370000,141.910000,24.140000,276.100000,22.200000,193.080000,0.000000,14.240000,21.530000,0.000000,48.270000,0.000000,0.970000,1.010000,62.990000,0,91.710000,0.000000,0.920000,0,0,0,2102.03

83,20:30-20:45,15.780000,0.930000,0.000000,84.960000,9.650000,0.000000,48.270000,0.000000,6.760000,49.240000,0.380000,0.610000,4.830000,0.000000,0.520000,0.000000,48.270000,77.230000,42.470000,0.000000,0.000000,0.610000,0.000000,0.950000,69.510000,84.940000,66.520000,21.240000,62.750000,0.870000,257.760000,0.000000,147.460000,18.660000,36.420000,45.370000,141.910000,24.140000,271.280000,22.200000,193.080000,0.000000,14.240000,21.530000,0.000000,48.270000,0.000000,0.970000,1.010000,62.990000,35.22,91.710000,0.000000,0.920000,0,0,0,2132.43

84,20:45-21:00,15.780000,0.930000,0.000000,84.960000,9.650000,0.000000,48.270000,0.000000,6.760000,49.240000,0.380000,0.610000,4.830000,0.000000,0.520000,0.000000,48.270000,77.230000,42.470000,0.000000,0.000000,0.610000,0.000000,0.950000,69.510000,84.940000,66.520000,21.240000,62.750000,0.870000,257.760000,0.000000,147.460000,18.660000,36.420000,45.370000,141.910000,24.140000,266.450000,22.200000,193.080000,0.000000,14.240000,21.530000,0.000000,48.270000,0.000000,0.970000,1.010000,62.990000,17.61,91.710000,0.000000,0.920000,0,0,0,2109.99

85,21:00-21:15,15.780000,0.930000,0.000000,84.960000,9.650000,0.000000,48.270000,0.000000,6.760000,49.240000,0.380000,0.610000,4.830000,0.000000,0.520000,0.000000,91.710000,77.230000,42.470000,0.000000,0.000000,0.610000,0.000000,0.950000,69.510000,84.940000,66.520000,21.240000,62.750000,0.870000,257.760000,0.000000,147.460000,18.840000,36.420000,45.370000,141.910000,24.140000,256.800000,22.200000,193.080000,0.000000,14.240000,21.530000,0.000000,48.270000,0.000000,0.970000,1.010000,62.990000,41.08,91.710000,0.000000,0.920000,0,0,0,2167.43

86,21:15-21:30,15.780000,0.930000,0.000000,84.960000,9.650000,0.000000,48.270000,0.000000,6.760000,49.240000,0.380000,0.610000,4.830000,0.000000,0.520000,0.000000,91.710000,77.230000,42.470000,0.000000,0.000000,0.610000,0.000000,0.950000,69.510000,84.940000,66.520000,21.240000,62.750000,0.870000,257.760000,0.000000,147.460000,18.840000,36.420000,45.370000,141.910000,24.140000,251.970000,22.200000,193.080000,0.000000,14.240000,21.530000,0.000000,48.270000,0.000000,0.970000,1.010000,62.990000,54.78,91.710000,0.000000,0.920000,0,0,0,2176.3

87,21:30-21:45,15.780000,0.930000,0.000000,84.960000,9.650000,0.000000,48.270000,0.000000,6.760000,49.240000,0.380000,0.610000,4.830000,0.000000,0.520000,0.000000,91.710000,77.230000,42.470000,0.000000,0.000000,0.610000,0.000000,0.950000,69.510000,84.940000,66.520000,21.240000,62.750000,0.870000,257.760000,0.000000,147.460000,18.840000,36.420000,45.370000,141.910000,24.140000,251.970000,22.200000,193.080000,0.000000,14.240000,21.530000,0.000000,48.270000,0.000000,0.970000,1.010000,62.990000,54.78,91.710000,0.000000,0.920000,0,0,0,2176.3

88,21:45-22:00,15.820000,0.930000,0.000000,84.960000,9.650000,0.000000,48.270000,0.000000,6.760000,49.240000,0.380000,0.610000,4.830000,0.000000,0.520000,0.000000,91.710000,77.230000,42.470000,0.000000,0.000000,0.610000,0.000000,0.950000,69.510000,84.940000,66.520000,21.240000,62.750000,0.870000,257.760000,0.000000,147.460000,18.840000,36.420000,45.370000,141.910000,24.140000,251.970000,22.200000,193.080000,0.000000,14.240000,21.530000,0.000000,48.270000,0.000000,0.970000,1.010000,62.990000,60.65,91.710000,0.000000,0.920000,0,0,0,2182.21

89,22:00-22:15,231.800000,0.930000,33.310000,84.960000,9.650000,0.000000,48.270000,0.000000,6.760000,49.240000,0.380000,0.610000,4.830000,0.000000,0.520000,0.000000,91.710000,77.230000,42.470000,0.000000,77.710000,0.610000,23.100000,0.950000,69.510000,84.940000,66.520000,21.240000,62.750000,0.870000,257.760000,0.000000,147.460000,19.030000,36.420000,45.370000,141.910000,24.140000,107.160000,22.200000,193.080000,0.420000,83.020000,21.530000,0.000000,48.270000,0.000000,0.970000,1.010000,62.990000,60.65,91.710000,0.000000,0.490000,0,0,0,2456.46

90,22:15-22:30,231.800000,0.930000,33.310000,84.960000,9.650000,0.000000,48.270000,0.000000,6.760000,49.240000,0.380000,0.610000,4.830000,0.000000,0.520000,0.000000,91.710000,77.230000,42.470000,0.000000,77.710000,0.610000,23.100000,0.950000,69.510000,84.940000,66.520000,21.240000,62.750000,0.870000,257.760000,0.000000,147.460000,19.030000,36.420000,45.370000,141.910000,24.140000,107.160000,22.200000,193.080000,0.420000,83.020000,21.530000,0.000000,48.270000,0.000000,0.970000,1.010000,62.990000,60.65,91.710000,0.000000,0.490000,0,0,0,2456.46

91,22:30-22:45,231.800000,0.930000,33.310000,84.960000,9.650000,0.000000,48.270000,9.650000,6.760000,49.240000,0.380000,0.610000,4.830000,0.000000,0.520000,0.000000,91.710000,77.230000,42.470000,0.000000,77.710000,0.610000,23.100000,0.950000,69.510000,84.940000,66.520000,21.240000,62.750000,0.870000,257.760000,0.000000,147.460000,19.030000,36.420000,45.370000,141.910000,24.140000,107.160000,22.200000,193.080000,0.420000,83.020000,21.530000,0.000000,48.270000,0.000000,0.970000,1.010000,62.990000,60.65,91.710000,0.000000,0.490000,0,0,0,2466.11

92,22:45-23:00,231.800000,0.930000,33.310000,84.960000,9.650000,0.000000,48.270000,48.270000,6.760000,49.240000,0.380000,0.610000,4.830000,0.000000,0.520000,0.000000,91.710000,77.230000,42.470000,0.000000,77.710000,0.610000,23.100000,0.950000,69.510000,84.940000,66.520000,21.240000,62.750000,0.870000,257.760000,0.000000,147.460000,19.030000,36.420000,45.370000,141.910000,24.140000,107.160000,22.200000,193.080000,0.420000,83.020000,21.530000,0.000000,48.270000,0.000000,0.970000,1.010000,62.990000,60.65,91.710000,0.000000,0.490000,0,0,0,2504.73

93,23:00-23:15,231.800000,0.930000,33.310000,84.960000,9.650000,0.000000,48.270000,91.710000,6.540000,49.240000,0.380000,0.610000,4.830000,2.040000,0.520000,0.000000,91.710000,77.230000,42.470000,0.000000,77.710000,0.610000,23.100000,0.950000,69.510000,84.940000,66.520000,21.240000,60.710000,0.870000,257.760000,0.000000,147.460000,19.120000,36.420000,45.370000,141.910000,24.140000,107.160000,22.200000,193.080000,0.870000,83.020000,21.530000,0.000000,48.270000,0.000000,0.970000,1.010000,62.990000,60.65,91.710000,0.220000,0.000000,0,0,0,2548.22

94,23:15-23:30,231.800000,0.930000,33.310000,84.960000,9.650000,0.000000,48.270000,111.020000,6.540000,49.240000,0.380000,0.610000,4.830000,2.040000,0.520000,0.000000,91.710000,77.230000,42.470000,0.000000,77.710000,0.610000,23.100000,0.950000,69.510000,84.940000,66.520000,21.240000,60.710000,0.870000,257.760000,0.000000,147.460000,19.120000,36.420000,45.370000,141.910000,24.140000,107.160000,22.200000,193.080000,0.870000,83.020000,21.530000,0.000000,48.270000,0.000000,0.970000,1.010000,62.990000,60.65,91.710000,0.220000,0.000000,0,0,0,2567.53

95,23:30-23:45,231.800000,0.930000,33.310000,84.960000,9.650000,0.000000,48.270000,115.850000,6.540000,49.240000,0.380000,0.610000,4.830000,2.040000,0.520000,0.000000,91.710000,77.230000,42.470000,0.000000,77.710000,0.610000,23.100000,0.950000,69.510000,84.940000,66.520000,21.240000,60.710000,0.870000,257.760000,0.000000,147.460000,19.120000,36.420000,45.370000,141.910000,24.140000,107.160000,22.200000,193.080000,0.870000,83.020000,21.530000,0.000000,48.270000,0.000000,0.970000,1.010000,62.990000,60.65,91.710000,0.220000,0.000000,0,0,0,2572.36

96,23:45-24:00,231.800000,0.930000,33.310000,84.960000,9.650000,0.000000,48.270000,111.020000,6.540000,49.240000,0.380000,0.610000,4.830000,2.040000,0.520000,0.000000,91.710000,77.230000,42.470000,0.000000,77.710000,0.610000,23.100000,0.950000,69.510000,84.940000,66.520000,21.240000,60.710000,0.870000,257.760000,0.000000,147.460000,19.120000,36.420000,45.370000,141.910000,24.140000,107.160000,22.200000,193.080000,0.870000,83.020000,21.530000,0.000000,48.270000,0.000000,0.970000,1.010000,62.990000,60.65,91.710000,0.220000,0.000000,0,0,0,2567.53

