Time,Block,NR/01102023/25122043/GNA_MEJA_DELHI,NR/30092023/26122029/SH-06,NR/2024/20777/A/24520,NR/2024/20050/A/24783,NR/01102023/02012046/L_NR_2021_17,NR/2024/19588/A/24579,NR/2024/20554/A/24458,NR/2024/21285/C,NR/01062024/30062024/R2,NR/2024/20130/A/24572,NR/2024/19642/A/24811,NR/2024/20037/A/24516,NR/2024/20558/A/24818,NR/2024/19757/A/24825,NR/01062024/30062024/APPCPL/180/F25/GNA/12300,NR/30062024/30062024/IEX_240629_01348_1,NR/2024/20537/A/24704,NR/2024/19919/A/24797,NR/2024/19640/A/24810,NR/20062024/30062024/1000011400-GOHP-BRPL(DISCOM),NR/2024/19966/A/24527,NR/2024/19683/A/24484,NR/01062024/30062024/1000011017-PPGCL-BRPL,NR/01062024/30062024/NDMC/D-46/EE(Power)/2024,NR/2024/20515/A/24567,NR/2024/20513/A/24568,NR/2024/21258/C,NR/2024/20540/A/24290,NR/2024/20557/A/24819,NR/2024/20141/A/24552,NR/16062024/30062024/1000011196-KWHPS-BRPL(DISCOM),NR/2024/20599/A/24518,NR/2024/19791/A/24800,NR/2024/19355/A/24709,NR/2024/20598/A/24519,NR/2024/20572/A/24781,NR/2024/20144/A/24557,NR/2024/20597/A/24775,NR/30092023/31122025/SH-07,NR/2024/19475/A/24703,NR/2024/19637/A/24537,NR/2024/19432/A/24831,NR/2024/20553/A/24465,NR/01062024/30062024/1000011034-ACBL-BRPL,NR/01062024/30062024/IIPL/(JPL(TM)-BRPL)/BRPLT-169/24-25/1,NR/2024/20560/A/24817,NR/2024/20524/A/24743,NR/2024/19779/A/24461,NR/2024/20211/A/24558,NR/01062024/30062024/IEPL01,NR/01102023/23072042/L_NR_2012_04,NR/01062024/30062024/8588/OAN/GMRETL/GPHHPPL-BRPL,NR/2024/20516/A/24566,NR/2024/20142/A/24556,NR/2024/19978/A/24799,NR/2024/21266/C,NR/01062024/30062024/JPL-BRPL(PTC)GNA,NR/2024/21265/C,NR/2024/20090/A/24467,NR/2024/19760/A/24514,NR/2024/20041/A/24776,NR/01062024/30062024/1000011195-SIEL-BRPL(DISCOM),NR/2024/20048/A/24784,NR/2024/20212/A/24561,NR/2024/19988/A/24515,NR/2024/20109/A/24707,NR/2024/19918/A/24798,NR/2024/20552/A/24466,NR/2024/19699/A/24828,NR/01102023/14082046/L_NR_2021_16,Total
61,15:00-15:15,0.000000,26.910000,67.530000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,48.600000,0.000000,0.000000,57.880000,121.540000,90.680000,0.000000,38.590000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,6.750000,10.960000,0.350000,0.000000,24.120000,64.710000,0.000000,24.120000,32.890000,0.880000,0.000000,26.910000,192.940000,0.000000,24.120000,0.000000,0.000000,0.000000,32.890000,0.000000,0.960000,1.590000,0.000000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,183.290000,13.510000,0.000000,48.240000,0,1727.7

62,15:15-15:30,0.000000,26.910000,67.530000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,48.600000,0.000000,0.000000,57.880000,121.540000,90.680000,0.000000,38.590000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,6.750000,10.960000,0.350000,0.000000,24.120000,64.710000,0.000000,24.120000,32.890000,0.880000,0.000000,26.910000,192.940000,0.000000,24.120000,0.000000,0.000000,0.000000,32.890000,0.000000,0.960000,1.590000,0.000000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,183.290000,13.510000,0.000000,48.240000,0,1727.7

63,15:30-15:45,0.000000,26.910000,67.530000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,48.600000,0.000000,0.000000,57.880000,121.540000,90.680000,0.000000,38.590000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,6.750000,10.960000,0.350000,0.000000,24.120000,64.710000,0.000000,24.120000,32.890000,0.880000,0.000000,26.910000,192.940000,0.000000,24.120000,0.000000,0.000000,0.000000,32.890000,0.000000,0.960000,1.590000,0.000000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,183.290000,13.510000,0.000000,48.240000,0,1727.7

64,15:45-16:00,0.000000,26.910000,67.530000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,48.600000,0.000000,0.000000,57.880000,121.540000,90.680000,0.000000,38.590000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,6.750000,10.960000,0.350000,0.000000,24.120000,64.710000,0.000000,24.120000,32.890000,0.880000,0.000000,26.910000,192.940000,0.000000,24.120000,0.000000,0.000000,0.000000,32.890000,0.000000,0.960000,1.590000,0.000000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,183.290000,13.510000,0.000000,48.240000,0,1727.7

65,16:00-16:15,0.000000,26.910000,67.530000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,48.600000,0.000000,0.000000,57.880000,121.540000,90.680000,0.000000,0.000000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,6.750000,10.960000,0.350000,0.000000,24.120000,64.710000,0.000000,24.120000,32.890000,0.880000,0.000000,26.910000,192.940000,0.000000,24.120000,0.000000,0.000000,0.000000,32.890000,0.000000,0.820000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,183.290000,13.510000,0.000000,48.240000,0,1727.56

66,16:15-16:30,0.000000,26.910000,67.530000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,48.600000,0.000000,0.000000,57.880000,121.540000,90.680000,0.000000,0.000000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,6.750000,10.960000,0.350000,0.000000,24.120000,64.710000,0.000000,24.120000,32.890000,0.880000,0.000000,26.910000,192.940000,0.000000,24.120000,0.000000,0.000000,0.000000,32.890000,0.000000,0.820000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,183.290000,13.510000,0.000000,48.240000,0,1727.56

67,16:30-16:45,0.000000,26.910000,67.530000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,48.600000,0.000000,0.000000,57.880000,121.540000,90.680000,0.000000,0.000000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,6.750000,10.960000,0.350000,0.000000,24.120000,64.710000,0.000000,24.120000,32.890000,0.880000,0.000000,26.910000,192.940000,0.000000,24.120000,0.000000,0.000000,0.000000,32.890000,0.000000,0.820000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,183.290000,13.510000,0.000000,48.240000,0,1727.56

68,16:45-17:00,0.000000,26.910000,67.530000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,48.600000,0.000000,0.000000,57.880000,121.540000,90.680000,0.000000,0.000000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,6.750000,10.960000,0.350000,0.000000,24.120000,64.710000,0.000000,24.120000,32.890000,0.880000,0.000000,26.910000,192.940000,0.000000,24.120000,0.000000,0.000000,0.000000,32.890000,0.000000,0.820000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,183.290000,13.510000,0.000000,48.240000,0,1727.56

69,17:00-17:15,0.000000,26.910000,67.530000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,48.600000,0.000000,0.000000,57.880000,121.540000,90.680000,0.000000,0.000000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,6.750000,10.960000,0.350000,0.000000,24.120000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,26.910000,192.940000,0.000000,24.120000,0.000000,0.000000,0.000000,32.890000,0.000000,0.770000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,183.290000,13.510000,0.000000,48.240000,0,1703.39

70,17:15-17:30,0.000000,26.910000,67.530000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,48.600000,0.000000,0.000000,57.880000,121.540000,90.680000,0.000000,0.000000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,6.750000,10.960000,0.350000,0.000000,24.120000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,26.910000,192.940000,0.000000,24.120000,0.000000,0.000000,0.000000,32.890000,0.000000,0.770000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,183.290000,13.510000,0.000000,48.240000,0,1703.39

71,17:30-17:45,0.000000,26.910000,67.530000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,48.600000,0.000000,0.000000,57.880000,121.540000,90.680000,0.000000,0.000000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,6.750000,10.960000,0.350000,0.000000,24.120000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,26.910000,192.940000,0.000000,24.120000,0.000000,0.000000,0.000000,32.890000,0.000000,0.770000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,183.290000,13.510000,0.000000,48.240000,0,1703.39

72,17:45-18:00,0.000000,26.910000,67.530000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,48.600000,0.000000,0.000000,57.880000,121.540000,90.680000,0.000000,0.000000,1.930000,24.120000,21.750000,0.880000,0.680000,0.960000,6.750000,10.960000,0.350000,0.000000,24.120000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,26.910000,192.940000,0.000000,24.120000,0.000000,0.000000,0.000000,32.890000,0.000000,0.770000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,183.290000,13.510000,0.000000,48.240000,0,1704.35

73,18:00-18:15,0.000000,26.910000,67.530000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,0.000000,48.240000,32.890000,48.600000,0.000000,0.000000,57.880000,121.540000,90.680000,0.000000,0.000000,1.930000,24.120000,21.750000,0.880000,0.680000,0.960000,6.750000,10.960000,0.350000,0.000000,24.120000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,26.910000,192.940000,0.000000,24.120000,0.000000,0.000000,0.000000,32.890000,0.000000,0.770000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,183.290000,13.510000,0.000000,48.240000,0,1692.63

74,18:15-18:30,0.000000,26.910000,67.530000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,0.000000,48.240000,32.890000,48.600000,0.000000,0.000000,57.880000,121.540000,90.680000,0.000000,0.000000,1.930000,24.120000,21.750000,0.880000,0.680000,0.960000,6.750000,10.960000,0.350000,0.000000,24.120000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,26.910000,192.940000,0.000000,24.120000,0.000000,0.000000,0.000000,32.890000,0.000000,0.770000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,183.290000,13.510000,0.000000,48.240000,0,1692.63

75,18:30-18:45,0.000000,26.910000,67.530000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,0.000000,48.240000,32.890000,48.600000,0.000000,0.000000,57.880000,48.240000,90.680000,0.000000,0.000000,1.930000,24.120000,21.750000,0.880000,0.680000,0.960000,6.750000,10.960000,0.350000,0.000000,24.120000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,26.910000,192.940000,0.000000,24.120000,0.000000,0.000000,0.000000,32.890000,0.000000,0.770000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,183.290000,13.510000,0.000000,48.240000,0,1619.33

76,18:45-19:00,0.000000,26.910000,67.530000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,0.000000,48.240000,32.890000,48.600000,0.000000,0.000000,57.880000,48.240000,90.680000,0.000000,0.000000,1.930000,24.120000,21.750000,0.880000,0.680000,1.930000,6.750000,10.960000,0.350000,0.000000,24.120000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,26.910000,192.940000,0.000000,24.120000,0.000000,0.000000,0.000000,32.890000,0.000000,0.770000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,183.290000,13.510000,0.000000,48.240000,0,1620.3

77,19:00-19:15,0.000000,26.540000,67.530000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,0.000000,48.240000,32.890000,48.600000,0.000000,0.000000,0.000000,48.240000,90.680000,0.000000,0.000000,1.930000,17.140000,21.750000,0.880000,0.680000,0.960000,7.720000,10.960000,0.350000,0.000000,24.120000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,26.540000,192.940000,0.000000,24.120000,0.000000,0.000000,0.000000,32.890000,0.000000,0.770000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,14.470000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,241.180000,13.510000,0.000000,48.240000,0,1602.94

78,19:15-19:30,0.000000,24.750000,67.530000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,0.000000,48.240000,32.890000,48.600000,0.000000,0.000000,0.000000,48.240000,90.680000,0.000000,0.000000,1.930000,15.310000,21.750000,0.880000,0.680000,0.960000,7.720000,10.960000,0.350000,0.000000,24.120000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,24.750000,192.940000,0.000000,24.120000,0.000000,0.000000,0.000000,32.890000,0.000000,0.770000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,14.470000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,241.180000,13.510000,0.000000,48.240000,0,1597.53

79,19:30-19:45,0.000000,24.750000,67.530000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,0.000000,48.240000,32.890000,48.600000,0.000000,0.000000,0.000000,48.240000,90.680000,0.000000,0.000000,1.930000,15.310000,21.750000,0.880000,0.680000,0.960000,7.720000,10.960000,0.350000,0.000000,24.120000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,24.750000,192.940000,0.000000,24.120000,0.000000,0.000000,0.000000,32.890000,0.000000,0.770000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,14.470000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,241.180000,13.510000,0.000000,48.240000,0,1597.53

80,19:45-20:00,0.000000,24.750000,67.530000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,0.000000,48.240000,32.890000,48.600000,0.000000,0.000000,0.000000,48.240000,90.680000,0.000000,0.000000,1.930000,15.310000,21.750000,0.880000,0.680000,0.960000,7.720000,10.960000,0.350000,0.000000,24.120000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,24.750000,192.940000,0.000000,24.120000,0.000000,0.000000,0.000000,32.890000,0.000000,0.770000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,14.470000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,241.180000,13.510000,0.000000,48.240000,0,1597.53

81,20:00-20:15,0.000000,0.000000,0.000000,0.000000,0,66.750000,48.240000,0.000000,0.000000,0.480000,0.000000,48.240000,32.890000,48.600000,0.000000,0.000000,0.000000,48.240000,90.680000,67.530000,0.000000,1.930000,15.310000,21.750000,0.880000,0.680000,0.960000,7.720000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,32.000000,192.940000,0.000000,24.120000,48.240000,24.120000,0.000000,32.890000,19.290000,0.770000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,14.470000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,241.180000,13.510000,28.940000,48.240000,0,1724.74

82,20:15-20:30,0.000000,0.000000,0.000000,0.000000,0,66.750000,48.240000,0.000000,0.000000,0.480000,0.000000,48.240000,32.890000,48.600000,0.000000,0.000000,0.000000,48.240000,90.680000,67.530000,0.000000,1.930000,15.310000,21.750000,0.880000,0.680000,0.960000,7.720000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,32.000000,192.940000,0.000000,24.120000,48.240000,24.120000,0.000000,32.890000,19.290000,0.770000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,14.470000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,241.180000,13.510000,28.940000,48.240000,0,1724.74

83,20:30-20:45,0.000000,0.000000,0.000000,0.000000,0,66.750000,48.240000,0.000000,0.000000,0.480000,0.000000,48.240000,32.890000,48.600000,0.000000,0.000000,0.000000,48.240000,90.680000,67.530000,0.000000,1.930000,15.310000,21.750000,0.880000,0.680000,0.960000,7.720000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,31.500000,192.940000,0.000000,24.120000,48.240000,24.120000,0.000000,32.890000,19.290000,0.770000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,14.470000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,241.180000,13.510000,28.940000,48.240000,0,1724.24

84,20:45-21:00,0.000000,0.000000,0.000000,0.000000,0,66.750000,48.240000,0.000000,0.000000,0.480000,0.000000,48.240000,32.890000,48.600000,0.000000,0.000000,0.000000,48.240000,90.680000,67.530000,0.000000,1.930000,15.310000,21.750000,0.880000,0.680000,0.960000,7.720000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,31.500000,192.940000,0.000000,24.120000,48.240000,24.120000,0.000000,32.890000,19.290000,0.770000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,14.470000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,241.180000,13.510000,28.940000,48.240000,0,1724.24

85,21:00-21:15,0.000000,0.000000,0.000000,0.000000,0,66.750000,48.240000,0.000000,0.000000,0.480000,0.000000,48.240000,32.890000,48.600000,0.000000,48.240000,0.000000,48.240000,90.680000,67.530000,0.000000,1.930000,15.300000,21.750000,0.880000,0.680000,0.000000,7.720000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,31.500000,192.940000,0.000000,24.120000,48.240000,24.120000,0.000000,32.890000,19.290000,0.770000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,14.470000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,241.180000,13.510000,28.940000,48.240000,0,1771.51

86,21:15-21:30,0.000000,0.000000,0.000000,0.000000,0,66.750000,48.240000,0.000000,0.000000,0.480000,0.000000,48.240000,32.890000,48.600000,0.000000,48.240000,0.000000,48.240000,90.680000,67.530000,0.000000,1.930000,15.300000,21.750000,0.880000,0.680000,0.000000,7.720000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,31.500000,192.940000,0.000000,24.120000,48.240000,24.120000,0.000000,32.890000,19.290000,0.770000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,14.470000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,241.180000,13.510000,28.940000,48.240000,0,1771.51

87,21:30-21:45,0.000000,0.000000,0.000000,0.000000,0,66.750000,48.240000,0.000000,0.000000,0.480000,0.000000,48.240000,32.890000,48.600000,0.000000,144.700000,0.000000,48.240000,90.680000,67.530000,0.000000,1.930000,15.300000,21.750000,0.880000,0.680000,0.000000,7.720000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,31.500000,192.940000,0.000000,24.120000,48.240000,24.120000,0.000000,32.890000,19.290000,0.770000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,14.470000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,241.180000,13.510000,28.940000,48.240000,0,1867.97

88,21:45-22:00,0.000000,0.000000,0.000000,0.000000,0,66.750000,48.240000,0.000000,0.000000,0.480000,0.000000,48.240000,32.890000,48.600000,0.000000,144.700000,0.000000,48.240000,90.680000,67.530000,0.000000,1.930000,15.300000,21.750000,0.880000,0.680000,0.000000,7.720000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,31.500000,192.940000,0.000000,24.120000,48.240000,24.120000,0.000000,32.890000,19.290000,0.770000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,14.470000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,241.180000,13.510000,28.940000,48.240000,0,1867.97

89,22:00-22:15,0.000000,0.000000,0.000000,108.530000,0,66.750000,48.240000,48.240000,0.000000,0.480000,0.000000,48.240000,32.890000,48.600000,0.000000,144.700000,0.000000,48.240000,90.680000,67.530000,0.000000,1.930000,15.300000,21.750000,0.880000,0.680000,0.000000,7.720000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,31.500000,192.940000,0.000000,24.120000,48.240000,24.120000,0.000000,32.890000,19.290000,0.720000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,14.470000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,36.180000,0.610000,96.470000,241.180000,13.510000,28.940000,48.240000,0,2060.87

90,22:15-22:30,0.000000,0.000000,0.000000,108.530000,0,66.750000,48.240000,48.240000,0.000000,0.480000,0.000000,48.240000,32.890000,48.600000,0.000000,144.700000,0.000000,48.240000,90.680000,67.530000,0.000000,1.930000,15.300000,21.750000,0.880000,0.680000,0.000000,7.720000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,31.500000,192.940000,0.000000,24.120000,48.240000,24.120000,0.000000,32.890000,19.290000,0.720000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,14.470000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,36.180000,0.610000,96.470000,241.180000,13.510000,28.940000,48.240000,0,2060.87

91,22:30-22:45,0.000000,0.000000,0.000000,108.530000,0,66.750000,48.240000,48.240000,0.000000,0.480000,0.000000,48.240000,32.890000,48.600000,0.000000,144.700000,0.000000,308.700000,90.680000,67.530000,0.000000,1.930000,15.300000,21.750000,0.880000,0.680000,0.000000,7.720000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,31.500000,192.940000,0.000000,24.120000,48.240000,24.120000,0.000000,32.890000,19.290000,0.720000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,14.470000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,36.180000,0.610000,96.470000,241.180000,13.510000,28.940000,48.240000,0,2321.33

92,22:45-23:00,0.000000,0.000000,0.000000,108.530000,0,66.750000,48.240000,48.240000,0.000000,0.480000,0.000000,48.240000,32.890000,48.600000,0.000000,144.700000,0.000000,308.700000,90.680000,67.530000,0.000000,1.930000,15.300000,21.750000,0.880000,0.680000,0.000000,7.720000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,31.500000,192.940000,0.000000,24.120000,48.240000,24.120000,0.000000,32.890000,19.290000,0.720000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,14.470000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,36.180000,0.610000,96.470000,241.180000,13.510000,28.940000,48.240000,0,2321.33

93,23:00-23:15,0.000000,0.000000,0.000000,108.530000,0,66.750000,48.240000,48.240000,0.000000,0.480000,0.000000,48.240000,32.890000,48.600000,0.000000,144.700000,0.000000,308.700000,90.680000,67.530000,0.000000,1.930000,15.300000,21.750000,0.880000,0.680000,0.000000,6.750000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,30.500000,192.940000,0.000000,24.120000,48.240000,24.120000,0.000000,32.890000,19.290000,0.630000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,14.470000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,36.180000,0.610000,96.470000,241.180000,13.510000,28.940000,48.240000,0,2319.27

94,23:15-23:30,0.000000,0.000000,0.000000,108.530000,0,66.750000,48.240000,48.240000,0.000000,0.480000,0.000000,48.240000,32.890000,48.600000,0.000000,144.700000,0.000000,308.700000,90.680000,67.530000,0.000000,1.930000,15.300000,21.750000,0.880000,0.680000,0.000000,6.750000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,30.500000,192.940000,0.000000,24.120000,48.240000,24.120000,0.000000,32.890000,19.290000,0.630000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,14.470000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,36.180000,0.610000,96.470000,241.180000,13.510000,28.940000,48.240000,0,2319.27

95,23:30-23:45,0.000000,0.000000,0.000000,108.530000,0,66.750000,48.240000,48.240000,0.000000,0.480000,0.000000,48.240000,32.890000,48.600000,0.000000,144.700000,0.000000,308.700000,90.680000,67.530000,0.000000,1.930000,15.300000,21.750000,0.880000,0.680000,0.000000,6.750000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,30.500000,192.940000,0.000000,24.120000,48.240000,24.120000,0.000000,32.890000,19.290000,0.630000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,14.470000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,36.180000,0.610000,96.470000,241.180000,13.510000,28.940000,48.240000,0,2319.27

