Time,Block,NR/2024/20540/A/21967,NR/2024/20597/A/22246,NR/2024/20773/C,NR/2024/20558/A/22566,NR/2024/20109/A/22515,NR/2024/19588/A/22227,NR/2024/20050/A/22252,NR/2024/20516/A/22223,NR/2024/19791/A/22527,NR/2024/19432/A/22575,NR/2024/20524/A/22488,NR/2024/20513/A/22224,NR/2024/20560/A/22565,NR/2024/19683/A/22067,NR/2024/19918/A/22526,NR/2024/19640/A/22627,NR/2024/19760/A/22169,NR/2024/20557/A/22567,NR/2024/20211/A/22219,NR/2024/20811/C,NR/2024/20130/A/22467,NR/2024/20144/A/22220,NR/2024/20048/A/22254,NR/2024/19779/A/22028,NR/2024/20554/A/22146,NR/2024/20552/A/22047,NR/2024/20142/A/22221,NR/2024/20041/A/22257,NR/2024/20037/A/22166,NR/2024/20212/A/22215,NR/2024/19699/A/22573,NR/2024/19637/A/22185,NR/2024/20772/C,NR/2024/20537/A/22514,NR/2024/20806/C,NR/2024/20812/C,NR/2024/20572/A/22564,NR/2024/20827/C,NR/2024/19475/A/22472,NR/2024/20553/A/22046,NR/2024/20599/A/22164,NR/2024/19919/A/22525,NR/2024/20785/C,NR/2024/19642/A/22626,NR/2024/19988/A/22168,NR/2024/19355/A/22516,NR/2024/19966/A/22195,NR/2024/20090/A/22050,NR/2024/20515/A/22225,NR/2024/20141/A/22222,NR/2024/19757/A/22571,NR/2024/20598/A/22163,NR/2024/20814/C,NR/2024/20797/C,Total
84,20:45-21:00,11.590000,0.000000,0,19.990000,241.500000,66.840000,0.000000,0.980000,39.330000,14.650000,19.320000,0.680000,19.990000,1.930000,8.210000,55.100000,0.000000,6.660000,1.590000,48.300000,0.480000,0.880000,0.000000,0.770000,0.000000,17.590000,0.520000,0.000000,43.960000,0.610000,29.310000,0.000000,0.000000,0.000000,96.600000,130.600000,19.990000,0.000000,117.240000,29.310000,0.000000,29.310000,0.000000,0.000000,96.600000,58.620000,0.000000,1.930000,0.880000,0.350000,29.530000,0.000000,0.000000,73.420000,1335.16

85,21:00-21:15,11.590000,0.000000,0,21.620000,241.500000,66.840000,0.000000,0.980000,42.530000,15.850000,19.320000,0.680000,21.620000,1.930000,8.880000,59.600000,0.000000,7.210000,1.590000,48.300000,0.480000,0.880000,0.000000,0.770000,0.000000,19.020000,0.520000,0.000000,47.560000,0.610000,31.700000,0.000000,0.000000,0.000000,96.600000,130.600000,21.620000,0.000000,126.820000,31.700000,0.000000,31.700000,0.000000,0.000000,96.600000,63.410000,0.000000,1.930000,0.880000,0.350000,31.950000,0.000000,0.000000,73.420000,1379.16

86,21:15-21:30,11.590000,0.000000,0,22.130000,241.500000,66.840000,0.000000,0.980000,43.550000,16.230000,19.320000,0.680000,22.130000,1.930000,9.090000,61.020000,0.000000,7.370000,1.590000,48.300000,0.480000,0.880000,0.000000,0.770000,0.000000,19.470000,0.520000,0.000000,48.690000,0.610000,32.460000,0.000000,0.000000,0.000000,96.600000,130.600000,22.130000,0.000000,129.830000,32.460000,0.000000,32.460000,0.000000,0.000000,96.600000,64.920000,0.000000,1.930000,0.880000,0.350000,32.710000,0.000000,0.000000,73.420000,1393.02

87,21:30-21:45,11.590000,0.000000,0,21.610000,241.500000,66.840000,0.000000,0.980000,42.520000,15.850000,19.320000,0.680000,21.610000,1.930000,8.880000,59.590000,0.000000,7.210000,1.590000,48.300000,0.480000,0.880000,0.000000,0.770000,0.000000,19.020000,0.520000,0.000000,47.550000,0.610000,31.690000,0.000000,0.000000,0.000000,96.600000,130.600000,21.610000,0.000000,126.800000,31.690000,0.000000,31.690000,0.000000,0.000000,96.600000,63.400000,0.000000,1.930000,0.880000,0.350000,31.940000,0.000000,0.000000,73.420000,1379.03

88,21:45-22:00,11.590000,0.000000,0,22.020000,241.500000,66.840000,0.000000,0.980000,43.330000,16.150000,19.320000,0.680000,22.020000,1.930000,9.040000,60.710000,0.000000,7.340000,1.590000,48.300000,0.480000,0.880000,0.000000,0.770000,0.000000,19.380000,0.520000,0.000000,48.440000,0.610000,32.290000,0.000000,0.000000,0.000000,96.600000,130.600000,22.020000,0.000000,129.180000,32.290000,0.000000,32.290000,0.000000,0.000000,96.600000,64.590000,0.000000,1.930000,0.880000,0.350000,32.540000,0.000000,0.000000,73.420000,1390

89,22:00-22:15,8.690000,0.000000,0,24.920000,241.500000,66.840000,144.900000,0.980000,49.040000,18.280000,19.320000,0.680000,24.920000,1.930000,10.240000,68.720000,0.000000,8.310000,1.590000,48.300000,0.480000,0.880000,48.300000,0.720000,0.000000,21.930000,0.520000,0.000000,54.830000,0.610000,36.550000,0.000000,0.000000,0.000000,96.600000,130.600000,24.920000,0.000000,146.210000,36.550000,0.000000,36.550000,0.000000,0.000000,96.600000,73.110000,0.000000,1.930000,0.880000,0.350000,36.830000,0.000000,0.000000,73.420000,1658.53

90,22:15-22:30,8.690000,0.000000,0,26.260000,241.500000,66.840000,144.900000,0.980000,51.660000,19.250000,19.320000,0.680000,26.260000,1.930000,10.780000,72.400000,0.000000,8.750000,1.590000,48.300000,0.480000,0.880000,48.300000,0.720000,0.000000,23.110000,0.520000,0.000000,57.770000,0.610000,38.510000,0.000000,0.000000,0.000000,96.600000,130.600000,26.260000,0.000000,154.040000,38.510000,0.000000,38.510000,0.000000,0.000000,96.600000,77.020000,0.000000,1.930000,0.880000,0.350000,38.800000,0.000000,0.000000,73.420000,1694.51

91,22:30-22:45,8.690000,0.000000,0,25.590000,241.500000,66.840000,144.900000,0.980000,50.360000,18.770000,19.320000,0.680000,25.590000,1.930000,10.510000,70.580000,0.000000,8.530000,1.590000,48.300000,0.480000,0.880000,48.300000,0.720000,0.000000,22.530000,0.520000,0.000000,56.310000,0.610000,37.540000,0.000000,0.000000,0.000000,96.600000,130.600000,25.590000,0.000000,150.160000,37.540000,0.000000,240.240000,0.000000,0.000000,96.600000,75.080000,0.000000,1.930000,0.880000,0.350000,37.830000,0.000000,0.000000,73.420000,1879.37

92,22:45-23:00,8.690000,0.000000,0,25.980000,241.500000,66.840000,144.900000,0.980000,51.120000,19.050000,19.320000,0.680000,25.980000,1.930000,10.660000,71.640000,0.000000,8.660000,1.590000,48.300000,0.480000,0.880000,48.300000,0.720000,0.000000,22.870000,0.520000,0.000000,57.160000,0.610000,38.110000,0.000000,0.000000,0.000000,96.600000,130.600000,25.980000,0.000000,152.420000,38.110000,0.000000,243.870000,0.000000,0.000000,96.600000,76.210000,0.000000,1.930000,0.880000,0.350000,38.400000,0.000000,0.000000,73.420000,1892.84

93,23:00-23:15,8.690000,0.000000,0,25.720000,241.500000,66.840000,144.900000,0.980000,50.630000,18.870000,19.320000,0.680000,25.720000,1.930000,10.570000,70.940000,0.000000,8.580000,1.590000,48.300000,0.480000,0.880000,48.300000,0.630000,0.000000,22.640000,0.520000,0.000000,56.610000,0.610000,37.730000,0.000000,0.000000,0.000000,96.600000,130.600000,25.720000,48.300000,150.950000,37.730000,0.000000,241.510000,0.000000,0.000000,96.600000,75.470000,0.000000,1.930000,0.880000,0.350000,38.020000,0.000000,0.000000,73.420000,1932.24

94,23:15-23:30,8.690000,0.000000,0,24.870000,241.500000,66.840000,144.900000,0.980000,48.950000,18.240000,19.320000,0.680000,24.870000,1.930000,10.210000,68.590000,0.000000,8.290000,1.590000,48.300000,0.480000,0.880000,48.300000,0.630000,0.000000,21.890000,0.520000,0.000000,54.720000,0.610000,36.490000,0.000000,0.000000,0.000000,96.600000,130.600000,24.870000,48.300000,145.930000,36.490000,0.000000,233.490000,0.000000,0.000000,96.600000,72.960000,0.000000,1.930000,0.880000,0.350000,36.760000,0.000000,0.000000,73.420000,1902.45

95,23:30-23:45,8.690000,0.000000,0,23.400000,241.500000,66.840000,144.900000,0.980000,46.030000,17.160000,19.320000,0.680000,23.400000,1.930000,9.600000,64.500000,0.000000,7.800000,1.590000,48.300000,0.480000,0.880000,48.300000,0.630000,0.000000,20.590000,0.520000,0.000000,51.470000,0.610000,34.310000,0.000000,0.000000,0.000000,96.600000,130.600000,23.400000,48.300000,137.240000,34.310000,0.000000,219.580000,0.000000,0.000000,96.600000,68.610000,0.000000,1.930000,0.880000,0.350000,34.570000,0.000000,0.000000,73.420000,1850.8

96,23:45-24:00,8.690000,0.000000,0,22.090000,241.500000,66.840000,144.900000,0.980000,43.470000,16.200000,19.320000,0.680000,22.090000,1.930000,9.070000,60.910000,0.000000,7.360000,1.590000,48.300000,0.480000,0.880000,48.300000,0.630000,0.000000,19.440000,0.520000,0.000000,48.600000,0.610000,32.400000,0.000000,0.000000,0.000000,96.600000,130.600000,22.090000,48.300000,129.600000,32.400000,0.000000,207.350000,0.000000,0.000000,96.600000,64.800000,0.000000,1.930000,0.880000,0.350000,32.640000,0.000000,0.000000,73.420000,1805.34

