Time,Block,NR/2024/21089/A/28898,NR/2024/21210/A/28606,NR/2024/21062/A/28875,NR/2024/21682/A/28884,NR/2024/21238/A/28947,NR/2024/21183/A/28940,NR/2024/21890/C,NR/2024/21160/A/28663,NR/2024/21142/A/28605,NR/2024/21186/A/28908,NR/2024/21141/A/28604,NR/2024/20966/A/28586,NR/2024/21099/A/28603,NR/2024/21150/A/28661,NR/2024/21861/C,NR/2024/20688/A/28673,NR/2024/21152/A/28585,NR/2024/20931/A/28837,NR/2024/21715/A/28444,NR/2024/20573/A/28865,NR/2024/21153/A/28659,NR/01072024/31072024/R2,NR/2024/21199/A/28645,NR/2024/21173/A/28671,NR/2024/21113/A/28897,NR/2024/21567/A/28896,NR/30092023/26122029/SH-06,NR/2024/21103/A/28913,NR/2024/21023/A/28647,NR/2024/21158/A/28665,NR/2024/21859/C,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/21144/A/28669,NR/2024/21146/A/28662,NR/2024/21864/C,NR/2024/21227/A/28912,NR/2024/21339/A/28609,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21148/A/28660,NR/2024/21076/A/28936,NR/2024/21159/A/28664,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/21108/A/28911,NR/2024/21156/A/28658,NR/16072024/31072024/NR/16072024/31072024/717758,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/2024/21096/A/28916,NR/2024/21878/C,NR/2024/21858/C,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/2024/21087/A/28672,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/30092023/31122025/SH-07,NR/2024/21882/C,NR/2024/20711/A/28885,NR/2024/21694/A/28918,SR/2024/13595/C,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/2024/21072/A/28899,NR/2024/21075/A/28946,NR/2024/19779/A/28595,NR/2024/20574/A/28867,NR/01102023/23072042/L_NR_2012_04,NR/01102023/02012046/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,Total
65,16:00-16:15,37.260000,48.230000,24.120000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,12.540000,0.000000,1.590000,0.000000,72.340000,24.120000,37.260000,12.420000,23.470000,84.090000,96.460000,0.680000,164.220000,0.000000,0.480000,0.360000,0.000000,0.000000,96.460000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,3.43,0.000000,24.120000,12.430000,23.470000,0.000000,96.460000,0.000000,0.00,0.000000,0.000000,37.260000,11.720000,0.820000,0.000000,0.000000,0,0,1579.86

66,16:15-16:30,37.260000,48.230000,24.120000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,12.540000,0.000000,1.590000,0.000000,72.340000,24.120000,37.260000,12.420000,23.470000,84.090000,96.460000,0.680000,164.220000,0.000000,0.480000,0.360000,0.000000,0.000000,96.460000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,3.12,0.000000,24.120000,12.430000,23.470000,0.000000,96.460000,0.000000,0.00,0.000000,0.000000,37.260000,11.720000,0.820000,0.000000,0.000000,0,0,1579.55

67,16:30-16:45,37.260000,48.230000,24.120000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,12.540000,0.000000,1.590000,0.000000,72.340000,24.120000,37.260000,12.420000,23.470000,84.090000,96.460000,0.680000,164.220000,0.000000,0.480000,0.360000,0.000000,0.000000,96.460000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,1.77,0.000000,24.120000,12.430000,23.470000,0.000000,96.460000,0.000000,0.00,0.000000,0.000000,37.260000,11.720000,0.820000,0.000000,0.000000,0,0,1578.2

68,16:45-17:00,37.260000,48.230000,24.120000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,12.540000,0.000000,1.590000,0.000000,72.340000,24.120000,37.260000,12.420000,23.470000,84.090000,96.460000,0.680000,164.220000,0.000000,0.480000,0.360000,0.000000,0.000000,96.460000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,1.51,0.000000,24.120000,12.430000,23.470000,0.000000,96.460000,0.000000,0.00,0.000000,0.000000,37.260000,11.720000,0.820000,0.000000,0.000000,0,0,1577.94

69,17:00-17:15,37.260000,48.230000,24.120000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,12.540000,0.000000,1.590000,0.000000,72.340000,24.120000,37.260000,12.420000,23.470000,84.090000,96.460000,0.680000,164.220000,0.000000,0.480000,0.360000,0.000000,0.000000,96.460000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,1.32,0.000000,24.120000,12.430000,23.470000,0.000000,96.460000,0.000000,0.00,0.000000,0.000000,37.260000,11.720000,0.820000,0.000000,0.000000,0,0,1577.75

70,17:15-17:30,37.260000,48.230000,24.120000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,12.540000,0.000000,1.590000,0.000000,72.340000,24.120000,37.260000,12.420000,23.470000,84.090000,96.460000,0.680000,164.220000,0.000000,0.480000,0.360000,0.290000,0.000000,96.460000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,1.13,0.000000,24.120000,12.430000,23.470000,0.000000,96.460000,0.000000,0.00,0.000000,0.000000,37.260000,11.720000,0.820000,0.000000,0.000000,0,0,1577.85

71,17:30-17:45,37.260000,48.230000,24.120000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,12.540000,0.000000,1.590000,0.000000,72.340000,24.120000,37.260000,12.420000,23.470000,84.090000,96.460000,0.680000,164.220000,0.000000,0.480000,0.360000,90.670000,0.000000,96.460000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,0.93,0.000000,24.120000,12.430000,23.470000,0.000000,96.460000,3.380000,0.00,0.000000,0.000000,37.260000,11.720000,0.820000,0.000000,0.000000,0,0,1671.41

72,17:45-18:00,37.260000,48.230000,24.120000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,12.540000,0.000000,1.590000,0.000000,72.340000,24.120000,37.260000,12.420000,23.470000,84.090000,96.460000,0.680000,164.220000,0.000000,0.480000,0.360000,90.670000,0.000000,96.460000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,0.81,0.000000,24.120000,12.430000,23.470000,0.000000,96.460000,3.380000,0.00,0.000000,0.000000,37.260000,11.720000,0.820000,0.000000,0.000000,0,0,1671.29

73,18:00-18:15,37.260000,48.230000,0.000000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,47.710000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,11.580000,0.000000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,23.470000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,3.670000,0.000000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,0.58,72.340000,24.120000,12.700000,23.470000,0.000000,96.460000,0.000000,0.00,0.000000,96.460000,37.260000,0.000000,0.820000,0.000000,0.000000,0,0,1615.98

74,18:15-18:30,37.260000,48.230000,0.000000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,47.710000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,11.580000,0.000000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,23.470000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,2.180000,0.000000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,0.29,72.340000,24.120000,12.700000,23.470000,0.000000,96.460000,0.000000,0.00,0.000000,96.460000,37.260000,0.000000,0.820000,0.000000,0.000000,0,0,1614.2

75,18:30-18:45,37.260000,48.230000,0.000000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,47.710000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,11.580000,0.000000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,23.470000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,2.340000,0.000000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,43.410000,0.000000,0.21,72.340000,24.120000,12.700000,23.470000,0.000000,96.460000,0.000000,0.00,0.000000,96.460000,37.260000,0.000000,0.820000,0.000000,0.000000,0,0,1633.57

76,18:45-19:00,37.260000,48.230000,0.000000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,47.710000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,11.580000,0.000000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,17.170000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,2.340000,0.000000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,43.410000,0.000000,0,72.340000,24.120000,12.700000,17.170000,0.000000,96.460000,0.000000,0.00,0.000000,96.460000,37.260000,0.000000,0.820000,0.000000,0.000000,0,0,1620.76

77,19:00-19:15,37.260000,48.230000,0.000000,241.150000,2.890000,21.220000,38.580000,0.970000,48.230000,24.730000,47.710000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,11.580000,0.000000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,0.000000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,29.910000,0.000000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,43.410000,48.230000,0,72.340000,24.120000,12.700000,32.000000,149.510000,96.460000,2.230000,0.00,0.000000,96.460000,37.260000,0.000000,0.820000,0.000000,0.000000,0,0,1884.54

78,19:15-19:30,37.260000,48.230000,0.000000,241.150000,2.890000,21.220000,38.580000,0.970000,48.230000,24.730000,47.710000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,11.580000,0.000000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,0.000000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,28.860000,0.000000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,43.410000,48.230000,0,72.340000,24.120000,12.700000,32.000000,149.510000,96.460000,2.150000,0.00,0.000000,96.460000,37.260000,0.000000,0.820000,0.000000,0.000000,0,0,1883.41

79,19:30-19:45,37.260000,34.720000,0.000000,241.150000,2.890000,21.220000,38.580000,0.970000,48.230000,24.730000,47.710000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,11.580000,0.000000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,32.000000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,30.270000,0.000000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,43.410000,48.230000,0,72.340000,24.120000,12.700000,32.000000,149.510000,96.460000,2.250000,0.00,0.000000,96.460000,37.260000,0.000000,0.820000,0.000000,0.000000,0,0,1903.41

80,19:45-20:00,37.260000,34.720000,0.000000,241.150000,2.890000,21.220000,38.580000,0.970000,48.230000,24.730000,47.710000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,11.580000,0.000000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,32.000000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,30.090000,0.000000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,43.410000,48.230000,0,72.340000,24.120000,12.700000,32.000000,149.510000,96.460000,2.240000,0.00,0.000000,96.460000,37.260000,0.000000,0.820000,0.000000,0.000000,0,0,1903.22

81,20:00-20:15,37.260000,34.720000,0.000000,241.150000,2.890000,21.220000,38.580000,0.970000,48.230000,24.730000,47.710000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,11.580000,0.000000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,32.000000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,34.940000,0.000000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,43.410000,48.230000,0,72.340000,24.120000,13.170000,32.000000,149.510000,96.460000,2.590000,0.00,0.000000,96.460000,37.260000,0.000000,0.870000,0.000000,0.000000,0,0,1908.94

82,20:15-20:30,37.260000,34.720000,0.000000,241.150000,2.890000,21.220000,38.580000,0.970000,48.230000,24.730000,47.710000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,11.580000,0.000000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,32.000000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,34.310000,0.000000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,43.410000,48.230000,0,72.340000,24.120000,13.170000,32.000000,149.510000,96.460000,2.560000,0.00,0.000000,96.460000,37.260000,0.000000,0.870000,0.000000,0.000000,0,0,1908.28

83,20:30-20:45,37.260000,34.720000,0.000000,241.150000,2.890000,21.220000,38.580000,0.970000,48.230000,24.730000,47.710000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,10.610000,0.000000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,32.000000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,34.260000,0.000000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,43.410000,192.920000,0,72.340000,24.120000,13.170000,32.000000,149.510000,96.460000,2.550000,0.00,0.000000,96.460000,37.260000,0.000000,0.870000,0.000000,0.000000,0,0,2051.94

84,20:45-21:00,37.260000,34.720000,0.000000,241.150000,2.890000,21.220000,38.580000,0.970000,48.230000,24.730000,47.710000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,10.610000,0.000000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,32.000000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,35.650000,0.000000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,43.410000,192.920000,0,72.340000,24.120000,13.170000,32.000000,149.510000,96.460000,2.650000,0.00,0.000000,96.460000,37.260000,0.000000,0.870000,0.000000,0.000000,0,0,2053.43

85,21:00-21:15,37.260000,34.720000,0.000000,241.150000,2.890000,21.220000,38.580000,0.970000,48.230000,24.730000,47.710000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,10.610000,0.000000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,32.000000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,31.160000,0.000000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,43.410000,192.920000,0,72.340000,24.120000,13.170000,32.000000,149.510000,96.460000,2.320000,0.00,0.000000,96.460000,37.260000,0.000000,0.870000,0.000000,0.000000,0,0,2048.61

86,21:15-21:30,37.260000,34.720000,0.000000,241.150000,2.890000,21.220000,38.580000,0.970000,48.230000,24.730000,47.710000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,10.610000,0.000000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,32.000000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,29.740000,0.000000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,43.410000,192.920000,0,72.340000,24.120000,13.170000,32.000000,149.510000,96.460000,2.210000,0.00,0.000000,96.460000,37.260000,0.000000,0.870000,0.000000,0.000000,0,0,2047.08

87,21:30-21:45,37.260000,34.720000,0.000000,241.150000,2.890000,21.220000,38.580000,0.970000,48.230000,24.730000,47.710000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,10.610000,0.000000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,32.000000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,31.170000,0.000000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,43.410000,289.380000,0,72.340000,24.120000,13.170000,32.000000,149.510000,96.460000,2.320000,0.00,0.000000,96.460000,37.260000,0.000000,0.870000,0.000000,0.000000,0,0,2145.08

88,21:45-22:00,37.260000,34.720000,0.000000,241.150000,2.890000,21.220000,38.580000,0.970000,48.230000,24.730000,47.710000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,10.610000,0.000000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,32.000000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,30.050000,0.000000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,43.410000,289.380000,0,72.340000,24.120000,13.170000,32.000000,149.510000,96.460000,2.240000,0.00,0.000000,96.460000,37.260000,0.000000,0.870000,0.000000,0.000000,0,0,2143.88

89,22:00-22:15,37.260000,34.720000,0.000000,241.150000,2.890000,21.220000,38.580000,0.970000,48.230000,24.730000,47.710000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,10.610000,36.170000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,32.000000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,22.050000,12.200000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,43.410000,289.380000,0,72.340000,24.120000,13.170000,32.000000,149.510000,96.460000,1.640000,0.00,0.000000,96.460000,37.260000,0.000000,0.870000,12.060000,0.000000,0,0,2195.71

90,22:15-22:30,37.260000,34.720000,0.000000,241.150000,2.890000,21.220000,38.580000,0.970000,48.230000,24.730000,47.710000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,10.610000,36.170000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,32.000000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,18.380000,12.200000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,43.410000,289.380000,0,72.340000,24.120000,13.170000,32.000000,149.510000,96.460000,1.370000,0.00,0.000000,96.460000,37.260000,0.000000,0.870000,12.060000,0.000000,0,0,2191.77

91,22:30-22:45,37.260000,34.720000,0.000000,241.150000,2.890000,21.220000,38.580000,0.970000,48.230000,24.730000,47.710000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,10.610000,36.170000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,32.000000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,20.200000,12.200000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,67.520000,289.380000,0,72.340000,24.120000,13.170000,32.000000,149.510000,96.460000,1.500000,0.00,0.000000,96.460000,37.260000,0.000000,0.870000,12.060000,0.000000,0,0,2217.83

92,22:45-23:00,37.260000,34.720000,0.000000,241.150000,2.890000,21.220000,38.580000,0.970000,48.230000,24.730000,47.710000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,10.610000,36.170000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,32.000000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,19.140000,12.200000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,67.520000,289.380000,0,72.340000,24.120000,13.170000,32.000000,149.510000,96.460000,1.430000,0.00,0.000000,96.460000,37.260000,0.000000,0.870000,12.060000,0.000000,0,0,2216.7

93,23:00-23:15,37.260000,34.720000,0.000000,241.150000,2.890000,21.220000,38.580000,0.970000,48.230000,24.730000,47.710000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,9.650000,36.170000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,32.000000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,19.830000,12.200000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,67.520000,289.380000,0,72.340000,24.120000,13.170000,32.000000,149.510000,96.460000,1.480000,0.00,0.000000,96.460000,37.260000,0.000000,0.820000,12.060000,0.000000,0,0,2216.43

94,23:15-23:30,37.260000,34.720000,0.000000,241.150000,2.890000,21.220000,38.580000,0.970000,48.230000,24.730000,47.710000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,9.650000,36.170000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,32.000000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,22.190000,12.200000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,67.520000,289.380000,0,72.340000,24.120000,13.170000,32.000000,149.510000,96.460000,1.650000,0.00,0.000000,96.460000,37.260000,0.000000,0.820000,12.060000,0.000000,0,0,2218.96

95,23:30-23:45,37.260000,34.720000,0.000000,241.150000,2.890000,21.220000,38.580000,0.970000,48.230000,24.730000,47.710000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,9.650000,36.170000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,32.000000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,26.270000,12.200000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,67.520000,289.380000,0,72.340000,24.120000,13.170000,32.000000,149.510000,96.460000,2.060000,0.00,0.000000,96.460000,37.260000,0.000000,0.820000,12.060000,0.000000,0,0,2223.45

96,23:45-24:00,37.260000,34.720000,0.000000,241.150000,2.890000,21.220000,38.580000,0.970000,48.230000,24.730000,47.710000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,9.650000,36.170000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,32.000000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,29.850000,12.200000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,67.520000,289.380000,0,72.340000,24.120000,13.170000,32.000000,149.510000,96.460000,2.220000,0.00,0.000000,96.460000,37.260000,0.000000,0.820000,12.060000,0.000000,0,0,2227.19

