Time,Block,NR/2024/21573/C,NR/01102023/02012046/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,NR/2024/21141/A/27269,NR/2024/21113/A/27523,NR/2024/21076/A/27504,NR/2024/21146/A/27316,NR/2024/21089/A/27524,NR/2024/21148/A/27315,NR/2024/21594/C,NR/2024/20931/A/27491,NR/2024/20574/A/27566,NR/2024/21602/C,NR/2024/21604/C,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/21210/A/27267,NR/2024/21574/C,NR/2024/21099/A/27270,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/2024/21062/A/27569,NR/2024/21087/A/27302,NR/2024/21186/A/27540,NR/2024/21339/A/27265,NR/2024/21496/A/27459,NR/2024/20688/A/27303,NR/01102023/23072042/L_NR_2012_04,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/17072024/17072024/IEX_240717_01580,NR/2024/20573/A/27567,NR/2024/21227/A/27549,NR/2024/21183/A/27506,NR/2024/21588/C,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/30092023/31122025/SH-07,NR/2024/21160/A/27318,NR/2024/21156/A/27314,NR/2024/21158/A/27321,NR/2024/21159/A/27319,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/21598/C,NR/2024/21601/C,NR/2024/21142/A/27268,NR/2024/21569/C,NR/2024/20966/A/27244,NR/2024/21150/A/27317,NR/2024/21199/A/27455,NR/2024/21636/C,NR/2024/21500/A/27140,NR/2024/21153/A/27313,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21075/A/27507,NR/2024/19779/A/27254,NR/30092023/26122029/SH-06,NR/16072024/31072024/NR/16072024/31072024/717758,NR/2024/21096/A/27551,NR/2024/21238/A/27508,NR/2024/21103/A/27550,NR/2024/21072/A/27525,NR/2024/21152/A/27243,NR/2024/21023/A/27457,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/21108/A/27548,NR/2024/20711/A/27589,NR/2024/21144/A/27294,NR/2024/21592/C,NR/2024/21173/A/27301,NR/01072024/31072024/R2,NR/2024/21485/A/27588,Total
61,15:00-15:15,2.61,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,48.020000,0.000000,0.000000,0.000000,0.000000,48.020000,163.510000,24.010000,0.000000,24.010000,24.010000,24.620000,96.040000,0.000000,66.450000,0.000000,12.200000,0.000000,0.000000,0.000000,21.130000,0.000000,0.000000,5.950000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,53.450000,0.000000,10.560000,1.580000,14.950000,11.670000,0.960000,32.000000,0.000000,24.010000,2.880000,83.730000,37.100000,1.920000,96.040000,0.000000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,0.000000,240.100000,1552.45

62,15:15-15:30,3.05,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,48.020000,0.000000,0.000000,0.000000,0.000000,48.020000,163.510000,24.010000,0.000000,24.010000,24.010000,24.620000,96.040000,0.000000,66.450000,0.000000,12.200000,0.000000,0.000000,0.000000,21.130000,0.000000,0.000000,5.950000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,53.450000,0.000000,10.560000,1.580000,14.950000,11.670000,0.960000,32.000000,0.000000,24.010000,2.880000,83.730000,37.100000,1.920000,96.040000,0.000000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,0.000000,240.100000,1552.89

63,15:30-15:45,3.47,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,48.020000,0.000000,0.000000,0.000000,0.000000,48.020000,163.510000,24.010000,0.000000,24.010000,24.010000,24.620000,96.040000,0.000000,66.450000,0.000000,12.200000,0.000000,0.000000,0.000000,21.130000,0.000000,0.000000,5.950000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,53.450000,0.000000,10.560000,1.580000,14.950000,11.670000,0.960000,32.000000,0.000000,24.010000,2.880000,83.730000,37.100000,1.920000,96.040000,0.000000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,0.000000,240.100000,1553.31

64,15:45-16:00,2.79,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,48.020000,0.000000,0.000000,0.000000,0.000000,48.020000,163.510000,24.010000,0.000000,24.010000,24.010000,24.620000,96.040000,0.000000,66.450000,0.000000,12.200000,0.000000,0.000000,0.000000,21.130000,0.000000,0.000000,5.950000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,53.450000,0.000000,10.560000,1.580000,14.950000,11.670000,0.960000,32.000000,0.000000,24.010000,2.880000,83.730000,37.100000,1.920000,96.040000,0.000000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,0.000000,240.100000,1552.63

65,16:00-16:15,2.36,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,48.020000,0.000000,0.000000,0.000000,0.000000,48.020000,163.510000,24.010000,0.000000,24.010000,24.010000,24.620000,96.040000,0.000000,66.450000,0.000000,12.650000,0.000000,0.000000,0.000000,21.130000,0.000000,0.000000,5.950000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,53.450000,0.000000,10.560000,1.580000,14.950000,11.670000,0.820000,32.000000,0.000000,24.010000,2.880000,83.730000,37.100000,1.920000,96.040000,0.000000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,0.000000,240.100000,1552.51

66,16:15-16:30,1.41,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,48.020000,0.000000,0.000000,0.000000,0.000000,48.020000,163.510000,24.010000,0.000000,24.010000,24.010000,24.620000,96.040000,0.000000,66.450000,0.000000,12.650000,0.000000,0.000000,0.000000,21.130000,0.000000,0.000000,5.950000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,53.450000,0.000000,10.560000,1.580000,14.950000,11.670000,0.820000,32.000000,0.000000,24.010000,2.880000,83.730000,37.100000,1.920000,96.040000,0.000000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,0.000000,240.100000,1551.56

67,16:30-16:45,0.86,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,48.020000,0.000000,0.000000,0.000000,0.000000,48.020000,163.510000,24.010000,0.000000,24.010000,24.010000,24.620000,96.040000,0.000000,66.450000,0.000000,12.650000,0.000000,0.000000,0.000000,21.130000,0.000000,0.000000,5.950000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,53.450000,0.000000,10.560000,1.580000,14.950000,11.670000,0.820000,32.000000,0.000000,24.010000,2.880000,83.730000,37.100000,1.920000,96.040000,0.000000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,0.000000,240.100000,1551.01

68,16:45-17:00,1.15,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,48.020000,0.000000,0.000000,0.000000,0.000000,48.020000,163.510000,24.010000,0.000000,24.010000,24.010000,24.620000,96.040000,0.000000,66.450000,0.000000,12.650000,0.000000,0.000000,0.000000,21.130000,0.000000,0.000000,5.950000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,53.450000,0.000000,10.560000,1.580000,14.950000,11.670000,0.820000,32.000000,0.000000,24.010000,2.880000,83.730000,37.100000,1.920000,96.040000,0.000000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,0.000000,240.100000,1551.3

69,17:00-17:15,1.04,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,48.020000,0.000000,0.000000,0.000000,0.000000,48.020000,163.510000,24.010000,0.000000,24.010000,24.010000,24.620000,96.040000,0.000000,66.450000,0.000000,13.110000,0.000000,0.000000,0.000000,21.130000,0.000000,0.000000,5.950000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,53.450000,0.000000,10.560000,1.580000,14.950000,11.670000,0.820000,32.000000,0.000000,24.010000,2.880000,83.730000,37.100000,1.920000,96.040000,0.000000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,0.000000,240.100000,1551.65

70,17:15-17:30,0.36,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,48.020000,0.000000,0.000000,0.000000,0.000000,48.020000,163.510000,24.010000,0.000000,24.010000,24.010000,24.620000,96.040000,0.000000,66.450000,0.000000,13.110000,0.000000,0.000000,0.000000,21.130000,0.000000,0.000000,5.950000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,53.450000,0.000000,10.560000,1.580000,14.950000,11.670000,0.820000,32.000000,0.000000,24.010000,2.880000,83.730000,37.100000,1.920000,96.040000,0.000000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,0.000000,240.100000,1550.97

71,17:30-17:45,0.42,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,48.020000,0.000000,0.000000,0.000000,0.000000,48.020000,163.510000,24.010000,0.000000,24.010000,24.010000,24.620000,96.040000,0.000000,66.450000,0.000000,13.110000,0.000000,0.000000,0.000000,21.130000,0.000000,0.000000,18.550000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,53.450000,0.000000,10.560000,1.580000,14.950000,11.670000,0.820000,32.000000,0.000000,24.010000,2.880000,83.730000,37.100000,1.920000,96.040000,0.000000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,0.000000,240.100000,1563.63

72,17:45-18:00,0.41,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,48.020000,0.000000,0.000000,0.000000,0.000000,48.020000,163.510000,24.010000,0.000000,24.010000,24.010000,24.620000,96.040000,0.000000,66.450000,0.000000,13.110000,0.000000,0.000000,0.000000,21.130000,0.000000,0.000000,18.550000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,53.450000,0.000000,10.560000,1.580000,14.950000,11.670000,0.820000,32.000000,0.000000,24.010000,2.880000,83.730000,37.100000,1.920000,96.040000,0.000000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,0.000000,240.100000,1563.62

73,18:00-18:15,0.17,0,0,47.500000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,0.000000,0.000000,0.000000,0.000000,96.040000,48.020000,163.510000,24.010000,0.000000,0.000000,24.010000,20.830000,0.000000,0.000000,66.450000,0.000000,13.110000,0.000000,0.000000,0.000000,21.130000,0.000000,53.450000,18.550000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,0.000000,0.000000,10.560000,1.580000,14.950000,0.000000,0.820000,32.000000,48.020000,24.010000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,24.010000,240.100000,1595.42

74,18:15-18:30,0.1,0,0,47.500000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,0.000000,0.000000,0.000000,0.000000,96.040000,48.020000,163.510000,24.010000,0.000000,0.000000,24.010000,20.830000,0.000000,0.000000,66.450000,0.000000,13.110000,0.000000,0.000000,0.000000,21.130000,0.000000,53.450000,18.550000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,0.000000,0.000000,10.560000,1.580000,14.950000,0.000000,0.820000,32.000000,48.020000,24.010000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,24.010000,240.100000,1595.35

75,18:30-18:45,0,0,0,47.500000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,0.000000,0.000000,0.000000,0.000000,96.040000,48.020000,163.510000,24.010000,0.000000,0.000000,24.010000,20.830000,0.000000,0.000000,66.450000,0.000000,13.110000,0.000000,0.000000,0.000000,21.130000,0.000000,53.450000,18.550000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,0.000000,0.000000,10.560000,1.580000,14.950000,0.000000,0.820000,32.000000,48.020000,43.220000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,24.010000,240.100000,1614.46

76,18:45-19:00,0,0,0,47.500000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,0.000000,0.000000,0.000000,0.000000,96.040000,48.020000,163.510000,24.010000,0.000000,0.000000,24.010000,20.830000,0.000000,0.000000,66.450000,0.000000,13.110000,0.000000,0.000000,0.000000,21.130000,0.000000,53.450000,18.550000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,0.000000,0.000000,10.560000,1.580000,14.950000,0.000000,0.820000,32.000000,48.020000,43.220000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,24.010000,240.100000,1614.46

77,19:00-19:15,0,0,0,47.500000,37.100000,90.280000,0.360000,37.100000,0.520000,43.220000,0.000000,0.000000,44.750000,39.660000,96.040000,34.430000,163.510000,24.010000,0.000000,0.000000,24.010000,20.830000,0.000000,0.100000,66.450000,0.000000,13.110000,0.000000,0.000000,0.000000,21.130000,0.000000,53.450000,32.000000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,86.440000,31.120000,48.020000,6.130000,4.800000,0.870000,0.000000,0.000000,10.560000,1.580000,14.950000,0.000000,0.820000,32.000000,48.020000,43.220000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,96.040000,24.010000,24.010000,240.100000,1955.65

78,19:15-19:30,0,0,0,47.500000,37.100000,90.280000,0.360000,37.100000,0.520000,43.220000,0.000000,0.000000,43.510000,38.700000,96.040000,34.430000,163.510000,24.010000,0.000000,0.000000,24.010000,20.830000,0.000000,0.100000,66.450000,0.000000,13.110000,0.000000,0.000000,0.000000,21.130000,0.000000,53.450000,32.000000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,86.440000,31.020000,48.020000,6.130000,4.800000,0.870000,0.000000,0.000000,10.560000,1.580000,14.950000,0.000000,0.820000,32.000000,48.020000,43.220000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,96.040000,24.010000,24.010000,240.100000,1953.35

79,19:30-19:45,0,0,0,47.500000,37.100000,90.280000,0.360000,37.100000,0.520000,43.220000,0.000000,0.000000,42.350000,38.990000,96.040000,34.430000,163.510000,24.010000,0.000000,0.000000,24.010000,20.830000,0.000000,0.100000,66.450000,0.000000,13.110000,0.000000,0.000000,0.000000,21.130000,0.000000,53.450000,33.000000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,86.440000,30.920000,48.020000,6.130000,4.800000,0.870000,0.000000,0.000000,10.560000,1.580000,14.950000,0.000000,0.820000,33.000000,48.020000,43.220000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,96.040000,24.010000,24.010000,240.100000,1954.38

80,19:45-20:00,0,0,0,47.500000,37.100000,90.280000,0.360000,37.100000,0.520000,43.220000,0.000000,0.000000,41.490000,39.280000,96.040000,34.430000,163.510000,24.010000,0.000000,0.000000,24.010000,20.830000,0.000000,0.000000,66.450000,0.000000,13.110000,0.000000,0.000000,0.000000,21.130000,0.000000,53.450000,33.000000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,86.440000,30.830000,48.020000,6.130000,4.800000,0.870000,0.000000,0.000000,10.560000,1.580000,14.950000,0.000000,0.820000,33.000000,48.020000,43.220000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,96.040000,24.010000,24.010000,240.100000,1953.62

81,20:00-20:15,0,0,0,47.500000,37.100000,90.280000,0.360000,37.100000,0.520000,43.220000,0.000000,0.000000,40.530000,30.350000,96.040000,34.430000,163.510000,24.010000,0.000000,0.000000,24.010000,20.830000,0.000000,0.100000,66.450000,0.000000,13.110000,0.000000,0.000000,0.000000,21.130000,67.230000,53.450000,30.000000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,86.440000,30.730000,48.020000,6.130000,4.800000,0.870000,0.000000,0.000000,10.560000,1.580000,14.950000,0.000000,0.860000,30.000000,48.020000,43.220000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,192.080000,24.010000,24.010000,240.100000,2101.04

82,20:15-20:30,0,0,0,47.500000,37.100000,90.280000,0.360000,37.100000,0.520000,43.220000,0.000000,0.000000,39.570000,30.540000,96.040000,34.430000,163.510000,24.010000,0.000000,0.000000,24.010000,20.830000,0.000000,0.100000,66.450000,0.000000,13.110000,0.000000,0.000000,0.000000,21.130000,67.230000,53.450000,30.000000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,86.440000,30.830000,48.020000,6.130000,4.800000,0.870000,0.000000,0.000000,10.560000,1.580000,14.950000,0.000000,0.860000,30.000000,48.020000,43.220000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,192.080000,24.010000,24.010000,240.100000,2100.37

83,20:30-20:45,0,0,0,47.500000,37.100000,90.280000,0.360000,37.100000,0.520000,43.220000,0.000000,0.000000,38.510000,30.440000,96.040000,34.430000,163.510000,24.010000,0.000000,0.000000,24.010000,20.830000,0.000000,6.770000,66.450000,0.000000,13.110000,0.000000,0.000000,0.000000,21.130000,67.230000,53.450000,30.000000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,86.440000,30.920000,48.020000,6.130000,4.800000,0.870000,0.000000,0.000000,10.560000,1.580000,14.950000,0.000000,0.860000,30.000000,48.020000,43.220000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,192.080000,24.010000,24.010000,240.100000,2105.97

84,20:45-21:00,0,0,0,47.500000,37.100000,90.280000,0.360000,37.100000,0.520000,43.220000,0.000000,0.000000,37.840000,30.440000,96.040000,34.430000,163.510000,24.010000,0.000000,0.000000,24.010000,20.830000,0.000000,6.540000,66.450000,0.000000,13.110000,0.000000,0.000000,0.000000,21.130000,67.230000,53.450000,30.000000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,86.440000,30.920000,48.020000,6.130000,4.800000,0.870000,0.000000,0.000000,10.560000,1.580000,14.950000,0.000000,0.860000,30.000000,48.020000,43.220000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,192.080000,24.010000,24.010000,240.100000,2105.07

85,21:00-21:15,0,0,0,47.500000,37.100000,90.280000,0.360000,37.100000,0.520000,43.220000,0.000000,0.000000,36.980000,30.350000,96.040000,34.430000,163.510000,24.010000,0.000000,0.000000,24.010000,20.830000,0.000000,4.990000,66.450000,0.000000,13.110000,0.000000,0.000000,0.000000,21.130000,67.230000,53.450000,32.000000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,86.440000,31.020000,48.020000,6.130000,4.800000,0.870000,0.000000,19.210000,10.560000,1.580000,14.950000,0.000000,0.860000,32.000000,48.020000,43.220000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,192.080000,24.010000,24.010000,240.100000,2125.88

86,21:15-21:30,0,0,0,47.500000,37.100000,90.280000,0.360000,37.100000,0.520000,43.220000,0.000000,0.000000,36.300000,30.250000,96.040000,34.430000,163.510000,24.010000,0.000000,0.000000,24.010000,20.830000,0.000000,4.980000,66.450000,0.000000,13.110000,0.000000,0.000000,0.000000,21.130000,67.230000,53.450000,32.000000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,86.440000,30.920000,48.020000,6.130000,4.800000,0.870000,0.000000,19.210000,10.560000,1.580000,14.950000,0.000000,0.860000,32.000000,48.020000,43.220000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,192.080000,24.010000,24.010000,240.100000,2124.99

87,21:30-21:45,0,0,0,47.500000,37.100000,90.280000,0.360000,37.100000,0.520000,43.220000,0.000000,0.000000,35.630000,30.440000,96.040000,34.430000,163.510000,24.010000,0.000000,0.000000,24.010000,20.830000,0.000000,5.370000,66.450000,0.000000,13.110000,0.000000,0.000000,0.000000,21.130000,67.230000,53.450000,32.000000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,86.440000,30.730000,48.020000,6.130000,4.800000,0.870000,0.000000,19.210000,10.560000,1.580000,14.950000,0.000000,0.860000,32.000000,48.020000,43.220000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,192.080000,24.010000,24.010000,240.100000,2124.71

88,21:45-22:00,0,0,0,47.500000,37.100000,90.280000,0.360000,37.100000,0.520000,43.220000,0.000000,0.000000,36.020000,30.540000,96.040000,34.430000,163.510000,24.010000,0.000000,0.000000,24.010000,20.830000,0.000000,5.640000,66.450000,0.000000,13.110000,0.000000,0.000000,0.000000,21.130000,67.230000,53.450000,32.000000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,86.440000,30.640000,48.020000,6.130000,4.800000,0.870000,0.000000,19.210000,10.560000,1.580000,14.950000,0.000000,0.860000,32.000000,48.020000,43.220000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,192.080000,24.010000,24.010000,240.100000,2125.38

89,22:00-22:15,0,0,0,47.500000,37.100000,90.280000,0.360000,37.100000,0.520000,43.220000,0.000000,6.000000,36.590000,34.670000,96.040000,34.430000,163.510000,24.010000,0.000000,0.000000,24.010000,20.830000,0.000000,5.640000,66.450000,0.000000,13.110000,0.000000,18.010000,12.150000,21.130000,67.230000,53.450000,32.000000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,86.440000,30.540000,48.020000,6.130000,4.800000,0.870000,0.000000,19.210000,9.600000,1.580000,14.950000,0.000000,0.860000,32.000000,48.020000,43.220000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,192.080000,24.010000,24.010000,240.100000,2165.18

90,22:15-22:30,0,0,0,47.500000,37.100000,90.280000,0.360000,37.100000,0.520000,43.220000,0.000000,6.000000,37.070000,34.860000,96.040000,34.430000,163.510000,24.010000,0.000000,0.000000,24.010000,20.830000,0.000000,5.600000,66.450000,0.000000,13.110000,0.000000,18.010000,12.150000,21.130000,67.230000,53.450000,32.000000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,86.440000,30.440000,48.020000,6.130000,4.800000,0.870000,0.000000,19.210000,9.600000,1.580000,14.950000,0.000000,0.860000,32.000000,48.020000,43.220000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,192.080000,24.010000,24.010000,240.100000,2165.71

91,22:30-22:45,0,0,0,47.500000,37.100000,90.280000,0.360000,37.100000,0.520000,43.220000,0.000000,6.000000,37.550000,35.730000,96.040000,34.430000,163.510000,24.010000,0.000000,0.000000,24.010000,20.830000,0.000000,37.260000,66.450000,0.000000,13.110000,69.740000,18.010000,12.150000,21.130000,67.230000,53.450000,32.000000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,86.440000,30.250000,48.020000,6.130000,4.800000,0.870000,0.000000,19.210000,9.600000,1.580000,14.950000,0.000000,0.860000,32.000000,48.020000,67.230000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,192.080000,24.010000,24.010000,240.100000,2292.28

92,22:45-23:00,0,0,0,47.500000,37.100000,90.280000,0.360000,37.100000,0.520000,43.220000,0.000000,6.000000,37.940000,36.400000,96.040000,34.430000,163.510000,24.010000,0.000000,0.000000,24.010000,20.830000,0.000000,37.870000,66.450000,0.000000,13.110000,69.740000,18.010000,12.150000,21.130000,67.230000,53.450000,32.000000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,86.440000,30.160000,48.020000,6.130000,4.800000,0.870000,0.000000,19.210000,9.600000,1.580000,14.950000,0.000000,0.860000,32.000000,48.020000,67.230000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,192.080000,24.010000,24.010000,240.100000,2293.86

93,23:00-23:15,0,0,0,47.500000,37.100000,90.280000,0.360000,37.100000,0.520000,43.220000,0.000000,6.000000,38.220000,37.170000,96.040000,34.430000,163.510000,24.010000,0.000000,0.000000,24.010000,20.830000,0.000000,35.940000,66.450000,0.000000,13.110000,69.740000,18.010000,12.150000,21.130000,67.230000,53.450000,32.000000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,86.440000,30.060000,48.020000,6.130000,4.800000,0.870000,0.000000,19.210000,8.640000,1.580000,14.950000,0.000000,0.820000,32.000000,48.020000,67.230000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,192.080000,24.010000,24.010000,240.100000,2291.88

94,23:15-23:30,0,0,0,47.500000,37.100000,90.280000,0.360000,37.100000,0.520000,43.220000,0.000000,6.000000,38.510000,38.030000,96.040000,34.430000,163.510000,24.010000,0.000000,0.000000,24.010000,20.830000,0.000000,33.600000,66.450000,0.000000,13.110000,69.740000,18.010000,12.150000,21.130000,67.230000,53.450000,32.000000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,86.440000,30.060000,48.020000,6.130000,4.800000,0.870000,0.000000,19.210000,8.640000,1.580000,14.950000,0.000000,0.820000,32.000000,48.020000,67.230000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,192.080000,24.010000,24.010000,240.100000,2290.69

95,23:30-23:45,0,0,0,47.500000,37.100000,90.280000,0.360000,37.100000,0.520000,43.220000,0.000000,6.000000,38.800000,37.940000,96.040000,34.430000,163.510000,24.010000,0.000000,0.000000,24.010000,20.830000,0.000000,35.760000,66.450000,0.000000,13.110000,69.740000,18.010000,12.150000,21.130000,67.230000,53.450000,32.000000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,86.440000,30.060000,48.020000,6.130000,4.800000,0.870000,0.000000,19.210000,8.640000,1.580000,14.950000,0.000000,0.820000,32.000000,48.020000,67.230000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,192.080000,24.010000,24.010000,240.100000,2293.05

