Column1,Block,NR/2025/26861/A/83728,NR/2025/26085/A/83314,NR/2025/27782/A/83730,NR/2025/28774/A/83272,NR/2025/29954/C,NR/2025/29954/C/Alternate/1,NR/2025/29955/C,NR/2025/29987/C,NR/2025/29988/C,NR/2025/29989/C,NR/2025/27100/A/83355,NR/2025/27281/A/83834,NR/2025/27242/A/83378,NR/2025/27157/A/83354,NR/2025/26562/A/83672,NR/2025/29816/A/83665,NR/2025/28719/A/83364,NR/2025/27500/A/83277,NR/2025/26889/A/83755,NR/2025/29947/C,NR/2025/26571/A/83675,NR/2025/27167/A/83394,NR/2025/29824/C,NR/2025/27088/A/83762,NR/2025/26975/A/83740,NR/2025/27499/A/83754,NR/2025/29837/C,NR/2025/26785/A/83278,NR/2025/29905/C,NR/2025/26860/A/83636,NR/2025/29906/C,NR/2025/27506/A/83276,NR/2025/27727/A/83731,NR/2025/29909/C,NR/2025/26952/A/83238,NR/2025/27168/A/83397,NR/2025/26777/A/83347,NR/2025/29904/C,NR/2025/26445/A/83765,NR/2025/27176/A/83739,NR/2025/27728/A/83732,NR/2025/27726/A/83733,NR/2025/27187/A/83737,NR/2025/26566/A/83674,NR/2025/27185/A/83738,NR/2025/27725/A/83734,NR/2025/26572/A/83677,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/4444,NR/30092023/26122029/SH-06,GNA/NR/2025/06/16/6051,GNA/NR/2025/06/26/5163,NR/30092023/31122025/SH-07,GNA/NR/2025/06/01/9257,NR/2025/27356/A/83708,GNA/NR/2025/06/01/7762,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/5280,NR/2025/29957/C,NR/2025/29979/C,NR/2025/26565/A/83673,NR/2025/29981/C,NR/2025/29983/C,NR/2025/29984/C,NR/2025/29451/A/83705,NR/2025/29918/C,NR/2025/30002/C,NR/2025/29974/C,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/20/3628,GNA/NR/2025/06/16/8791,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/2868,GNARE/NR/2024/12/20/3668,Total
82,20:15-20:30,164.29,0.92,7.73,0,0,164.53,28.03,0,0,0,25.2,24.88,41.07,217.44,144.96,0,13.53,7.73,5.8,0,0,20.54,0,164.29,27.06,8.7,0,0,0,90.36,0,1.93,43.92,0,0,20.54,164.29,0,96.64,76.94,37.34,43.92,19.33,144.96,19.33,14.64,144.96,20.54,0,29,0,0,29,20.54,0,20.54,17.85,11.92,0,0,0,0,0,0,96.64,0,0,0,41.07,20.85,0,53.39,41.07,11.91,41.07,29.06,0,2470.25

83,20:30-20:45,164.29,0.92,7.73,0,0,164.53,28.03,0,0,0,25.2,24.88,41.07,217.44,144.96,0,13.53,7.73,5.8,0,0,20.54,0,164.29,27.06,8.7,0,0,0,90.36,0,1.93,43.92,0,0,20.54,164.29,0,96.64,76.94,37.34,43.92,19.33,144.96,19.33,14.64,144.96,20.54,0,29,0,0,29,20.54,0,20.54,17.85,11.92,0,0,0,0,0,0,96.64,0,0,0,41.07,20.85,0,53.39,41.07,11.91,41.07,29.06,0,2470.25

84,20:45-21:00,164.29,0.92,7.73,0,0,164.53,28.03,0,0,0,25.2,24.88,41.07,217.44,144.96,0,13.53,7.73,5.8,0,0,20.54,0,164.29,27.06,8.7,0,0,0,90.36,0,1.93,43.92,0,0,20.54,164.29,0,96.64,76.94,37.34,43.92,19.33,144.96,19.33,14.64,144.96,20.54,0,29,0,0,29,20.54,0,20.54,17.85,11.92,0,0,0,0,0,0,96.64,0,0,0,41.07,20.85,0,53.39,41.07,11.91,41.07,29.06,0,2470.25

85,21:00-21:15,164.29,0.92,7.73,0,164.53,0,28.03,0,0,0,25.2,24.88,41.07,217.44,144.96,0.97,12.56,7.73,5.8,0,0,20.54,0,164.29,27.06,8.7,0,0,0,90.36,0,1.93,43.92,0,0,20.54,164.29,0,96.64,106.3,37.34,43.92,19.33,144.96,19.33,14.64,144.96,20.54,0,29,0,96.64,29,20.54,0,20.54,17.85,11.92,0,0,0,0,0,0,96.64,0,0,0,41.07,20.85,0,53.39,41.07,11.91,41.07,29.06,0,2596.2499999999995

86,21:15-21:30,164.29,0.92,7.73,0,164.53,0,28.03,0,0,0,25.2,24.88,41.07,217.44,144.96,0.97,12.56,7.73,5.8,0,0,20.54,0,164.29,27.06,8.7,0,0,0,90.36,0,1.93,43.92,0,0,20.54,164.29,0,96.64,106.3,37.34,43.92,19.33,144.96,19.33,14.64,144.96,20.54,0,29,0,96.64,29,20.54,0,20.54,17.85,11.92,0,0,0,0,0,0,96.64,0,0,0,41.07,20.85,0,53.39,41.07,11.91,41.07,29.06,0,2596.2499999999995

87,21:30-21:45,164.29,0.92,7.73,0,164.53,0,28.03,0,0,0,25.2,24.88,41.07,217.44,144.96,0.97,12.56,7.73,5.8,0,0,20.54,0,164.29,27.06,8.7,0,0,0,90.36,0,1.93,43.92,0,0,20.54,164.29,0,96.64,106.3,37.34,43.92,19.33,144.96,19.33,14.64,144.96,20.54,0,29,0,96.64,29,20.54,0,20.54,17.85,11.92,0,0,0,0,0,0,96.64,0,0,0,41.07,20.85,0,53.39,41.07,11.91,41.07,29.06,0,2596.2499999999995

88,21:45-22:00,164.29,0.92,7.73,0,164.53,0,28.03,0,0,0,25.2,24.88,41.07,217.44,144.96,0.97,12.56,7.73,5.8,0,0,20.54,0,164.29,27.06,8.7,0,0,0,90.36,0,1.93,43.92,0,0,20.54,164.29,0,96.64,106.3,37.34,43.92,19.33,144.96,19.33,14.64,144.96,20.54,0,29,0,96.64,29,20.54,0,20.54,17.85,11.92,0,0,0,0,0,0,96.64,0,0,0,41.07,20.85,0,53.39,41.07,11.91,41.07,29.06,0,2596.2499999999995

89,22:00-22:15,164.29,0.82,7.73,0,164.53,0,28.03,0,0,0,25.2,24.88,41.07,217.44,144.96,1.93,11.6,7.73,5.8,0,0,20.54,0,164.29,27.06,8.7,0,0,0,90.36,0,1.93,43.92,0,0,20.54,164.29,0,96.64,106.3,37.34,43.92,19.33,144.96,19.33,14.64,144.96,20.54,0,29,0,96.64,29,20.54,0,20.54,17.85,11.92,0,0,0,0,0,0,96.64,0,0,0,41.07,20.85,0,53.39,41.07,11.91,41.07,29.06,0,2596.1499999999996

90,22:15-22:30,164.29,0.82,7.73,0,164.53,0,28.03,0,0,0,25.2,24.88,41.07,217.44,144.96,1.93,11.6,7.73,5.8,0,0,20.54,0,164.29,27.06,8.7,0,0,0,90.36,0,1.93,43.92,0,0,20.54,164.29,0,96.64,106.3,37.34,43.92,19.33,144.96,19.33,14.64,144.96,20.54,0,29,0,96.64,29,20.54,0,20.54,17.85,11.92,0,0,0,0,0,0,96.64,0,0,0,41.07,20.85,0,53.39,41.07,11.91,41.07,29.06,0,2596.1499999999996

91,22:30-22:45,164.29,0.82,7.73,0,164.53,0,28.03,0,0,0,25.2,24.88,41.07,217.44,144.96,1.93,11.6,7.73,5.8,0,0,20.54,0,164.29,27.06,8.7,0,0,0,90.36,0,1.93,43.92,0,0,20.54,164.29,0,96.64,106.3,37.34,43.92,19.33,144.96,19.33,14.64,144.96,20.54,0,29,0,96.64,29,20.54,0,20.54,17.85,11.92,0,0,0,0,0,0,96.64,0,0,0,41.07,20.85,0,53.39,41.07,11.91,41.07,29.06,0,2596.1499999999996

92,22:45-23:00,164.29,0.82,7.73,0,164.53,0,28.03,0,0,0,25.2,24.88,41.07,217.44,144.96,1.93,11.6,7.73,5.8,0,0,20.54,0,164.29,27.06,8.7,0,0,0,90.36,0,1.93,43.92,0,0,20.54,164.29,0,96.64,106.3,37.34,43.92,19.33,144.96,19.33,14.64,144.96,20.54,0,29,0,96.64,29,20.54,0,20.54,17.85,11.92,0,0,0,0,0,0,96.64,0,0,0,41.07,20.85,0,53.39,41.07,11.91,41.07,29.06,0,2596.1499999999996

93,23:00-23:15,164.29,0.77,7.73,0,164.53,0,28.03,0,0,0,25.2,24.88,41.07,217.44,144.96,2.9,10.63,7.73,5.8,0,0,20.54,0,164.29,27.06,8.7,0,0,0,90.36,0,1.93,43.92,0,0,20.54,164.29,0,96.64,106.3,37.34,43.92,19.33,144.96,19.33,14.64,144.96,20.54,0,29,0,96.64,29,20.54,0,20.54,17.39,11.92,0,0,0,0,0,0,96.64,0,0,0,41.07,20.85,0,53.39,41.07,11.91,41.07,29.06,0,2595.64

94,23:15-23:30,164.29,0.77,7.73,0,164.53,0,28.03,0,0,0,25.2,24.88,41.07,217.44,144.96,2.9,10.63,7.73,5.8,0,0,20.54,0,164.29,27.06,8.7,0,0,0,90.36,0,1.93,43.92,0,0,20.54,164.29,0,96.64,106.3,37.34,43.92,19.33,144.96,19.33,14.64,144.96,20.54,0,29,0,96.64,29,20.54,0,20.54,17.39,11.92,0,0,0,0,0,0,96.64,0,0,0,41.07,20.85,0,53.39,41.07,11.91,41.07,29.06,0,2595.64

95,23:30-23:45,164.29,0.77,7.73,0,164.53,0,28.03,0,0,0,25.2,24.88,41.07,217.44,144.96,2.9,10.63,7.73,5.8,0,0,20.54,0,164.29,27.06,8.7,0,0,0,90.36,0,1.93,43.92,0,0,20.54,164.29,0,96.64,106.3,37.34,43.92,19.33,144.96,19.33,14.64,144.96,20.54,0,29,0,96.64,29,20.54,0,20.54,17.39,11.92,0,0,0,0,0,0,96.64,0,0,0,41.07,20.85,0,53.39,41.07,11.91,41.07,29.06,0,2595.64

96,23:45-24:00,164.29,0.77,7.73,0,164.53,0,28.03,0,0,0,25.2,24.88,41.07,217.44,144.96,2.9,10.63,7.73,5.8,0,0,20.54,0,164.29,27.06,8.7,0,0,0,90.36,0,1.93,43.92,0,0,20.54,164.29,0,96.64,106.3,37.34,43.92,19.33,144.96,19.33,14.64,144.96,20.54,0,29,0,96.64,29,20.54,0,20.54,17.39,11.92,0,0,0,0,0,0,96.64,0,0,0,41.07,20.85,0,53.39,41.07,12.18,41.07,29.06,0,2595.91

