Column1,Block,NR/2025/27356/A/81935,GNARE/NR/2024/12/20/3668,GNA/NR/2025/06/16/6051,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/16/8791,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/20/3628,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/7762,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/2868,NR/2025/27281/A/82119,NR/2025/29371/C,NR/2025/29395/C,NR/2025/26785/A/81528,NR/2025/29423/C,NR/2025/26777/A/81610,NR/2025/29425/C,NR/2025/26860/A/81906,NR/2025/29426/C,NR/2025/27727/A/81940,NR/2025/26565/A/82095,NR/2025/27168/A/81794,NR/2025/27185/A/81947,NR/2025/26566/A/82094,NR/2025/26952/A/81555,NR/30092023/31122025/SH-07,NR/2025/29420/C,NR/2025/27176/A/81948,NR/2025/27167/A/81791,NR/2025/27506/A/81524,NR/2025/29404/C,NR/2025/27157/A/81617,NR/2025/27725/A/81943,NR/2025/27728/A/81941,NR/2025/27726/A/81942,NR/2025/27088/A/82138,NR/2025/26572/A/82092,NR/2025/27162/A/81949,NR/2025/26571/A/82093,NR/2025/29445/C,NR/2025/29286/C,NR/2025/29446/C,NR/2025/26975/A/81950,NR/2025/29431/C,SR/2025/17651/C,NR/2025/29297/C,NR/2025/28774/A/81517,NR/2025/29356/C,NR/2025/29432/C,NR/2025/27499/A/82017,NR/2025/26861/A/82091,NR/2025/27500/A/81526,NR/2025/27187/A/81946,NR/2025/26085/A/81578,NR/2025/26445/A/82147,NR/2025/27242/A/81692,NR/2025/28719/A/81628,NR/2025/26889/A/82016,NR/2025/29162/A/81882,NR/2025/27782/A/81939,NR/2025/29447/C,NR/2025/26562/A/82096,NR/2025/27100/A/81899,NR/2025/29448/C,NR/2025/29421/C,NR/2025/29444/C,Total
87,21:30-21:45,0,0,0,0,0,20.56,41.11,11.93,53.45,20.87,41.11,20.56,14.16,29,20.56,41.11,11.92,29.2,24.91,0,0,0,28.05,164.46,0,90.45,0,43.97,0,20.56,19.35,0,0,25.74,0,106.41,20.56,1.93,0,217.66,14.66,37.38,43.97,164.46,0,56.05,0,0,0,0,27.09,0,193.48,0,0,0,0,8.71,164.46,7.74,19.35,0.92,96.74,41.11,12.58,5.8,0.97,14.66,0,0,25.23,0,109.8,0,2164.75

88,21:45-22:00,0,0,0,0,0,20.56,41.11,11.93,53.45,20.87,41.11,20.56,14.16,29,20.56,41.11,11.92,29.2,24.91,0,0,0,28.05,164.46,0,90.45,0,43.97,0,20.56,19.35,0,0,25.74,0,106.41,20.56,1.93,0,217.66,14.66,37.38,43.97,164.46,0,56.05,0,0,0,0,27.09,0,193.48,0,0,0,0,8.71,164.46,7.74,19.35,0.92,96.74,41.11,12.58,5.8,0.97,14.66,0,0,25.23,0,109.8,0,2164.75

89,22:00-22:15,0,0,0,0,0,20.56,41.11,11.93,53.45,20.87,41.11,20.56,14.16,29,20.56,41.11,11.92,29.2,24.91,0,0,0,28.05,164.46,0,90.45,0,43.97,0,20.56,19.35,0,0,25.74,0,106.41,20.56,1.93,0,217.66,14.66,37.38,43.97,164.46,0,56.05,0,0,0,0,27.09,0,87.07,0,0,0,0,8.71,164.46,7.74,19.35,0.82,96.74,41.11,11.61,5.8,1.93,14.66,0,0,25.23,0,109.8,0,2058.23

90,22:15-22:30,0,0,0,0,0,20.56,41.11,11.93,53.45,20.87,41.11,20.56,14.16,29,20.56,41.11,11.92,29.2,24.91,0,0,0,28.05,164.46,0,90.45,0,43.97,0,20.56,19.35,0,0,23.38,0,106.41,20.56,1.93,0,217.66,14.66,37.38,43.97,164.46,0,56.05,0,0,0,0,27.09,0,87.07,0,0,0,0,8.71,164.46,7.74,19.35,0.82,96.74,41.11,11.61,5.8,1.93,14.66,0,0,25.23,0,109.8,0,2055.87

91,22:30-22:45,0,0,0,0,0,20.56,41.11,11.93,53.45,20.87,41.11,20.56,14.16,29,20.56,41.11,11.92,29.2,24.91,0,0,0,28.05,164.46,0,90.45,0,43.97,0,20.56,19.35,0,0,23.38,0,106.41,20.56,1.93,0,217.66,14.66,37.38,43.97,164.46,0,56.05,0,0,0,0,27.09,0,87.07,0,0,0,0,8.71,164.46,7.74,19.35,0.82,96.74,41.11,11.61,5.8,1.93,14.66,0,0,25.23,0,109.8,0,2055.87

92,22:45-23:00,0,0,0,0,0,20.56,41.11,11.93,53.45,20.87,41.11,20.56,14.16,29,20.56,41.11,11.92,29.2,24.91,0,0,0,28.05,164.46,0,90.45,0,43.97,0,20.56,19.35,0,0,25.74,0,106.41,20.56,1.93,0,217.66,14.66,37.38,43.97,164.46,0,56.05,0,0,0,0,27.09,0,87.07,0,0,0,0,8.71,164.46,7.74,19.35,0.82,96.74,41.11,11.61,5.8,1.93,14.66,0,0,25.23,0,109.8,0,2058.23

93,23:00-23:15,0,0,0,0,0,20.56,41.11,11.93,53.45,20.87,41.11,20.56,17.4,29,20.56,41.11,11.92,29.2,24.91,0,0,0,28.05,164.46,0,90.45,0,43.97,0,20.56,19.35,0,0,25.74,0,106.41,20.56,1.93,0,217.66,14.66,37.38,43.97,164.46,0,56.05,0,0,0,0,27.09,0,87.07,0,0,0,0,8.71,164.46,7.74,19.35,0.77,96.74,41.11,10.64,5.8,2.9,14.66,0,0,25.23,0,109.8,0,2061.42

94,23:15-23:30,0,0,0,0,0,20.56,41.11,11.93,53.45,20.87,41.11,20.56,17.4,29,20.56,41.11,11.92,29.2,24.91,0,0,0,28.05,164.46,0,90.45,0,43.97,0,20.56,19.35,0,0,25.74,0,106.41,20.56,1.93,0,217.66,14.66,37.38,43.97,164.46,0,56.05,0,0,0,0,27.09,0,87.07,0,0,0,0,8.71,164.46,7.74,19.35,0.77,96.74,41.11,10.64,5.8,2.9,14.66,0,0,25.23,0,109.8,0,2061.42

95,23:30-23:45,0,0,0,0,0,20.56,41.11,11.93,53.45,20.87,41.11,20.56,17.4,26.96,20.56,41.11,11.92,29.2,24.91,0,0,0,28.05,164.46,0,90.45,0,43.97,0,20.56,19.35,0,0,25.74,0,106.41,20.56,1.93,0,217.66,14.66,37.38,43.97,164.46,0,56.05,0,0,0,0,27.09,0,48.37,0,0,0,0,8.71,164.46,7.74,19.35,0.77,96.74,41.11,10.64,5.8,2.9,14.66,0,0,25.23,0,109.8,0,2020.68

96,23:45-24:00,0,0,0,0,0,20.56,41.11,11.93,53.45,20.87,41.11,20.56,17.4,26.96,20.56,41.11,12.19,29.2,24.91,0,0,0,28.05,164.46,0,90.45,0,43.97,0,20.56,19.35,0,0,25.74,0,106.41,20.56,1.93,0,217.66,14.66,37.38,43.97,164.46,0,55.82,0,0,0,0,27.09,0,48.37,0,0,0,0,8.71,164.46,7.74,19.35,0.77,96.74,41.11,10.64,5.8,2.9,14.66,0,0,25.23,0,109.8,0,2020.72

