Column1,Block,NR/30092023/26122029/SH-06,NR/2025/29098/C,GNARE/NR/2024/12/20/3668,NR/2025/29104/C,NR/2025/27356/A/81054,NR/2025/28774/A/80955,NR/2025/29158/C,NR/2025/29160/C,NR/2025/26785/A/80961,NR/2025/27726/A/81569,NR/2025/27168/A/81369,NR/2025/26572/A/81354,NR/2025/26566/A/81352,NR/2025/26571/A/81353,NR/2025/26565/A/81351,NR/2025/27187/A/81563,NR/2025/27185/A/81564,NR/2025/27728/A/81558,NR/2025/26952/A/80931,NR/2025/29211/C,NR/2025/27100/A/81099,NR/2025/26861/A/81366,NR/2025/29225/C,NR/2025/29199/C,NR/2025/26085/A/80901,NR/2025/29262/C,NR/2025/29223/C,NR/2025/27782/A/81556,NR/2025/26777/A/81016,NR/2025/29201/C,NR/2025/27088/A/81424,NR/2025/26860/A/81437,NR/2025/29202/C,NR/2025/27725/A/81559,NR/2025/29203/C,NR/2025/29204/C,NR/2025/29179/C,NR/2025/26445/A/81428,NR/2025/27506/A/80959,NR/2025/29166/C,NR/2025/28851/A/81051,NR/2025/27167/A/81368,NR/2025/27499/A/81414,NR/2025/27242/A/81403,NR/2025/27500/A/80960,NR/2025/28849/A/81049,NR/2025/28719/A/81014,NR/2025/29259/C,NR/2025/26562/A/81350,NR/2025/27162/A/81565,NR/2025/29259/C/Alternate/1,NR/2025/29164/C,NR/2025/26889/A/81417,NR/2025/27281/A/81493,NR/2025/29233/C,NR/2025/29246/C,NR/2025/29205/C,NR/2025/29165/C,NR/2025/27727/A/81557,NR/2025/26975/A/81566,NR/2025/27157/A/81030,NR/30092023/31122025/SH-07,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/16/6051,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/16/8791,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/7663,NR/01082024/19092033/Chanju/TPDDL/01082024,Total
84,20:45-21:00,29,0,0,0,0,0,0,0,0,43.97,24.18,145.11,145.11,0,0,19.35,19.35,37.38,0,0,25.23,193.48,0,234.11,0.92,14.51,0,14.66,193.48,0,192.86,106.41,0,14.66,0,0,0,63.65,1.93,0,38.7,24.18,8.71,48.37,7.74,135.44,13.54,22.69,145.11,56.05,140.37,0,5.8,24.91,0,0,0,0,43.97,27.09,217.66,26.49,48.37,0,48.37,11.92,11.93,0,24.18,62.88,17.41,24.18,0,24.18,48.37,17.87,2845.829999999999

85,21:00-21:15,29,0,0,0,0,0,0,0.97,0,43.97,24.18,145.11,145.11,0,0,19.35,19.35,37.38,0,0,25.23,193.48,0,234.11,0.92,29.02,0,14.66,193.48,0,192.86,106.41,0,14.66,0,0,0,63.65,1.93,0,38.7,24.18,8.71,48.37,7.74,135.44,12.58,146.4,145.11,56.05,0,0,5.8,24.91,0,0,0,0,43.97,27.09,217.66,26.49,48.37,0,48.37,11.92,11.93,0,24.18,62.88,17.41,24.18,0,24.18,48.37,17.87,2843.689999999999

86,21:15-21:30,29,0,0,0,0,0,0,0.97,0,43.97,24.18,145.11,145.11,0,0,19.35,19.35,37.38,0,0,25.23,193.48,0,234.11,0.92,29.02,0,14.66,193.48,0,192.86,106.41,0,14.66,0,0,0,63.65,1.93,0,38.7,24.18,8.71,48.37,7.74,135.44,12.58,146.4,145.11,56.05,0,0,5.8,24.91,0,0,0,0,43.97,27.09,217.66,26.49,48.37,0,48.37,11.92,11.93,0,24.18,62.88,17.41,24.18,0,24.18,48.37,17.87,2843.689999999999

87,21:30-21:45,29,0,0,0,0,0,0,0.97,0,43.97,24.18,145.11,145.11,0,0,19.35,19.35,37.38,0,0,25.23,193.48,0,234.11,0.92,29.02,0,14.66,193.48,0,192.86,106.41,0,14.66,0,0,0,63.65,1.93,0,38.7,24.18,8.71,48.37,7.74,135.44,12.58,146.4,145.11,56.05,0,0,5.8,24.91,0,0,0,0,43.97,27.09,217.66,26.49,48.37,0,48.37,11.92,11.93,0,24.18,62.88,17.41,24.18,0,24.18,48.37,17.87,2843.689999999999

88,21:45-22:00,29,0,0,0,0,0,0,0.97,0,43.97,24.18,145.11,145.11,0,0,19.35,19.35,37.38,0,0,25.23,193.48,0,234.11,0.92,29.02,0,14.66,193.48,0,192.86,106.41,0,14.66,0,0,0,63.65,1.93,0,38.7,24.18,8.71,48.37,7.74,135.44,12.58,146.4,145.11,56.05,0,0,5.8,24.91,0,0,0,0,43.97,27.09,217.66,26.49,48.37,0,48.37,11.92,11.93,0,24.18,62.88,17.41,24.18,0,24.18,48.37,17.87,2843.689999999999

89,22:00-22:15,29,0,0,0,0,0,0,1.93,0,43.97,24.18,145.11,145.11,0,0,19.35,19.35,37.38,0,0,25.23,193.48,0,234.11,0.82,29.02,0,14.66,193.48,0,192.86,106.41,0,14.66,0,0,0,63.65,1.93,0,38.7,24.18,8.71,48.37,7.74,135.44,11.61,146.4,145.11,56.05,0,0,5.8,24.91,0,0,0,0,43.97,27.09,217.66,26.49,48.37,0,48.37,11.92,11.93,0,24.18,62.88,17.41,24.18,0,24.18,48.37,17.87,2843.579999999999

90,22:15-22:30,29,0,0,0,0,0,0,1.93,0,43.97,24.18,145.11,145.11,0,0,19.35,19.35,37.38,0,0,25.23,193.48,0,234.11,0.82,29.02,0,14.66,193.48,0,192.86,106.41,0,14.66,0,0,0,63.65,1.93,0,38.7,24.18,8.71,48.37,7.74,135.44,11.61,146.4,145.11,56.05,0,0,5.8,24.91,0,0,0,0,43.97,27.09,217.66,26.49,48.37,0,48.37,11.92,11.93,0,24.18,62.88,17.41,24.18,0,24.18,48.37,17.87,2843.579999999999

91,22:30-22:45,29,0,0,0,0,0,0,1.93,0,43.97,24.18,145.11,145.11,0,0,19.35,19.35,37.38,0,0,25.23,193.48,0,234.11,0.82,29.02,0,14.66,193.48,0,192.86,106.41,0,14.66,0,0,0,63.65,1.93,0,38.7,24.18,8.71,48.37,7.74,135.44,11.61,146.4,145.11,56.05,0,0,5.8,24.91,0,0,0,0,43.97,27.09,217.66,26.49,48.37,0,48.37,11.92,11.93,0,24.18,62.88,17.41,24.18,0,24.18,48.37,17.87,2843.579999999999

92,22:45-23:00,29,0,0,0,0,0,0,1.93,0,43.97,24.18,145.11,145.11,0,0,19.35,19.35,37.38,0,0,25.23,193.48,0,234.11,0.82,29.02,0,14.66,193.48,0,192.86,106.41,0,14.66,0,0,0,63.65,1.93,0,38.7,24.18,8.71,48.37,7.74,135.44,11.61,146.4,145.11,56.05,0,0,5.8,24.91,0,0,0,0,43.97,27.09,217.66,26.49,48.37,0,48.37,11.92,11.93,0,24.18,62.88,17.41,24.18,0,24.18,48.37,17.87,2843.579999999999

93,23:00-23:15,29,0,0,0,0,0,0,2.9,0,43.97,24.18,145.11,145.11,0,0,19.35,19.35,37.38,0,0,25.23,193.48,0,234.11,0.77,29.02,0,14.66,193.48,0,192.86,106.41,0,14.66,0,0,0,63.65,1.93,0,38.7,24.18,8.71,48.37,7.74,135.44,10.64,146.4,145.11,56.05,0,0,5.8,24.91,0,0,0,0,43.97,27.09,217.66,26.49,48.37,0,48.37,11.92,11.93,0,24.18,62.88,17.41,24.18,0,24.18,48.37,17.4,2843.0599999999995

94,23:15-23:30,29,0,0,0,0,0,0,2.9,0,43.97,24.18,145.11,145.11,0,0,19.35,19.35,37.38,0,0,25.23,193.48,0,234.11,0.77,29.02,0,14.66,193.48,0,192.86,106.41,0,14.66,0,0,0,63.65,1.93,0,38.7,24.18,8.71,48.37,7.74,135.44,10.64,146.4,145.11,56.05,0,0,5.8,24.91,0,0,0,0,43.97,27.09,217.66,26.49,48.37,0,48.37,11.92,11.93,0,24.18,62.88,17.41,24.18,0,24.18,48.37,17.4,2843.0599999999995

95,23:30-23:45,29,0,0,0,0,0,0,2.9,0,43.97,24.18,145.11,145.11,0,0,19.35,19.35,37.38,0,0,25.23,193.48,0,234.11,0.77,29.02,0,14.66,193.48,0,192.86,106.41,0,14.66,0,0,0,63.65,1.93,0,38.7,24.18,8.71,48.37,7.74,135.44,10.64,146.4,145.11,56.05,0,0,5.8,24.91,0,0,0,0,43.97,27.09,217.66,26.49,48.37,0,48.37,11.92,11.93,0,24.18,62.88,17.41,24.18,0,24.18,48.37,17.4,2843.0599999999995

96,23:45-24:00,29,0,0,0,0,0,0,2.9,0,43.97,24.18,145.11,145.11,0,0,19.35,19.35,37.38,0,0,25.23,193.48,0,234.11,0.77,29.02,0,14.66,193.48,0,192.86,106.41,0,14.66,0,0,0,63.65,1.93,0,38.7,24.18,8.71,48.37,7.74,135.44,10.64,146.4,145.11,55.82,0,0,5.8,24.91,0,0,0,0,43.97,27.09,217.66,26.49,48.37,0,48.37,12.19,11.93,0,24.18,62.88,17.41,24.18,0,24.18,48.37,17.4,2843.0999999999995

