Time,Block,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/01102023/23072042/L_NR_2012_04,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/01072024/31072024/R2,NR/01072024/15072024/NR/01072024/15072024/717759,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/30092023/26122029/SH-06,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21158/A/25536,NR/2024/21186/A/25759,NR/2024/20966/A/25446,NR/2024/21096/A/25770,NR/2024/21152/A/25445,NR/2024/21238/A/25793,NR/2024/21375/C,NR/2024/21339/A/25558,NR/2024/21210/A/25453,NR/2024/21243/A/25497,NR/2024/19779/A/25477,NR/2024/21023/A/25516,NR/2024/21321/A/25359,NR/2024/20573/A/25754,NR/2024/21108/A/25763,NR/2024/21087/A/25709,NR/2024/21148/A/25528,NR/2024/21386/C,NR/2024/21103/A/25766,NR/01102023/14082046/L_NR_2021_16,NR/2024/20688/A/25554,NR/2024/21075/A/25792,NR/2024/21144/A/25539,NR/2024/21153/A/25521,NR/2024/20574/A/25752,NR/2024/21159/A/25537,NR/2024/20877/A/25760,NR/2024/21173/A/25708,NR/01102023/02012046/L_NR_2021_17,NR/2024/21227/A/25765,NR/2024/21062/A/25601,NR/2024/21150/A/25523,NR/30092023/31122025/SH-07,NR/2024/21142/A/25454,NR/2024/21199/A/25515,NR/2024/21387/C,NR/2024/21146/A/25534,NR/2024/21104/A/25764,NR/2024/21076/A/25789,NR/2024/21183/A/25790,NR/2024/21089/A/25741,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/2024/21156/A/25522,NR/2024/20711/A/25807,NR/2024/20930/A/25698,NR/2024/21113/A/25735,NR/2024/21072/A/25743,NR/2024/21385/C,NR/2024/21160/A/25535,NR/2024/21099/A/25456,SR/2024/13458/C,NR/2024/21141/A/25455,Total
68,16:45-17:00,0.000000,0.000000,0.000000,12.420000,0.000000,14.340000,0.000000,0.000000,0.000000,26.330000,0.000000,0.000000,0.670000,0.000000,4.820000,120.490000,1.930000,2.890000,240.980000,81.930000,40.970000,134.950000,0.820000,81.930000,11.570000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,20.480000,0.880000,32.000000,40.970000,61.450000,2.41,0.360000,64.660000,90.610000,18.020000,37.240000,0.000000,0.610000,96.390000,163.860000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,2023.2

69,17:00-17:15,0.000000,0.000000,0.000000,12.420000,0.000000,14.340000,0.000000,0.000000,0.000000,26.330000,0.000000,0.000000,0.670000,0.000000,4.820000,120.490000,1.930000,2.890000,240.980000,81.930000,40.970000,134.950000,0.820000,81.930000,11.570000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,20.480000,0.880000,32.000000,40.970000,61.450000,2.12,0.360000,64.660000,90.610000,18.020000,37.240000,0.000000,0.610000,96.390000,163.860000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,2022.91

70,17:15-17:30,0.000000,0.000000,0.000000,12.420000,0.000000,14.340000,0.000000,0.000000,0.000000,26.330000,0.000000,0.000000,0.670000,0.000000,4.820000,120.490000,1.930000,2.890000,240.980000,81.930000,40.970000,134.950000,0.820000,81.930000,11.570000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,20.480000,0.880000,32.000000,40.970000,61.450000,1.74,0.360000,64.660000,90.610000,18.020000,37.240000,0.000000,0.610000,96.390000,163.860000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,2022.53

71,17:30-17:45,0.000000,0.000000,0.000000,12.420000,0.000000,14.340000,0.000000,0.000000,0.000000,26.330000,0.000000,0.000000,0.670000,0.000000,4.820000,120.490000,1.930000,2.890000,240.980000,81.930000,40.970000,134.950000,0.820000,81.930000,11.570000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,20.480000,0.880000,32.000000,40.970000,61.450000,1.35,0.360000,64.660000,90.610000,18.020000,37.240000,0.000000,0.610000,96.390000,163.860000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,2022.14

72,17:45-18:00,0.000000,0.000000,0.000000,12.420000,0.000000,14.340000,0.000000,0.000000,0.000000,26.330000,0.000000,0.000000,0.670000,0.000000,4.820000,120.490000,1.930000,2.890000,240.980000,81.930000,40.970000,134.950000,0.820000,81.930000,11.570000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,20.480000,0.880000,32.000000,40.970000,61.450000,1.06,0.360000,64.660000,90.610000,18.020000,37.240000,0.000000,0.610000,96.390000,163.860000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,2021.85

73,18:00-18:15,81.930000,0.000000,81.930000,12.420000,0.000000,14.340000,20.480000,163.860000,0.000000,26.330000,0.000000,3.960000,0.670000,0.000000,4.820000,120.490000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.820000,0.000000,11.570000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,0.000000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,0.000000,0.880000,32.000000,40.970000,0.000000,0.81,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,47.670000,2061.52

74,18:15-18:30,81.930000,0.000000,81.930000,12.420000,0.000000,14.340000,20.480000,163.860000,0.000000,26.330000,0.000000,3.960000,0.670000,0.000000,4.820000,120.490000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.820000,0.000000,11.570000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,0.000000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,0.000000,0.880000,32.000000,40.970000,0.000000,0.48,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,47.670000,2061.19

75,18:30-18:45,81.930000,0.000000,81.930000,12.420000,0.000000,14.340000,20.480000,163.860000,0.000000,26.330000,0.000000,3.960000,0.670000,0.000000,4.820000,91.570000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.820000,0.000000,11.570000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,0.000000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,0.000000,0.880000,32.000000,40.970000,0.000000,0.18,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,47.670000,2031.97

76,18:45-19:00,81.930000,0.000000,81.930000,12.420000,0.000000,14.340000,20.480000,163.860000,0.000000,26.330000,0.000000,3.960000,0.670000,0.000000,4.820000,91.570000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.820000,0.000000,11.570000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,0.000000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,0.000000,0.880000,32.000000,40.970000,0.000000,0,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,47.670000,2031.79

77,19:00-19:15,81.930000,0.000000,81.930000,12.420000,0.000000,14.340000,20.480000,163.860000,0.000000,24.280000,0.000000,3.960000,0.670000,0.000000,4.820000,91.570000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.820000,0.000000,11.570000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,0.000000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,0.000000,0.880000,32.000000,40.970000,0.000000,0,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,395.00,47.670000,2424.74

78,19:15-19:30,81.930000,0.000000,81.930000,12.420000,0.000000,14.340000,20.480000,163.860000,0.000000,24.280000,0.000000,3.960000,0.670000,0.000000,4.820000,91.570000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.820000,0.000000,11.570000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,0.000000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,0.000000,0.880000,32.000000,40.970000,0.000000,0,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,400.00,47.670000,2429.74

79,19:30-19:45,81.930000,0.000000,81.930000,12.420000,0.000000,14.340000,20.480000,163.860000,0.000000,24.280000,0.000000,3.960000,0.670000,0.000000,4.820000,91.570000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.820000,0.000000,11.570000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,0.000000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,0.000000,0.880000,32.000000,40.970000,0.000000,0,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,400.00,47.670000,2429.74

80,19:45-20:00,81.930000,0.000000,81.930000,12.420000,0.000000,14.340000,20.480000,163.860000,0.000000,24.280000,0.000000,3.960000,0.670000,0.000000,4.820000,91.570000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.820000,0.000000,11.570000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,0.000000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,0.000000,0.880000,32.000000,40.970000,0.000000,0,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,350.00,47.670000,2379.74

81,20:00-20:15,81.930000,0.000000,81.930000,12.420000,0.000000,14.340000,20.480000,163.860000,0.000000,24.740000,0.000000,3.960000,0.670000,0.000000,4.820000,91.570000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.870000,0.000000,11.570000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,0.000000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,0.000000,0.880000,32.000000,40.970000,0.000000,0,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,385.00,47.670000,2415.25

82,20:15-20:30,81.930000,0.000000,81.930000,12.420000,0.000000,14.340000,20.480000,163.860000,0.000000,24.740000,0.000000,3.960000,0.670000,0.000000,4.820000,91.570000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.870000,0.000000,11.570000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,0.000000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,0.000000,0.880000,32.000000,40.970000,0.000000,0,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,359.00,47.670000,2389.25

83,20:30-20:45,81.930000,0.000000,81.930000,12.420000,0.000000,14.340000,20.480000,163.860000,0.000000,24.740000,0.000000,3.960000,0.670000,0.000000,4.820000,91.570000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.870000,0.000000,11.570000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,0.000000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,0.000000,0.880000,32.000000,40.970000,0.000000,0,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,334.00,47.670000,2364.25

84,20:45-21:00,81.930000,0.000000,81.930000,12.420000,0.000000,14.340000,20.480000,163.860000,0.000000,24.740000,0.000000,3.960000,0.670000,0.000000,4.820000,91.570000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.870000,0.000000,11.570000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,0.000000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,0.000000,0.880000,32.000000,40.970000,0.000000,0,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,304.00,47.670000,2334.25

85,21:00-21:15,81.930000,0.000000,81.930000,12.420000,0.000000,14.340000,20.480000,163.860000,0.000000,26.910000,0.000000,3.960000,0.670000,0.000000,4.820000,91.570000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.870000,0.000000,11.570000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,0.000000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,0.000000,0.880000,26.910000,40.970000,0.000000,0,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,275.00,47.670000,2302.33

86,21:15-21:30,81.930000,0.000000,81.930000,12.420000,0.000000,14.340000,20.480000,163.860000,0.000000,26.910000,0.000000,3.960000,0.670000,0.000000,4.820000,91.570000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.870000,0.000000,11.570000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,0.000000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,0.000000,0.880000,26.910000,40.970000,0.000000,0,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,229.00,47.670000,2256.33

87,21:30-21:45,81.930000,0.000000,81.930000,12.420000,0.000000,14.340000,20.480000,163.860000,0.000000,26.910000,0.000000,3.960000,0.670000,0.000000,4.820000,91.570000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.870000,0.000000,11.570000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,0.000000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,0.000000,0.880000,26.910000,40.970000,0.000000,0,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,157.00,47.670000,2184.33

88,21:45-22:00,81.930000,0.000000,81.930000,12.420000,0.000000,14.340000,20.480000,163.860000,0.000000,26.910000,0.000000,3.960000,0.670000,0.000000,4.820000,91.570000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.870000,0.000000,11.570000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,0.000000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,0.000000,0.880000,26.910000,40.970000,0.000000,0,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,83.00,47.670000,2110.33

89,22:00-22:15,81.930000,0.000000,81.930000,12.420000,0.000000,14.340000,20.480000,163.860000,0.000000,26.910000,0.000000,0.000000,0.670000,0.000000,4.820000,91.570000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.870000,0.000000,9.640000,72.290000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,0.000000,0.480000,1.590000,24.100000,0.880000,96.390000,20.720000,0,12.190000,0.000000,0.880000,26.910000,40.970000,0.000000,0,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,84.00,47.670000,2214.02

90,22:15-22:30,81.930000,0.000000,81.930000,12.420000,0.000000,14.340000,20.480000,163.860000,0.000000,26.910000,0.000000,0.000000,0.670000,0.000000,4.820000,91.570000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.870000,0.000000,9.640000,72.290000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,0.000000,0.480000,1.590000,24.100000,0.880000,96.390000,20.720000,0,12.190000,0.000000,0.880000,26.910000,40.970000,0.000000,0,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,47.670000,2130.02

91,22:30-22:45,81.930000,0.000000,81.930000,12.420000,0.000000,14.340000,20.480000,163.860000,0.000000,26.910000,0.000000,0.000000,0.670000,0.000000,4.820000,308.450000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.870000,0.000000,9.640000,72.290000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,0.000000,0.480000,1.590000,24.100000,0.880000,96.390000,20.720000,0,12.190000,0.000000,0.880000,26.910000,40.970000,0.000000,0,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,47.670000,2346.9

92,22:45-23:00,81.930000,0.000000,81.930000,12.420000,0.000000,14.340000,20.480000,163.860000,0.000000,26.910000,0.000000,0.000000,0.670000,0.000000,4.820000,308.450000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.870000,0.000000,9.640000,72.290000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,0.000000,0.480000,1.590000,24.100000,0.880000,96.390000,20.720000,0,12.190000,0.000000,0.880000,26.910000,40.970000,0.000000,0,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,47.670000,2346.9

93,23:00-23:15,81.930000,0.000000,81.930000,12.420000,0.000000,14.340000,20.480000,163.860000,0.000000,26.910000,0.000000,0.000000,0.670000,0.000000,4.820000,308.450000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.820000,0.000000,8.680000,72.290000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,0.000000,0.480000,1.590000,24.100000,0.880000,96.390000,20.720000,0,12.190000,0.000000,0.880000,26.910000,40.970000,0.000000,0,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,47.670000,2345.89

94,23:15-23:30,81.930000,0.000000,81.930000,12.420000,0.000000,14.340000,20.480000,163.860000,0.000000,26.910000,0.000000,0.000000,0.670000,0.000000,4.820000,308.450000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.820000,0.000000,8.680000,72.290000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,0.000000,0.480000,1.590000,24.100000,0.880000,96.390000,20.720000,0,12.190000,0.000000,0.880000,26.910000,40.970000,0.000000,0,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,47.670000,2345.89

95,23:30-23:45,81.930000,0.000000,81.930000,12.420000,0.000000,14.340000,20.480000,163.860000,0.000000,26.910000,0.000000,0.000000,0.670000,0.000000,4.820000,308.450000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.820000,0.000000,8.680000,72.290000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,0.000000,0.480000,1.590000,24.100000,0.880000,96.390000,20.720000,0,12.190000,0.000000,0.880000,26.910000,40.970000,0.000000,0,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,47.670000,2345.89

96,23:45-24:00,81.930000,0.000000,81.930000,12.420000,0.000000,14.340000,20.480000,163.860000,0.000000,26.910000,0.000000,0.000000,0.670000,0.000000,4.820000,308.450000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.820000,0.000000,8.680000,72.290000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,0.000000,0.480000,1.590000,24.100000,0.880000,96.390000,20.720000,0,12.190000,0.000000,0.880000,26.910000,40.970000,0.000000,0,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,47.670000,2345.89

