Column1,Block,GNA/NR/2025/06/01/2868,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,NR/2025/28774/A/81181,NR/2025/27356/A/81332,GNARE/NR/2024/12/20/3668,NR/2025/27499/A/81706,NR/2025/27088/A/81804,NR/2025/27167/A/81698,NR/2025/26562/A/81727,NR/2025/27782/A/81671,NR/2025/27726/A/81674,NR/2025/27725/A/81675,NR/2025/27168/A/81699,NR/2025/28851/A/81331,NR/2025/26952/A/81216,NR/2025/26777/A/81287,NR/2025/26785/A/81197,NR/2025/26860/A/81636,NR/2025/27727/A/81672,NR/2025/26975/A/81681,NR/2025/27242/A/81404,NR/2025/27506/A/81191,NR/2025/27500/A/81195,NR/2025/28719/A/81280,NR/2025/26565/A/81726,NR/2025/29162/A/81670,NR/2025/27100/A/81293,NR/2025/26566/A/81725,NR/2025/27162/A/81680,NR/2025/26889/A/81707,NR/2025/27281/A/81802,NR/2025/26445/A/81820,NR/2025/26861/A/81722,NR/2025/28849/A/81330,NR/2025/27187/A/81678,NR/2025/26572/A/81723,NR/2025/27157/A/81302,NR/2025/26571/A/81724,NR/2025/26085/A/81148,NR/2025/27185/A/81679,NR/2025/29338/C,NR/2025/29339/C,SR/2025/17633/C,NR/2025/29347/C,NR/2025/29215/C,NR/2025/27728/A/81673,NR/2025/29348/C,NR/2025/29185/C,NR/2025/29349/C,NR/2025/29350/C,NR/2025/29351/C,NR/2025/29198/C,NR/2025/29300/C,NR/2025/29336/C,NR/2025/29324/C,NR/2025/29317/C,NR/2025/29267/C,GNA/NR/2025/06/16/6051,NR/2025/29315/C,GNA/NR/2025/06/01/9719,NR/2025/29311/C,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/16/8791,GNA/NR/2025/06/01/4973,NR/30092023/26122029/SH-06,Total
88,21:45-22:00,29.2,14.16,26.56,0,0,0,8.71,164.46,20.56,0,14.66,43.97,14.66,20.56,38.7,0,164.46,0,106.41,43.97,27.09,41.11,1.93,7.74,12.58,0,0.97,25.23,0,56.05,5.8,24.91,66.56,164.46,135.44,19.35,0,217.66,0,0.92,19.35,28.05,164.7,241.85,0,0,37.38,0,0,0,0,0,0,243.78,0,0,0,0,0,0,20.56,0,11.92,20.56,41.11,20.56,0,53.45,41.11,11.93,0,41.11,29,2545.26

89,22:00-22:15,29.2,14.16,26.56,0,0,0,8.71,164.46,20.56,0,14.66,43.97,14.66,20.56,38.7,0,164.46,0,106.41,43.97,27.09,41.11,1.93,7.74,11.61,0,1.93,25.23,0,56.05,5.8,24.91,66.56,164.46,135.44,19.35,0,217.66,0,0.82,19.35,28.05,164.7,145.11,0,0,37.38,0,0,0,0,0,0,243.78,0,0,0,0,0,0,20.56,0,11.92,20.56,41.11,20.56,0,53.45,41.11,11.93,0,41.11,29,2448.41

90,22:15-22:30,29.2,14.16,26.56,0,0,0,8.71,164.46,20.56,0,14.66,43.97,14.66,20.56,38.7,0,164.46,0,106.41,43.97,27.09,41.11,1.93,7.74,11.61,0,1.93,25.23,0,56.05,5.8,24.91,66.56,164.46,135.44,19.35,0,217.66,0,0.82,19.35,28.05,164.7,145.11,0,0,37.38,0,0,0,0,0,0,243.78,0,0,0,0,0,0,20.56,0,11.92,20.56,41.11,20.56,0,53.45,41.11,11.93,0,41.11,29,2448.41

91,22:30-22:45,29.2,14.16,21.62,0,0,0,8.71,164.46,20.56,0,14.66,43.97,14.66,20.56,38.7,0,164.46,0,106.41,43.97,27.09,41.11,1.93,7.74,11.61,0,1.93,25.23,0,56.05,5.8,24.91,66.56,164.46,135.44,19.35,0,217.66,0,0.82,19.35,28.05,164.7,71.59,0,0,37.38,0,0,0,0,0,0,243.78,0,0,0,0,0,0,20.56,0,11.92,20.56,41.11,20.56,0,53.45,41.11,11.93,0,41.11,29,2369.95

92,22:45-23:00,29.2,14.16,21.62,0,0,0,8.71,164.46,20.56,0,14.66,43.97,14.66,20.56,38.7,0,164.46,0,106.41,43.97,27.09,41.11,1.93,7.74,11.61,0,1.93,25.23,0,56.05,5.8,24.91,66.56,164.46,135.44,19.35,0,217.66,0,0.82,19.35,28.05,164.7,71.59,0,0,37.38,0,0,0,0,0,0,243.78,0,0,0,0,0,0,20.56,0,11.92,20.56,41.11,20.56,0,53.45,41.11,11.93,0,41.11,29,2369.95

93,23:00-23:15,29.2,16.94,21.62,0,0,0,8.71,164.46,20.56,0,14.66,43.97,14.66,20.56,38.7,0,164.46,0,106.41,43.97,27.09,41.11,1.93,7.74,10.64,0,2.9,25.23,0,56.05,5.8,24.91,66.56,164.46,135.44,19.35,0,217.66,0,0.77,19.35,28.05,164.7,48.37,0,0,37.38,0,0,0,0,0,0,243.78,0,0,0,0,0,0,20.56,0,11.92,20.56,41.11,20.56,0,53.45,41.11,11.93,0,41.11,29,2349.46

94,23:15-23:30,29.2,16.94,21.62,0,0,0,8.71,164.46,20.56,0,14.66,43.97,14.66,20.56,38.7,0,164.46,0,106.41,43.97,27.09,41.11,1.93,7.74,10.64,0,2.9,25.23,0,56.05,5.8,24.91,66.56,164.46,135.44,19.35,0,217.66,0,0.77,19.35,28.05,164.7,48.37,0,0,37.38,0,0,0,0,0,0,243.78,0,0,0,0,0,0,20.56,0,11.92,20.56,41.11,20.56,0,53.45,41.11,11.93,0,41.11,29,2349.46

95,23:30-23:45,29.2,16.94,25.31,0,0,0,8.71,164.46,20.56,0,14.66,43.97,14.66,20.56,38.7,0,164.46,0,106.41,43.97,27.09,41.11,1.93,7.74,10.64,0,2.9,25.23,0,56.05,5.8,24.91,66.56,164.46,135.44,19.35,0,217.66,0,0.77,19.35,28.05,164.7,48.37,0,0,37.38,0,0,0,0,0,0,243.78,0,0,0,0,0,0,20.56,0,11.92,20.56,41.11,20.56,0,53.45,41.11,11.93,0,41.11,25.31,2349.46

96,23:45-24:00,29.2,16.94,25.31,0,0,0,8.71,164.46,20.56,0,14.66,43.97,14.66,20.56,38.7,0,164.46,0,106.41,43.97,27.09,41.11,1.93,7.74,10.64,0,2.9,25.23,0,55.82,5.8,24.91,66.56,164.46,135.44,19.35,0,217.66,0,0.77,19.35,28.05,164.7,58.04,0,0,37.38,0,0,0,0,0,0,243.78,0,0,0,0,0,0,20.56,0,12.19,20.56,41.11,20.56,0,53.45,41.11,11.93,0,41.11,25.31,2359.17

