Column1,Block,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/2569,NR/30092023/31122025/SH-07,GNA/NR/2025/06/16/8791,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/20/3628,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/16/6051,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/5280,NR/2025/28774/A/82387,NR/2025/27356/A/82505,NR/2025/26566/A/82850,NR/2025/26861/A/82799,NR/2025/29711/C,NR/2025/27176/A/82878,NR/2025/29712/C,NR/2025/26889/A/82865,NR/2025/26572/A/82852,NR/2025/27725/A/82873,NR/2025/26571/A/82851,GNARE/NR/2024/12/20/3668,NR/2025/26085/A/82353,NR/2025/27088/A/82892,NR/2025/27728/A/82871,NR/2025/26785/A/82400,NR/2025/27167/A/82840,NR/2025/26860/A/82789,NR/2025/27726/A/82872,NR/2025/27727/A/82870,NR/2025/27187/A/82876,NR/2025/26565/A/82849,NR/2025/27185/A/82877,NR/2025/29451/A/82503,NR/2025/26952/A/82398,NR/2025/27506/A/82397,NR/2025/27168/A/82841,NR/2025/26777/A/82454,NR/2025/26975/A/82879,NR/2025/29710/C,NR/2025/29648/C,NR/2025/29681/C,NR/2025/27242/A/82523,NR/2025/29702/C,NR/2025/28719/A/82450,NR/2025/29703/C,NR/2025/27281/A/82941,NR/2025/29682/C,NR/2025/29162/A/82451,NR/2025/27499/A/82864,NR/2025/29631/C,NR/2025/29674/C,NR/2025/29687/C,NR/2025/29699/C,NR/2025/27500/A/82399,NR/2025/29632/C,NR/2025/29713/C,NR/2025/27100/A/82458,NR/2025/29714/C,NR/2025/27782/A/82869,NR/2025/29568/C,NR/2025/26445/A/82896,NR/2025/27157/A/82460,NR/2025/29646/C,NR/2025/29559/C,NR/2025/29647/C,NR/2025/26562/A/82848,Total
86,21:15-21:30,16,20.54,0,20.54,12.92,41.07,20.54,53.39,29,0,41.07,20.85,29,41.07,0,11.91,11.92,0,0,144.96,164.29,0,106.3,0,5.8,144.96,14.64,0,0,0.92,164.29,37.34,0,20.54,90.36,43.92,43.92,19.33,0,19.33,96.64,0,1.93,20.54,164.29,27.06,0,0,0,41.07,28.03,12.56,164.53,24.88,0,0.97,8.7,0,0,0,0,7.73,0,0,25.2,0,7.73,0,96.64,217.44,0,0,0,144.96,2481.62

87,21:30-21:45,16,20.54,0,20.54,12.92,41.07,20.54,53.39,29,0,41.07,20.85,29,41.07,0,11.91,11.92,0,0,144.96,164.29,0,106.3,0,5.8,144.96,14.64,0,0,0.92,164.29,37.34,0,20.54,90.36,43.92,43.92,19.33,0,19.33,96.64,0,1.93,20.54,164.29,27.06,0,0,0,41.07,28.03,12.56,164.53,24.88,0,0.97,8.7,0,0,0,0,7.73,0,0,25.2,0,7.73,0,96.64,217.44,0,0,0,144.96,2481.62

88,21:45-22:00,16,20.54,0,20.54,12.92,41.07,20.54,53.39,29,0,41.07,20.85,29,41.07,0,11.91,11.92,0,0,144.96,164.29,0,106.3,0,5.8,144.96,14.64,0,0,0.92,164.29,37.34,0,20.54,90.36,43.92,43.92,19.33,0,19.33,96.64,0,1.93,20.54,164.29,27.06,0,0,0,41.07,28.03,12.56,164.53,24.88,0,0.97,8.7,0,0,0,0,7.73,0,0,25.2,0,7.73,0,96.64,217.44,0,0,0,144.96,2481.62

89,22:00-22:15,16,20.54,0,20.54,12.92,41.07,20.54,53.39,29,0,41.07,20.85,29,41.07,0,11.91,11.92,0,0,144.96,164.29,0,106.3,0,5.8,144.96,14.64,0,0,0.82,164.29,37.34,0,20.54,90.36,43.92,43.92,19.33,0,19.33,96.64,0,1.93,20.54,164.29,27.06,0,0,0,41.07,28.03,11.6,164.53,24.88,0,1.93,8.7,0,0,0,0,7.73,0,0,25.2,0,7.73,0,96.64,217.44,0,0,0,144.96,2481.52

90,22:15-22:30,16,20.54,0,20.54,12.92,41.07,20.54,53.39,29,0,41.07,20.85,29,41.07,0,11.91,11.92,0,0,144.96,164.29,0,106.3,0,5.8,144.96,14.64,0,0,0.82,164.29,37.34,0,20.54,90.36,43.92,43.92,19.33,0,19.33,96.64,0,1.93,20.54,164.29,27.06,0,0,0,41.07,28.03,11.6,164.53,24.88,0,1.93,8.7,0,0,0,0,7.73,0,0,25.2,0,7.73,0,96.64,217.44,0,0,0,144.96,2481.52

91,22:30-22:45,16,20.54,0,20.54,12.92,41.07,20.54,53.39,29,0,41.07,20.85,29,41.07,0,11.91,11.92,0,0,144.96,164.29,0,106.3,0,5.8,144.96,14.64,0,0,0.82,164.29,37.34,0,20.54,90.36,43.92,43.92,19.33,0,19.33,96.64,0,1.93,20.54,164.29,27.06,0,0,0,41.07,28.03,11.6,164.53,24.88,0,1.93,8.7,0,0,0,0,7.73,0,0,25.2,0,7.73,0,96.64,217.44,0,0,0,144.96,2481.52

92,22:45-23:00,16,20.54,0,20.54,12.92,41.07,20.54,53.39,29,0,41.07,20.85,29,41.07,0,11.91,11.92,0,0,144.96,164.29,0,106.3,0,5.8,144.96,14.64,0,0,0.82,164.29,37.34,0,20.54,90.36,43.92,43.92,19.33,0,19.33,96.64,0,1.93,20.54,164.29,27.06,0,0,0,41.07,28.03,11.6,164.53,24.88,0,1.93,8.7,0,0,0,0,7.73,0,0,25.2,0,7.73,0,96.64,217.44,0,0,0,144.96,2481.52

93,23:00-23:15,16,20.54,0,20.54,12.92,41.07,20.54,53.39,8.99,0,41.07,20.85,29,41.07,0,11.91,11.92,0,0,144.96,164.29,0,106.3,0,5.8,144.96,14.64,0,0,0.77,164.29,37.34,0,20.54,90.36,43.92,43.92,19.33,0,19.33,96.64,0,1.93,20.54,164.29,27.06,0,0,0,41.07,28.03,10.63,164.53,24.88,0,2.9,8.7,0,0,0,0,7.73,0,0,25.2,0,7.73,0,96.64,217.44,0,0,0,144.96,2461.46

94,23:15-23:30,16,20.54,0,20.54,12.92,41.07,20.54,53.39,8.99,0,41.07,20.85,29,41.07,0,11.91,11.92,0,0,144.96,164.29,0,106.3,0,5.8,144.96,14.64,0,0,0.77,164.29,37.34,0,20.54,90.36,43.92,43.92,19.33,0,19.33,96.64,0,1.93,20.54,164.29,27.06,0,0,0,41.07,28.03,10.63,164.53,24.88,0,2.9,8.7,0,0,0,0,7.73,0,0,25.2,0,7.73,0,96.64,217.44,0,0,0,144.96,2461.46

95,23:30-23:45,16,20.54,0,20.54,12.92,41.07,20.54,53.39,8.99,0,41.07,20.85,29,41.07,0,11.91,11.92,0,0,144.96,164.29,0,106.3,0,5.8,144.96,14.64,0,0,0.77,164.29,37.34,0,20.54,90.36,43.92,43.92,19.33,0,19.33,96.64,0,1.93,20.54,164.29,27.06,0,0,0,41.07,28.03,10.63,164.53,24.88,0,2.9,8.7,0,0,0,0,7.73,0,0,25.2,0,7.73,0,96.64,217.44,0,0,0,144.96,2461.46

96,23:45-24:00,16,20.54,0,20.54,12.92,41.07,20.54,53.39,8.99,0,41.07,20.85,29,41.07,0,12.18,11.92,0,0,144.96,164.29,0,106.3,0,5.8,144.96,14.64,0,0,0.77,164.29,37.34,0,20.54,90.36,43.92,43.92,19.33,0,19.33,96.64,0,1.93,20.54,164.29,27.06,0,0,0,41.07,28.03,10.63,164.53,24.88,0,2.9,8.7,0,0,0,0,7.73,0,0,25.2,0,7.73,0,96.64,217.44,0,0,0,144.96,2461.73

