Column1,Block,NR/2025/27356/A/82215,NR/2025/26571/A/82547,NR/2025/27782/A/82591,GNA/NR/2025/06/16/8791,NR/2025/27167/A/82203,NR/2025/26565/A/82544,NR/2025/26562/A/82543,NR/2025/27725/A/82621,NR/2025/26952/A/82148,GNA/NR/2025/06/01/7786,NR/2025/26889/A/82570,NR/2025/27100/A/82195,GNA/NR/2025/06/01/7663,NR/2025/27168/A/82204,NR/2025/26566/A/82546,NR/2025/26085/A/82106,NR/2025/26975/A/82632,NR/2025/27088/A/82682,NR/2025/27281/A/82660,NR/2025/26445/A/82691,NR/2025/27157/A/82186,NR/2025/27185/A/82630,NR/2025/26777/A/82183,NR/2025/27176/A/82631,NR/2025/26860/A/82487,NR/2025/27500/A/82069,NR/2025/27727/A/82598,NR/2025/26785/A/82070,NR/2025/27242/A/82273,GNA/NR/2025/06/01/2569,NR/2025/27499/A/82569,NR/2025/28719/A/82173,NR/2025/29162/A/82174,NR/2025/26861/A/82551,NR/2025/27506/A/82068,NR/2025/27187/A/82629,NR/2025/26572/A/82548,GNA/NR/2025/06/01/4973,NR/2025/29567/C,NR/2025/29557/C,NR/2025/29594/C,NR/2025/29558/C,NR/2025/29596/C,NR/2025/29562/C,NR/2025/29597/C,NR/2025/27726/A/82618,NR/2025/29542/C,NR/2025/29595/C,NR/2025/28774/A/82064,NR/2025/29603/C,NR/2025/29486/C,GNARE/NR/2024/12/20/3668,NR/2025/29600/C,NR/2025/29484/C,NR/2025/29597/C/Alternate/1,NR/2025/29509/C,NR/2025/29593/C,NR/2025/29598/C,NR/2025/29556/C,NR/2025/29599/C,NR/2025/27728/A/82614,NR/2025/29566/C,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/20/3628,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/16/6051,GNA/NR/2025/06/01/4444,Total
86,21:15-21:30,0,0,8.06,0,16.93,0,145.11,8.06,0,33.86,5.8,25.23,33.86,16.93,145.11,0.92,27.09,135.44,24.91,48.37,217.66,19.35,135.44,106.41,74.49,7.74,24.18,0,33.86,44.02,8.71,9.67,3.87,135.44,1.93,19.35,145.11,33.86,0,0,0,0,0,0,164.7,24.18,0,0,0,0,0,0,0,0,0,0,0,28.05,0,0,24.18,0,26.95,26.95,18.33,12.6,16.93,20.87,16.93,16.93,11.92,11.93,0,0,2118.22

87,21:30-21:45,0,0,8.06,0,16.93,0,145.11,8.06,0,33.86,5.8,25.23,33.86,16.93,145.11,0.92,27.09,135.44,24.91,48.37,217.66,19.35,135.44,106.41,74.49,7.74,24.18,0,33.86,44.02,8.71,9.67,3.87,135.44,1.93,19.35,145.11,33.86,0,0,0,0,0,0,164.7,24.18,0,0,0,0,0,0,0,0,0,0,0,28.05,0,0,24.18,0,26.95,26.95,18.33,12.6,16.93,20.87,16.93,16.93,11.92,11.93,0,0,2118.22

88,21:45-22:00,0,0,8.06,0,16.93,0,145.11,8.06,0,33.86,5.8,25.23,33.86,16.93,145.11,0.92,27.09,135.44,24.91,48.37,217.66,19.35,135.44,106.41,74.49,7.74,24.18,0,33.86,44.02,8.71,9.67,3.87,135.44,1.93,19.35,145.11,33.86,0,0,0,0,0,0,164.7,24.18,0,0,0,0,0,0,0,0,0,0,0,28.05,0,0,24.18,0,26.95,26.95,18.33,12.6,16.93,20.87,16.93,16.93,11.92,11.93,0,0,2118.22

89,22:00-22:15,0,0,8.06,0,16.93,0,145.11,8.06,0,33.86,5.8,25.23,33.86,16.93,145.11,0.82,27.09,135.44,24.91,48.37,217.66,19.35,135.44,106.41,74.49,7.74,24.18,0,33.86,44.02,8.71,9.67,3.87,135.44,1.93,19.35,145.11,33.86,0,0,0,0,0,0,164.7,24.18,0,0,0,0,0,0,0,0,0,0,0,28.05,0,0,24.18,0,26.95,26.95,18.15,12.6,16.93,20.87,16.93,16.93,11.92,11.93,0,0,2117.9399999999996

90,22:15-22:30,0,0,8.06,0,16.93,0,145.11,8.06,0,33.86,5.8,25.23,33.86,16.93,145.11,0.82,27.09,135.44,24.91,48.37,217.66,19.35,135.44,106.41,74.49,7.74,24.18,0,33.86,44.02,8.71,9.67,3.87,135.44,1.93,19.35,145.11,33.86,0,0,0,0,0,0,164.7,24.18,0,0,0,0,0,0,0,0,0,0,0,28.05,0,0,24.18,0,26.95,26.95,18.15,12.6,16.93,20.87,16.93,16.93,11.92,11.93,0,0,2117.9399999999996

91,22:30-22:45,0,0,8.06,0,16.93,0,145.11,8.06,0,33.86,5.8,25.23,33.86,16.93,145.11,0.82,27.09,135.44,24.91,48.37,217.66,19.35,135.44,106.41,74.49,7.74,24.18,0,33.86,44.02,8.71,9.67,3.87,135.44,1.93,19.35,145.11,33.86,0,0,0,0,0,0,164.7,24.18,0,0,0,0,0,0,0,0,0,0,0,28.05,0,0,24.18,0,26.95,26.95,11.39,12.6,16.93,20.87,16.93,16.93,11.92,11.93,0,0,2111.18

92,22:45-23:00,0,0,8.06,0,16.93,0,145.11,8.06,0,33.86,5.8,25.23,33.86,16.93,145.11,0.82,27.09,135.44,24.91,48.37,217.66,19.35,135.44,106.41,74.49,7.74,24.18,0,33.86,44.02,8.71,9.67,3.87,135.44,1.93,19.35,145.11,33.86,0,0,0,0,0,0,164.7,24.18,0,0,0,0,0,0,0,0,0,0,0,28.05,0,0,24.18,0,26.95,26.95,11.39,12.6,16.93,20.87,16.93,16.93,11.92,11.93,0,0,2111.18

93,23:00-23:15,0,0,8.06,0,16.93,0,145.11,8.06,0,33.86,5.8,25.23,33.86,16.93,145.11,0.77,27.09,135.44,24.91,48.37,217.66,19.35,135.44,106.41,74.49,7.74,24.18,0,33.86,44.02,8.71,9.67,3.87,135.44,1.93,19.35,145.11,33.86,0,0,0,0,0,0,164.7,24.18,0,0,0,0,0,0,0,0,0,0,0,28.05,0,0,24.18,0,25.44,25.44,11.39,12.6,16.93,20.87,16.93,16.93,11.92,11.93,0,0,2108.11

94,23:15-23:30,0,0,8.06,0,16.93,0,145.11,8.06,0,33.86,5.8,25.23,33.86,16.93,145.11,0.77,27.09,135.44,24.91,48.37,217.66,19.35,135.44,106.41,74.49,7.74,24.18,0,33.86,44.02,8.71,9.67,3.87,135.44,1.93,19.35,145.11,33.86,0,0,0,0,0,0,164.7,24.18,0,0,0,0,0,0,0,0,0,0,0,28.05,0,0,24.18,0,25.44,25.44,11.39,12.6,16.93,20.87,16.93,16.93,11.92,11.93,0,0,2108.11

95,23:30-23:45,0,0,8.06,0,16.93,0,145.11,8.06,0,33.86,5.8,25.23,33.86,16.93,145.11,0.77,27.09,135.44,24.91,48.37,217.66,19.35,135.44,106.41,74.49,7.74,24.18,0,33.86,44.02,8.71,9.67,3.87,135.44,1.93,19.35,145.11,33.86,0,0,0,0,0,0,164.7,24.18,0,0,0,0,0,0,0,0,0,0,0,28.05,0,0,24.18,0,25.44,25.44,11.39,12.6,16.93,20.87,16.93,16.93,11.92,11.93,0,0,2108.11

96,23:45-24:00,0,0,8.06,0,16.93,0,145.11,8.06,0,33.86,5.8,25.23,33.86,16.93,145.11,0.77,27.09,135.44,24.91,48.37,217.66,19.35,135.44,106.41,74.49,7.74,24.18,0,33.86,44.02,8.71,9.67,3.87,135.44,1.93,19.35,145.11,33.86,0,0,0,0,0,0,164.7,24.18,0,0,0,0,0,0,0,0,0,0,0,28.05,0,0,24.18,0,25.44,25.44,11.39,12.6,16.93,20.87,16.93,16.93,12.19,11.93,0,0,2108.38

