Time,Block,NR/2023/13859/A,NR/2023/13704/A,NR/2023/14113/F,NR/2023/14117/F,NR/2023/11325/A,NR/2023/11204/A,NR/2023/14118/F,NR/2023/14481/C,NR/2023/11524/A,NR/2023/14442/D,NR/2023/14443/D,NR/2023/13284/A,NR/2023/12646/A,NR/2023/14119/F,NR/2023/14449/D,NR/2023/11892/A,NR/2023/11328/A,NR/2023/11315/A,NR/2023/14120/F,NR/2023/11469/A,NR/2023/13858/A,NR/2023/14472/C,NR/2023/11203/A,NR/2023/13283/A,NR/2023/11458/A,NR/2023/14187/F,NR/2023/14485/C,NR/2023/14464/C,NR/2023/11470/A,NR/2023/14114/F,NR/2023/11739/A,NR/2023/11697/A,NR/2023/11954/A,NR/2023/14116/F,NR/2023/13573/A,NR/2023/13704/A/II,NR/2023/14482/C,NR/2023/14115/F,NR/2023/11654/A,NR/2023/14448/D,NR/2023/11264/A,NR/2023/11205/A,NR/2023/13983/F,NR/2023/11521/A,NR/2023/13983/F/II,NR/2023/14136/F,NR/2023/13573/A/II,NR/2023/13283/A/II,NR/2023/14121/F,NR/2023/14452/D,NR/2023/14441/D,NR/2023/14451/D,Total
90,22:15-22:30,141.910000,6.760000,0.380000,0.930000,24.140000,83.020000,0.870000,48.270000,193.080000,147.460000,45.370000,77.710000,23.100000,1.010000,0.000000,66.520000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,0.000000,91.710000,9.650000,146.740000,19.030000,21.240000,0.520000,42.470000,33.310000,36.420000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,0.000000,21.530000,231.800000,0.490000,48.270000,0.420000,0.000000,0.000000,0.000000,0.610000,0,0,0,2188.24

91,22:30-22:45,141.910000,6.760000,0.380000,0.930000,24.140000,83.020000,0.870000,48.270000,193.080000,147.460000,45.370000,77.710000,23.100000,1.010000,0.000000,66.520000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,0.000000,91.710000,9.650000,180.530000,19.030000,21.240000,0.520000,42.470000,33.310000,36.420000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,0.000000,21.530000,231.800000,0.490000,48.270000,0.420000,0.000000,0.000000,0.000000,0.610000,0,0,0,2222.03

92,22:45-23:00,141.910000,6.760000,0.380000,0.930000,24.140000,83.020000,0.870000,48.270000,193.080000,147.460000,45.370000,77.710000,23.100000,1.010000,0.000000,66.520000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,0.000000,91.710000,9.650000,204.660000,19.030000,21.240000,0.520000,42.470000,33.310000,36.420000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,0.000000,21.530000,231.800000,0.490000,48.270000,0.420000,0.000000,0.000000,0.000000,0.610000,0,0,0,2246.16

93,23:00-23:15,141.910000,6.540000,0.380000,0.930000,24.140000,83.020000,0.870000,48.270000,193.080000,147.460000,45.370000,77.710000,23.100000,1.010000,0.000000,66.520000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,0.000000,91.710000,9.650000,213.350000,19.120000,21.240000,0.520000,42.470000,33.310000,36.420000,0.970000,60.710000,0.220000,4.830000,0.950000,257.760000,0.000000,21.530000,231.800000,0.000000,48.270000,0.870000,0.000000,2.040000,0.000000,0.610000,0,0,0,2254.9

94,23:15-23:30,141.910000,6.540000,0.380000,0.930000,24.140000,83.020000,0.870000,48.270000,193.080000,147.460000,45.370000,77.710000,23.100000,1.010000,0.000000,66.520000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,0.000000,91.710000,9.650000,213.350000,19.120000,21.240000,0.520000,42.470000,33.310000,36.420000,0.970000,60.710000,0.220000,4.830000,0.950000,257.760000,0.000000,21.530000,231.800000,0.000000,48.270000,0.870000,0.000000,2.040000,0.000000,0.610000,0,0,0,2254.9

95,23:30-23:45,141.910000,6.540000,0.380000,0.930000,24.140000,83.020000,0.870000,48.270000,193.080000,147.460000,45.370000,77.710000,23.100000,1.010000,0.000000,66.520000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,0.000000,91.710000,9.650000,213.350000,19.120000,21.240000,0.520000,42.470000,33.310000,36.420000,0.970000,60.710000,0.220000,4.830000,0.950000,257.760000,0.000000,21.530000,231.800000,0.000000,48.270000,0.870000,0.000000,2.040000,0.000000,0.610000,0,0,0,2254.9

96,23:45-24:00,141.910000,6.540000,0.380000,0.930000,24.140000,83.020000,0.870000,48.270000,193.080000,147.460000,45.370000,77.710000,23.100000,1.010000,0.000000,66.520000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,0.000000,91.710000,9.650000,213.350000,19.120000,21.240000,0.520000,42.470000,33.310000,36.420000,0.970000,60.710000,0.220000,4.830000,0.950000,257.760000,0.000000,21.530000,231.800000,0.000000,48.270000,0.870000,0.000000,2.040000,0.000000,0.610000,0,0,0,2254.9

