Time,Block,NR/20062024/30062024/1000011400-GOHP-BRPL(DISCOM),NR/01062024/30062024/8588/OAN/GMRETL/GPHHPPL-BRPL,NR/01062024/30062024/IEPL01,NR/01062024/30062024/APPCPL/180/F25/GNA/12300,NR/30092023/26122029/SH-06,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01062024/30062024/IIPL/(JPL(TM)-BRPL)/BRPLT-169/24-25/1,NR/01062024/30062024/NDMC/D-46/EE(Power)/2024,NR/01062024/30062024/1000011017-PPGCL-BRPL,NR/01062024/30062024/JPL-BRPL(PTC)GNA,NR/16062024/30062024/1000011196-KWHPS-BRPL(DISCOM),NR/01062024/30062024/1000011195-SIEL-BRPL(DISCOM),NR/2024/19760/A/24282,NR/01062024/30062024/1000011034-ACBL-BRPL,NR/30092023/31122025/SH-07,NR/2024/20050/A/24629,NR/01062024/30062024/R2,NR/01102023/23072042/L_NR_2012_04,NR/2024/20558/A/24639,NR/2024/20037/A/24281,NR/2024/20537/A/24551,NR/2024/20144/A/24311,NR/2024/19699/A/24653,NR/2024/20109/A/24553,NR/2024/20090/A/24244,NR/2024/20516/A/24321,NR/2024/20554/A/24159,NR/2024/21232/C,NR/2024/19919/A/24645,NR/2024/19642/A/24667,NR/2024/21257/C,NR/2024/20572/A/24637,NR/2024/19432/A/24655,NR/2024/19978/A/24647,NR/2024/19966/A/24292,NR/2024/19355/A/24554,NR/2024/20141/A/24313,NR/2024/21234/C,NR/2024/19918/A/24646,NR/2024/20048/A/24630,NR/2024/20130/A/24325,NR/2024/20552/A/24241,NR/2024/20041/A/24624,NR/2024/20777/A/24283,NR/2024/20553/A/24240,NR/2024/20142/A/24312,NR/2024/20524/A/24591,NR/2024/19683/A/24261,NR/2024/20597/A/24631,NR/2024/20540/A/24060,NR/2024/20557/A/24641,NR/2024/20560/A/24638,NR/2024/20211/A/24314,NR/2024/19988/A/24287,NR/2024/19640/A/24666,NR/2024/20513/A/24322,NR/2024/19779/A/24272,NR/2024/20599/A/24285,NR/2024/19475/A/24562,NR/2024/21233/C,NR/2024/19637/A/24297,NR/2024/20515/A/24324,NR/2024/20598/A/24284,NR/2024/19791/A/24650,NR/2024/19588/A/24395,NR/2024/20212/A/24320,NR/2024/19757/A/24651,Total
63,15:30-15:45,0.000000,0.000000,0.000000,0.000000,26.910000,0.000000,0.000000,21.750000,0.000000,0.000000,0.000000,0.000000,48.240000,0.000000,26.910000,0.000000,0.000000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,3.67,121.540000,11.720000,4.820000,32.890000,4.820000,84.100000,38.590000,96.470000,0.350000,24.120000,13.510000,0.000000,0.480000,0.000000,48.240000,67.530000,0.000000,0.520000,0.000000,1.930000,24.120000,6.750000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.960000,24.120000,192.940000,168.580000,24.120000,0.880000,24.120000,64.710000,66.750000,0.610000,48.600000,1885.72

64,15:45-16:00,0.000000,0.000000,0.000000,0.000000,26.910000,0.000000,0.000000,21.750000,0.000000,0.000000,0.000000,0.000000,48.240000,0.000000,26.910000,0.000000,0.000000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,3.22,121.540000,11.720000,4.820000,32.890000,4.820000,84.100000,38.590000,96.470000,0.350000,24.120000,13.510000,0.000000,0.480000,0.000000,48.240000,67.530000,0.000000,0.520000,0.000000,1.930000,24.120000,6.750000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.960000,24.120000,192.940000,168.580000,24.120000,0.880000,24.120000,64.710000,66.750000,0.610000,48.600000,1885.27

65,16:00-16:15,0.000000,0.000000,38.590000,0.000000,26.910000,0.000000,24.120000,21.750000,0.000000,48.240000,0.000000,48.240000,0.000000,0.000000,26.910000,0.000000,0.000000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,3.09,121.540000,11.720000,4.820000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,24.120000,13.510000,0.000000,0.480000,0.000000,0.000000,67.530000,0.000000,0.520000,0.000000,1.930000,24.120000,6.750000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.820000,24.120000,192.940000,168.580000,0.000000,0.880000,24.120000,64.710000,66.750000,0.610000,48.600000,1885

66,16:15-16:30,0.000000,0.000000,38.590000,0.000000,26.910000,0.000000,24.120000,21.750000,0.000000,48.240000,0.000000,48.240000,0.000000,0.000000,26.910000,0.000000,0.000000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,2.91,121.540000,11.720000,4.820000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,24.120000,13.510000,0.000000,0.480000,0.000000,0.000000,67.530000,0.000000,0.520000,0.000000,1.930000,24.120000,6.750000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.820000,24.120000,192.940000,168.580000,0.000000,0.880000,24.120000,64.710000,66.750000,0.610000,48.600000,1884.82

67,16:30-16:45,0.000000,0.000000,38.590000,0.000000,26.910000,0.000000,24.120000,21.750000,0.000000,48.240000,0.000000,48.240000,0.000000,0.000000,26.910000,0.000000,0.000000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,2.6,121.540000,11.720000,4.820000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,24.120000,13.510000,0.000000,0.480000,0.000000,0.000000,67.530000,0.000000,0.520000,0.000000,1.930000,24.120000,6.750000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.820000,24.120000,192.940000,168.580000,0.000000,0.880000,24.120000,64.710000,66.750000,0.610000,48.600000,1884.51

68,16:45-17:00,0.000000,0.000000,38.590000,0.000000,26.910000,0.000000,24.120000,21.750000,0.000000,48.240000,0.000000,48.240000,0.000000,0.000000,26.910000,0.000000,0.000000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,2.12,121.540000,11.720000,4.820000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,24.120000,13.510000,0.000000,0.480000,0.000000,0.000000,67.530000,0.000000,0.520000,0.000000,1.930000,24.120000,6.750000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.820000,24.120000,192.940000,168.580000,0.000000,0.880000,24.120000,64.710000,66.750000,0.610000,48.600000,1884.03

69,17:00-17:15,0.000000,0.000000,38.590000,0.000000,26.910000,0.000000,24.120000,21.750000,24.120000,48.240000,0.000000,48.240000,0.000000,0.000000,26.910000,0.000000,24.120000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,1.6,121.540000,11.720000,4.820000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,24.120000,13.510000,0.000000,0.480000,0.000000,0.000000,67.530000,0.000000,0.520000,0.000000,1.930000,0.000000,6.750000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.770000,24.120000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,1883.46

70,17:15-17:30,0.000000,0.000000,38.590000,0.000000,26.910000,0.000000,24.120000,21.750000,24.120000,48.240000,0.000000,48.240000,0.000000,0.000000,26.910000,0.000000,24.120000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,1.1,121.540000,11.720000,4.820000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,24.120000,13.510000,0.000000,0.480000,0.000000,0.000000,67.530000,0.000000,0.520000,0.000000,1.930000,0.000000,6.750000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.770000,24.120000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,1882.96

71,17:30-17:45,0.000000,0.000000,38.590000,0.000000,26.910000,0.000000,24.120000,21.750000,24.120000,48.240000,0.000000,48.240000,0.000000,0.000000,26.910000,0.000000,24.120000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,1.34,121.540000,11.720000,4.820000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,24.120000,13.510000,0.000000,0.480000,0.000000,0.000000,67.530000,0.000000,0.520000,0.000000,1.930000,0.000000,6.750000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.770000,24.120000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,1883.2

72,17:45-18:00,0.000000,0.000000,38.590000,0.000000,26.910000,0.000000,24.120000,21.750000,24.120000,48.240000,0.000000,48.240000,0.000000,0.000000,26.910000,0.000000,24.120000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,0.87,121.540000,11.720000,4.820000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,24.120000,13.510000,0.000000,0.480000,0.000000,0.000000,67.530000,0.000000,0.520000,0.000000,1.930000,0.000000,6.750000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.770000,24.120000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,1882.73

73,18:00-18:15,0.000000,0.000000,38.590000,0.000000,26.910000,0.000000,24.120000,21.750000,24.120000,48.240000,0.000000,48.240000,0.000000,0.000000,26.910000,0.000000,24.120000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,0.59,121.540000,0.000000,4.820000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,24.120000,13.510000,0.000000,0.480000,0.000000,0.000000,67.530000,0.000000,0.520000,0.000000,1.930000,0.000000,6.750000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.770000,24.120000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,1870.73

74,18:15-18:30,0.000000,0.000000,38.590000,0.000000,26.910000,0.000000,24.120000,21.750000,24.120000,48.240000,0.000000,48.240000,0.000000,0.000000,26.910000,0.000000,24.120000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,0.41,121.540000,0.000000,4.820000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,24.120000,13.510000,0.000000,0.480000,0.000000,0.000000,67.530000,0.000000,0.520000,0.000000,1.930000,0.000000,6.750000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.770000,24.120000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,1870.55

75,18:30-18:45,0.000000,0.000000,38.590000,0.000000,26.910000,0.000000,24.120000,21.750000,24.120000,48.240000,0.000000,48.240000,0.000000,0.000000,26.910000,0.000000,24.120000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,0.19,48.240000,0.000000,4.820000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,24.120000,13.510000,0.000000,0.480000,0.000000,0.000000,67.530000,0.000000,0.520000,0.000000,1.930000,0.000000,6.750000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.770000,24.120000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,1797.03

76,18:45-19:00,0.000000,0.000000,38.590000,0.000000,26.910000,0.000000,24.120000,21.750000,24.120000,48.240000,0.000000,48.240000,0.000000,0.000000,26.910000,0.000000,24.120000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,0,48.240000,0.000000,4.820000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,24.120000,13.510000,0.000000,0.480000,0.000000,0.000000,67.530000,0.000000,0.520000,0.000000,1.930000,0.000000,6.750000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.770000,24.120000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,1796.84

77,19:00-19:15,0.000000,0.000000,38.590000,0.000000,26.540000,0.000000,24.120000,21.750000,24.120000,48.240000,0.000000,48.240000,0.000000,0.000000,26.540000,0.000000,24.120000,0.000000,32.890000,0.000000,0.000000,0.880000,48.240000,241.180000,1.930000,0.970000,0.000000,0,48.240000,0.000000,3.860000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,4.820000,13.510000,0.000000,0.480000,0.000000,0.000000,67.530000,0.000000,0.520000,0.000000,1.930000,0.000000,7.720000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.770000,24.120000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,1776.82

78,19:15-19:30,0.000000,0.000000,38.590000,0.000000,26.540000,0.000000,24.120000,21.750000,24.120000,48.240000,0.000000,48.240000,0.000000,0.000000,26.540000,0.000000,24.120000,0.000000,32.890000,0.000000,0.000000,0.880000,48.240000,241.180000,1.930000,0.970000,0.000000,0,48.240000,0.000000,3.860000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,4.820000,13.510000,0.000000,0.480000,0.000000,0.000000,67.530000,0.000000,0.520000,0.000000,1.930000,0.000000,7.720000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.770000,24.120000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,1776.82

79,19:30-19:45,0.000000,0.000000,38.590000,0.000000,26.540000,0.000000,24.120000,21.750000,24.120000,48.240000,0.000000,48.240000,0.000000,0.000000,26.540000,0.000000,24.120000,0.000000,32.890000,0.000000,0.000000,0.880000,48.240000,241.180000,1.930000,0.970000,0.000000,0,48.240000,0.000000,3.860000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,4.820000,13.510000,0.000000,0.480000,0.000000,0.000000,67.530000,0.000000,0.520000,0.000000,1.930000,0.000000,7.720000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.770000,24.120000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,1776.82

80,19:45-20:00,0.000000,0.000000,38.590000,0.000000,26.540000,0.000000,24.120000,21.750000,24.120000,48.240000,0.000000,48.240000,0.000000,0.000000,26.540000,0.000000,24.120000,0.000000,32.890000,0.000000,0.000000,0.880000,48.240000,241.180000,1.930000,0.970000,0.000000,0,48.240000,0.000000,3.860000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,4.820000,13.510000,0.000000,0.480000,0.000000,0.000000,67.530000,0.000000,0.520000,0.000000,1.930000,0.000000,7.720000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.770000,24.120000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,1776.82

81,20:00-20:15,67.530000,0.000000,38.590000,0.000000,25.190000,0.000000,24.120000,21.750000,24.120000,48.240000,0.000000,48.240000,0.000000,24.120000,25.190000,0.000000,24.120000,0.000000,32.890000,0.000000,0.000000,0.880000,48.240000,241.180000,1.930000,0.970000,48.240000,0,48.240000,0.000000,3.860000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,4.820000,13.510000,0.000000,0.480000,28.940000,0.000000,0.000000,48.240000,0.520000,19.290000,1.930000,0.000000,7.720000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.770000,0.000000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,1918.83

82,20:15-20:30,67.530000,0.000000,38.590000,0.000000,25.190000,0.000000,24.120000,21.750000,24.120000,48.240000,0.000000,48.240000,0.000000,24.120000,25.190000,0.000000,24.120000,0.000000,32.890000,0.000000,0.000000,0.880000,48.240000,241.180000,1.930000,0.970000,48.240000,0,48.240000,0.000000,3.860000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,4.820000,13.510000,0.000000,0.480000,28.940000,0.000000,0.000000,48.240000,0.520000,19.290000,1.930000,0.000000,7.720000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.770000,0.000000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,1918.83

83,20:30-20:45,67.530000,0.000000,38.590000,0.000000,25.190000,0.000000,24.120000,21.750000,24.120000,48.240000,0.000000,48.240000,0.000000,24.120000,25.190000,0.000000,24.120000,0.000000,32.890000,0.000000,0.000000,0.880000,48.240000,241.180000,1.930000,0.970000,48.240000,0,48.240000,0.000000,3.860000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,4.820000,13.510000,0.000000,0.480000,28.940000,0.000000,0.000000,48.240000,0.520000,19.290000,1.930000,0.000000,7.720000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.770000,0.000000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,1918.83

84,20:45-21:00,67.530000,0.000000,38.590000,0.000000,24.100000,0.000000,24.120000,21.750000,24.120000,48.240000,0.000000,48.240000,0.000000,24.120000,32.000000,0.000000,24.120000,0.000000,32.890000,0.000000,0.000000,0.880000,48.240000,241.180000,1.930000,0.970000,48.240000,0,48.240000,0.000000,3.860000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,4.820000,13.510000,0.000000,0.480000,28.940000,0.000000,0.000000,48.240000,0.520000,19.290000,1.930000,0.000000,7.720000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.770000,0.000000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,1924.55

85,21:00-21:15,67.530000,0.000000,38.590000,0.000000,1.950000,0.000000,24.120000,21.750000,24.120000,48.240000,0.000000,48.240000,0.000000,24.120000,32.000000,0.000000,24.120000,0.000000,32.890000,0.000000,0.000000,0.880000,48.240000,241.180000,1.930000,0.970000,48.240000,0,48.240000,0.000000,3.860000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,4.820000,13.510000,0.000000,0.480000,28.940000,0.000000,0.000000,48.240000,0.520000,19.290000,1.930000,0.000000,7.720000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.770000,0.000000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,1902.4

86,21:15-21:30,67.530000,0.000000,38.590000,0.000000,1.950000,0.000000,24.120000,21.750000,24.120000,48.240000,0.000000,48.240000,0.000000,24.120000,32.000000,0.000000,24.120000,0.000000,32.890000,0.000000,0.000000,0.880000,48.240000,241.180000,1.930000,0.970000,48.240000,0,48.240000,0.000000,3.860000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,4.820000,13.510000,0.000000,0.480000,28.940000,0.000000,0.000000,48.240000,0.520000,19.290000,1.930000,0.000000,7.720000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.770000,0.000000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,1902.4

87,21:30-21:45,67.530000,0.000000,38.590000,0.000000,16.980000,0.000000,24.120000,21.750000,24.120000,48.240000,0.000000,48.240000,0.000000,24.120000,16.980000,0.000000,24.120000,0.000000,32.890000,0.000000,0.000000,0.880000,48.240000,241.180000,1.930000,0.970000,48.240000,0,48.240000,0.000000,3.860000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,4.820000,13.510000,0.000000,0.480000,28.940000,0.000000,0.000000,48.240000,0.520000,19.290000,1.930000,0.000000,7.720000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.770000,0.000000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,1902.41

88,21:45-22:00,67.530000,0.000000,38.590000,0.000000,16.980000,0.000000,24.120000,21.750000,24.120000,48.240000,0.000000,48.240000,0.000000,24.120000,16.980000,0.000000,24.120000,0.000000,32.890000,0.000000,0.000000,0.880000,48.240000,241.180000,1.930000,0.970000,48.240000,0,48.240000,0.000000,3.860000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,4.820000,13.510000,0.000000,0.480000,28.940000,0.000000,0.000000,48.240000,0.520000,19.290000,1.930000,0.000000,7.720000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.770000,0.000000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,1902.41

89,22:00-22:15,67.530000,0.000000,38.590000,0.000000,1.950000,0.000000,24.120000,21.750000,24.120000,48.240000,0.000000,48.240000,0.000000,24.120000,32.000000,108.530000,24.120000,0.000000,32.890000,0.000000,0.000000,0.880000,48.240000,241.180000,1.930000,0.970000,48.240000,0,48.240000,0.000000,1.930000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,4.820000,13.510000,36.180000,0.480000,28.940000,0.000000,0.000000,48.240000,0.520000,19.290000,1.930000,0.000000,7.720000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.720000,0.000000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,2045.13

90,22:15-22:30,67.530000,0.000000,38.590000,0.000000,1.950000,0.000000,24.120000,21.750000,24.120000,48.240000,0.000000,48.240000,0.000000,24.120000,32.000000,108.530000,24.120000,0.000000,32.890000,0.000000,0.000000,0.880000,48.240000,241.180000,1.930000,0.970000,48.240000,0,48.240000,0.000000,1.930000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,4.820000,13.510000,36.180000,0.480000,28.940000,0.000000,0.000000,48.240000,0.520000,19.290000,1.930000,0.000000,7.720000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.720000,0.000000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,2045.13

91,22:30-22:45,67.530000,0.000000,38.590000,0.000000,1.950000,0.000000,24.120000,21.750000,24.120000,48.240000,0.000000,48.240000,0.000000,24.120000,32.000000,108.530000,24.120000,0.000000,32.890000,0.000000,0.000000,0.880000,48.240000,241.180000,1.930000,0.970000,48.240000,0,308.700000,0.000000,1.930000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,4.820000,13.510000,36.180000,0.480000,28.940000,0.000000,0.000000,48.240000,0.520000,19.290000,1.930000,0.000000,7.720000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.720000,0.000000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,2305.59

92,22:45-23:00,67.530000,0.000000,38.590000,0.000000,1.950000,0.000000,24.120000,21.750000,24.120000,48.240000,0.000000,48.240000,0.000000,24.120000,32.000000,108.530000,24.120000,0.000000,32.890000,0.000000,0.000000,0.880000,48.240000,241.180000,1.930000,0.970000,48.240000,0,308.700000,0.000000,1.930000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,4.820000,13.510000,36.180000,0.480000,28.940000,0.000000,0.000000,48.240000,0.520000,19.290000,1.930000,0.000000,7.720000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.720000,0.000000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,2305.59

93,23:00-23:15,67.530000,0.000000,38.590000,0.000000,1.950000,0.000000,24.120000,21.750000,24.120000,48.240000,0.000000,48.240000,0.000000,24.120000,32.000000,108.530000,24.120000,0.000000,32.890000,0.000000,0.000000,0.880000,48.240000,241.180000,1.930000,0.970000,48.240000,0,308.700000,0.000000,1.930000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,4.820000,13.510000,36.180000,0.480000,28.940000,0.000000,0.000000,48.240000,0.520000,19.290000,1.930000,0.000000,6.750000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.630000,0.000000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,2304.53

94,23:15-23:30,67.530000,0.000000,38.590000,0.000000,1.950000,0.000000,24.120000,21.750000,24.120000,48.240000,0.000000,48.240000,0.000000,24.120000,32.000000,108.530000,24.120000,0.000000,32.890000,0.000000,0.000000,0.880000,48.240000,241.180000,1.930000,0.970000,48.240000,0,308.700000,0.000000,1.930000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,4.820000,13.510000,36.180000,0.480000,28.940000,0.000000,0.000000,48.240000,0.520000,19.290000,1.930000,0.000000,6.750000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.630000,0.000000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,2304.53

95,23:30-23:45,67.530000,0.000000,38.590000,0.000000,32.000000,0.000000,24.120000,21.750000,24.120000,48.240000,0.000000,48.240000,0.000000,24.120000,32.000000,108.530000,24.120000,0.000000,32.890000,0.000000,0.000000,0.880000,48.240000,241.180000,1.930000,0.970000,48.240000,0,308.700000,0.000000,1.930000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,4.820000,13.510000,36.180000,0.480000,28.940000,0.000000,0.000000,48.240000,0.520000,19.290000,1.930000,0.000000,6.750000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.630000,0.000000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,2334.58

96,23:45-24:00,67.530000,0.000000,38.590000,0.000000,32.000000,0.000000,24.120000,21.750000,24.120000,48.240000,0.000000,48.240000,0.000000,24.120000,32.000000,108.530000,24.120000,0.000000,32.890000,0.000000,0.000000,0.880000,48.240000,241.180000,1.930000,0.970000,48.240000,0,308.700000,0.000000,1.930000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,4.820000,13.510000,36.180000,0.480000,28.940000,0.000000,0.000000,48.240000,0.520000,19.290000,1.930000,0.000000,6.750000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.630000,0.000000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,2334.58

