Time,Block,NR/01102023/02012046/L_NR_2021_17,NR/2024/21441/C,NR/01102023/14082046/L_NR_2021_16,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/30092023/26122029/SH-06,NR/2024/21023/A/26306,NR/2024/20688/A/26391,NR/2024/21159/A/26182,NR/2024/21312/A/25994,NR/2024/21199/A/26304,NR/2024/21144/A/26302,NR/2024/21148/A/26183,NR/2024/21062/A/26210,NR/2024/21339/A/26123,NR/2024/21238/A/26438,NR/2024/21076/A/26432,NR/2024/21160/A/26190,NR/01102023/23072042/L_NR_2012_04,NR/2024/21376/A/26462,NR/2024/21186/A/26407,NR/10072024/10072024/IEX_240709_01453,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/20877/A/26408,NR/2024/20574/A/26366,NR/2024/21087/A/26389,NR/2024/21440/C,NR/2024/19779/A/26088,NR/2024/21141/A/26130,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/20711/A/26464,NR/2024/21183/A/26434,NR/2024/21096/A/26420,NR/2024/21150/A/26184,NR/2024/20966/A/26080,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/2024/21158/A/26193,NR/2024/21103/A/26417,NR/2024/21104/A/26415,NR/2024/21173/A/26387,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01072024/15072024/NR/01072024/15072024/717759,NR/2024/21152/A/26079,NR/2024/21439/C,NR/2024/21108/A/26414,NR/2024/21210/A/26128,NR/30092023/31122025/SH-07,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/2024/21153/A/26187,NR/2024/21099/A/26131,NR/2024/21146/A/26185,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01072024/31072024/R2,NR/2024/21243/A/26148,NR/2024/21113/A/26396,NR/2024/21469/C,NR/2024/20573/A/26367,NR/2024/21089/A/26397,NR/2024/21072/A/26398,NR/2024/21156/A/26186,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/2024/21142/A/26129,NR/2024/21227/A/26416,NR/2024/21075/A/26433,NR/2024/20930/A/26344,Total
67,16:30-16:45,0,1.25,0,14.530000,26.910000,81.880000,66.650000,0.880000,10.600000,61.410000,0.480000,0.520000,20.470000,81.880000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.820000,0.000000,0.000000,15.320000,96.330000,0.000000,120.410000,0.880000,4.820000,0.000000,0.670000,83.980000,64.620000,20.710000,0.000000,0.000000,1.930000,164.000000,24.010000,40.940000,26.910000,0.000000,1.590000,20.470000,0.360000,0.000000,0.000000,134.860000,37.210000,0.000000,0.000000,37.210000,37.210000,0.610000,0.000000,40.940000,0.000000,11.700000,163.760000,2060.51

68,16:45-17:00,0,1.95,0,14.530000,26.910000,81.880000,66.650000,0.880000,10.600000,61.410000,0.480000,0.520000,20.470000,81.880000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.820000,0.000000,0.000000,15.320000,96.330000,0.000000,120.410000,0.880000,4.820000,0.000000,0.670000,83.980000,64.620000,20.710000,0.000000,0.000000,1.930000,164.000000,24.010000,40.940000,26.910000,0.000000,1.590000,20.470000,0.360000,0.000000,0.000000,134.860000,37.210000,0.000000,0.000000,37.210000,37.210000,0.610000,0.000000,40.940000,0.000000,11.700000,163.760000,2061.21

69,17:00-17:15,0,2.23,0,13.610000,26.540000,81.880000,66.650000,0.880000,10.600000,61.410000,0.480000,0.520000,20.470000,81.880000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.820000,0.000000,0.000000,15.320000,96.330000,0.000000,120.410000,0.880000,4.820000,0.000000,0.670000,83.980000,64.620000,20.710000,0.000000,0.000000,1.930000,164.000000,24.010000,40.940000,26.540000,0.000000,1.590000,20.470000,0.360000,0.000000,0.000000,134.860000,37.210000,0.000000,0.000000,37.210000,37.210000,0.610000,0.000000,40.940000,0.000000,11.700000,163.760000,2059.83

70,17:15-17:30,0,1.33,0,13.610000,26.540000,81.880000,66.650000,0.880000,10.600000,61.410000,0.480000,0.520000,20.470000,81.880000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.820000,0.000000,0.000000,15.320000,96.330000,0.000000,120.410000,0.880000,4.820000,0.000000,0.670000,83.980000,64.620000,20.710000,0.000000,0.000000,1.930000,164.000000,24.010000,40.940000,26.540000,0.000000,1.590000,20.470000,0.360000,0.000000,0.000000,134.860000,37.210000,0.000000,0.000000,37.210000,37.210000,0.610000,0.000000,40.940000,0.000000,11.700000,163.760000,2058.93

71,17:30-17:45,0,0.53,0,9.470000,26.540000,81.880000,66.650000,0.880000,10.600000,61.410000,0.480000,0.520000,20.470000,81.880000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.820000,0.000000,0.000000,15.320000,96.330000,0.000000,120.410000,0.880000,4.820000,0.000000,0.670000,83.980000,64.620000,20.710000,0.000000,0.000000,1.930000,164.000000,24.010000,40.940000,26.540000,0.000000,1.590000,20.470000,0.360000,0.000000,0.000000,134.860000,37.210000,0.000000,0.000000,37.210000,37.210000,0.610000,0.000000,40.940000,0.000000,11.700000,163.760000,2053.99

72,17:45-18:00,0,0.22,0,9.470000,26.540000,81.880000,66.650000,0.880000,10.600000,61.410000,0.480000,0.520000,20.470000,81.880000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.820000,0.000000,0.000000,15.320000,96.330000,0.000000,120.410000,0.880000,4.820000,0.000000,0.670000,83.980000,64.620000,20.710000,0.000000,0.000000,1.930000,164.000000,24.010000,40.940000,26.540000,0.000000,1.590000,20.470000,0.360000,0.000000,0.000000,134.860000,37.210000,0.000000,0.000000,37.210000,37.210000,0.610000,0.000000,40.940000,0.000000,11.700000,163.760000,2053.68

73,18:00-18:15,0,0.17,0,9.470000,26.540000,0.000000,66.650000,0.880000,8.670000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.820000,47.640000,81.880000,15.320000,96.330000,0.000000,120.410000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,26.540000,0.000000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,0.000000,0.000000,37.210000,37.210000,0.610000,81.880000,40.940000,0.000000,0.000000,0.000000,2087.64

74,18:15-18:30,0,0.15,0,9.470000,26.540000,0.000000,66.650000,0.880000,8.670000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.820000,47.640000,81.880000,15.320000,96.330000,0.000000,120.410000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,26.540000,0.000000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,0.000000,0.000000,37.210000,37.210000,0.610000,81.880000,40.940000,0.000000,0.000000,0.000000,2087.62

75,18:30-18:45,0,0,0,9.470000,26.540000,0.000000,66.650000,0.880000,8.670000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.820000,47.640000,81.880000,15.320000,96.330000,0.000000,91.510000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,26.540000,0.000000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,96.330000,0.000000,37.210000,37.210000,0.610000,81.880000,40.940000,0.000000,0.000000,0.000000,2154.9

76,18:45-19:00,0,0,0,9.470000,26.540000,0.000000,66.650000,0.880000,8.670000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.820000,47.640000,81.880000,15.320000,96.330000,0.000000,91.510000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,26.540000,0.000000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,96.330000,0.000000,37.210000,37.210000,0.610000,81.880000,40.940000,0.000000,0.000000,0.000000,2154.9

77,19:00-19:15,0,0,0,9.470000,32.000000,0.000000,66.650000,0.880000,8.670000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.820000,47.640000,81.880000,15.320000,96.330000,0.000000,91.510000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,32.000000,0.000000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,96.330000,0.000000,37.210000,37.210000,0.610000,81.880000,40.940000,0.000000,0.000000,0.000000,2165.82

78,19:15-19:30,0,0,0,9.470000,32.000000,0.000000,66.650000,0.880000,8.670000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.820000,47.640000,81.880000,15.320000,96.330000,0.000000,91.510000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,32.000000,0.000000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,96.330000,0.000000,37.210000,37.210000,0.610000,81.880000,40.940000,0.000000,0.000000,0.000000,2165.82

79,19:30-19:45,0,0,0,9.470000,30.530000,0.000000,66.650000,0.880000,8.670000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.820000,47.640000,81.880000,15.320000,96.330000,0.000000,91.510000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,30.530000,0.000000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,96.330000,0.000000,37.210000,37.210000,0.610000,81.880000,40.940000,0.000000,0.000000,0.000000,2162.88

80,19:45-20:00,0,0,0,9.470000,30.530000,0.000000,66.650000,0.880000,8.670000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.820000,47.640000,81.880000,15.320000,96.330000,0.000000,91.510000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,30.530000,0.000000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,96.330000,0.000000,37.210000,37.210000,0.610000,81.880000,40.940000,0.000000,0.000000,0.000000,2162.88

81,20:00-20:15,0,0,0,9.470000,30.530000,0.000000,66.650000,0.880000,8.670000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.870000,47.640000,81.880000,15.320000,96.330000,0.000000,91.510000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,30.530000,0.000000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,96.330000,0.000000,37.210000,37.210000,0.610000,81.880000,40.940000,0.000000,0.000000,0.000000,2162.93

82,20:15-20:30,0,0,0,9.470000,30.530000,0.000000,66.650000,0.880000,8.670000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.870000,47.640000,81.880000,15.320000,96.330000,0.000000,91.510000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,30.530000,0.000000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,96.330000,0.000000,37.210000,37.210000,0.610000,81.880000,40.940000,0.000000,0.000000,0.000000,2162.93

83,20:30-20:45,0,0,0,9.470000,30.530000,0.000000,66.650000,0.880000,8.670000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.870000,47.640000,81.880000,15.320000,96.330000,0.000000,91.510000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,30.530000,0.000000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,96.330000,0.000000,37.210000,37.210000,0.610000,81.880000,40.940000,0.000000,0.000000,0.000000,2162.93

84,20:45-21:00,0,0,0,9.470000,30.530000,0.000000,66.650000,0.880000,8.670000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.870000,47.640000,81.880000,15.320000,96.330000,0.000000,91.510000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,30.530000,0.000000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,96.330000,0.000000,37.210000,37.210000,0.610000,81.880000,40.940000,0.000000,0.000000,0.000000,2162.93

85,21:00-21:15,0,0,0,9.470000,30.530000,0.000000,66.650000,0.880000,8.670000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,144.500000,12.410000,96.330000,0.000000,20.710000,27.940000,0.870000,47.640000,81.880000,15.320000,96.330000,0.000000,91.510000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,30.530000,0.000000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,96.330000,0.000000,37.210000,37.210000,0.610000,81.880000,40.940000,0.000000,0.000000,0.000000,2307.43

86,21:15-21:30,0,0,0,9.470000,30.530000,0.000000,66.650000,0.880000,8.670000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,144.500000,12.410000,96.330000,0.000000,20.710000,27.940000,0.870000,47.640000,81.880000,15.320000,96.330000,0.000000,91.510000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,30.530000,0.000000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,96.330000,0.000000,37.210000,37.210000,0.610000,81.880000,40.940000,0.000000,0.000000,0.000000,2307.43

87,21:30-21:45,0,0,0,13.610000,30.530000,0.000000,66.650000,0.880000,8.670000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,144.500000,12.410000,96.330000,0.000000,20.710000,27.940000,0.870000,47.640000,81.880000,15.320000,96.330000,0.000000,91.510000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,30.530000,0.000000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,96.330000,0.000000,37.210000,37.210000,0.610000,81.880000,40.940000,0.000000,0.000000,0.000000,2311.57

88,21:45-22:00,0,0,0,13.610000,30.530000,0.000000,66.650000,0.880000,8.670000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,144.500000,12.410000,96.330000,0.000000,20.710000,27.940000,0.870000,47.640000,81.880000,15.320000,96.330000,0.000000,91.510000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,30.530000,0.000000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,96.330000,0.000000,37.210000,37.210000,0.610000,81.880000,40.940000,0.000000,0.000000,0.000000,2311.57

89,22:00-22:15,0,0,0,13.610000,30.530000,0.000000,66.650000,0.880000,7.710000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,144.500000,12.410000,96.330000,18.060000,20.710000,27.940000,0.870000,47.640000,81.880000,15.320000,96.330000,0.000000,91.510000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,30.530000,0.000000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,96.330000,54.190000,37.210000,37.210000,0.610000,81.880000,40.940000,12.190000,0.000000,0.000000,2395.05

90,22:15-22:30,0,0,0,13.610000,30.530000,0.000000,66.650000,0.880000,7.710000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,144.500000,12.410000,96.330000,18.060000,20.710000,27.940000,0.870000,47.640000,81.880000,15.320000,96.330000,0.000000,91.510000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,30.530000,0.000000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,96.330000,54.190000,37.210000,37.210000,0.610000,81.880000,40.940000,12.190000,0.000000,0.000000,2395.05

91,22:30-22:45,0,0,0,13.610000,30.530000,0.000000,66.650000,0.880000,7.710000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,144.500000,12.410000,96.330000,18.060000,20.710000,27.940000,0.870000,47.640000,81.880000,15.320000,96.330000,0.000000,308.260000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,30.530000,0.000000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,96.330000,54.190000,37.210000,37.210000,0.610000,81.880000,40.940000,12.190000,0.000000,0.000000,2611.8

92,22:45-23:00,0,0,0,13.610000,30.530000,0.000000,66.650000,0.880000,7.710000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,144.500000,12.410000,96.330000,18.060000,20.710000,27.940000,0.870000,47.640000,81.880000,15.320000,96.330000,0.000000,308.260000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,30.530000,0.000000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,96.330000,54.190000,37.210000,37.210000,0.610000,81.880000,40.940000,12.190000,0.000000,0.000000,2611.8

93,23:00-23:15,0,0,0,13.610000,30.530000,0.000000,66.650000,0.880000,7.710000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,144.500000,12.410000,96.330000,18.060000,20.710000,27.940000,0.820000,47.640000,81.880000,15.320000,96.330000,0.000000,308.260000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,30.530000,0.000000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,96.330000,54.190000,37.210000,37.210000,0.610000,81.880000,40.940000,12.190000,0.000000,0.000000,2611.75

94,23:15-23:30,0,0,0,13.610000,30.530000,0.000000,66.650000,0.880000,7.710000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,144.500000,12.410000,96.330000,18.060000,20.710000,27.940000,0.820000,47.640000,81.880000,15.320000,96.330000,0.000000,308.260000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,30.530000,0.000000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,96.330000,54.190000,37.210000,37.210000,0.610000,81.880000,40.940000,12.190000,0.000000,0.000000,2611.75

95,23:30-23:45,0,0,0,13.610000,30.530000,0.000000,66.650000,0.880000,7.710000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,144.500000,12.410000,96.330000,18.060000,20.710000,27.940000,0.820000,47.640000,81.880000,15.320000,96.330000,0.000000,308.260000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,30.530000,0.000000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,96.330000,54.190000,37.210000,37.210000,0.610000,81.880000,40.940000,12.190000,0.000000,0.000000,2611.75

96,23:45-24:00,0,0,0,13.610000,30.530000,0.000000,66.650000,0.880000,7.710000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,144.500000,12.410000,96.330000,18.060000,20.710000,27.940000,0.820000,47.640000,81.880000,15.320000,96.330000,0.000000,308.260000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,30.530000,0.000000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,96.330000,54.190000,37.210000,37.210000,0.610000,81.880000,40.940000,12.190000,0.000000,0.000000,2611.75

