Block,Time,ANTA_CRF,SEWA2,DADRT2,TANDA2,URI2,KOTESHWR,RIHAND3,ANTA_LF,TANAKPUR,SALAL,DADRI_CRF,TEHRI,AURY_GF,ANTA_RF,DADRI_LF,RAPPB,DHAULIGNGA,AURY_LF,RAMPUR,CHAMERA3,FSTPP I & II,KHSTPP-II,KHSTPP-I,SASAN,RIHAND2,CHAMERA1,AURY_CRF,DULHASTI,KOLDAM,RAPPC,UNCHAHAR1,DADRI_RF,UNCHAHAR4,CHAMERA2,BRBCL,DADRI_GF,UNCHAHAR2,TALA,NJPC,PARBATI3,URI,NAPP,RIHAND1,KISHANGANGA,JHAJJAR,SINGRAULI_HYDRO,AURY_RF,ANTA_GF,UNCHAHAR3,BSIUL,SINGRAULI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
36,08:45:09:00,0.000000,15.282514,361.658000,0.000000,29.918593,8.581158,119.584659,0.000000,0.371618,24.720388,0.000000,34.907733,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.716943,11.033470,78.462380,24.677840,389.772848,88.830554,40.757193,0.000000,15.935050,0.000000,52.152728,6.701310,0.000000,0.000000,25.470857,19.340000,0.000000,22.550440,0.000000,36.629960,0.000000,33.094608,40.690586,71.339845,0.000000,347.385080,0.647455,0.000000,0.000000,14.853120,6.305614,134.712770,0,0,0,0,0

37,09:00:09:15,0.000000,15.282514,361.658000,0.000000,29.918593,8.581158,119.584659,0.000000,0.619364,24.720388,0.000000,34.907733,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.716943,11.033470,78.462380,24.677840,389.772848,88.830554,40.757193,0.000000,15.935050,0.000000,52.152728,6.701310,0.000000,0.000000,25.470857,19.340000,0.000000,22.550440,0.000000,36.629960,0.000000,33.094608,40.690586,71.339845,0.000000,347.385080,0.647455,0.000000,0.000000,14.853120,6.305614,110.516206,0,0,0,0,0

38,09:15-09:30,0.000000,15.282514,361.658000,0.000000,29.918593,8.581158,119.584659,0.000000,0.619364,24.720388,0.000000,23.271822,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.716943,11.033470,78.462380,24.677840,389.772848,88.830554,27.171462,0.000000,15.935050,0.000000,52.152728,6.701310,0.000000,0.000000,25.470857,19.340000,0.000000,22.550440,0.000000,18.314980,0.000000,33.094608,40.690586,71.339845,0.000000,347.385080,0.647455,0.000000,0.000000,14.853120,6.305614,110.516206,0,0,0,0,0

39,09:30-09:45,0.000000,15.282514,361.658000,0.000000,29.918593,8.581158,65.775340,0.000000,6.689126,24.720388,0.000000,23.271822,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.716943,11.033470,78.462380,24.677840,331.707646,62.825990,27.171462,0.000000,15.935050,0.000000,52.152728,6.701310,0.000000,0.000000,25.470857,19.340000,0.000000,22.550440,0.000000,0.000000,0.000000,33.094608,40.690586,48.939870,0.000000,347.385080,0.647455,0.000000,0.000000,14.853120,12.611227,74.101210,0,0,0,0,0

40,09:45-10:00,0.000000,15.282514,361.658000,0.000000,29.918593,8.581158,65.775340,0.000000,6.689126,24.720388,0.000000,11.635911,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.716943,11.033470,78.462380,24.677840,243.792304,62.825990,27.171462,0.000000,15.935050,0.000000,52.152728,6.701310,0.000000,0.000000,25.470857,19.340000,0.000000,22.550440,0.000000,0.000000,0.000000,33.094608,40.690586,48.939870,0.000000,347.385080,0.647455,0.000000,0.000000,14.853120,12.611227,74.101210,0,0,0,0,0

