Block,Time,DADRI_RF,AURY_GF,NAPP,TANDA2,DADRI_GF,UNCHAHAR1,SINGRAULI,DADRI_LF,UNCHAHAR2,PARBATI3,RIHAND1,SEWA2,UNCHAHAR4,SINGRAULI_HYDRO,DADRI_CRF,AURY_RF,TEHRI,BSIUL,URI2,KOTESHWR,DHAULIGNGA,RIHAND2,URI,RAPPB,CHAMERA3,KOLDAM,SALAL,CHAMERA2,DADRT2,NJPC,AURY_LF,DULHASTI,TANAKPUR,RIHAND3,AURY_CRF,RAPPC,RAMPUR,UNCHAHAR3,CHAMERA1,JHAJJAR,ANTA_RF,KISHANGANGA,ANTA_LF,ANTA_GF,ANTA_CRF,FSTPP I & II,TALA,SASAN,KHSTPP-II,KHSTPP-I,BRBCL,KUDGI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
31,07:30-07:45,0.000000,0.000000,37.993630,0.000000,0.000000,15.670594,122.560449,0.000000,21.216379,0.000000,61.120188,0.000000,0.000000,1.054099,0.000000,0.000000,0.000000,6.335558,9.753036,8.578496,17.622748,93.042265,13.874078,0.000000,18.711136,0.000000,76.721759,29.638055,429.642178,128.165086,0.000000,47.790319,11.764256,87.373439,0.000000,49.437715,0.000000,19.140273,0.000000,625.189154,0.000000,0.000000,0.000000,0.000000,0.000000,8.715381,19.894686,404.020181,72.646635,29.988097,19.334041,43.50,0,0,0,0,0

32,07:45:08:00,0.000000,0.000000,37.993630,0.000000,0.000000,11.210490,122.560449,0.000000,18.306095,0.000000,61.120188,0.000000,0.000000,1.054099,0.000000,0.000000,0.000000,6.335558,9.753036,8.578496,17.622748,93.042265,13.874078,0.000000,18.711136,0.000000,76.721759,29.638055,425.380094,128.165086,0.000000,47.790319,11.764256,87.373439,0.000000,49.437715,0.000000,11.242874,0.000000,549.308038,0.000000,0.000000,0.000000,0.000000,0.000000,8.715381,19.894686,404.020181,72.646635,29.988097,19.334041,46.68,0,0,0,0,0

33,08:00-08:15,0.000000,0.000000,37.993630,0.000000,0.000000,11.287740,122.560449,0.000000,18.142156,0.000000,61.120188,0.000000,0.000000,1.054099,0.000000,0.000000,0.000000,6.303657,9.753036,8.578496,17.622748,93.042265,16.008552,0.000000,18.711136,0.000000,76.721759,29.638055,358.901252,128.165086,0.000000,47.790319,11.764256,87.373439,0.000000,49.437715,0.000000,12.761657,0.000000,410.537103,0.000000,0.000000,0.000000,0.000000,0.000000,8.715381,19.894686,404.808417,72.646635,29.988097,19.334041,66.01,0,0,0,0,0

34,08:15-08:30,0.000000,0.000000,37.993630,0.000000,0.000000,11.287740,122.560449,0.000000,18.142156,0.000000,61.120188,0.000000,0.000000,1.054099,0.000000,0.000000,0.000000,6.303657,9.753036,8.578496,17.622748,93.042265,16.008552,0.000000,18.711136,0.000000,76.721759,29.638055,350.412578,128.165086,0.000000,47.790319,11.764256,87.373439,0.000000,49.437715,0.000000,12.761657,0.000000,337.457675,0.000000,0.000000,0.000000,0.000000,0.000000,8.715381,19.894686,404.824959,72.646635,29.988097,19.334041,68.45,0,0,0,0,0

35,08:30-08:45,0.000000,0.000000,37.993630,0.000000,0.000000,11.305467,122.560449,0.000000,18.142156,0.000000,61.120188,0.000000,0.000000,1.054099,0.000000,0.000000,0.000000,6.303657,9.753036,8.578496,17.622748,93.042265,16.008552,0.000000,18.711136,0.000000,76.721759,29.638055,351.319654,128.165086,0.000000,47.790319,11.764256,87.373439,0.000000,49.437715,0.000000,12.827322,0.000000,338.087303,0.000000,0.000000,0.000000,0.000000,0.000000,8.715381,19.894686,404.824959,72.646635,29.988097,19.334041,73.41,0,0,0,0,0

36,08:45:09:00,0.000000,0.000000,37.993630,0.000000,0.000000,11.305467,122.560449,0.000000,18.142156,0.000000,61.120188,0.000000,0.000000,1.054099,0.000000,0.000000,0.000000,6.303657,9.753036,8.578496,17.622748,93.042265,46.958419,0.000000,18.711136,0.000000,76.721759,29.638055,351.319654,128.165086,0.000000,47.790319,11.764256,87.373439,0.000000,49.437715,0.000000,12.827322,0.000000,338.087303,0.000000,0.000000,0.000000,0.000000,0.000000,8.715381,19.894686,404.824959,72.646635,29.988097,19.334041,73.41,0,0,0,0,0

37,09:00:09:15,0.000000,0.000000,37.993630,0.000000,0.000000,11.464753,122.560449,0.000000,12.567100,0.000000,61.120188,0.000000,0.000000,1.054099,0.000000,0.000000,0.000000,6.303657,31.729878,8.578496,17.622748,93.042265,46.958419,0.000000,18.711136,0.000000,76.721759,29.638055,354.243682,128.165086,0.000000,47.790319,11.764256,87.373439,0.000000,49.437715,0.000000,13.370697,0.000000,328.997011,0.000000,0.000000,0.000000,0.000000,0.000000,8.715381,17.052588,404.824959,72.646635,29.988097,19.334041,43.50,0,0,0,0,0

38,09:15-09:30,0.000000,0.000000,37.993630,0.000000,0.000000,11.464753,122.560449,0.000000,12.567100,0.000000,61.120188,0.000000,0.000000,1.054099,0.000000,0.000000,0.000000,6.303657,31.729878,8.578496,17.622748,93.042265,16.008552,0.000000,18.711136,0.000000,76.721759,29.638055,354.243682,128.165086,0.000000,47.790319,11.764256,87.373439,0.000000,49.437715,0.000000,13.370697,0.000000,328.997011,0.000000,0.000000,0.000000,0.000000,0.000000,8.715381,17.052588,404.824959,72.646635,29.988097,19.334041,43.50,0,0,0,0,0

39,09:30-09:45,0.000000,0.000000,37.993630,0.000000,0.000000,11.464753,122.560449,0.000000,12.567100,0.000000,61.120188,0.000000,0.000000,1.054099,0.000000,0.000000,0.000000,6.303657,31.729878,8.578496,17.622748,93.042265,16.008552,0.000000,9.355568,0.000000,76.721759,29.638055,354.275482,128.165086,0.000000,47.790319,11.764256,87.373439,0.000000,49.437715,0.000000,13.370697,0.000000,328.997011,0.000000,0.000000,0.000000,0.000000,0.000000,8.715381,17.052588,404.824959,72.646635,29.988097,19.334041,43.50,0,0,0,0,0

40,09:45-10:00,0.000000,0.000000,37.993630,0.000000,0.000000,11.464753,122.560449,0.000000,12.567100,0.000000,61.120188,0.000000,0.000000,1.054099,0.000000,0.000000,0.000000,6.303657,31.729878,8.578496,17.622748,93.042265,16.008552,0.000000,9.355568,0.000000,76.721759,29.638055,354.275482,128.165086,0.000000,47.790319,11.764256,87.373439,0.000000,49.437715,0.000000,13.370697,0.000000,328.997011,0.000000,0.000000,0.000000,0.000000,0.000000,8.715381,17.052588,404.824959,72.646635,29.988097,19.334041,43.50,0,0,0,0,0

41,10:00-10:15,0.000000,0.000000,37.993630,0.000000,0.000000,11.466101,122.560449,0.000000,10.633700,0.000000,61.120188,0.000000,0.000000,1.054099,0.000000,0.000000,0.000000,6.303657,31.729878,8.578496,26.434121,93.042265,16.008552,0.000000,9.355568,0.000000,76.721759,18.040555,363.054926,128.165086,0.000000,47.790319,11.764256,87.373439,0.000000,49.437715,0.000000,13.383019,0.000000,328.997011,0.000000,0.000000,0.000000,0.000000,0.000000,1.933400,17.052588,404.824959,72.646635,26.550996,19.334041,73.41,0,0,0,0,0

42,10:15-10:30,0.000000,0.000000,37.993630,0.000000,0.000000,11.466101,122.560449,0.000000,10.633700,0.000000,61.120188,0.000000,0.000000,1.054099,0.000000,0.000000,0.000000,6.303657,31.729878,8.578496,26.434121,93.042265,16.008552,0.000000,9.355568,0.000000,76.721759,18.040555,363.054926,128.165086,0.000000,47.790319,11.764256,87.373439,0.000000,49.437715,0.000000,13.383019,0.000000,328.997011,0.000000,0.000000,0.000000,0.000000,0.000000,1.933400,17.052588,404.824959,72.646635,26.550996,19.334041,73.41,0,0,0,0,0

