Column1,Block,NR/2025/28485/C,NR/2025/28478/C,NR/2025/28479/C,NR/2025/28480/C,NR/2025/28488/C,NR/2025/28482/C,NR/2025/28556/C,NR/2025/27356/A/79227,NR/2025/27622/A/79061,NR/2025/27162/A/79542,NR/2025/27726/A/79536,NR/2025/26889/A/79527,NR/2025/26563/A/79491,NR/2025/28504/C,NR/2025/28518/C,NR/2025/27499/A/79526,NR/2025/27242/A/79207,NR/2025/27167/A/79300,NR/2025/26569/A/79493,NR/2025/27168/A/79302,NR/2025/27727/A/79534,NR/2025/27724/A/79189,NR/2025/26570/A/79494,NR/2025/28407/C,NR/2025/27725/A/79537,NR/2025/28139/A/79221,NR/2025/28511/C,NR/2025/26952/A/79022,NR/2025/28138/A/79219,NR/2025/26085/A/79078,NR/2025/28439/C,NR/2025/26785/A/79071,NR/2025/26975/A/79543,NR/2025/28398/C,NR/2025/28505/C,NR/2025/27782/A/79532,NR/2025/26564/A/79492,NR/2025/28358/C,NR/2025/26777/A/79180,NR/2025/28359/C,NR/2025/26860/A/79451,NR/2025/27088/A/79569,NR/2025/28141/A/79225,NR/2025/28438/C,NR/2025/28140/A/79223,NR/2025/28512/C,NR/2025/28440/C,NR/2025/27462/A/79066,NR/2025/26561/A/79490,NR/2025/27281/A/79604,NR/2025/27157/A/79191,GNA/NR/2025/06/01/7762,NR/2025/27728/A/79535,NR/2025/26445/A/79577,GNA/NR/2025/06/01/2868,NR/2025/26861/A/79506,NR/2025/28552/C,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/11/1078,GNA/NR/2025/06/11/4898,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/7786,NR/30092023/31122025/SH-07,GNA/NR/2025/06/11/3444,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/5280,GNARE/NR/2024/12/20/3668,Total
89,22:00-22:15,0,0,0,0,0,0,0,0,0,55.99,43.92,5.8,0,0,0,8.7,48.32,24.16,0,24.16,43.92,11.6,144.94,0,14.64,28.99,57.98,0,38.65,0.82,0,0,27.06,0,0,14.64,144.94,0,193.26,0,106.29,192.64,135.28,0,33.82,98.71,0,9.66,144.94,24.88,217.42,24.16,37.34,31.11,29.16,193.26,32.85,0,170.07,38.65,15.35,48.32,0,96.63,0,48.32,11.9,48.32,24.16,62.81,24.16,11.91,0,2844.6100000000006

90,22:15-22:30,0,0,0,0,0,0,0,0,0,55.99,43.92,5.8,0,0,0,8.7,48.32,24.16,0,24.16,43.92,11.6,144.94,0,14.64,28.99,57.98,0,38.65,0.82,0,0,27.06,0,0,14.64,144.94,0,193.26,0,106.29,192.64,135.28,0,33.82,98.71,0,9.66,144.94,24.88,217.42,24.16,37.34,31.11,29.16,193.26,32.85,0,170.07,38.65,15.35,48.32,0,96.63,0,48.32,11.9,48.32,24.16,62.81,24.16,11.91,0,2844.6100000000006

91,22:30-22:45,0,0,0,0,0,0,0,0,0,55.99,43.92,5.8,0,0,0,8.7,48.32,24.16,0,24.16,43.92,11.6,144.94,0,14.64,28.99,57.98,0,38.65,0.82,0,0,27.06,0,0,14.64,144.94,0,193.26,0,106.29,192.64,135.28,0,33.82,98.71,0,9.66,144.94,24.88,217.42,24.16,37.34,31.11,29.16,193.26,32.85,0,170.07,38.65,15.35,48.32,0,96.63,0,48.32,11.9,48.32,24.16,62.81,24.16,11.91,0,2844.6100000000006

92,22:45-23:00,0,0,0,0,0,0,0,0,0,55.99,43.92,5.8,0,0,0,8.7,48.32,24.16,0,24.16,43.92,11.6,144.94,0,14.64,28.99,57.98,0,38.65,0.82,0,0,27.06,0,0,14.64,144.94,0,193.26,0,106.29,192.64,135.28,0,33.82,98.71,0,9.66,144.94,24.88,217.42,24.16,37.34,31.11,29.16,193.26,32.85,0,170.07,38.65,15.35,48.32,0,96.63,0,48.32,11.9,48.32,24.16,62.81,24.16,11.91,0,2844.6100000000006

93,23:00-23:15,0,0,0,0,0,0,0,0,0,55.99,43.92,5.8,0,0,0,8.7,48.32,24.16,0,24.16,43.92,10.63,144.94,0,14.64,28.99,57.98,0,38.65,0.77,0,0,27.06,0,0,14.64,144.94,0,193.26,0,106.29,192.64,135.28,0,33.82,98.71,0,9.66,144.94,24.88,217.42,24.16,37.34,31.11,29.16,193.26,32.85,0,170.07,38.65,15.17,48.32,0,96.63,0,48.32,11.9,48.32,24.16,62.81,24.16,11.91,0,2843.4100000000003

94,23:15-23:30,0,0,0,0,0,0,0,0,0,55.99,43.92,5.8,0,0,0,8.7,48.32,24.16,0,24.16,43.92,10.63,144.94,0,14.64,28.99,57.98,0,38.65,0.77,0,0,27.06,0,0,14.64,144.94,0,193.26,0,106.29,192.64,135.28,0,33.82,98.71,0,9.66,144.94,24.88,217.42,24.16,37.34,31.11,29.16,193.26,32.85,0,170.07,38.65,15.17,48.32,0,96.63,0,48.32,11.9,48.32,24.16,62.81,24.16,11.91,0,2843.4100000000003

95,23:30-23:45,0,0,0,0,0,0,0,0,0,55.99,43.92,5.8,0,0,0,8.7,48.32,24.16,0,24.16,43.92,10.63,144.94,0,14.64,28.99,57.98,0,38.65,0.77,0,0,27.06,0,0,14.64,144.94,0,193.26,0,106.29,192.64,135.28,0,33.82,98.71,0,9.66,144.94,24.88,217.42,24.16,37.34,31.11,29.16,193.26,32.85,0,170.07,38.65,15.17,48.32,0,96.63,0,48.32,11.9,48.32,24.16,62.81,24.16,11.91,0,2843.4100000000003

96,23:45-24:00,0,0,0,0,0,0,0,0,0,55.76,43.92,5.8,0,0,0,8.7,48.32,24.16,0,24.16,43.92,10.63,144.94,0,14.64,28.99,57.98,0,38.65,0.77,0,0,27.06,0,0,14.64,144.94,0,193.26,0,106.29,192.64,135.28,0,33.82,98.71,0,9.66,144.94,24.88,217.42,24.16,37.34,31.11,29.16,193.26,32.85,0,170.07,38.65,15.17,48.32,0,96.63,0,48.32,12.18,48.32,24.16,62.81,24.16,11.91,0,2843.4600000000005

