Time,Block,NR/01102023/02012046/L_NR_2021_17,NR/2024/21752/C,NR/01102023/14082046/L_NR_2021_16,NR/01102023/23072042/L_NR_2012_04,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21089/A/28362,NR/2024/21113/A/28361,NR/2024/21210/A/28088,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/21152/A/28055,NR/2024/21144/A/28139,NR/2024/21072/A/28363,NR/2024/21763/C,NR/16072024/31072024/NR/16072024/31072024/717758,NR/30092023/31122025/SH-07,NR/2024/20931/A/28316,NR/2024/21754/C,NR/2024/21099/A/28091,NR/2024/21150/A/28149,NR/2024/21146/A/28152,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/21694/A/28378,NR/2024/21141/A/28090,NR/2024/21567/A/28360,NR/22072024/22072024/IEX_240721_01662,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/2024/20688/A/28268,NR/2024/21087/A/28266,NR/2024/21160/A/28153,NR/2024/20711/A/28442,NR/2024/21238/A/28405,NR/2024/21199/A/28111,NR/2024/21076/A/28399,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01072024/31072024/R2,NR/22072024/22072024/IEX_240721_01661,NR/2024/21156/A/28147,NR/30092023/26122029/SH-06,NR/2024/21183/A/28400,NR/2024/21108/A/28385,NR/2024/21764/C,NR/2024/20574/A/28352,NR/2024/21339/A/28083,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/2024/21173/A/28267,NR/2024/21159/A/28154,NR/2024/21148/A/28148,NR/2024/21103/A/28387,NR/2024/21153/A/28146,NR/2024/21023/A/28112,NR/2024/21096/A/28388,NR/2024/20573/A/28353,NR/2024/21142/A/28089,NR/2024/21062/A/28348,NR/2024/19779/A/28050,NR/2024/21227/A/28386,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/20966/A/28056,NR/2024/21682/A/28441,NR/2024/21715/A/28273,NR/2024/21075/A/28403,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21158/A/28155,NR/2024/21186/A/28372,Total
67,16:30-16:45,0,2.49,0,0.000000,12.430000,37.260000,37.260000,48.230000,0.000000,1.930000,0.480000,37.260000,0.000000,0.000000,19.030000,48.230000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,0.000000,66.740000,24.120000,0.970000,96.460000,2.890000,72.340000,90.670000,0.000000,0.000000,0.000000,0.610000,19.030000,21.220000,24.040000,96.460000,0.000000,96.460000,0.000000,24.120000,0.880000,0.520000,84.090000,1.590000,96.460000,24.120000,0.000000,48.230000,24.120000,0.820000,0.000000,0.000000,4.820000,241.150000,12.540000,11.720000,15.140000,0.680000,48.230000,1705.07

68,16:45-17:00,0,2.04,0,0.000000,12.430000,37.260000,37.260000,48.230000,0.000000,1.930000,0.480000,37.260000,0.000000,0.000000,19.030000,48.230000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,0.000000,66.740000,24.120000,0.970000,96.460000,2.890000,72.340000,90.670000,0.000000,0.000000,0.000000,0.610000,19.030000,21.220000,24.040000,96.460000,0.000000,96.460000,0.000000,24.120000,0.880000,0.520000,84.090000,1.590000,96.460000,24.120000,0.000000,48.230000,24.120000,0.820000,0.000000,0.000000,4.820000,241.150000,12.540000,11.720000,15.140000,0.680000,48.230000,1704.62

69,17:00-17:15,0,2.08,0,0.000000,12.700000,37.260000,37.260000,48.230000,0.000000,1.930000,0.480000,37.260000,0.000000,0.000000,17.030000,48.230000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,0.000000,66.740000,24.120000,0.970000,96.460000,2.890000,72.340000,90.670000,0.000000,0.000000,0.000000,0.610000,17.030000,21.220000,24.040000,96.460000,0.000000,96.460000,0.000000,24.120000,0.880000,0.520000,84.090000,1.590000,96.460000,24.120000,0.000000,48.230000,24.120000,0.820000,0.000000,0.000000,4.820000,241.150000,12.540000,11.720000,15.140000,0.680000,48.230000,1700.93

70,17:15-17:30,0,1.81,0,0.000000,12.700000,37.260000,37.260000,48.230000,0.000000,1.930000,0.480000,37.260000,0.000000,0.000000,17.030000,48.230000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,0.000000,66.740000,24.120000,0.970000,96.460000,2.890000,72.340000,90.670000,0.000000,0.000000,0.000000,0.610000,17.030000,21.220000,24.040000,96.460000,0.000000,96.460000,0.000000,24.120000,0.880000,0.520000,84.090000,1.590000,96.460000,24.120000,0.000000,48.230000,24.120000,0.820000,0.000000,0.000000,4.820000,241.150000,12.540000,11.720000,15.140000,0.680000,48.230000,1700.66

71,17:30-17:45,0,1.88,0,0.000000,12.700000,37.260000,37.260000,48.230000,0.000000,1.930000,0.480000,37.260000,0.000000,0.000000,23.330000,48.230000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,3.380000,0.000000,7.230000,0.000000,0.000000,66.740000,24.120000,0.970000,96.460000,2.890000,72.340000,90.670000,0.000000,0.000000,0.000000,0.610000,23.330000,21.220000,24.040000,96.460000,0.000000,96.460000,0.000000,24.120000,0.880000,0.520000,84.090000,1.590000,96.460000,24.120000,0.000000,48.230000,24.120000,0.820000,0.000000,0.000000,4.820000,241.150000,12.540000,11.720000,15.140000,0.680000,48.230000,1716.71

72,17:45-18:00,0,1.23,0,0.000000,12.700000,37.260000,37.260000,48.230000,0.000000,1.930000,0.480000,37.260000,0.000000,0.000000,23.330000,48.230000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,3.380000,0.000000,7.230000,0.000000,0.000000,66.740000,24.120000,0.970000,96.460000,2.890000,72.340000,90.670000,0.000000,0.000000,0.000000,0.610000,23.330000,21.220000,24.040000,96.460000,0.000000,96.460000,0.000000,24.120000,0.880000,0.520000,84.090000,1.590000,96.460000,24.120000,0.000000,48.230000,24.120000,0.820000,0.000000,0.000000,4.820000,241.150000,12.540000,11.720000,15.140000,0.680000,48.230000,1716.06

73,18:00-18:15,0,0.85,0,0.000000,13.170000,37.260000,37.260000,48.230000,96.460000,1.930000,0.480000,37.260000,0.000000,48.230000,22.260000,0.000000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,47.710000,7.230000,0.000000,72.340000,66.740000,24.120000,0.970000,96.460000,2.890000,0.000000,90.670000,0.000000,24.120000,0.000000,0.610000,22.260000,21.220000,24.040000,96.460000,0.000000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,24.120000,0.000000,48.230000,0.000000,0.820000,0.000000,0.000000,4.820000,241.150000,11.580000,0.000000,15.140000,0.680000,48.230000,1745.66

74,18:15-18:30,0,0.54,0,0.000000,13.170000,37.260000,37.260000,48.230000,96.460000,1.930000,0.480000,37.260000,0.000000,48.230000,22.260000,0.000000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,47.710000,7.230000,0.000000,72.340000,66.740000,24.120000,0.970000,96.460000,2.890000,0.000000,90.670000,0.000000,24.120000,0.000000,0.610000,22.260000,21.220000,24.040000,96.460000,0.000000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,24.120000,0.000000,48.230000,0.000000,0.820000,0.000000,0.000000,4.820000,241.150000,11.580000,0.000000,15.140000,0.680000,48.230000,1745.35

75,18:30-18:45,0,0.25,0,0.000000,13.170000,37.260000,37.260000,48.230000,96.460000,1.930000,0.480000,37.260000,0.000000,48.230000,33.280000,0.000000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,47.710000,7.230000,0.000000,72.340000,66.740000,24.120000,0.970000,96.460000,2.890000,0.000000,90.670000,0.000000,24.120000,0.000000,0.610000,11.230000,21.220000,24.040000,96.460000,0.000000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,43.410000,0.000000,48.230000,0.000000,0.820000,0.000000,0.000000,4.820000,241.150000,11.580000,0.000000,15.140000,0.680000,48.230000,1764.34

76,18:45-19:00,0,0,0,0.000000,13.170000,37.260000,37.260000,48.230000,96.460000,1.930000,0.480000,37.260000,0.000000,48.230000,33.280000,0.000000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,47.710000,7.230000,0.000000,72.340000,66.740000,24.120000,0.970000,96.460000,2.890000,0.000000,90.670000,0.000000,24.120000,0.000000,0.610000,11.230000,21.220000,24.040000,96.460000,0.000000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,43.410000,0.000000,48.230000,0.000000,0.820000,0.000000,0.000000,4.820000,241.150000,11.580000,0.000000,15.140000,0.680000,48.230000,1764.09

77,19:00-19:15,0,0,0,0.000000,13.170000,37.260000,37.260000,48.230000,96.460000,1.930000,0.480000,37.260000,38.580000,48.230000,32.000000,0.000000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,47.710000,7.230000,0.000000,72.340000,66.740000,24.120000,0.970000,96.460000,2.890000,0.000000,90.670000,0.000000,24.120000,0.000000,0.610000,9.950000,21.220000,24.040000,96.460000,0.000000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,43.410000,0.000000,48.230000,0.000000,0.820000,0.000000,0.000000,4.820000,241.150000,11.580000,0.000000,15.140000,0.680000,48.230000,1800.11

78,19:15-19:30,0,0,0,0.000000,13.170000,37.260000,37.260000,48.230000,96.460000,1.930000,0.480000,37.260000,38.580000,48.230000,32.000000,0.000000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,47.710000,7.230000,0.000000,72.340000,66.740000,24.120000,0.970000,96.460000,2.890000,0.000000,90.670000,0.000000,24.120000,0.000000,0.610000,9.950000,21.220000,24.040000,96.460000,0.000000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,43.410000,0.000000,48.230000,0.000000,0.820000,0.000000,0.000000,4.820000,241.150000,11.580000,0.000000,15.140000,0.680000,48.230000,1800.11

79,19:30-19:45,0,0,0,0.000000,13.170000,37.260000,37.260000,48.230000,96.460000,1.930000,0.480000,37.260000,38.580000,48.230000,32.000000,0.000000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,47.710000,7.230000,0.000000,72.340000,66.740000,24.120000,0.970000,96.460000,2.890000,0.000000,90.670000,0.000000,24.120000,0.000000,0.610000,9.950000,21.220000,24.040000,96.460000,0.000000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,43.410000,0.000000,48.230000,0.000000,0.820000,0.000000,0.000000,4.820000,241.150000,11.580000,0.000000,15.140000,0.680000,48.230000,1800.11

80,19:45-20:00,0,0,0,0.000000,13.170000,37.260000,37.260000,48.230000,96.460000,1.930000,0.480000,37.260000,38.580000,48.230000,32.000000,0.000000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,47.710000,7.230000,0.000000,72.340000,66.740000,24.120000,0.970000,96.460000,2.890000,0.000000,90.670000,0.000000,24.120000,0.000000,0.610000,9.950000,21.220000,24.040000,96.460000,0.000000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,43.410000,0.000000,48.230000,0.000000,0.820000,0.000000,0.000000,4.820000,241.150000,11.580000,0.000000,15.140000,0.680000,48.230000,1800.11

81,20:00-20:15,0,0,0,0.000000,13.170000,37.260000,37.260000,48.230000,96.460000,1.930000,0.480000,37.260000,38.580000,48.230000,32.000000,0.000000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,47.710000,7.230000,0.000000,72.340000,66.740000,24.120000,0.970000,96.460000,2.890000,0.000000,90.670000,0.000000,24.120000,96.460000,0.610000,0.000000,21.220000,24.040000,96.460000,0.000000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,43.410000,0.000000,48.230000,0.000000,0.870000,0.000000,0.000000,4.820000,241.150000,11.580000,0.000000,15.140000,0.680000,48.230000,1886.67

82,20:15-20:30,0,0,0,0.000000,13.170000,37.260000,37.260000,48.230000,96.460000,1.930000,0.480000,37.260000,38.580000,48.230000,32.000000,0.000000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,47.710000,7.230000,0.000000,72.340000,66.740000,24.120000,0.970000,96.460000,2.890000,0.000000,90.670000,0.000000,24.120000,96.460000,0.610000,0.000000,21.220000,24.040000,96.460000,0.000000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,43.410000,0.000000,48.230000,0.000000,0.870000,0.000000,0.000000,4.820000,241.150000,11.580000,0.000000,15.140000,0.680000,48.230000,1886.67

83,20:30-20:45,0,0,0,0.000000,13.170000,37.260000,37.260000,48.230000,96.460000,1.930000,0.480000,37.260000,38.580000,48.230000,32.000000,0.000000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,4.060000,47.710000,7.230000,0.000000,72.340000,66.740000,24.120000,0.970000,96.460000,2.890000,0.000000,90.670000,0.000000,24.120000,96.460000,0.610000,0.000000,21.220000,24.040000,96.460000,0.000000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,43.410000,0.000000,48.230000,0.000000,0.870000,0.000000,0.000000,4.820000,241.150000,10.610000,0.000000,15.140000,0.680000,48.230000,1889.76

84,20:45-21:00,0,0,0,0.000000,13.170000,37.260000,37.260000,48.230000,96.460000,1.930000,0.480000,37.260000,38.580000,48.230000,32.000000,0.000000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,4.060000,47.710000,7.230000,0.000000,72.340000,66.740000,24.120000,0.970000,96.460000,2.890000,0.000000,90.670000,0.000000,24.120000,96.460000,0.610000,0.000000,21.220000,24.040000,96.460000,0.000000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,43.410000,0.000000,48.230000,0.000000,0.870000,0.000000,0.000000,4.820000,241.150000,10.610000,0.000000,15.140000,0.680000,48.230000,1889.76

85,21:00-21:15,0,0,0,0.000000,13.170000,37.260000,37.260000,48.230000,96.460000,1.930000,0.480000,37.260000,38.580000,48.230000,32.000000,0.000000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,4.060000,47.710000,7.230000,38.580000,72.340000,66.740000,24.120000,0.970000,96.460000,2.890000,0.000000,90.670000,0.000000,24.120000,96.460000,0.610000,0.000000,21.220000,24.040000,96.460000,0.000000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,43.410000,0.000000,48.230000,0.000000,0.870000,0.000000,0.000000,4.820000,241.150000,10.610000,0.000000,15.140000,0.680000,48.230000,1928.34

86,21:15-21:30,0,0,0,0.000000,13.170000,37.260000,37.260000,48.230000,96.460000,1.930000,0.480000,37.260000,38.580000,48.230000,32.000000,0.000000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,4.060000,47.710000,7.230000,38.580000,72.340000,66.740000,24.120000,0.970000,96.460000,2.890000,0.000000,90.670000,0.000000,24.120000,96.460000,0.610000,0.000000,21.220000,24.040000,96.460000,0.000000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,43.410000,0.000000,48.230000,0.000000,0.870000,0.000000,0.000000,4.820000,241.150000,10.610000,0.000000,15.140000,0.680000,48.230000,1928.34

87,21:30-21:45,0,0,0,0.000000,13.170000,37.260000,37.260000,48.230000,96.460000,1.930000,0.480000,37.260000,38.580000,48.230000,32.000000,0.000000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,4.060000,47.710000,7.230000,38.580000,72.340000,66.740000,24.120000,0.970000,96.460000,2.890000,0.000000,90.670000,0.000000,24.120000,96.460000,0.610000,0.000000,21.220000,24.040000,96.460000,0.000000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,43.410000,0.000000,48.230000,0.000000,0.870000,0.000000,0.000000,4.820000,241.150000,10.610000,0.000000,15.140000,0.680000,48.230000,1928.34

88,21:45-22:00,0,0,0,0.000000,13.170000,37.260000,37.260000,48.230000,96.460000,1.930000,0.480000,37.260000,38.580000,48.230000,32.000000,0.000000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,4.060000,47.710000,7.230000,38.580000,72.340000,66.740000,24.120000,0.970000,96.460000,2.890000,0.000000,90.670000,0.000000,24.120000,96.460000,0.610000,0.000000,21.220000,24.040000,96.460000,0.000000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,43.410000,0.000000,48.230000,0.000000,0.870000,0.000000,0.000000,4.820000,241.150000,10.610000,0.000000,15.140000,0.680000,48.230000,1928.34

89,22:00-22:15,0,0,0,0.000000,13.170000,37.260000,37.260000,48.230000,96.460000,1.930000,0.480000,37.260000,38.580000,48.230000,32.000000,0.000000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,4.060000,47.710000,7.230000,38.580000,72.340000,66.740000,24.120000,0.970000,96.460000,2.890000,0.000000,90.670000,0.000000,24.120000,144.690000,0.610000,0.000000,21.220000,24.040000,96.460000,6.030000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,43.410000,18.090000,48.230000,0.000000,0.870000,12.200000,0.000000,4.820000,241.150000,10.610000,0.000000,15.140000,0.680000,48.230000,2012.89

90,22:15-22:30,0,0,0,0.000000,13.170000,37.260000,37.260000,48.230000,96.460000,1.930000,0.480000,37.260000,38.580000,48.230000,32.000000,0.000000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,4.060000,47.710000,7.230000,38.580000,72.340000,66.740000,24.120000,0.970000,96.460000,2.890000,0.000000,90.670000,0.000000,24.120000,144.690000,0.610000,0.000000,21.220000,24.040000,96.460000,6.030000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,43.410000,18.090000,48.230000,0.000000,0.870000,12.200000,0.000000,4.820000,241.150000,10.610000,0.000000,15.140000,0.680000,48.230000,2012.89

91,22:30-22:45,0,0,0,0.000000,13.170000,37.260000,37.260000,48.230000,96.460000,1.930000,0.480000,37.260000,38.580000,48.230000,32.000000,0.000000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,4.060000,47.710000,7.230000,38.580000,72.340000,66.740000,24.120000,0.970000,96.460000,2.890000,0.000000,90.670000,0.000000,24.120000,144.690000,0.610000,0.000000,21.220000,24.040000,96.460000,6.030000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,67.520000,18.090000,48.230000,0.000000,0.870000,12.200000,0.000000,4.820000,241.150000,10.610000,0.000000,15.140000,0.680000,48.230000,2037

92,22:45-23:00,0,0,0,0.000000,13.170000,37.260000,37.260000,48.230000,96.460000,1.930000,0.480000,37.260000,38.580000,48.230000,32.000000,0.000000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,4.060000,47.710000,7.230000,38.580000,72.340000,66.740000,24.120000,0.970000,96.460000,2.890000,0.000000,90.670000,0.000000,24.120000,144.690000,0.610000,0.000000,21.220000,24.040000,96.460000,6.030000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,67.520000,18.090000,48.230000,0.000000,0.870000,12.200000,0.000000,4.820000,241.150000,10.610000,0.000000,15.140000,0.680000,48.230000,2037

93,23:00-23:15,0,0,0,0.000000,13.170000,37.260000,37.260000,38.890000,96.460000,1.930000,0.480000,37.260000,38.580000,48.230000,32.000000,0.000000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,4.060000,47.710000,7.230000,38.580000,72.340000,66.740000,24.120000,0.970000,96.460000,2.330000,0.000000,90.670000,0.000000,24.120000,144.690000,0.610000,0.000000,21.220000,24.040000,96.460000,6.030000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,54.440000,18.090000,48.230000,0.000000,0.820000,12.200000,0.000000,4.820000,241.150000,9.650000,0.000000,15.140000,0.680000,48.230000,2013.01

94,23:15-23:30,0,0,0,0.000000,13.170000,37.260000,37.260000,34.430000,96.460000,1.930000,0.480000,37.260000,38.580000,48.230000,32.000000,0.000000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,4.060000,47.710000,7.230000,38.580000,72.340000,66.740000,24.120000,0.970000,96.460000,2.060000,0.000000,90.670000,0.000000,24.120000,144.690000,0.610000,0.000000,21.220000,24.040000,96.460000,6.030000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,48.200000,18.090000,48.230000,0.000000,0.820000,12.200000,0.000000,4.820000,241.150000,9.650000,0.000000,15.140000,0.680000,48.230000,2002.04

95,23:30-23:45,0,0,0,0.000000,13.170000,37.260000,37.260000,29.320000,96.460000,1.930000,0.480000,37.260000,38.580000,48.230000,32.000000,0.000000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,4.060000,47.710000,7.230000,38.580000,72.340000,66.740000,24.120000,0.970000,96.460000,1.760000,0.000000,90.670000,0.000000,24.120000,144.690000,0.610000,0.000000,21.220000,24.040000,96.460000,6.030000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,41.050000,18.090000,48.230000,0.000000,0.820000,12.200000,0.000000,4.820000,241.150000,9.650000,0.000000,15.140000,0.680000,48.230000,1989.48

96,23:45-24:00,0,0,0,0.000000,13.170000,37.260000,37.260000,29.320000,96.460000,1.930000,0.480000,37.260000,38.580000,48.230000,32.000000,0.000000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,4.060000,47.710000,7.230000,38.580000,72.340000,66.740000,24.120000,0.970000,96.460000,1.760000,0.000000,90.670000,0.000000,24.120000,144.690000,0.610000,0.000000,21.220000,24.040000,96.460000,6.030000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,41.050000,18.090000,48.230000,0.000000,0.820000,12.200000,0.000000,4.820000,241.150000,9.650000,0.000000,15.140000,0.680000,48.230000,1989.48

