Column1,Block,NR/2025/30334/A/87707,NR/2025/31137/A/88243,NR/2025/31137/A/88244,NR/2025/31138/A/88245,NR/2025/31136/A/88242,NR/2025/31388/C,NR/2025/31136/A/88241,NR/2025/31132/A/87909,GNA/NR/2025/07/01/2236,NR/30092023/31122025/SH-07,GNA/NR/2025/07/01/8139,GNA/NR/2025/07/01/2786,GNA/NR/2025/07/01/8230,NR/30092023/26122029/SH-06,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/01/8154,GNA/NR/2025/07/01/1192,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/07/01/2997,NR/2025/29992/A/87845,NR/2025/29915/A/88078,NR/2025/28725/A/88214,NR/2025/31375/C,NR/2025/27978/A/88254,NR/2025/31376/C,NR/2025/31336/C,NR/2025/31352/C,NR/2025/29352/A/87755,NR/2025/26975/A/88175,NR/2025/31372/C,NR/2025/27962/A/88333,NR/2025/29440/A/87762,NR/2025/30101/A/88252,NR/2025/30086/A/88159,NR/2025/31126/A/87848,NR/2025/29628/A/88172,NR/2025/29353/A/87754,NR/2025/30191/A/87706,NR/2025/31324/C,NR/2025/30822/A/87841,NR/2025/31338/C,NR/2025/30121/A/87704,NR/2025/31393/C,NR/2025/29167/A/88080,NR/2025/31395/C,NR/2025/30105/A/88155,NR/2025/30217/A/88154,NR/2025/30067/A/88298,NR/2025/27970/A/88337,NR/2025/29439/A/87844,NR/2025/31361/C,NR/2025/27968/A/88336,NR/2025/31377/C,NR/2025/30084/A/88163,NR/2025/31362/C,NR/2025/27964/A/88335,NR/2025/31373/C,NR/2025/31378/C,NR/2025/31389/C,NR/2025/31391/C,NR/2025/30082/A/88240,NR/2025/29910/A/88170,NR/2025/31363/C,NR/2025/27963/A/88334,NR/2025/31379/C,NR/2025/30083/A/88166,NR/2025/31200/A/87901,NR/2025/31297/C,NR/2025/31296/C,NR/2025/31138/A/88246,GNARE/NR/2024/12/20/3668,NR/2025/29985/A/87842,NR/2025/31395/C/Alternate/1,Total
90,22:15-22:30,0,0,0,0,0,0,0,0,81.75,26.26,134.89,43.71,224.82,26.26,0,20.75,0,17.3,0,44.24,0,143.07,0,96.18,0,0,0,28.61,25.97,0,96.18,0.91,48.09,37.15,13.47,105.8,81.75,48.09,0,134.65,0,6.73,0,54.1,183.74,24.78,7.69,0,144.27,25.08,0,0,0,37.15,0,144.27,0,0,0,0,48.09,19.24,0,0,0,12.39,0,0,0,0,0,0,8.62,2196.0499999999997

91,22:30-22:45,0,0,0,0,0,0,0,0,81.75,26.26,134.89,43.71,224.82,26.26,0,20.75,0,17.3,0,44.24,0,143.07,0,96.18,0,0,0,28.61,25.97,0,96.18,0.91,48.09,37.15,12.5,105.8,81.75,48.09,0,134.65,0,6.73,0,54.1,0,24.78,7.69,0,144.27,25.08,0,0,0,37.15,0,144.27,0,0,0,0,48.09,19.24,0,0,0,12.39,0,0,0,0,0,0,192.36,2195.08

92,22:45-23:00,0,0,0,0,0,0,0,0,81.75,26.26,134.89,43.71,224.82,26.26,0,20.75,0,17.3,0,44.24,0,143.07,0,96.18,0,0,0,28.61,25.97,0,96.18,0.91,48.09,37.15,12.5,105.8,81.75,48.09,0,134.65,0,6.73,0,54.1,0,24.78,7.69,0,144.27,25.08,0,0,0,37.15,0,144.27,0,0,0,0,48.09,19.24,0,0,0,12.39,0,0,0,0,0,0,192.36,2195.08

93,23:00-23:15,0,0,0,0,0,0,0,0,81.75,26.26,134.89,43.71,224.82,26.26,0,20.75,0,17.3,0,44.24,0,143.07,0,96.18,0,0,0,28.61,25.97,0,96.18,0.91,48.09,37.15,12.5,105.8,81.75,48.09,0,134.65,0,6.73,28.85,54.1,31.11,24.78,7.69,0,144.27,25.08,0,0,0,37.15,0,144.27,0,0,0,0,48.09,19.24,0,0,0,12.39,0,0,0,0,0,0,131,2193.6799999999994

94,23:15-23:30,0,0,0,0,0,0,0,0,81.75,26.26,134.89,43.71,224.82,26.26,0,20.75,0,17.3,0,44.24,0,143.07,0,96.18,0,0,0,28.61,25.97,0,96.18,0.91,48.09,37.15,12.5,105.8,81.75,48.09,0,134.65,0,6.73,28.85,54.1,28.56,24.78,7.69,0,144.27,25.08,0,0,0,37.15,0,144.27,0,0,0,0,48.09,19.24,0,0,0,12.39,0,0,0,0,0,0,133.56,2193.6899999999996

95,23:30-23:45,0,0,0,0,0,0,0,0,81.75,26.26,134.89,43.71,224.82,26.26,0,20.75,0,17.3,0,44.24,0,143.07,0,96.18,0,0,0,28.61,25.97,0,96.18,0.91,48.09,37.15,12.5,105.8,81.75,48.09,0,134.65,0,6.73,28.85,54.1,31,24.78,7.69,0,144.27,25.08,0,0,0,37.15,0,144.27,0,0,0,0,48.09,19.24,0,0,0,12.39,0,0,0,0,0,0,131.11,2193.68

96,23:45-24:00,0,0,0,0,0,0,0,0,81.75,26.26,134.89,43.71,224.82,26.26,0,20.75,0,17.3,0,44.24,0,143.07,0,96.18,0,0,0,28.61,26.11,0,96.18,0.91,48.09,37.15,12.5,105.8,81.75,48.09,0,134.65,0,6.73,28.85,54.1,39.55,24.78,7.69,0,144.27,25.08,0,0,0,37.15,0,144.27,0,0,0,0,48.09,19.24,0,0,0,12.39,0,0,0,0,0,0,122.56,2193.8199999999997

