Time,Block,NR/2024/20599/A/21929,NR/2024/20540/A/21711,NR/2024/20553/A/21865,NR/2024/20554/A/21827,NR/2024/19699/A/22394,NR/2024/20050/A/22251,NR/2024/20090/A/21869,NR/2024/20211/A/22202,NR/2024/19966/A/21976,NR/2024/20724/C,NR/2024/20041/A/22256,NR/2024/20144/A/22198,NR/2024/20751/C,NR/2024/19683/A/21889,NR/2024/20824/C,NR/2024/20759/C,NR/2024/20537/A/22429,NR/2024/19918/A/22331,NR/2024/19919/A/22326,NR/2024/19637/A/21966,NR/2024/20714/C,NR/2024/20142/A/22199,NR/2024/19988/A/22167,NR/2024/20515/A/22191,NR/2024/20598/A/21927,NR/2024/20552/A/21866,NR/2024/20734/C,NR/2024/20712/C,NR/2024/19588/A/21943,NR/2024/20513/A/22188,NR/2024/19475/A/22244,NR/2024/20713/C,NR/2024/20130/A/21989,NR/2024/20516/A/22189,NR/2024/19757/A/22392,NR/2024/20597/A/22245,NR/2024/20748/C,NR/2024/20557/A/22388,NR/2024/20560/A/22386,NR/2024/20524/A/22271,NR/2024/20558/A/22387,NR/2024/19779/A/21852,NR/2024/20572/A/22385,NR/2024/20738/C,NR/2024/20037/A/21958,NR/2024/20048/A/22253,NR/2024/19432/A/22396,NR/2024/20212/A/22204,NR/2024/19760/A/21959,NR/2024/19355/A/22431,NR/2024/19791/A/22335,NR/2024/20109/A/22430,NR/2024/20141/A/22200,Total
86,21:15-21:30,0.000000,11.590000,43.290000,0.000000,43.290000,0.000000,1.930000,1.590000,0.000000,0.000000,0.000000,0.880000,0.000000,1.930000,0.000000,52.010000,0.000000,12.120000,43.290000,0.000000,168.760000,0.520000,96.600000,0.880000,0.000000,25.980000,0.000000,0.000000,66.840000,0.680000,173.170000,0,0.480000,0.980000,43.620000,0.000000,96.600000,9.840000,29.520000,19.320000,29.520000,0.770000,29.520000,0.000000,64.940000,0.000000,21.650000,0.610000,0.000000,86.590000,58.090000,241.500000,0.350000,1479.25

87,21:30-21:45,0.000000,11.590000,42.900000,0.000000,42.900000,0.000000,1.930000,1.590000,0.000000,0.000000,0.000000,0.880000,0.000000,1.930000,0.000000,51.880000,0.000000,12.010000,42.900000,0.000000,168.760000,0.520000,96.600000,0.880000,0.000000,25.730000,0.000000,0.000000,66.840000,0.680000,171.570000,0,0.480000,0.980000,43.220000,0.000000,96.600000,9.750000,29.240000,19.320000,29.240000,0.770000,29.240000,0.000000,64.350000,0.000000,21.450000,0.610000,0.000000,85.790000,57.540000,241.500000,0.350000,1472.52

88,21:45-22:00,0.000000,11.590000,42.630000,0.000000,42.630000,0.000000,1.930000,1.590000,0.000000,0.000000,0.000000,0.880000,0.000000,1.930000,0.000000,51.210000,0.000000,11.940000,42.630000,0.000000,168.760000,0.520000,96.600000,0.880000,0.000000,25.580000,0.000000,0.000000,66.840000,0.680000,170.530000,0,0.480000,0.980000,42.960000,0.000000,96.600000,9.690000,29.070000,19.320000,29.070000,0.770000,29.070000,0.000000,63.950000,0.000000,21.310000,0.610000,0.000000,85.270000,57.200000,241.500000,0.350000,1467.55

89,22:00-22:15,0.000000,8.690000,42.630000,0.000000,42.630000,144.900000,1.930000,1.590000,0.000000,0.000000,0.000000,0.880000,0.000000,1.930000,0.000000,51.220000,0.000000,11.930000,42.630000,0.000000,168.760000,0.520000,96.600000,0.880000,0.000000,25.570000,0.000000,0.000000,66.840000,0.680000,170.490000,0,0.480000,0.980000,42.940000,0.000000,96.600000,9.690000,29.070000,19.320000,29.070000,0.720000,29.070000,0.000000,63.930000,48.300000,21.310000,0.610000,0.000000,85.240000,57.180000,241.500000,0.350000,1657.66

90,22:15-22:30,0.000000,8.690000,42.670000,0.000000,42.670000,144.900000,1.930000,1.590000,0.000000,0.000000,0.000000,0.880000,0.000000,1.930000,0.000000,51.290000,0.000000,11.950000,42.670000,0.000000,168.760000,0.520000,96.600000,0.880000,0.000000,25.610000,0.000000,0.000000,66.840000,0.680000,170.700000,0,0.480000,0.980000,43.000000,0.000000,96.600000,9.700000,29.100000,19.320000,29.100000,0.720000,29.100000,0.000000,64.010000,48.300000,21.340000,0.610000,0.000000,85.350000,57.250000,241.500000,0.350000,1658.57

91,22:30-22:45,0.000000,8.690000,42.440000,0.000000,42.440000,144.900000,1.930000,1.590000,0.000000,0.000000,0.000000,0.880000,0.000000,1.930000,0.000000,51.810000,0.000000,11.880000,271.640000,0.000000,168.760000,0.520000,96.600000,0.880000,0.000000,25.460000,0.000000,0.000000,66.840000,0.680000,169.770000,0,0.480000,0.980000,42.760000,0.000000,96.600000,9.640000,28.930000,19.320000,28.930000,0.720000,28.930000,0.000000,63.670000,48.300000,21.220000,0.610000,0.000000,84.890000,56.940000,241.500000,0.350000,1884.41

92,22:45-23:00,0.000000,8.690000,42.350000,0.000000,42.350000,144.900000,1.930000,1.590000,0.000000,0.000000,0.000000,0.880000,0.000000,1.930000,0.000000,51.970000,0.000000,11.860000,271.030000,0.000000,168.760000,0.520000,96.600000,0.880000,0.000000,25.410000,0.000000,0.000000,66.840000,0.680000,169.390000,0,0.480000,0.980000,42.670000,0.000000,96.600000,9.620000,28.870000,19.320000,28.870000,0.720000,28.870000,0.000000,63.520000,48.300000,21.170000,0.610000,0.000000,84.700000,56.810000,241.500000,0.350000,1882.52

93,23:00-23:15,0.000000,8.690000,42.660000,0.000000,42.660000,144.900000,1.930000,1.590000,0.000000,0.000000,0.000000,0.880000,0.000000,1.930000,48.300000,51.770000,0.000000,11.940000,272.970000,0.000000,168.760000,0.520000,96.600000,0.880000,0.000000,25.590000,0.000000,0.000000,66.840000,0.680000,170.610000,0,0.480000,0.980000,42.980000,0.000000,96.600000,9.690000,29.090000,19.320000,29.090000,0.630000,29.090000,0.000000,63.980000,48.300000,21.330000,0.610000,0.000000,85.310000,57.230000,241.500000,0.350000,1937.26

94,23:15-23:30,0.000000,8.690000,43.020000,0.000000,43.020000,144.900000,1.930000,1.590000,0.000000,0.000000,0.000000,0.880000,0.000000,1.930000,48.300000,51.930000,0.000000,12.050000,275.320000,0.000000,168.760000,0.520000,96.600000,0.880000,0.000000,25.810000,0.000000,0.000000,66.840000,0.680000,172.070000,0,0.480000,0.980000,43.340000,0.000000,96.600000,9.780000,29.330000,19.320000,29.330000,0.630000,29.330000,0.000000,64.530000,48.300000,21.500000,0.610000,0.000000,86.040000,57.710000,241.500000,0.350000,1945.38

95,23:30-23:45,0.000000,8.690000,42.680000,0.000000,42.680000,144.900000,1.930000,1.590000,0.000000,0.000000,0.000000,0.880000,0.000000,1.930000,48.300000,52.080000,0.000000,11.950000,273.160000,0.000000,168.760000,0.520000,96.600000,0.880000,0.000000,25.610000,0.000000,0.000000,66.840000,0.680000,170.720000,0,0.480000,0.980000,43.010000,0.000000,96.600000,9.700000,29.110000,19.320000,29.110000,0.630000,29.110000,0.000000,64.020000,48.300000,21.340000,0.610000,0.000000,85.370000,57.260000,241.500000,0.350000,1938.18

96,23:45-24:00,0.000000,8.690000,42.900000,0.000000,42.900000,144.900000,1.930000,1.590000,0.000000,0.000000,0.000000,0.880000,0.000000,1.930000,48.300000,52.110000,0.000000,12.010000,274.580000,0.000000,168.760000,0.520000,96.600000,0.880000,0.000000,25.740000,0.000000,0.000000,66.840000,0.680000,171.600000,0,0.480000,0.980000,43.230000,0.000000,96.600000,9.750000,29.250000,19.320000,29.250000,0.630000,29.250000,0.000000,64.350000,48.300000,21.450000,0.610000,0.000000,85.810000,57.550000,241.500000,0.350000,1943

