Block,Time,SINGRAULI_HYDRO,ANTA_RF,DADRI_CRF,AURY_LF,PARBATI3,NAPP,UNCHAHAR3,DULHASTI,CHAMERA1,SALAL,UNCHAHAR1,TANDA2,UNCHAHAR2,CHAMERA3,ANTA_CRF,BSIUL,AURY_RF,JHAJJAR,NJPC,DADRI_RF,RIHAND1,KISHANGANGA,DADRI_LF,DHAULIGNGA,UNCHAHAR4,RAPPB,DADRI_GF,URI,SEWA2,URI2,AURY_CRF,RIHAND3,RAMPUR,SINGRAULI,KOLDAM,DADRT2,ANTA_LF,TEHRI,KOTESHWR,RAPPC,CHAMERA2,AURY_GF,ANTA_GF,TANAKPUR,RIHAND2,SASAN,TALA,KHSTPP-II,BRBCL,KHSTPP-I,KUDGI,FSTPP I & II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
26,06:15-06:30,0.572986,0.000000,0.000000,0.000000,15.797768,0.000000,9.526732,47.765600,25.188834,12.349968,6.666780,0.000000,11.430146,18.719913,0.000000,18.901191,0.000000,226.023166,128.098796,0.000000,88.890400,0.000000,0.000000,35.308952,0.000000,0.000000,0.000000,48.000816,15.269871,23.915073,0.000000,119.485727,0.000000,131.886300,0.000000,235.752800,0.000000,60.140153,28.580196,49.657366,38.174678,0.000000,0.000000,4.331958,114.132375,404.615574,0.000000,93.884978,19.324022,42.847588,73.43,12.149675,0,0,0,0,0

27,06:30-06:45,0.572986,0.000000,0.000000,0.000000,15.797768,0.000000,9.526732,47.765600,38.164900,12.349968,6.666780,0.000000,11.430146,18.719913,0.000000,18.901191,0.000000,226.023166,128.098796,0.000000,88.890400,0.000000,0.000000,35.308952,0.000000,0.000000,0.000000,10.666848,15.269871,23.915073,0.000000,119.485727,0.000000,131.886300,0.000000,228.023200,0.000000,60.140153,28.580196,49.657366,38.174678,0.000000,0.000000,4.331958,114.132375,404.615574,0.000000,93.884978,19.324022,42.847588,73.43,12.149675,0,0,0,0,0

28,06:45-07:00,0.572986,0.000000,0.000000,0.000000,15.797768,0.000000,9.526732,47.765600,38.164900,12.349968,6.666780,0.000000,18.934718,18.719913,0.000000,18.901191,0.000000,235.685166,128.098796,0.000000,88.890400,0.000000,0.000000,35.308952,0.000000,0.000000,0.000000,10.666848,15.269871,23.915073,0.000000,119.485727,0.000000,131.886300,0.000000,254.110600,0.000000,60.140153,28.580196,49.657366,38.174678,0.000000,0.000000,4.331958,114.132375,404.615574,0.000000,93.884978,19.324022,42.847588,76.33,12.149675,0,0,0,0,0

29,07:00-07:15,0.572986,0.000000,0.000000,0.000000,15.797768,0.000000,9.526732,47.765600,38.164900,12.349968,6.666780,0.000000,11.430146,18.719913,0.000000,18.901191,0.000000,226.023166,128.098796,0.000000,88.890400,0.000000,0.000000,35.308952,0.000000,0.000000,0.000000,13.866902,15.269871,23.915073,0.000000,119.485727,0.000000,131.886300,0.000000,257.009200,0.000000,60.140153,28.580196,49.657366,38.174678,0.000000,0.000000,4.331958,114.132375,404.615574,0.000000,93.884978,19.324022,42.847588,78.26,12.149675,0,0,0,0,0

30,07:15-07:30,0.572986,0.000000,0.000000,0.000000,15.797768,0.000000,9.526732,47.765600,25.188834,12.349968,6.666780,0.000000,11.430146,18.719913,0.000000,18.901191,0.000000,226.023166,128.098796,0.000000,88.890400,0.000000,0.000000,17.613633,0.000000,0.000000,0.000000,13.866902,15.269871,23.915073,0.000000,119.485727,0.000000,131.886300,0.000000,254.110600,0.000000,60.140153,28.580196,49.657366,38.174678,0.000000,0.000000,4.331958,114.132375,404.615574,0.000000,93.884978,19.324022,42.847588,79.23,12.149675,0,0,0,0,0

