Column1,Block,NR/2025/27622/A/79840,GNARE/NR/2024/12/20/3668,NR/2025/27356/A/80175,NR/30092023/31122025/SH-07,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/5280,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/9257,NR/30092023/26122029/SH-06,NR/2025/28768/C,NR/2025/28888/C,NR/2025/28803/C,NR/2025/28822/C,NR/2025/26570/A/80229,NR/2025/28817/C,NR/2025/28748/C,NR/2025/26445/A/80370,NR/2025/28786/C,NR/2025/28840/C,NR/2025/28796/C,NR/2025/28854/C,NR/2025/28842/C,NR/2025/28828/C,NR/2025/28139/A/80169,NR/2025/28844/C,NR/2025/28744/C,NR/2025/26445/A/80792,NR/2025/28886/C,NR/2025/28140/A/80171,NR/2025/28746/C,NR/2025/28804/C,NR/2025/28663/C,NR/2025/28747/C,NR/2025/28667/C,NR/2025/28835/C,NR/2025/28837/C,NR/2025/28876/C,NR/2025/28138/A/79991,NR/2025/27281/A/80373,NR/2025/28858/C,NR/2025/26085/A/79940,NR/2025/28861/C,NR/2025/27088/A/80360,NR/2025/27725/A/80290,NR/2025/26861/A/80270,NR/2025/27726/A/80289,NR/2025/28860/C,NR/2025/27168/A/80325,NR/2025/26889/A/80316,NR/2025/27728/A/80287,NR/2025/27462/A/79841,NR/2025/28862/C,NR/2025/26561/A/80225,NR/2025/26860/A/80281,NR/2025/27727/A/80285,NR/2025/28884/C,NR/2025/27167/A/80324,NR/2025/26952/A/79915,NR/2025/27157/A/79962,NR/2025/26785/A/80101,NR/2025/27499/A/80315,NR/2025/28141/A/80173,NR/2025/27782/A/80284,NR/2025/26563/A/80226,NR/2025/27242/A/80294,NR/2025/26564/A/80227,NR/2025/27724/A/79944,NR/2025/26777/A/79958,NR/2025/27162/A/80298,NR/2025/26569/A/80228,NR/2025/26975/A/80314,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/14/1761,GNA/NR/2025/06/14/5424,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/2569,Total
81,20:00-20:15,0,0,0,32,28.99,0,48.32,11.91,15.07,24.16,24.16,32,0,48.32,0,14.49,144.94,0,0,63.58,146.88,0,0,48.32,0,162.87,23.07,0,0,33.05,53.15,33.82,0,0,0,0,0,0,0,53.15,38.65,24.88,0,0.92,32.85,192.64,8.78,193.26,26.35,170.07,24.16,5.8,26.35,9.66,87.93,144.94,106.29,26.35,129.74,24.16,0,217.42,0,8.7,135.28,8.78,0,48.32,144.94,13.53,193.26,55.99,0,27.06,48.32,11.9,24.16,48.32,40.29,48.32,62.81,3453.4300000000003

82,20:15-20:30,0,0,0,32,28.99,0,48.32,11.91,15.07,24.16,24.16,32,0,48.32,0,14.49,144.94,0,0,63.58,146.88,0,0,48.32,0,162.87,23.07,0,0,33.05,53.15,33.82,0,0,0,0,0,0,0,53.15,38.65,24.88,0,0.92,32.85,192.64,8.78,193.26,26.35,170.07,24.16,5.8,26.35,9.66,87.93,144.94,106.29,26.35,129.74,24.16,0,217.42,0,8.7,135.28,8.78,0,48.32,144.94,13.53,193.26,55.99,0,27.06,48.32,11.9,24.16,48.32,40.29,48.32,62.81,3453.4300000000003

83,20:30-20:45,0,0,0,32,28.99,0,48.32,11.91,15.07,24.16,24.16,32,0,48.32,0,14.49,144.94,0,0,63.58,146.88,0,0,48.32,0,162.87,23.07,0,0,33.05,53.15,33.82,0,0,0,0,0,0,0,53.15,38.65,24.88,0,0.92,32.85,192.64,8.78,193.26,26.35,170.07,24.16,5.8,26.35,9.66,87.93,144.94,106.29,26.35,129.74,24.16,0,217.42,0,8.7,135.28,8.78,0,48.32,144.94,13.53,193.26,55.99,0,27.06,48.32,11.9,24.16,48.32,40.29,48.32,62.81,3453.4300000000003

84,20:45-21:00,0,0,0,32,28.99,0,48.32,11.91,15.07,24.16,24.16,32,0,48.32,0,14.49,144.94,0,0,63.58,146.88,0,0,48.32,0,162.87,23.07,0,0,33.05,53.15,33.82,0,0,0,0,0,0,0,53.15,38.65,24.88,0,0.92,32.85,192.64,8.78,193.26,26.35,170.07,24.16,5.8,26.35,9.66,87.93,144.94,106.29,26.35,129.74,24.16,0,217.42,0,8.7,135.28,8.78,0,48.32,144.94,13.53,193.26,55.99,0,27.06,48.32,11.9,24.16,48.32,40.29,48.32,62.81,3453.4300000000003

85,21:00-21:15,0,0,0,32,28.99,0,48.32,11.91,15.54,24.16,24.16,32,0,48.32,0,28.99,144.94,0,0,63.58,146.88,0,0,48.32,0,98.71,23.07,0,0,33.05,53.15,33.82,0,0,0,0,0,0,0,53.15,38.65,24.88,0.97,0.92,32.85,192.64,8.78,193.26,26.35,170.07,24.16,5.8,26.35,9.66,87.93,144.94,106.29,26.35,129.74,24.16,0,217.42,0,8.7,135.28,8.78,0,48.32,144.94,12.56,193.26,55.99,0,27.06,48.32,11.9,24.16,48.32,88.61,48.32,62.81,3452.560000000001

86,21:15-21:30,0,0,0,32,28.99,0,48.32,11.91,15.54,24.16,24.16,32,0,48.32,0,28.99,144.94,0,0,63.58,146.88,0,0,48.32,0,98.71,23.07,0,0,33.05,53.15,33.82,0,0,0,0,0,0,0,53.15,38.65,24.88,0.97,0.92,32.85,192.64,8.78,193.26,26.35,170.07,24.16,5.8,26.35,9.66,87.93,144.94,106.29,26.35,129.74,24.16,0,217.42,0,8.7,135.28,8.78,0,48.32,144.94,12.56,193.26,55.99,0,27.06,48.32,11.9,24.16,48.32,88.61,48.32,62.81,3452.560000000001

87,21:30-21:45,0,0,0,32,28.99,0,48.32,11.91,15.54,24.16,24.16,32,0,48.32,0,28.99,144.94,0,0,63.58,146.88,0,0,48.32,0,98.71,23.07,0,0,33.05,53.15,33.82,0,0,0,0,0,0,0,53.15,38.65,24.88,0.97,0.92,32.85,192.64,8.78,193.26,26.35,170.07,24.16,5.8,26.35,9.66,87.93,144.94,106.29,26.35,129.74,24.16,0,217.42,0,8.7,135.28,8.78,0,48.32,144.94,12.56,193.26,55.99,0,27.06,48.32,11.9,24.16,48.32,88.61,48.32,62.81,3452.560000000001

88,21:45-22:00,0,0,0,32,28.99,0,48.32,11.91,15.54,24.16,24.16,32,0,48.32,0,28.99,144.94,0,0,63.58,146.88,0,0,48.32,0,98.71,23.07,0,0,33.05,53.15,33.82,0,0,0,0,0,0,0,53.15,38.65,24.88,0.97,0.92,32.85,192.64,8.78,193.26,26.35,170.07,24.16,5.8,26.35,9.66,87.93,144.94,106.29,26.35,129.74,24.16,0,217.42,0,8.7,135.28,8.78,0,48.32,144.94,12.56,193.26,55.99,0,27.06,48.32,11.9,24.16,48.32,88.61,48.32,62.81,3452.560000000001

89,22:00-22:15,0,0,0,32,28.99,0,48.32,11.91,15.54,24.16,24.16,32,0,48.32,0,28.99,144.94,0,0,63.58,146.88,0,0,48.32,0,98.71,23.07,0,0,33.05,57.98,33.82,0,0,0,0,0,0,0,53.15,38.65,24.88,1.93,0.82,32.85,192.64,8.78,193.26,26.35,170.07,24.16,5.8,26.35,9.66,87.93,144.94,106.29,26.35,129.74,24.16,0,217.42,0,8.7,135.28,8.78,0,48.32,144.94,11.6,193.26,55.99,0,27.06,48.32,11.9,24.16,48.32,88.61,48.32,62.81,3457.2900000000004

90,22:15-22:30,0,0,0,32,28.99,0,48.32,11.91,15.54,24.16,24.16,32,0,48.32,0,28.99,144.94,0,0,63.58,146.88,0,0,48.32,0,98.71,23.07,0,0,33.05,57.98,33.82,0,0,0,0,0,0,0,53.15,38.65,24.88,1.93,0.82,32.85,192.64,8.78,193.26,26.35,170.07,24.16,5.8,26.35,9.66,87.93,144.94,106.29,26.35,129.74,24.16,0,217.42,0,8.7,135.28,8.78,0,48.32,144.94,11.6,193.26,55.99,0,27.06,48.32,11.9,24.16,48.32,88.61,48.32,62.81,3457.2900000000004

91,22:30-22:45,0,0,0,32,28.99,0,48.32,11.91,15.54,24.16,24.16,32,0,48.32,0,28.99,144.94,0,0,63.58,146.88,0,0,48.32,0,98.71,23.07,0,0,33.05,57.98,33.82,0,0,0,0,0,0,0,53.15,38.65,24.88,1.93,0.82,32.85,192.64,8.78,193.26,26.35,170.07,24.16,5.8,26.35,9.66,87.93,144.94,106.29,26.35,129.74,24.16,0,217.42,0,8.7,135.28,8.78,0,48.32,144.94,11.6,193.26,55.99,0,27.06,48.32,11.9,24.16,48.32,88.61,48.32,62.81,3457.2900000000004

92,22:45-23:00,0,0,0,32,28.99,0,48.32,11.91,15.54,24.16,24.16,32,0,48.32,0,28.99,144.94,0,0,63.58,146.88,0,0,48.32,0,98.71,23.07,0,0,33.05,57.98,33.82,0,0,0,0,0,0,0,53.15,38.65,24.88,1.93,0.82,32.85,192.64,8.78,193.26,26.35,170.07,24.16,5.8,26.35,9.66,87.93,144.94,106.29,26.35,129.74,24.16,0,217.42,0,8.7,135.28,8.78,0,48.32,144.94,11.6,193.26,55.99,0,27.06,48.32,11.9,24.16,48.32,88.61,48.32,62.81,3457.2900000000004

93,23:00-23:15,0,0,0,32,28.99,0,48.32,11.91,15.54,24.16,24.16,32,0,48.32,0,28.99,144.94,0,0,63.58,146.88,0,0,96.63,0,98.71,23.07,0,0,33.05,57.98,33.82,0,0,0,0,0,0,0,53.15,38.65,24.88,2.9,0.77,32.85,192.64,8.78,193.26,26.35,170.07,24.16,5.8,26.35,9.66,87.93,144.94,106.29,26.35,129.74,24.16,0,217.42,0,8.7,135.28,8.78,0,48.32,144.94,10.63,193.26,55.99,0,27.06,48.32,11.9,24.16,48.32,88.61,48.32,62.81,3505.5500000000015

94,23:15-23:30,0,0,0,32,28.99,0,48.32,11.91,15.54,24.16,24.16,32,0,48.32,0,28.99,144.94,0,0,63.58,146.88,0,0,96.63,0,98.71,23.07,0,0,33.05,57.98,33.82,0,0,0,0,0,0,0,53.15,38.65,24.88,2.9,0.77,32.85,192.64,8.78,193.26,26.35,170.07,24.16,5.8,26.35,9.66,87.93,144.94,106.29,26.35,129.74,24.16,0,217.42,0,8.7,135.28,8.78,0,48.32,144.94,10.63,193.26,55.99,0,27.06,48.32,11.9,24.16,48.32,88.61,48.32,62.81,3505.5500000000015

95,23:30-23:45,0,0,0,32,28.99,0,48.32,11.91,15.54,24.16,24.16,32,0,48.32,0,28.99,144.94,0,0,63.58,146.88,0,0,96.63,0,98.71,23.07,0,0,33.05,57.98,33.82,0,0,0,0,0,0,0,53.15,38.65,24.88,2.9,0.77,32.85,192.64,8.78,193.26,26.35,170.07,24.16,5.8,26.35,9.66,87.93,144.94,106.29,26.35,129.74,24.16,0,217.42,0,8.7,135.28,8.78,0,48.32,144.94,10.63,193.26,55.99,0,27.06,48.32,11.9,24.16,48.32,88.61,48.32,62.81,3505.5500000000015

96,23:45-24:00,0,0,0,32,28.99,0,48.32,11.91,15.54,24.16,24.16,32,0,48.32,0,28.99,144.94,0,0,63.58,146.88,0,0,96.63,0,98.71,23.07,0,0,33.05,57.98,33.82,0,0,0,0,0,0,0,53.15,38.65,24.88,2.9,0.77,32.85,192.64,8.78,193.26,26.35,170.07,24.16,5.8,26.35,9.66,87.93,144.94,106.29,26.35,129.74,24.16,0,217.42,0,8.7,135.28,8.78,0,48.32,144.94,10.63,193.26,55.76,0,27.06,48.32,12.18,24.16,48.32,88.61,48.32,62.81,3505.6000000000017

