Time,Block,NR/2023/10488/A,NR/2023/13844/D,NR/2023/13053/F,NR/2023/12661/A,NR/2023/13847/D,NR/2023/10561/A,NR/2023/10436/A,NR/2023/12923/F,NR/2023/13861/C,NR/2023/13872/C,NR/2023/12706/A,NR/2023/10956/A,NR/2023/13871/C,NR/2023/10650/A,NR/2023/10432/A,NR/2023/11709/A,ER/2023/8541/C,NR/2023/12924/F,NR/2023/12916/F,NR/2023/12922/F,NR/2023/10705/A,WR/2023/16419/C,NR/2023/11068/A,NR/2023/13053/F/II,NR/2023/12813/F,NR/2023/11507/A,NR/2023/13870/C,NR/2023/12915/F,NR/2023/12169/A,NR/2023/10435/A,NR/2023/13854/D,NR/2023/13369/F,NR/2023/10720/A,NR/2023/10959/A,NR/2023/12919/F,NR/2023/12917/F,NR/2023/10460/A,NR/2023/13845/D,NR/2023/13860/C,NR/2023/10651/A,NR/2023/13843/D,NR/2023/12920/F,NR/2023/11953/A,NR/2023/13855/D,NR/2023/10786/A,NR/2023/11266/A,NR/2023/12872/F,NR/2023/13679/F,NR/2023/11712/A,NR/2023/10947/A,NR/2023/12921/F,NR/2023/12814/F,Total
90,22:15-22:30,48.410000,0.000000,24.200000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,58.090000,83.270000,43.570000,23.180000,0.000000,0.610000,0.520000,1.020000,232.470000,0.000000,48.410000,0.000000,62.930000,255.520000,19.170000,0.370000,54.220000,24.200000,0,0.000000,23.720000,21.280000,0.920000,0.920000,23.240000,147.910000,35.680000,63.180000,0,0.930000,36.530000,0,91.980000,63.630000,0.730000,4.840000,64.390000,23.240000,0.930000,85.690000,1907.68

91,22:30-22:45,48.410000,0.000000,24.200000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,58.090000,83.270000,43.570000,23.180000,0.000000,0.610000,0.520000,1.020000,232.470000,0.000000,48.410000,0.000000,62.930000,255.520000,19.170000,0.370000,54.220000,24.200000,0,0.000000,23.720000,21.280000,0.920000,0.920000,23.240000,147.910000,35.680000,63.180000,0,0.930000,36.530000,0,91.980000,63.630000,0.730000,4.840000,64.390000,23.240000,0.930000,85.690000,1907.68

92,22:45-23:00,48.410000,0.000000,24.200000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,58.090000,83.270000,43.570000,23.180000,0.000000,0.610000,0.520000,1.020000,232.470000,0.000000,48.410000,0.000000,62.930000,255.520000,19.170000,0.370000,54.220000,24.200000,0,0.000000,23.720000,21.280000,0.920000,0.920000,23.240000,147.910000,35.680000,63.180000,0,0.930000,36.530000,0,91.980000,63.630000,0.730000,4.840000,64.390000,23.240000,0.930000,85.690000,1907.68

93,23:00-23:15,48.410000,0.000000,24.200000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,43.570000,83.270000,43.570000,23.180000,0.000000,0.610000,0.520000,1.020000,232.470000,0.000000,48.410000,0.000000,62.930000,255.520000,19.170000,0.370000,54.220000,24.200000,0,0.000000,23.720000,21.280000,0.920000,0.920000,23.240000,147.910000,35.680000,63.180000,0,0.930000,36.530000,0,91.980000,63.630000,0.630000,4.840000,64.390000,23.240000,0.930000,85.690000,1893.06

94,23:15-23:30,48.410000,0.000000,24.200000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,32.920000,83.270000,43.570000,23.180000,0.000000,0.610000,0.520000,1.020000,232.470000,0.000000,48.410000,0.000000,62.930000,255.520000,19.170000,0.370000,54.220000,24.200000,0,0.000000,23.720000,21.280000,0.920000,0.920000,23.240000,147.910000,35.680000,63.180000,0,0.930000,36.530000,0,91.980000,63.630000,0.630000,4.840000,64.390000,23.240000,0.930000,85.690000,1882.41

95,23:30-23:45,48.410000,0.000000,24.200000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,29.050000,83.270000,43.570000,23.180000,0.000000,0.610000,0.520000,1.020000,232.470000,0.000000,48.410000,0.000000,62.930000,255.520000,19.170000,0.370000,54.220000,24.200000,0,0.000000,23.720000,21.280000,0.920000,0.920000,23.240000,147.910000,35.680000,63.180000,0,0.930000,36.530000,0,91.980000,63.630000,0.630000,4.840000,64.390000,23.240000,0.930000,85.690000,1878.54

96,23:45-24:00,48.410000,0.000000,24.200000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,36.790000,83.270000,43.570000,23.180000,0.000000,0.610000,0.520000,1.020000,232.470000,0.000000,48.410000,0.000000,62.930000,255.520000,19.170000,0.370000,54.220000,24.200000,0,0.000000,23.720000,21.280000,0.920000,0.920000,23.240000,147.910000,35.680000,63.180000,0,0.930000,36.530000,0,91.980000,63.630000,0.630000,4.840000,64.390000,23.240000,0.930000,85.690000,1886.28

