Time,Block,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug24,NR/2024/21974/A/30080,NR/2024/21860/A/30058,NR/2024/22014/A/29930,NR/01082024/30092024/LT_MEJA_DELHI,NR/2024/21872/A/29857,NR/2024/22156/C,NR/2024/21943/A/30093,NR/2024/22195/C,NR/2024/21932/A/29832,NR/2024/21961/A/29943,NR/2024/21970/A/30078,NR/2024/21870/A/29855,NR/01082024/31082024/jitpl,NR/2024/22081/A/30057,NR/2024/21968/A/30077,NR/2024/21869/A/29848,NR/2024/21909/A/30053,NR/2024/21966/A/30051,NR/2024/22042/A/30032,NR/01082024/31082024/SKS-Raigarh,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/2024/21971/A/30079,NR/2024/22184/C,NR/2024/21956/A/30097,NR/01102023/14082046/L_NR_2021_16,NR/30092023/26122029/SH-06,NR/01082024/30082024/	NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/21871/A/29856,NR/2024/21814/A/30081,NR/2024/21938/A/29945,NR/2024/21918/A/30119,NR/2024/22155/C,NR/2024/21868/A/29858,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/23072042/L_NR_2012_04,NR/2024/22199/C,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/2024/21876/A/29864,NR/2024/21983/A/29984,NR/2024/21954/A/30094,NR/2024/22137/C,NR/01082024/01082024/HPX_TAM_31072024_01942,NR/2024/22167/C,NR/2024/21873/A/29866,NR/2024/22136/C,NR/2024/22181/C,NR/2024/22090/C,NR/2024/21658/A/29811,NR/30092023/31122025/SH-07,NR/2024/22146/C,NR/2024/21875/A/29865,NR/2024/22175/C,NR/01082024/15082024/APL-Raigarh,NR/2024/22010/A/30116,NR/2024/22185/C,NR/2024/22173/C,NR/2024/21940/A/30095,NR/01102023/02012046/L_NR_2021_17,Total
74,18:15-18:30,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,48.160000,38.530000,0.000000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,32.090000,37.210000,27.970000,24.080000,0,16.670000,0.000000,0.000000,48.160000,0.000000,90.540000,20.710000,0.000000,15.910000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.83,96.320000,72.240000,0.000000,163.980000,24.080000,0.000000,0.870000,16.670000,90.540000,0.000000,0.000000,192.640000,0.000000,0.000000,28.900000,83.970000,0,1657.31

75,18:30-18:45,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,48.160000,38.530000,0.000000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,32.090000,37.210000,27.800000,43.340000,0,0.480000,0.000000,0.000000,48.160000,0.000000,90.540000,20.710000,0.000000,15.910000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.39,96.320000,72.240000,0.000000,163.980000,24.080000,0.000000,0.870000,0.480000,90.540000,0.000000,0.000000,192.640000,0.000000,0.000000,28.900000,83.970000,0,1643.58

76,18:45-19:00,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,48.160000,38.530000,0.000000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,32.090000,37.210000,30.290000,43.340000,0,0.480000,0.000000,0.000000,48.160000,0.000000,90.540000,20.710000,0.000000,15.910000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0,96.320000,72.240000,0.000000,163.980000,24.080000,0.000000,0.870000,0.480000,90.540000,0.000000,0.000000,192.640000,0.000000,0.000000,28.900000,83.970000,0,1645.68

77,19:00-19:15,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,48.160000,38.530000,240.800000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,33.930000,37.210000,31.440000,43.340000,0,0.000000,0.000000,0.000000,48.160000,0.000000,90.540000,20.710000,0.000000,19.130000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0,96.320000,72.240000,0.000000,163.980000,24.080000,0.000000,0.920000,0.000000,90.540000,0.000000,8.670000,192.640000,0.000000,0.000000,28.900000,83.970000,0,1900.45

78,19:15-19:30,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,48.160000,38.530000,240.800000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,33.930000,37.210000,31.980000,43.340000,0,0.000000,0.000000,0.000000,48.160000,0.000000,90.540000,20.710000,0.000000,19.130000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0,96.320000,72.240000,0.000000,163.980000,24.080000,0.000000,0.920000,0.000000,90.540000,0.000000,8.670000,192.640000,0.000000,0.000000,28.900000,83.970000,0,1900.99

79,19:30-19:45,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,48.160000,38.530000,240.800000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,33.930000,37.210000,31.920000,43.340000,0,0.000000,0.000000,0.000000,48.160000,0.000000,90.540000,20.710000,0.000000,19.130000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0,96.320000,72.240000,0.000000,163.980000,24.080000,0.000000,0.920000,0.000000,90.540000,0.000000,8.670000,192.640000,0.000000,0.000000,28.900000,83.970000,0,1900.93

80,19:45-20:00,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,48.160000,38.530000,240.800000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,33.930000,37.210000,32.980000,43.340000,0,0.000000,0.000000,0.000000,48.160000,0.000000,90.540000,20.710000,0.000000,19.130000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0,96.320000,72.240000,0.000000,163.980000,24.080000,0.000000,0.920000,0.000000,90.540000,0.000000,8.670000,192.640000,0.000000,0.000000,28.900000,83.970000,0,1901.99

81,20:00-20:15,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,48.160000,38.530000,240.800000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,33.930000,37.210000,33.470000,43.340000,0,0.000000,0.000000,0.000000,48.160000,0.000000,90.540000,20.710000,0.000000,16.830000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0,96.320000,72.240000,0.000000,163.980000,24.080000,0.000000,0.920000,32.000000,90.540000,0.000000,8.670000,192.640000,0.000000,0.000000,28.900000,83.970000,0,1932.18

82,20:15-20:30,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,48.160000,38.530000,240.800000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,33.930000,37.210000,32.460000,43.340000,0,0.000000,0.000000,0.000000,48.160000,0.000000,90.540000,20.710000,0.000000,16.830000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0,96.320000,72.240000,0.000000,163.980000,24.080000,0.000000,0.920000,32.000000,90.540000,0.000000,8.670000,192.640000,0.000000,0.000000,28.900000,83.970000,0,1931.17

83,20:30-20:45,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,48.160000,38.530000,240.800000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,33.930000,37.210000,32.060000,43.340000,0,0.000000,0.000000,0.000000,48.160000,0.000000,90.540000,20.710000,0.000000,16.830000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0,96.320000,72.240000,0.000000,163.980000,24.080000,0.000000,0.920000,30.500000,90.540000,0.000000,8.670000,192.640000,0.000000,0.000000,28.900000,83.970000,0,1929.27

84,20:45-21:00,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,48.160000,38.530000,240.800000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,33.930000,37.210000,32.630000,43.340000,0,0.000000,0.000000,0.000000,48.160000,0.000000,90.540000,20.710000,0.000000,16.830000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0,96.320000,72.240000,0.000000,163.980000,24.080000,0.000000,0.920000,30.500000,90.540000,0.000000,8.670000,192.640000,0.000000,0.000000,28.900000,83.970000,0,1929.84

85,21:00-21:15,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,48.160000,38.530000,240.800000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,33.930000,37.210000,31.680000,43.340000,0,0.000000,0.000000,0.000000,48.160000,0.000000,90.540000,20.710000,0.000000,16.830000,0.000000,96.320000,0.000000,0.000000,0.000000,24.000000,0,96.320000,72.240000,0.000000,163.980000,24.080000,0.000000,0.920000,30.500000,90.540000,0.000000,8.670000,192.640000,0.000000,0.000000,28.900000,83.970000,0,2025.21

86,21:15-21:30,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,48.160000,38.530000,240.800000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,33.930000,37.210000,32.200000,43.340000,0,0.000000,0.000000,0.000000,48.160000,0.000000,90.540000,20.710000,0.000000,16.830000,0.000000,96.320000,0.000000,0.000000,0.000000,24.000000,0,96.320000,72.240000,0.000000,163.980000,24.080000,0.000000,0.920000,30.500000,90.540000,0.000000,8.670000,192.640000,0.000000,0.000000,28.900000,83.970000,0,2025.73

87,21:30-21:45,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,48.160000,38.530000,240.800000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,33.930000,37.210000,32.380000,43.340000,0,0.000000,0.000000,0.000000,48.160000,0.000000,90.540000,20.710000,0.000000,16.830000,0.000000,96.320000,0.000000,0.000000,0.000000,24.000000,0,96.320000,72.240000,0.000000,163.980000,24.080000,0.000000,0.920000,0.000000,90.540000,0.000000,8.670000,192.640000,0.000000,0.000000,28.900000,83.970000,0,1995.41

88,21:45-22:00,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,48.160000,38.530000,240.800000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,33.930000,37.210000,32.740000,43.340000,0,0.000000,0.000000,0.000000,48.160000,0.000000,90.540000,20.710000,0.000000,16.830000,0.000000,96.320000,0.000000,0.000000,0.000000,24.000000,0,96.320000,72.240000,0.000000,163.980000,24.080000,0.000000,0.920000,0.000000,90.540000,0.000000,8.670000,192.640000,0.000000,0.000000,28.900000,83.970000,0,1995.77

89,22:00-22:15,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,48.160000,38.530000,240.800000,0.000000,81.270000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,33.930000,37.210000,33.700000,43.340000,0,0.000000,0.000000,0.000000,48.160000,27.090000,90.540000,20.710000,0.000000,16.830000,0.000000,96.320000,0.000000,0.000000,0.000000,24.000000,0,96.320000,72.240000,0.000000,163.980000,24.080000,0.000000,0.920000,0.000000,90.540000,0.000000,8.670000,192.640000,0.000000,0.000000,28.900000,83.970000,0,2105.09

90,22:15-22:30,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,48.160000,38.530000,240.800000,0.000000,81.270000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,33.930000,37.210000,34.920000,43.340000,0,0.000000,0.000000,0.000000,48.160000,27.090000,90.540000,20.710000,0.000000,16.830000,0.000000,96.320000,0.000000,0.000000,0.000000,24.000000,0,96.320000,72.240000,0.000000,163.980000,24.080000,0.000000,0.920000,0.000000,90.540000,0.000000,8.670000,192.640000,0.000000,0.000000,28.900000,83.970000,0,2106.31

91,22:30-22:45,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,48.160000,38.530000,240.800000,0.000000,81.270000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,33.930000,37.210000,36.930000,67.420000,0,0.000000,0.000000,0.000000,48.160000,27.090000,90.540000,20.710000,0.000000,16.830000,0.000000,96.320000,0.000000,0.000000,0.000000,24.000000,0,96.320000,72.240000,0.000000,163.980000,24.080000,0.000000,0.920000,0.000000,90.540000,0.000000,8.670000,192.640000,0.000000,0.000000,28.900000,83.970000,0,2132.4

92,22:45-23:00,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,48.160000,38.530000,240.800000,0.000000,81.270000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,33.930000,37.210000,37.610000,67.420000,0,0.000000,0.000000,0.000000,48.160000,27.090000,90.540000,20.710000,0.000000,16.830000,0.000000,96.320000,0.000000,0.000000,0.000000,24.000000,0,96.320000,72.240000,0.000000,163.980000,24.080000,0.000000,0.920000,0.000000,90.540000,0.000000,8.670000,192.640000,0.000000,0.000000,28.900000,83.970000,0,2133.08

93,23:00-23:15,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,48.160000,38.530000,240.800000,0.000000,81.270000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,33.930000,37.210000,38.570000,67.420000,0,0.000000,0.000000,0.000000,48.160000,27.090000,90.540000,20.710000,0.000000,16.830000,0.000000,96.320000,0.000000,0.000000,0.000000,24.000000,0,96.320000,72.240000,0.000000,163.980000,24.080000,0.000000,0.870000,0.000000,90.540000,0.000000,8.670000,192.640000,0.000000,0.000000,28.900000,83.970000,0,2133.99

94,23:15-23:30,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,48.160000,38.530000,240.800000,0.000000,81.270000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,33.930000,37.210000,38.380000,67.420000,0,0.000000,0.000000,0.000000,48.160000,27.090000,90.540000,20.710000,0.000000,16.830000,0.000000,96.320000,0.000000,0.000000,0.000000,24.000000,0,96.320000,72.240000,0.000000,163.980000,24.080000,0.000000,0.870000,0.000000,90.540000,0.000000,8.670000,192.640000,0.000000,0.000000,28.900000,83.970000,0,2133.8

95,23:30-23:45,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,48.160000,38.530000,240.800000,0.000000,81.270000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,33.930000,37.210000,38.010000,67.420000,0,0.000000,0.000000,0.000000,48.160000,27.090000,90.540000,20.710000,0.000000,16.830000,0.000000,96.320000,0.000000,0.000000,0.000000,24.000000,0,96.320000,72.240000,0.000000,163.980000,24.080000,0.000000,0.870000,0.000000,90.540000,0.000000,8.670000,192.640000,0.000000,0.000000,28.900000,83.970000,0,2133.43

96,23:45-24:00,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,48.160000,38.530000,240.800000,0.000000,81.270000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,33.930000,37.210000,36.080000,67.420000,0,0.000000,0.000000,0.000000,48.160000,27.090000,90.540000,20.710000,0.000000,16.830000,0.000000,96.320000,0.000000,0.000000,0.000000,24.000000,0,96.320000,72.240000,0.000000,163.980000,24.080000,0.000000,0.870000,0.000000,90.540000,0.000000,8.670000,192.640000,0.000000,0.000000,28.900000,83.970000,0,2131.5

