Time,Block,NR/2024/21737/C,NR/2024/21727/C,NR/2024/21062/A/28177,NR/2024/21141/A/27931,NR/2024/21089/A/28213,NR/2024/21500/A/27778,NR/21072024/21072024/IEX_240721_01659,NR/2024/21156/A/27982,NR/2024/21099/A/27930,NR/2024/21148/A/27983,NR/2024/21186/A/28228,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/2024/21199/A/27957,NR/2024/20966/A/27889,NR/2024/21732/C,NR/2024/20688/A/28001,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/21075/A/28205,NR/2024/21096/A/28197,NR/2024/20573/A/28182,NR/21072024/21072024/IEX_240720_01656,NR/30092023/26122029/SH-06,NR/2024/21210/A/27927,NR/2024/21726/C,NR/2024/21072/A/28215,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/16072024/31072024/NR/16072024/31072024/717758,NR/2024/21160/A/27986,NR/2024/21144/A/28138,NR/2024/21183/A/28203,NR/2024/20711/A/28263,NR/2024/21742/C,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/30092023/31122025/SH-07,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/2024/21153/A/27990,NR/2024/21103/A/28194,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/2024/21076/A/28202,NR/2024/21113/A/28212,NR/01102023/23072042/L_NR_2012_04,NR/2024/21682/A/28262,NR/2024/21339/A/27924,NR/2024/21158/A/27989,NR/2024/19779/A/27934,NR/2024/21108/A/28192,NR/2024/21152/A/27888,NR/2024/20931/A/28141,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/21150/A/27984,NR/2024/21238/A/28206,NR/2024/21159/A/27987,NR/2024/21728/C,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/01102023/25122043/GNA_MEJA_DELHI,NR/21072024/21072024/IEX_240720_01622_1,NR/2024/21173/A/28000,NR/2024/20574/A/28181,NR/2024/21736/C,NR/2024/21023/A/27958,NR/01072024/31072024/R2,NR/2024/21087/A/28294,NR/2024/21567/A/28211,NR/2024/21227/A/28193,NR/2024/21146/A/27985,NR/2024/21142/A/27932,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,Total
63,15:30-15:45,0.000000,2.88,24.010000,0.000000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,0.000000,72.030000,4.800000,0.000000,66.450000,0.000000,11.670000,24.010000,0.000000,0.000000,23.470000,48.020000,27.850000,26.190000,0.000000,0.000000,0.970000,0.480000,21.130000,96.040000,0.000000,10.640000,23.470000,0.000000,1.580000,83.730000,0.000000,90.280000,26.190000,0.000000,160.070000,96.040000,0.670000,0.960000,23.930000,1.920000,48.020000,8.730000,0.870000,2.880000,0.870000,163.510000,12.200000,0.000000,0.000000,24.010000,0.000000,0.000000,96.040000,0.000000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1513.8

64,15:45-16:00,0.000000,1.63,24.010000,0.000000,26.190000,6.720000,0.000000,0.610000,24.010000,0.520000,48.020000,0.000000,72.030000,4.800000,0.000000,66.450000,0.000000,11.670000,24.010000,0.000000,0.000000,23.470000,48.020000,27.850000,26.190000,0.000000,0.000000,0.970000,0.480000,21.130000,96.040000,0.000000,10.640000,23.470000,0.000000,1.580000,83.730000,0.000000,90.280000,26.190000,0.000000,160.070000,96.040000,0.670000,0.960000,23.930000,1.920000,48.020000,8.730000,0.870000,2.880000,0.870000,163.510000,12.200000,0.000000,0.000000,24.010000,0.000000,0.000000,96.040000,0.000000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1512.55

65,16:00-16:15,0.000000,1.39,24.010000,0.000000,26.190000,7.680000,0.000000,0.610000,24.010000,0.520000,48.020000,0.000000,72.030000,4.800000,0.000000,66.450000,0.000000,11.670000,24.010000,0.000000,0.000000,23.470000,48.020000,27.850000,26.190000,0.000000,0.000000,0.970000,0.480000,21.130000,96.040000,0.000000,10.640000,23.470000,0.000000,1.580000,83.730000,0.000000,90.280000,26.190000,0.000000,160.070000,96.040000,0.670000,0.820000,23.930000,1.920000,48.020000,8.730000,0.870000,2.880000,0.870000,163.510000,12.200000,0.000000,0.000000,24.010000,0.000000,0.000000,96.040000,0.000000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1513.13

66,16:15-16:30,0.000000,0.8,24.010000,0.000000,26.190000,7.680000,0.000000,0.610000,24.010000,0.520000,48.020000,0.000000,72.030000,4.800000,0.000000,66.450000,0.000000,11.670000,24.010000,0.000000,0.000000,23.470000,48.020000,27.850000,26.190000,0.000000,0.000000,0.970000,0.480000,21.130000,96.040000,0.000000,10.640000,23.470000,0.000000,1.580000,83.730000,0.000000,90.280000,26.190000,0.000000,160.070000,96.040000,0.670000,0.820000,23.930000,1.920000,48.020000,8.730000,0.870000,2.880000,0.870000,163.510000,12.200000,0.000000,0.000000,24.010000,0.000000,0.000000,96.040000,0.000000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1512.54

67,16:30-16:45,0.000000,1.07,24.010000,0.000000,26.190000,7.680000,0.000000,0.610000,24.010000,0.520000,48.020000,0.000000,72.030000,4.800000,0.000000,66.450000,0.000000,11.670000,24.010000,0.000000,0.000000,23.470000,48.020000,27.850000,26.190000,0.000000,0.000000,0.970000,0.480000,21.130000,96.040000,0.000000,10.640000,23.470000,0.000000,1.580000,83.730000,0.000000,90.280000,26.190000,0.000000,160.070000,96.040000,0.670000,0.820000,23.930000,1.920000,48.020000,8.730000,0.870000,2.880000,0.870000,163.510000,12.200000,0.000000,0.000000,24.010000,0.000000,0.000000,96.040000,0.000000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1512.81

68,16:45-17:00,0.000000,0.78,24.010000,0.000000,26.190000,7.680000,0.000000,0.610000,24.010000,0.520000,48.020000,0.000000,72.030000,4.800000,0.000000,66.450000,0.000000,11.670000,24.010000,0.000000,0.000000,23.470000,48.020000,27.850000,26.190000,0.000000,0.000000,0.970000,0.480000,21.130000,96.040000,0.000000,10.640000,23.470000,0.000000,1.580000,83.730000,0.000000,90.280000,26.190000,0.000000,160.070000,96.040000,0.670000,0.820000,23.930000,1.920000,48.020000,8.730000,0.870000,2.880000,0.870000,163.510000,12.200000,0.000000,0.000000,24.010000,0.000000,0.000000,96.040000,0.000000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1512.52

69,17:00-17:15,0.000000,0.64,24.010000,0.000000,26.190000,7.680000,0.000000,0.610000,24.010000,0.520000,48.020000,0.000000,72.030000,4.800000,0.000000,66.450000,0.000000,11.670000,24.010000,0.000000,0.000000,21.470000,48.020000,27.850000,26.190000,0.000000,0.000000,0.970000,0.480000,21.130000,96.040000,0.000000,10.640000,21.470000,0.000000,1.580000,83.730000,0.000000,90.280000,26.190000,0.000000,160.080000,96.040000,0.670000,0.820000,23.930000,1.920000,48.020000,8.730000,0.870000,2.880000,0.870000,163.510000,12.650000,0.000000,0.000000,24.010000,0.000000,0.000000,96.040000,0.000000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1508.84

70,17:15-17:30,0.000000,0.64,24.010000,0.000000,26.190000,7.680000,0.000000,0.610000,24.010000,0.520000,48.020000,0.000000,72.030000,4.800000,0.000000,66.450000,0.000000,11.670000,24.010000,0.000000,0.000000,21.470000,48.020000,27.850000,26.190000,0.000000,0.000000,0.970000,0.480000,21.130000,96.040000,0.000000,10.640000,21.470000,0.000000,1.580000,83.730000,0.000000,90.280000,26.190000,0.000000,160.080000,96.040000,0.670000,0.820000,23.930000,1.920000,48.020000,8.730000,0.870000,2.880000,0.870000,163.510000,12.650000,0.000000,0.000000,24.010000,0.000000,0.000000,96.040000,0.000000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1508.84

71,17:30-17:45,0.000000,0.55,24.010000,0.000000,26.190000,7.680000,0.000000,0.610000,24.010000,0.520000,48.020000,0.000000,72.030000,4.800000,0.000000,66.450000,0.000000,11.670000,24.010000,0.000000,0.000000,21.470000,48.020000,27.850000,26.190000,0.000000,0.000000,0.970000,0.480000,21.130000,96.040000,0.000000,10.640000,21.470000,0.000000,1.580000,83.730000,0.000000,90.280000,26.190000,0.000000,160.080000,96.040000,0.670000,0.820000,23.930000,1.920000,48.020000,8.730000,0.870000,2.880000,0.870000,163.510000,12.650000,0.000000,0.000000,24.010000,0.000000,0.000000,96.040000,0.000000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1508.75

72,17:45-18:00,0.000000,0.51,24.010000,0.000000,26.190000,7.680000,0.000000,0.610000,24.010000,0.520000,48.020000,0.000000,72.030000,4.800000,0.000000,66.450000,0.000000,11.670000,24.010000,0.000000,0.000000,21.470000,48.020000,27.850000,26.190000,0.000000,0.000000,0.970000,0.480000,21.130000,96.040000,0.000000,10.640000,21.470000,0.000000,1.580000,83.730000,0.000000,90.280000,26.190000,0.000000,160.080000,96.040000,0.670000,0.820000,23.930000,1.920000,48.020000,8.730000,0.870000,2.880000,0.870000,163.510000,12.650000,0.000000,0.000000,24.010000,0.000000,0.000000,96.040000,0.000000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1508.71

73,18:00-18:15,0.000000,0.5,0.000000,47.500000,26.190000,7.680000,0.000000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,0.000000,66.450000,0.000000,0.000000,24.010000,0.000000,0.000000,22.070000,48.020000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,0.000000,10.640000,22.070000,0.000000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.820000,23.930000,1.920000,0.000000,8.730000,0.870000,2.880000,0.870000,163.510000,12.650000,0.000000,0.000000,24.010000,0.000000,0.000000,0.000000,24.010000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1545.73

74,18:15-18:30,0.000000,0.47,0.000000,47.500000,26.190000,7.680000,0.000000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,0.000000,66.450000,0.000000,0.000000,24.010000,0.000000,0.000000,22.070000,48.020000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,0.000000,10.640000,22.070000,0.000000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.820000,23.930000,1.920000,0.000000,8.730000,0.870000,2.880000,0.870000,163.510000,12.650000,0.000000,0.000000,24.010000,0.000000,0.000000,0.000000,24.010000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1545.7

75,18:30-18:45,0.000000,0.29,0.000000,47.500000,26.190000,7.680000,0.000000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,0.000000,66.450000,0.000000,0.000000,43.220000,0.000000,0.000000,22.070000,48.020000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,0.000000,10.640000,22.070000,0.000000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.820000,23.930000,1.920000,0.000000,8.730000,0.870000,2.880000,0.870000,163.510000,12.650000,0.000000,0.000000,24.010000,0.000000,0.000000,0.000000,24.010000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1564.73

76,18:45-19:00,0.000000,0.1,0.000000,47.500000,26.190000,7.680000,0.000000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,0.000000,66.450000,0.000000,0.000000,43.220000,0.000000,0.000000,22.070000,48.020000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,0.960000,10.640000,22.070000,0.000000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.820000,23.930000,1.920000,0.000000,8.730000,0.870000,2.880000,0.870000,163.510000,12.650000,0.000000,0.000000,24.010000,0.000000,0.000000,0.000000,24.010000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1565.5

77,19:00-19:15,76.830000,0,0.000000,47.500000,26.190000,7.680000,144.060000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,0.000000,66.450000,0.000000,0.000000,43.220000,0.000000,0.000000,22.070000,48.020000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,0.960000,10.640000,22.070000,0.000000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.820000,23.930000,1.920000,0.000000,8.730000,0.870000,2.880000,0.870000,163.510000,13.110000,0.000000,0.000000,24.010000,0.000000,0.000000,0.000000,24.010000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1786.75

78,19:15-19:30,76.830000,0,0.000000,47.500000,26.190000,7.680000,144.060000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,0.000000,66.450000,0.000000,0.000000,43.220000,0.000000,0.000000,22.070000,48.020000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,0.960000,10.640000,22.070000,0.000000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.820000,23.930000,1.920000,0.000000,8.730000,0.870000,2.880000,0.870000,163.510000,13.110000,0.000000,0.000000,24.010000,0.000000,0.000000,0.000000,24.010000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1786.75

79,19:30-19:45,76.830000,0,0.000000,47.500000,26.190000,7.680000,144.060000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,0.000000,66.450000,0.000000,0.000000,43.220000,0.000000,0.000000,21.470000,48.020000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,0.960000,10.640000,21.470000,0.000000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.820000,23.930000,1.920000,0.000000,8.730000,0.870000,2.880000,0.870000,163.510000,13.110000,0.000000,0.000000,24.010000,0.000000,0.000000,0.000000,24.010000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1785.55

80,19:45-20:00,76.830000,0,0.000000,47.500000,26.190000,7.680000,144.060000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,0.000000,66.450000,0.000000,0.000000,43.220000,0.000000,0.000000,15.170000,48.020000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,0.960000,10.640000,15.170000,0.000000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.820000,23.930000,1.920000,0.000000,8.730000,0.870000,2.880000,0.870000,163.510000,13.110000,0.000000,0.000000,24.010000,0.000000,0.000000,0.000000,24.010000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1772.95

81,20:00-20:15,76.830000,0,0.000000,47.500000,26.190000,7.680000,144.060000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,0.000000,66.450000,0.000000,0.000000,43.220000,0.000000,0.000000,0.000000,48.020000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,0.960000,10.640000,32.000000,0.000000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.860000,23.930000,1.920000,0.000000,8.730000,0.870000,2.880000,0.870000,163.510000,14.030000,0.000000,0.000000,24.010000,0.000000,0.000000,0.000000,24.010000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1775.57

82,20:15-20:30,76.830000,0,0.000000,47.500000,26.190000,7.680000,144.060000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,0.000000,66.450000,0.000000,0.000000,43.220000,0.000000,0.000000,0.000000,48.020000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,0.960000,10.640000,32.000000,0.000000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.860000,23.930000,1.920000,0.000000,8.730000,0.870000,2.880000,0.870000,163.510000,14.030000,0.000000,0.000000,24.010000,0.000000,0.000000,0.000000,24.010000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1775.57

83,20:30-20:45,76.830000,0,0.000000,47.500000,26.190000,7.680000,144.060000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,0.000000,66.450000,0.000000,0.000000,43.220000,0.000000,0.000000,32.000000,48.020000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,0.960000,10.640000,32.000000,0.000000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.860000,23.930000,1.920000,0.000000,8.730000,0.870000,2.880000,0.870000,163.510000,14.030000,0.000000,0.000000,24.010000,0.000000,0.000000,0.000000,24.010000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1807.57

84,20:45-21:00,76.830000,0,0.000000,47.500000,26.190000,7.680000,144.060000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,0.000000,66.450000,0.000000,0.000000,43.220000,0.000000,0.000000,32.000000,48.020000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,0.960000,10.640000,32.000000,0.000000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.860000,23.930000,1.920000,0.000000,8.730000,0.870000,2.880000,0.870000,163.510000,14.030000,0.000000,0.000000,24.010000,0.000000,0.000000,0.000000,24.010000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,1807.57

85,21:00-21:15,76.830000,0,0.000000,47.500000,26.190000,7.680000,144.060000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,48.020000,66.450000,0.000000,0.000000,43.220000,0.000000,0.000000,32.000000,48.020000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,0.960000,10.640000,32.000000,0.000000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.860000,23.930000,1.920000,0.000000,8.730000,0.870000,2.880000,0.870000,163.510000,14.030000,0.000000,144.060000,24.010000,0.000000,38.420000,0.000000,24.010000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,2038.07

86,21:15-21:30,76.830000,0,0.000000,47.500000,26.190000,7.680000,144.060000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,48.020000,66.450000,0.000000,0.000000,43.220000,0.000000,0.000000,32.000000,48.020000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,0.960000,10.640000,32.000000,0.000000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.860000,23.930000,1.920000,0.000000,8.730000,0.870000,2.880000,0.870000,163.510000,14.030000,0.000000,144.060000,24.010000,0.000000,38.420000,0.000000,24.010000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,2038.07

87,21:30-21:45,76.830000,0,0.000000,47.500000,26.190000,7.680000,144.060000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,48.020000,66.450000,0.000000,0.000000,43.220000,0.000000,0.000000,32.000000,48.020000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,0.960000,10.640000,32.000000,0.000000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.860000,23.930000,1.920000,0.000000,8.730000,0.870000,2.880000,0.870000,163.510000,14.030000,0.000000,144.060000,24.010000,0.000000,38.420000,0.000000,24.010000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,2038.07

88,21:45-22:00,76.830000,0,0.000000,47.500000,26.190000,7.680000,144.060000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,48.020000,66.450000,0.000000,0.000000,43.220000,0.000000,0.000000,32.000000,48.020000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,0.960000,10.640000,32.000000,0.000000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.860000,23.930000,1.920000,0.000000,8.730000,0.870000,2.880000,0.870000,163.510000,14.030000,0.000000,144.060000,24.010000,0.000000,38.420000,0.000000,24.010000,24.010000,8.730000,0.000000,0.360000,48.020000,0,0,2038.07

89,22:00-22:15,115.250000,0,0.000000,47.500000,26.190000,7.680000,192.080000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,144.060000,66.450000,0.000000,0.000000,43.220000,18.010000,0.000000,32.000000,48.020000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,0.960000,10.640000,32.000000,0.000000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.860000,23.930000,1.920000,0.000000,8.730000,0.870000,2.880000,0.870000,163.510000,14.030000,0.000000,144.060000,24.010000,6.000000,38.420000,0.000000,24.010000,24.010000,8.730000,12.150000,0.360000,48.020000,0,0,2256.71

90,22:15-22:30,115.250000,0,0.000000,47.500000,26.190000,7.680000,192.080000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,144.060000,66.450000,0.000000,0.000000,43.220000,18.010000,0.000000,32.000000,48.020000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,0.960000,10.640000,32.000000,0.000000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.860000,23.930000,1.920000,0.000000,8.730000,0.870000,2.880000,0.870000,163.510000,14.030000,0.000000,144.060000,24.010000,6.000000,38.420000,0.000000,24.010000,24.010000,8.730000,12.150000,0.360000,48.020000,0,0,2256.71

91,22:30-22:45,115.250000,0,0.000000,47.500000,26.190000,7.680000,192.080000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,144.060000,66.450000,0.000000,0.000000,67.230000,18.010000,0.000000,32.000000,48.020000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,0.960000,10.640000,32.000000,0.000000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.860000,23.930000,1.920000,0.000000,8.730000,0.870000,2.880000,0.870000,163.510000,14.030000,0.000000,144.060000,24.010000,6.000000,38.420000,0.000000,24.010000,24.010000,8.730000,12.150000,0.360000,48.020000,0,0,2280.72

92,22:45-23:00,115.250000,0,0.000000,47.500000,26.190000,7.680000,192.080000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,144.060000,66.450000,0.000000,0.000000,67.230000,18.010000,0.000000,32.000000,48.020000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,0.960000,10.640000,32.000000,0.000000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.860000,23.930000,1.920000,0.000000,8.730000,0.870000,2.880000,0.870000,163.510000,14.030000,0.000000,144.060000,24.010000,6.000000,38.420000,0.000000,24.010000,24.010000,8.730000,12.150000,0.360000,48.020000,0,0,2280.72

93,23:00-23:15,124.850000,0,0.000000,47.500000,26.190000,5.760000,192.080000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,144.060000,66.450000,0.000000,0.000000,67.230000,18.010000,0.000000,32.000000,48.020000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,2.880000,10.640000,32.000000,0.000000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.820000,23.930000,1.920000,0.000000,8.730000,0.870000,2.880000,0.870000,163.510000,14.030000,0.000000,144.060000,24.010000,6.000000,38.420000,0.000000,24.010000,24.010000,8.730000,12.150000,0.360000,48.020000,0,0,2290.28

94,23:15-23:30,124.850000,0,0.000000,47.500000,26.190000,5.760000,192.080000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,144.060000,66.450000,0.000000,0.000000,67.230000,18.010000,0.000000,32.000000,48.020000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,2.880000,10.640000,32.000000,0.000000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.820000,23.930000,1.920000,0.000000,8.730000,0.870000,2.880000,0.870000,163.510000,14.030000,0.000000,144.060000,24.010000,6.000000,38.420000,0.000000,24.010000,24.010000,8.730000,12.150000,0.360000,48.020000,0,0,2290.28

95,23:30-23:45,124.850000,0,0.000000,47.500000,26.190000,5.760000,192.080000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,144.060000,66.450000,0.000000,0.000000,67.230000,18.010000,0.000000,32.000000,48.020000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,2.880000,10.640000,32.000000,0.000000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.820000,23.930000,1.920000,0.000000,8.730000,0.870000,2.880000,0.870000,163.510000,14.030000,0.000000,144.060000,24.010000,6.000000,38.420000,0.000000,24.010000,24.010000,8.730000,12.150000,0.360000,48.020000,0,0,2290.28

96,23:45-24:00,124.850000,0,0.000000,47.500000,26.190000,5.760000,192.080000,0.610000,24.010000,0.520000,48.020000,72.030000,0.000000,4.800000,144.060000,66.450000,0.000000,0.000000,67.230000,18.010000,0.000000,32.000000,48.020000,27.850000,26.190000,96.040000,48.020000,0.970000,0.480000,21.130000,96.040000,2.880000,10.640000,32.000000,0.000000,1.580000,83.730000,96.040000,90.280000,26.190000,0.000000,160.080000,0.000000,0.670000,0.820000,23.930000,1.920000,0.000000,8.730000,0.870000,2.880000,0.870000,163.510000,14.030000,0.000000,144.060000,24.010000,6.000000,38.420000,0.000000,24.010000,24.010000,8.730000,12.150000,0.360000,48.020000,0,0,2290.28

