Time,Block,NR/2024/20048/A/22966,NR/2024/20041/A/22967,NR/2024/19699/A/22988,NR/2024/19988/A/22849,NR/2024/20553/A/22588,NR/2024/20557/A/22982,NR/2024/19966/A/22872,NR/2024/20870/C,NR/2024/20141/A/22650,NR/2024/20515/A/22654,NR/2024/20599/A/22845,NR/2024/20109/A/22970,NR/2024/20090/A/22592,NR/2024/19757/A/22986,NR/2024/20901/C,NR/2024/20777/A/22862,NR/2024/19779/A/22582,NR/2024/20540/A/22432,NR/2024/19791/A/22976,NR/2024/20558/A/22981,NR/2024/19432/A/22990,NR/2024/20130/A/22667,NR/2024/19978/A/22975,NR/2024/19640/A/23072,NR/2024/19683/A/22610,NR/2024/20524/A/22930,NR/2024/20597/A/22960,NR/2024/19588/A/22866,NR/2024/19918/A/22974,NR/2024/19355/A/22971,NR/2024/20914/C,NR/2024/20554/A/22528,NR/2024/19919/A/22973,NR/2024/20905/C,NR/2024/20144/A/22648,NR/2024/20513/A/22655,NR/2024/20895/C,NR/2024/19637/A/22694,NR/2024/20516/A/22653,NR/2024/19475/A/22911,NR/2024/19642/A/23070,NR/2024/20050/A/22965,NR/2024/20598/A/22841,NR/2024/20037/A/22847,NR/2024/20537/A/22969,NR/2024/20212/A/22652,NR/2024/19760/A/22851,NR/2024/20572/A/22979,NR/2024/20211/A/22651,NR/2024/20142/A/22649,NR/2024/20552/A/22589,NR/2024/20560/A/22980,NR/2024/20869/C,Total
86,21:15-21:30,0.000000,0.000000,48.300000,96.600000,48.300000,10.970000,0.000000,108.670000,0.350000,0.880000,0.000000,241.500000,1.930000,48.670000,135.240000,0.000000,0.770000,7.730000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,19.320000,0.000000,66.840000,13.520000,96.600000,2.900000,0.000000,48.300000,67.620000,0.880000,0.680000,56.030000,0.000000,0.980000,193.200000,0.000000,0.000000,0.000000,72.450000,0.000000,0.610000,0.000000,32.930000,1.590000,0.520000,28.980000,32.930000,0,1786.1

87,21:30-21:45,0.000000,0.000000,48.300000,96.600000,48.300000,10.970000,0.000000,0.000000,0.350000,0.880000,0.000000,241.500000,1.930000,48.670000,135.240000,0.000000,0.770000,7.730000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,19.320000,0.000000,66.840000,13.520000,96.600000,2.900000,0.000000,48.300000,67.620000,0.880000,0.680000,56.030000,0.000000,0.980000,193.200000,0.000000,0.000000,0.000000,72.450000,0.000000,0.610000,0.000000,32.930000,1.590000,0.520000,28.980000,32.930000,0,1677.43

88,21:45-22:00,0.000000,0.000000,48.300000,96.600000,48.300000,10.970000,0.000000,0.000000,0.350000,0.880000,0.000000,241.500000,1.930000,48.670000,135.240000,0.000000,0.770000,7.730000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,19.320000,0.000000,66.840000,13.520000,96.600000,2.900000,0.000000,48.300000,67.620000,0.880000,0.680000,56.030000,0.000000,0.980000,193.200000,0.000000,0.000000,0.000000,72.450000,0.000000,0.610000,0.000000,32.930000,1.590000,0.520000,28.980000,32.930000,0,1677.43

89,22:00-22:15,48.300000,0.000000,48.300000,96.600000,48.300000,10.970000,0.000000,0.000000,0.350000,0.880000,0.000000,241.500000,1.930000,48.670000,135.240000,0.000000,0.720000,7.730000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,19.320000,0.000000,66.840000,13.520000,96.600000,2.900000,0.000000,48.300000,67.620000,0.880000,0.680000,56.030000,0.000000,0.980000,193.200000,0.000000,144.900000,0.000000,72.450000,0.000000,0.610000,0.000000,32.930000,1.590000,0.520000,28.980000,32.930000,0,1870.58

90,22:15-22:30,48.300000,0.000000,48.300000,96.600000,48.300000,10.970000,0.000000,11.700000,0.350000,0.880000,0.000000,241.500000,1.930000,48.670000,135.240000,0.000000,0.720000,7.730000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,19.320000,0.000000,66.840000,13.520000,96.600000,2.900000,0.000000,48.300000,67.620000,0.880000,0.680000,56.030000,0.000000,0.980000,193.200000,0.000000,144.900000,0.000000,72.450000,0.000000,0.610000,0.000000,32.930000,1.590000,0.520000,28.980000,32.930000,0,1882.28

91,22:30-22:45,48.300000,0.000000,48.300000,96.600000,48.300000,10.970000,0.000000,0.000000,0.350000,0.880000,0.000000,241.500000,1.930000,48.670000,135.240000,0.000000,0.720000,7.730000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,19.320000,0.000000,66.840000,13.520000,96.600000,2.900000,0.000000,309.120000,67.620000,0.880000,0.680000,56.030000,0.000000,0.980000,193.200000,0.000000,144.900000,0.000000,72.450000,0.000000,0.610000,0.000000,32.930000,1.590000,0.520000,28.980000,32.930000,0,2131.4

92,22:45-23:00,48.300000,0.000000,48.300000,96.600000,48.300000,10.970000,0.000000,0.000000,0.350000,0.880000,0.000000,241.500000,1.930000,48.670000,135.240000,0.000000,0.720000,7.730000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,19.320000,0.000000,66.840000,13.520000,96.600000,2.900000,0.000000,309.120000,67.620000,0.880000,0.680000,56.030000,0.000000,0.980000,193.200000,0.000000,144.900000,0.000000,72.450000,0.000000,0.610000,0.000000,32.930000,1.590000,0.520000,28.980000,32.930000,0,2131.4

93,23:00-23:15,48.300000,0.000000,48.300000,96.600000,48.300000,10.970000,0.000000,0.000000,0.350000,0.880000,0.000000,241.500000,1.930000,48.670000,135.240000,0.000000,0.630000,6.760000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,19.320000,0.000000,66.840000,13.520000,96.600000,2.900000,0.000000,309.120000,67.620000,0.880000,0.680000,56.030000,0.000000,0.980000,193.200000,0.000000,144.900000,0.000000,72.450000,0.000000,0.610000,0.000000,32.930000,1.590000,0.520000,28.980000,32.930000,0,2130.34

94,23:15-23:30,48.300000,0.000000,48.300000,96.600000,48.300000,10.970000,0.000000,0.000000,0.350000,0.880000,0.000000,241.500000,1.930000,48.670000,135.240000,0.000000,0.630000,6.760000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,19.320000,0.000000,66.840000,13.520000,96.600000,2.900000,0.000000,309.120000,67.620000,0.880000,0.680000,56.030000,0.000000,0.980000,193.200000,0.000000,144.900000,0.000000,72.450000,0.000000,0.610000,0.000000,32.930000,1.590000,0.520000,28.980000,32.930000,0,2130.34

95,23:30-23:45,48.300000,0.000000,48.300000,96.600000,48.300000,10.970000,0.000000,0.000000,0.350000,0.880000,0.000000,241.500000,1.930000,48.670000,135.240000,0.000000,0.630000,6.760000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,19.320000,0.000000,66.840000,13.520000,96.600000,2.900000,0.000000,309.120000,67.620000,0.880000,0.680000,56.030000,0.000000,0.980000,193.200000,0.000000,144.900000,0.000000,72.450000,0.000000,0.610000,0.000000,32.930000,1.590000,0.520000,28.980000,32.930000,0,2130.34

96,23:45-24:00,48.300000,0.000000,48.300000,96.600000,48.300000,10.970000,0.000000,0.000000,0.350000,0.880000,0.000000,241.500000,1.930000,48.670000,135.240000,0.000000,0.630000,6.760000,64.800000,32.930000,24.150000,0.480000,84.220000,90.800000,1.930000,19.320000,0.000000,66.840000,13.520000,96.600000,2.900000,0.000000,309.120000,67.620000,0.880000,0.680000,56.030000,0.000000,0.980000,193.200000,0.000000,144.900000,0.000000,72.450000,0.000000,0.610000,0.000000,32.930000,1.590000,0.520000,28.980000,32.930000,0,2130.34

