Time,Block,NR/2024/20963/C,NR/2024/19760/A/23003,NR/2024/20513/A/23116,NR/2024/20524/A/23381,NR/2024/20144/A/23109,NR/2024/19966/A/23085,NR/2024/20557/A/23449,NR/2024/20572/A/23441,NR/2024/20050/A/23369,NR/2024/20130/A/23126,NR/2024/20540/A/22865,NR/2024/20999/C,NR/2024/20553/A/23053,NR/2024/19779/A/23022,NR/2024/19475/A/23356,NR/2024/19683/A/23498,NR/2024/19757/A/23454,NR/2024/19919/A/23437,NR/2024/20777/A/23006,NR/2024/20597/A/23478,NR/2024/20516/A/23114,NR/2024/20142/A/23110,NR/2024/20552/A/23054,NR/2024/20558/A/23445,NR/2024/19588/A/23316,NR/2024/20560/A/23443,NR/2024/20994/C,NR/2024/20965/C,NR/2024/19699/A/23457,NR/2024/20212/A/23113,NR/2024/19432/A/23459,NR/2024/20090/A/23060,NR/2024/19640/A/23523,NR/2024/20917/C,NR/2024/19988/A/23002,NR/2024/20211/A/23112,NR/2024/20141/A/23111,NR/2024/19918/A/23438,NR/2024/20599/A/22999,NR/2024/19642/A/23522,NR/2024/20109/A/23409,NR/2024/20598/A/22998,NR/2024/19791/A/23444,NR/2024/20537/A/23408,NR/2024/19355/A/23410,NR/2024/20554/A/23023,NR/2024/20048/A/23370,NR/2024/20037/A/23001,NR/2024/19978/A/23442,NR/2024/20041/A/23368,NR/2024/20515/A/23115,NR/2024/19637/A/23093,Total
87,21:30-21:45,0,0.000000,0.680000,19.290000,0.880000,0.000000,10.960000,32.890000,0.000000,0.480000,11.580000,0.000000,48.240000,0.770000,192.940000,1.930000,48.600000,48.240000,0.000000,0.000000,0.970000,0.520000,28.940000,32.890000,66.750000,32.890000,96.470000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,1.930000,96.470000,1.590000,0.350000,13.510000,0.000000,0.000000,241.180000,0.000000,64.710000,0.000000,96.470000,48.240000,0.000000,72.350000,84.100000,0.000000,0.880000,0.000000,1732.85

88,21:45-22:00,0,0.000000,0.680000,19.290000,0.880000,0.000000,10.960000,32.890000,0.000000,0.480000,11.580000,0.000000,48.240000,0.770000,192.940000,1.930000,48.600000,48.240000,0.000000,0.000000,0.970000,0.520000,28.940000,32.890000,66.750000,32.890000,96.470000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,1.930000,96.470000,1.590000,0.350000,13.510000,0.000000,0.000000,241.180000,0.000000,64.710000,0.000000,96.470000,48.240000,0.000000,72.350000,84.100000,0.000000,0.880000,0.000000,1732.85

89,22:00-22:15,0,0.000000,0.680000,19.290000,0.880000,0.000000,10.960000,32.890000,108.530000,0.480000,8.680000,48.240000,48.240000,0.720000,192.940000,1.930000,48.600000,48.240000,0.000000,0.000000,0.970000,0.520000,28.940000,32.890000,66.750000,32.890000,96.470000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,2.890000,96.470000,1.590000,0.350000,13.510000,0.000000,0.000000,241.180000,0.000000,64.710000,0.000000,96.470000,48.240000,36.180000,72.350000,84.100000,0.000000,0.880000,0.000000,1923.81

90,22:15-22:30,0,0.000000,0.680000,19.290000,0.880000,0.000000,10.960000,32.890000,108.530000,0.480000,8.680000,48.240000,48.240000,0.720000,192.940000,1.930000,48.600000,48.240000,0.000000,0.000000,0.970000,0.520000,28.940000,32.890000,66.750000,32.890000,96.470000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,2.890000,96.470000,1.590000,0.350000,13.510000,0.000000,0.000000,241.180000,0.000000,64.710000,0.000000,96.470000,48.240000,36.180000,72.350000,84.100000,0.000000,0.880000,0.000000,1923.81

91,22:30-22:45,0,0.000000,0.680000,19.290000,0.880000,0.000000,10.960000,32.890000,108.530000,0.480000,8.680000,48.240000,48.240000,0.720000,192.940000,1.930000,48.600000,308.700000,0.000000,0.000000,0.970000,0.520000,28.940000,32.890000,66.750000,32.890000,96.470000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,2.890000,96.470000,1.590000,0.350000,13.510000,0.000000,0.000000,241.180000,0.000000,64.710000,0.000000,96.470000,48.240000,36.180000,72.350000,84.100000,0.000000,0.880000,0.000000,2184.27

92,22:45-23:00,0,0.000000,0.680000,19.290000,0.880000,0.000000,10.960000,32.890000,108.530000,0.480000,8.680000,48.240000,48.240000,0.720000,192.940000,1.930000,48.600000,308.700000,0.000000,0.000000,0.970000,0.520000,28.940000,32.890000,66.750000,32.890000,96.470000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,2.890000,96.470000,1.590000,0.350000,13.510000,0.000000,0.000000,241.180000,0.000000,64.710000,0.000000,96.470000,48.240000,36.180000,72.350000,84.100000,0.000000,0.880000,0.000000,2184.27

93,23:00-23:15,0,0.000000,0.680000,19.290000,0.880000,0.000000,10.960000,32.890000,108.530000,0.480000,8.680000,48.240000,48.240000,0.630000,192.940000,1.930000,48.600000,308.700000,0.000000,0.000000,0.970000,0.520000,28.940000,32.890000,66.750000,32.890000,96.470000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,2.890000,96.470000,1.590000,0.350000,13.510000,0.000000,0.000000,241.180000,0.000000,64.710000,0.000000,96.470000,48.240000,36.180000,72.350000,84.100000,0.000000,0.880000,0.000000,2184.18

94,23:15-23:30,0,0.000000,0.680000,19.290000,0.880000,0.000000,10.960000,32.890000,108.530000,0.480000,8.680000,48.240000,48.240000,0.630000,192.940000,1.930000,48.600000,308.700000,0.000000,0.000000,0.970000,0.520000,28.940000,32.890000,66.750000,32.890000,96.470000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,2.890000,96.470000,1.590000,0.350000,13.510000,0.000000,0.000000,241.180000,0.000000,64.710000,0.000000,96.470000,48.240000,36.180000,72.350000,84.100000,0.000000,0.880000,0.000000,2184.18

95,23:30-23:45,0,0.000000,0.680000,19.290000,0.880000,0.000000,10.960000,32.890000,108.530000,0.480000,8.680000,48.240000,48.240000,0.630000,192.940000,1.930000,48.600000,308.700000,0.000000,0.000000,0.970000,0.520000,28.940000,32.890000,66.750000,32.890000,96.470000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,2.890000,96.470000,1.590000,0.350000,13.510000,0.000000,0.000000,241.180000,0.000000,64.710000,0.000000,96.470000,48.240000,36.180000,72.350000,84.100000,0.000000,0.880000,0.000000,2184.18

96,23:45-24:00,0,0.000000,0.680000,19.290000,0.880000,0.000000,10.960000,32.890000,108.530000,0.480000,8.680000,48.240000,48.240000,0.630000,192.940000,1.930000,48.600000,308.700000,0.000000,0.000000,0.970000,0.520000,28.940000,32.890000,66.750000,32.890000,96.470000,168.580000,48.240000,0.610000,24.120000,1.930000,90.680000,2.890000,96.470000,1.590000,0.350000,13.510000,0.000000,0.000000,241.180000,0.000000,64.710000,0.000000,96.470000,48.240000,36.180000,72.350000,84.100000,0.000000,0.880000,0.000000,2184.18

