Block,Time,TALA,KISHANGANGA,SASAN,KHSTPP-I,KHSTPP-II,FSTPP I & II,KUDGI,SINGRAULI_HYDRO,BRBCL,DHAULIGNGA,AURY_CRF,JHAJJAR,NAPP,BSIUL,SINGRAULI,NJPC,DADRI_LF,RIHAND2,AURY_RF,AURY_LF,URI,TANDA2,ANTA_RF,KOTESHWR,KOLDAM,RAPPC,CHAMERA2,DADRI_RF,TANAKPUR,UNCHAHAR1,PARBATI3,SALAL,UNCHAHAR3,ANTA_CRF,UNCHAHAR2,URI2,ANTA_GF,CHAMERA1,DADRT2,SEWA2,RIHAND1,RIHAND3,CHAMERA3,RAMPUR,RAPPB,DADRI_GF,ANTA_LF,DULHASTI,TEHRI,UNCHAHAR4,DADRI_CRF,AURY_GF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
37,09:00:09:15,21.110182,2.113900,405.243729,24.833601,118.311776,10.503803,42.95,1.053398,19.353960,37.135857,0.000000,332.379887,38.785636,12.684225,137.413400,115.058156,0.000000,115.727243,0.000000,0.000000,44.870314,1.347745,0.000000,8.170728,1.762995,53.407983,40.512341,0.000000,7.437742,11.620335,3.239850,78.712718,13.554826,0.000000,11.676171,32.779383,0.000000,40.786697,365.150020,16.053045,61.956324,121.248253,29.586066,1.307585,0.000000,0.000000,0.000000,50.308022,0.000000,0.362551,0.000000,0.000000,0,0,0,0,0

38,09:15-09:30,21.110182,2.113900,405.243729,24.833601,118.311776,10.503803,57.25,1.053398,18.045367,37.135857,0.000000,332.379887,38.785636,12.684225,137.413400,115.058156,0.000000,115.727243,0.000000,0.000000,44.870314,1.347745,0.000000,8.170728,1.762995,53.407983,40.512341,0.000000,11.776425,11.620335,3.239850,78.712718,13.554826,0.000000,11.676171,32.779383,0.000000,40.786697,365.150020,16.053045,68.716377,121.248253,29.586066,1.307585,0.000000,0.000000,0.000000,50.308022,0.000000,0.362551,0.000000,0.000000,0,0,0,0,0

39,09:30-09:45,21.110182,2.113900,405.243729,24.833601,118.311776,10.503803,69.39,0.000000,19.353960,37.135857,0.000000,332.379887,38.785636,12.684225,137.413400,115.058156,0.000000,115.727243,0.000000,0.000000,44.870314,1.347745,0.000000,8.170728,1.762995,53.407983,40.512341,0.000000,11.776425,11.620335,3.239850,78.712718,13.181087,0.000000,11.676171,32.779383,0.000000,40.786697,365.147850,16.053045,73.622616,121.248253,29.586066,1.307585,0.000000,0.000000,0.000000,50.308022,0.000000,0.362551,0.000000,0.000000,0,0,0,0,0

40,09:45-10:00,21.110182,2.113900,405.243729,24.833601,118.311776,10.503803,78.72,0.000000,18.502514,37.135857,0.000000,332.379887,38.785636,12.684225,137.413400,115.058156,0.000000,115.727243,0.000000,0.000000,44.870314,1.347745,0.000000,8.170728,1.762995,53.407983,40.512341,0.000000,11.776425,11.620335,14.255336,78.712718,13.181087,0.000000,11.676171,32.779383,0.000000,40.786697,365.147850,16.053045,78.528855,121.248253,29.586066,1.307585,0.000000,0.000000,0.000000,50.308022,0.000000,0.362551,0.000000,0.000000,0,0,0,0,0

41,10:00-10:15,21.110182,2.113900,405.243729,25.092848,118.311776,10.746115,85.22,0.000000,17.897761,27.787458,0.000000,332.379887,38.785636,12.684225,137.413400,115.058156,0.000000,115.727243,0.000000,0.000000,44.870314,1.347745,0.000000,8.170728,1.762995,53.407983,40.512341,0.000000,11.776425,9.589810,14.255336,78.712718,10.676344,0.000000,10.708471,32.779383,0.000000,40.786697,365.147850,16.053045,78.528855,121.248253,29.586066,1.307585,0.000000,0.000000,0.000000,50.308022,0.000000,0.078384,0.000000,0.000000,0,0,0,0,0

