Block,Time,AURY_CRF,CHAMERA3,AURY_GF,BSIUL,SALAL,AURY_RF,DULHASTI,ANTA_LF,UNCHAHAR3,DADRI_GF,UNCHAHAR2,DADRI_LF,ANTA_GF,RAPPC,RIHAND3,JHAJJAR,SEWA2,SINGRAULI_HYDRO,TANDA2,URI2,DHAULIGNGA,RAPPB,KOTESHWR,NAPP,UNCHAHAR1,CHAMERA2,DADRI_CRF,ANTA_RF,CHAMERA1,TANAKPUR,URI,RAMPUR,KISHANGANGA,RIHAND1,SINGRAULI,ANTA_CRF,NJPC,UNCHAHAR4,AURY_LF,DADRI_RF,BRBCL,RIHAND2,PARBATI3,TALA,FSTPP I & II,KOLDAM,KHSTPP-I,KHSTPP-II,TEHRI,DADRT2,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
32,07:45:08:00,0.000000,33.601710,0.000000,12.581232,71.742810,0.000000,57.086511,0.000000,15.253933,0.000000,24.566664,0.000000,0.000000,65.266898,125.970622,115.619295,0.000000,0.000000,3.086290,36.552984,41.999311,0.000000,0.000000,45.985202,12.158307,46.787784,0.000000,0.000000,40.660253,7.414684,35.145950,6.507399,8.046226,93.533398,142.946355,0.000000,173.609779,2.342774,0.000000,0.000000,19.293970,58.564811,18.840167,2.552596,11.132638,8.947402,34.303767,114.200993,0.000000,367.591796,395.044650,0,0,0,0,0

33,08:00-08:15,0.000000,33.601710,0.000000,12.581232,71.742810,0.000000,57.086511,0.000000,15.118875,0.000000,24.364077,0.000000,0.000000,65.266898,125.970622,115.619295,0.000000,0.000000,3.086290,36.552984,41.999311,0.000000,0.000000,45.985202,12.061837,46.787784,0.000000,0.000000,40.660253,7.414684,35.145950,6.507399,8.046226,93.533398,142.946355,0.000000,173.609779,2.342774,0.000000,0.000000,19.293970,58.564811,18.840167,1.843542,11.132638,8.947402,34.303767,114.200993,0.000000,367.591796,395.044650,0,0,0,0,0

34,08:15-08:30,0.000000,33.601710,0.000000,12.581232,71.742810,0.000000,57.086511,0.000000,15.118875,0.000000,24.364077,0.000000,0.000000,65.266898,125.970622,115.619295,0.000000,0.000000,3.086290,36.552984,41.999311,0.000000,0.000000,45.985202,12.061837,46.787784,0.000000,0.000000,40.660253,7.414684,35.145950,6.507399,8.046226,93.533398,142.946355,0.000000,173.609779,2.342774,0.000000,0.000000,19.293970,58.564811,18.840167,2.552596,11.132638,8.947402,34.303767,114.200993,0.000000,367.591796,395.044650,0,0,0,0,0

35,08:30-08:45,0.000000,33.601710,0.000000,12.581232,71.742810,0.000000,57.086511,0.000000,15.118875,0.000000,24.364077,0.000000,0.000000,65.266898,125.970622,115.619295,0.000000,0.000000,3.086290,36.552984,41.999311,0.000000,0.000000,45.985202,12.061837,46.787784,0.000000,0.000000,40.660253,7.414684,35.145950,6.507399,8.046226,93.533398,142.946355,0.000000,173.609779,2.342774,0.000000,0.000000,19.293970,58.564811,18.840167,2.552596,11.132638,8.947402,34.303767,114.200993,0.000000,367.591796,395.044650,0,0,0,0,0

36,08:45:09:00,0.000000,33.601710,0.000000,12.581232,71.742810,0.000000,57.086511,0.000000,15.118875,0.000000,24.364077,0.000000,0.000000,65.266898,125.970622,115.619295,0.000000,0.000000,3.086290,36.552984,41.999311,0.000000,0.000000,45.985202,12.061837,46.787784,0.000000,0.000000,40.660253,7.414684,35.145950,6.507399,8.046226,93.533398,142.946355,0.000000,173.609779,2.342774,0.000000,0.000000,19.293970,58.564811,18.840167,3.828894,11.132638,8.947402,27.942246,94.056514,0.000000,367.591796,395.044650,0,0,0,0,0

37,09:00:09:15,0.000000,33.601710,0.000000,12.581232,71.742810,0.000000,57.086511,0.000000,15.118875,0.000000,24.364077,0.000000,0.000000,65.266898,93.507985,115.619295,0.000000,0.731254,3.086290,36.552984,41.999311,0.000000,0.000000,45.985202,12.061837,46.787784,0.000000,0.000000,40.660253,7.414684,42.814158,6.507399,8.046226,65.448142,129.336750,0.000000,173.609779,2.342774,0.000000,0.000000,19.293970,46.503074,18.840167,4.396138,11.132638,8.947402,27.942246,94.056514,0.000000,367.591796,395.044650,0,0,0,0,0

38,09:15-09:30,0.000000,33.601710,0.000000,12.581232,71.742810,0.000000,57.086511,0.000000,15.118875,0.000000,24.364077,0.000000,0.000000,65.266898,93.507985,115.619295,0.000000,0.731254,3.086290,36.552984,41.999311,0.000000,0.000000,45.985202,12.061837,46.787784,0.000000,0.000000,40.660253,7.414684,42.814158,6.507399,8.046226,65.448142,129.336750,0.000000,173.609779,2.342774,0.000000,0.000000,19.293970,46.503074,18.840167,4.396138,11.132638,8.947402,27.942246,93.786976,0.000000,367.591796,395.044650,0,0,0,0,0

39,09:30-09:45,0.000000,33.601710,0.000000,12.581232,71.742810,0.000000,57.086511,0.000000,15.118875,0.000000,24.364077,0.000000,0.000000,65.266898,93.507985,115.619295,0.000000,0.731254,3.086290,36.552984,41.999311,0.000000,0.000000,45.985202,12.061837,46.787784,0.000000,0.000000,40.660253,7.414684,42.814158,6.507399,8.046226,65.448142,142.946355,0.000000,173.609779,2.342774,0.000000,0.000000,19.293970,46.503074,18.840167,4.396138,11.132638,8.947402,27.942246,94.056514,0.000000,367.591796,395.044650,0,0,0,0,0

40,09:45-10:00,0.000000,33.601710,0.000000,12.581232,71.742810,0.000000,57.086511,0.000000,15.118875,0.000000,24.364077,0.000000,0.000000,65.266898,125.970622,115.619295,0.000000,0.731254,3.086290,36.552984,41.999311,0.000000,0.000000,45.985202,12.061837,46.787784,0.000000,0.000000,40.660253,7.414684,35.145950,6.507399,8.046226,65.448142,142.946355,0.000000,173.609779,2.342774,0.000000,0.000000,19.293970,46.503074,18.840167,4.396138,11.132638,8.947402,27.942246,93.786976,0.000000,367.591796,395.044650,0,0,0,0,0

41,10:00-10:15,0.000000,33.601710,0.000000,12.581232,71.742810,0.000000,57.086511,0.000000,15.118875,0.000000,24.364077,0.000000,0.000000,65.266898,102.707403,115.619295,0.000000,0.731254,3.086290,36.552984,31.499484,0.000000,0.000000,45.985202,12.061837,46.787784,0.000000,0.000000,40.660253,7.414684,28.755778,6.507399,8.046226,65.448142,129.336750,0.000000,173.609779,2.342774,0.000000,0.000000,19.293970,46.503074,18.840167,3.828894,11.132638,8.947402,24.619144,78.690579,0.000000,367.591796,395.044650,0,0,0,0,0

42,10:15-10:30,0.000000,33.601710,0.000000,12.581232,71.742810,0.000000,57.086511,0.000000,15.118875,0.000000,24.364077,0.000000,0.000000,65.266898,93.507985,115.619295,0.000000,0.731254,3.086290,36.552984,31.499484,0.000000,0.000000,45.985202,12.061837,46.787784,0.000000,0.000000,40.660253,7.414684,28.755778,6.507399,8.046226,65.448142,129.336750,0.000000,173.609779,2.342774,0.000000,0.000000,19.293970,46.503074,18.840167,3.828894,11.132638,8.947402,24.619144,78.690579,0.000000,367.591796,395.044650,0,0,0,0,0

43,10:30-10:45,0.000000,33.601710,0.000000,12.581232,74.545263,0.000000,57.086511,0.000000,15.118875,0.000000,24.364077,0.000000,0.000000,65.266898,93.507985,115.619295,0.000000,0.731254,3.086290,36.552984,31.499484,0.000000,0.000000,45.985202,12.061837,46.787784,0.000000,0.000000,40.660253,11.739917,28.755778,6.507399,8.046226,65.448142,129.336750,0.000000,173.609779,2.342774,0.000000,0.000000,19.293970,46.503074,18.840167,4.396138,11.132638,8.947402,24.619144,78.690579,0.000000,367.591796,395.044650,0,0,0,0,0

