Time,Block,NR/2023/13654/D,NR/2023/13678/C,NR/2023/13053/F,NR/2023/10720/A,NR/2023/11712/A,NR/2023/13653/D,NR/2023/10705/A,NR/2023/10959/A,NR/2023/12916/F,NR/2023/12706/A,NR/2023/10432/A,NR/2023/12917/F,NR/2023/13369/F,NR/2023/10651/A,NR/2023/12919/F,NR/2023/13665/C,NR/2023/10956/A,NR/2023/10561/A,NR/2023/13655/C,NR/2023/12923/F,NR/2023/10436/A,NR/2023/12924/F,NR/2023/12872/F,NR/2023/11888/A,NR/2023/11953/A,NR/2023/10435/A,NR/2023/10460/A,NR/2023/12169/A,NR/2023/13641/D,NR/2023/12920/F,NR/2023/12814/F,NR/2023/10488/A,NR/2023/13642/D,ER/2023/8392/C,NR/2023/13053/F/II,NR/2023/13643/D,NR/2023/12813/F,NR/2023/13658/C,NR/2023/13677/C,NR/2023/12922/F,NR/2023/13315/F,NR/2023/11709/A,NR/2023/13660/C,NR/2023/12915/F,SR/2023/6285/C,NR/2023/10650/A,NR/2023/10947/A,NR/2023/12661/A,NR/2023/11266/A,NR/2023/11507/A,NR/2023/10786/A,NR/2023/12921/F,Total
92,22:45-23:00,0,0,24.190000,23.710000,64.350000,0,232.350000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.920000,62.900000,100.160000,48.380000,36.590000,0.610000,24.190000,0.610000,0.730000,7.630000,36.510000,12.570000,23.220000,54.190000,0,0.930000,85.640000,48.380000,142.370000,0.000000,0.000000,0.000000,62.900000,0.000000,0,1.020000,4.840000,23.170000,16.910000,0.370000,75.00,83.220000,23.220000,62.900000,74.820000,300.460000,91.930000,0.930000,1992.76

93,23:00-23:15,0,0,24.190000,23.710000,64.350000,0,232.350000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.920000,90.960000,100.160000,48.380000,36.590000,0.610000,24.190000,0.610000,0.630000,7.630000,36.510000,12.570000,23.220000,54.190000,0,0.930000,85.640000,48.380000,110.240000,0.000000,0.000000,0.000000,62.900000,0.000000,0,1.020000,4.840000,23.170000,16.910000,0.370000,75.00,83.220000,23.220000,62.900000,74.820000,300.460000,91.930000,0.930000,1988.59

94,23:15-23:30,0,0,24.190000,23.710000,64.350000,0,232.350000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.920000,102.580000,100.160000,48.380000,36.590000,0.610000,24.190000,0.610000,0.630000,7.630000,36.510000,12.570000,23.220000,54.190000,0,0.930000,85.640000,48.380000,110.240000,0.000000,0.000000,0.000000,62.900000,0.000000,0,1.020000,4.840000,23.170000,16.910000,0.370000,75.00,83.220000,23.220000,62.900000,74.820000,300.460000,91.930000,0.930000,2000.21

95,23:30-23:45,0,0,24.190000,23.710000,64.350000,0,232.350000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.920000,108.380000,100.160000,48.380000,36.590000,0.610000,24.190000,0.610000,0.630000,7.630000,36.510000,12.570000,23.220000,54.190000,0,0.930000,85.640000,48.380000,110.240000,0.000000,0.000000,0.000000,62.900000,0.000000,0,1.020000,4.840000,23.170000,16.910000,0.370000,75.00,83.220000,23.220000,62.900000,74.820000,300.460000,91.930000,0.930000,2006.01

96,23:45-24:00,0,0,24.190000,23.710000,64.350000,0,232.350000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.920000,109.350000,100.160000,48.380000,36.590000,0.610000,24.190000,0.610000,0.630000,7.630000,36.510000,12.570000,23.220000,54.190000,0,0.930000,85.640000,48.380000,110.240000,0.000000,0.000000,0.000000,62.900000,0.000000,0,1.020000,4.840000,23.170000,16.910000,0.370000,75.00,83.220000,23.220000,62.900000,74.820000,300.460000,91.930000,0.930000,2006.98

