Column1,Block,NR/2025/26335/A/73886,NR/2025/26755/A/73251,GNARE/NR/2024/12/20/3668,NR/2025/27055/C,NR/2025/27061/C,GNA/NR/2025/05/01/3877,NR/2025/26291/A/73728,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/4138,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/9252,NR/2025/27111/C,GNA/NR/2025/05/01/7791,NR/2025/27076/C,NR/2025/27118/C,NR/2025/26232/A/73732,NR/2025/26004/A/73305,NR/2025/27087/C,NR/2025/25861/A/73680,NR/2025/26101/A/73420,NR/2025/26153/A/73253,NR/2025/26289/A/73729,NR/2025/25860/A/73681,NR/2025/26959/A/73397,NR/2025/26005/A/73306,NR/2025/26785/A/73252,NR/2025/27082/C,NR/2025/25859/A/73682,NR/2025/26085/A/73210,NR/2025/26828/A/73848,NR/2025/26336/A/73876,NR/2025/26827/A/73849,NR/2025/26879/A/73881,NR/2025/26265/A/73730,NR/2025/27025/C,NR/2025/26233/A/73731,NR/2025/27089/C,NR/2025/27031/C,NR/2025/25967/A/73674,NR/2025/27092/C,NR/2025/27033/C,NR/2025/27093/C,NR/2025/27028/C,NR/2025/26379/A/73673,NR/2025/27029/C,NR/2025/27117/C,NR/2025/27084/C,NR/2025/26082/A/73771,NR/2025/26825/A/73850,NR/2025/27161/C,NR/2025/26822/A/73851,NR/2025/27094/C,NR/2025/26202/A/73769,NR/2025/27095/C,NR/2025/27023/C,NR/2025/26829/A/73847,NR/2025/26191/A/73303,NR/2025/27086/C,NR/2025/27096/C,GNA/NR/2025/05/20/6516,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/16/1698,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/16/9317,NR/30092023/26122029/SH-06,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/20/8885,GNA/NR/2025/05/01/7902,NR/30092023/31122025/SH-07,Total
89,22:00-22:15,0,0,0,0,0,28.98,7.73,15.07,5.8,0,67.62,13.52,2.9,19.32,233.77,193.2,4.83,48.3,0,111.09,33.81,62.79,45.83,0,7.73,48.3,0,88.6,96.6,0.77,14.63,222.18,43.9,33.81,96.6,0,4.83,57.96,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,96.6,14.63,0,96.6,0,0,37.33,48.3,162.82,0,0,193.2,22.91,14.49,10.63,96.6,29.5,5.8,0,0,29.1,47.62,28.98,29.5,3052.7099999999996

90,22:15-22:30,0,0,0,0,0,28.98,7.73,15.07,5.8,0,67.62,13.52,2.9,19.32,233.77,193.2,4.83,48.3,0,111.09,33.81,62.79,45.83,0,7.73,48.3,0,88.6,96.6,0.77,14.63,222.18,43.9,33.81,96.6,0,4.83,57.96,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,96.6,14.63,0,96.6,0,0,37.33,48.3,162.82,0,0,193.2,22.91,14.49,10.63,96.6,29.5,5.8,0,0,29.1,47.62,28.98,29.5,3052.7099999999996

91,22:30-22:45,0,0,0,0,0,28.98,7.73,15.07,5.8,0,67.62,13.52,2.9,19.32,233.77,193.2,4.83,48.3,0,111.09,33.81,62.79,45.83,0,7.73,48.3,0,88.6,96.6,0.77,14.63,222.18,43.9,33.81,96.6,0,4.83,57.96,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,96.6,14.63,0,96.6,0,0,37.33,48.3,162.82,0,0,193.2,22.91,14.49,10.63,96.6,29.5,5.8,0,0,29.1,42.02,28.98,29.5,3047.1099999999997

92,22:45-23:00,0,0,0,0,0,28.98,7.73,15.07,5.8,0,67.62,13.52,2.9,19.32,233.77,193.2,4.83,48.3,0,111.09,33.81,62.79,45.83,0,7.73,48.3,0,88.6,96.6,0.77,14.63,222.18,43.9,33.81,96.6,0,4.83,57.96,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,96.6,14.63,0,96.6,0,0,37.33,48.3,162.82,0,0,193.2,22.91,14.49,10.63,96.6,29.5,5.8,0,0,29.1,42.02,28.98,29.5,3047.1099999999997

93,23:00-23:15,0,0,0,0,0,28.98,7.73,14.79,5.8,0,67.62,13.52,3.86,19.32,233.77,193.2,4.83,48.3,0,111.09,33.81,62.79,45.83,0,6.76,48.3,0,88.6,96.6,0.77,14.63,222.18,43.9,33.81,96.6,0,4.83,57.96,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,96.6,14.63,0,96.6,0,0,37.33,48.3,162.82,0,0,193.2,22.91,14.49,10.63,96.6,29.5,5.8,0,0,29.1,42.02,28.98,29.5,3046.8199999999997

94,23:15-23:30,0,0,0,0,0,28.98,7.73,14.79,5.8,0,67.62,13.52,3.86,19.32,233.77,193.2,4.83,48.3,0,111.09,33.81,62.79,45.83,0,6.76,48.3,0,88.6,96.6,0.77,14.63,222.18,43.9,33.81,96.6,0,4.83,57.96,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,96.6,14.63,0,96.6,0,0,37.33,48.3,162.82,0,0,193.2,22.91,14.49,10.63,96.6,29.5,5.8,0,0,29.1,42.02,28.98,29.5,3046.8199999999997

95,23:30-23:45,0,0,0,0,0,28.98,7.73,14.79,5.8,0,67.62,13.52,3.86,19.32,233.77,193.2,4.83,48.3,0,111.09,33.81,62.79,45.83,0,6.76,48.3,0,88.6,96.6,0.77,14.63,222.18,43.9,33.81,96.6,0,4.83,57.96,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,96.6,14.63,0,96.6,0,0,37.33,48.3,102.33,0,0,193.2,22.91,14.49,10.63,96.6,29.5,5.8,0,0,29.1,42.02,28.98,29.5,2986.3299999999995

96,23:45-24:00,0,0,0,0,0,28.98,7.73,14.79,5.8,0,67.62,13.52,3.86,19.32,233.77,193.2,4.83,48.3,0,111.09,33.81,62.79,45.83,0,6.76,48.3,0,88.6,96.6,0.77,14.63,222.18,43.9,33.81,96.6,0,4.83,57.96,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,96.6,14.63,0,96.6,0,0,37.33,48.3,102.33,0,0,193.2,22.91,14.49,10.63,96.6,29.5,5.8,0,0,29.1,42.02,28.98,29.5,2986.3299999999995

