Time,Block,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21089/A/26921,NR/2024/21243/A/26654,NR/2024/21159/A/26689,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21023/A/26662,NR/2024/21113/A/26920,NR/2024/21099/A/26624,NR/2024/21510/C,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/30092023/31122025/SH-07,NR/2024/21312/A/26469,NR/2024/20930/A/26842,NR/2024/21148/A/26682,NR/2024/21087/A/26658,NR/2024/20877/A/26932,NR/2024/21160/A/26684,NR/2024/21490/C,NR/2024/21515/C,NR/2024/21339/A/26618,NR/2024/21511/C,NR/01072024/15072024/NR/01072024/15072024/717759,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/21146/A/26683,NR/2024/21152/A/26651,NR/2024/21141/A/26623,NR/2024/21108/A/26889,NR/2024/21489/C,NR/2024/21492/C,NR/30092023/26122029/SH-06,NR/2024/21227/A/26891,NR/2024/21076/A/26948,NR/2024/21104/A/26890,NR/2024/21103/A/26892,NR/2024/21486/C,NR/2024/21062/A/26874,NR/01102023/23072042/L_NR_2012_04,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/21516/C,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/2024/21158/A/26685,NR/2024/21186/A/26931,NR/2024/20573/A/26859,NR/2024/21183/A/26944,NR/2024/20711/A/26969,NR/2024/21488/C,NR/2024/20966/A/26652,NR/2024/21150/A/26681,NR/2024/19779/A/26765,NR/2024/21199/A/26661,NR/2024/20574/A/26861,NR/2024/21494/C,NR/2024/21075/A/26947,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/21144/A/26700,NR/2024/21156/A/26679,NR/2024/21142/A/26622,NR/2024/21238/A/26946,NR/2024/20688/A/26659,NR/2024/21514/C,NR/2024/21153/A/26680,NR/2024/21096/A/26895,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/13072024/13072024/IEX-240712-01506_GNA,NR/01072024/31072024/R2,NR/2024/21173/A/26657,NR/2024/21072/A/26922,NR/2024/21210/A/26620,Total
61,15:00-15:15,12.230000,37.210000,134.860000,0.880000,15.520000,81.880000,37.210000,20.470000,0.000000,0.000000,26.910000,6.740000,163.760000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,81.880000,0.000000,0.000000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,2.890000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,20.470000,0.000000,0.000000,0.000000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,4.99,4.820000,0.880000,0.960000,61.410000,0.000000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,24.080000,0.000000,0.000000,0.000000,20.710000,37.210000,40.940000,1964.99

62,15:15-15:30,12.230000,37.210000,134.860000,0.880000,15.520000,81.880000,37.210000,20.470000,0.000000,0.000000,26.910000,6.740000,163.760000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,81.880000,0.000000,0.000000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,2.890000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,20.470000,0.000000,0.000000,0.000000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,6.56,4.820000,0.880000,0.960000,61.410000,0.000000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,24.080000,0.000000,0.000000,0.000000,20.710000,37.210000,40.940000,1966.56

63,15:30-15:45,12.230000,37.210000,134.860000,0.880000,15.520000,81.880000,37.210000,20.470000,0.000000,0.000000,26.910000,6.740000,163.760000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,81.880000,0.000000,0.000000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,2.890000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,20.470000,0.000000,0.000000,0.000000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,6.97,4.820000,0.880000,0.960000,61.410000,0.000000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,24.080000,0.000000,0.000000,0.000000,20.710000,37.210000,40.940000,1966.97

64,15:45-16:00,12.230000,37.210000,134.860000,0.880000,15.520000,81.880000,37.210000,20.470000,0.000000,0.000000,26.910000,6.740000,163.760000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,81.880000,0.000000,0.000000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,2.890000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,20.470000,0.000000,0.000000,0.000000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,3.49,4.820000,0.880000,0.960000,61.410000,0.000000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,24.080000,0.000000,0.000000,0.000000,20.710000,37.210000,40.940000,1963.49

65,16:00-16:15,13.150000,37.210000,134.860000,0.880000,15.520000,81.880000,37.210000,20.470000,0.000000,0.000000,26.910000,7.710000,163.760000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,81.880000,0.000000,0.000000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,1.930000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,20.470000,0.000000,0.000000,0.000000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,2.61,4.820000,0.880000,0.820000,61.410000,0.000000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,24.080000,0.000000,0.000000,0.000000,20.710000,37.210000,40.940000,1963.4

66,16:15-16:30,13.150000,37.210000,134.860000,0.880000,15.520000,81.880000,37.210000,20.470000,0.000000,0.000000,26.910000,7.710000,163.760000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,81.880000,0.000000,0.000000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,1.930000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,20.470000,0.000000,0.000000,0.000000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,2.56,4.820000,0.880000,0.820000,61.410000,0.000000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,24.080000,0.000000,0.000000,0.000000,20.710000,37.210000,40.940000,1963.35

67,16:30-16:45,13.150000,37.210000,134.860000,0.880000,15.520000,81.880000,37.210000,20.470000,0.000000,0.000000,26.910000,7.710000,163.760000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,81.880000,0.000000,0.000000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,1.930000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,20.470000,0.000000,0.000000,0.000000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,2.73,4.820000,0.880000,0.820000,61.410000,0.000000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,24.080000,0.000000,0.000000,0.000000,20.710000,37.210000,40.940000,1963.52

68,16:45-17:00,13.150000,37.210000,134.860000,0.880000,15.520000,81.880000,37.210000,20.470000,0.000000,0.000000,26.910000,7.710000,163.760000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,81.880000,0.000000,0.000000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,1.930000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,20.470000,0.000000,0.000000,0.000000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,2.61,4.820000,0.880000,0.820000,61.410000,0.000000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,24.080000,0.000000,0.000000,0.000000,20.710000,37.210000,40.940000,1963.4

69,17:00-17:15,14.530000,37.210000,134.860000,0.880000,15.520000,81.880000,37.210000,20.470000,0.000000,0.000000,26.910000,7.710000,163.760000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,81.880000,0.000000,0.000000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,1.930000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,20.470000,0.000000,0.000000,0.000000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,2.99,4.820000,0.880000,0.820000,61.410000,0.000000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,24.080000,0.000000,0.000000,0.000000,20.710000,37.210000,40.940000,1965.16

70,17:15-17:30,14.530000,37.210000,134.860000,0.880000,15.520000,81.880000,37.210000,20.470000,0.000000,0.000000,26.910000,7.710000,163.760000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,81.880000,0.000000,0.000000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,1.930000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,20.470000,0.000000,0.000000,0.000000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,1.97,4.820000,0.880000,0.820000,61.410000,0.000000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,24.080000,0.000000,0.000000,0.000000,20.710000,37.210000,40.940000,1964.14

71,17:30-17:45,14.530000,37.210000,134.860000,0.880000,15.520000,81.880000,37.210000,20.470000,0.000000,0.000000,26.910000,7.710000,163.760000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,81.880000,0.000000,0.000000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,1.930000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,20.470000,0.000000,0.000000,0.000000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,0.79,4.820000,0.880000,0.820000,61.410000,0.000000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,24.080000,0.000000,0.000000,0.000000,20.710000,37.210000,40.940000,1962.96

72,17:45-18:00,14.530000,37.210000,134.860000,0.880000,15.520000,81.880000,37.210000,20.470000,0.000000,0.000000,26.910000,7.710000,163.760000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,81.880000,0.000000,0.000000,0.000000,0.360000,1.930000,0.000000,24.010000,164.000000,1.930000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,20.470000,0.000000,0.000000,0.000000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,0.44,4.820000,0.880000,0.820000,61.410000,0.000000,0.000000,11.700000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,0.000000,1.590000,24.080000,0.000000,0.000000,0.000000,20.710000,37.210000,40.940000,1962.61

73,18:00-18:15,13.150000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,0.000000,81.880000,26.910000,7.710000,0.000000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,0.000000,0.000000,163.760000,0.000000,0.360000,1.930000,47.640000,24.010000,164.000000,1.930000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,0.000000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,0.47,4.820000,0.880000,0.820000,0.000000,0.000000,0.000000,0.000000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,23.930000,1.590000,24.080000,61.410000,0.000000,20.470000,20.710000,37.210000,40.940000,2021.13

74,18:15-18:30,13.150000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,0.000000,81.880000,26.910000,7.710000,0.000000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,0.000000,0.000000,163.760000,0.000000,0.360000,1.930000,47.640000,24.010000,164.000000,1.930000,26.910000,0.000000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,0.000000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,0.27,4.820000,0.880000,0.820000,0.000000,0.000000,0.000000,0.000000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,23.930000,1.590000,24.080000,61.410000,0.000000,20.470000,20.710000,37.210000,40.940000,2020.93

75,18:30-18:45,13.150000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,0.000000,81.880000,24.370000,7.710000,0.000000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,0.000000,0.000000,163.760000,0.000000,0.360000,1.930000,47.640000,24.010000,164.000000,1.930000,24.370000,0.000000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,0.000000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,0.15,4.820000,0.880000,0.820000,0.000000,0.000000,0.000000,0.000000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,23.930000,1.590000,43.350000,61.410000,0.000000,20.470000,20.710000,37.210000,40.940000,2035

76,18:45-19:00,13.150000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,0.000000,81.880000,24.370000,7.710000,0.000000,0.520000,20.710000,96.330000,0.970000,27.940000,0.000000,0.000000,0.000000,163.760000,0.000000,0.360000,1.930000,47.640000,24.010000,164.000000,1.930000,24.370000,0.000000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,0.000000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,0,4.820000,0.880000,0.820000,0.000000,0.000000,0.000000,0.000000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,23.930000,1.590000,43.350000,61.410000,0.000000,20.470000,20.710000,37.210000,40.940000,2034.85

77,19:00-19:15,13.150000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,144.500000,81.880000,32.000000,7.710000,0.000000,0.520000,20.710000,96.330000,0.970000,14.450000,81.880000,0.000000,67.430000,163.760000,0.000000,0.360000,1.930000,47.640000,24.010000,164.000000,1.930000,0.000000,0.000000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,49.130000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,0,4.820000,0.880000,0.820000,0.000000,0.000000,81.880000,0.000000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,23.910000,1.590000,43.350000,61.410000,57.800000,20.470000,20.710000,37.210000,40.940000,2487.22

78,19:15-19:30,13.150000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,144.500000,81.880000,32.000000,7.710000,0.000000,0.520000,20.710000,96.330000,0.970000,14.450000,81.880000,0.000000,67.430000,163.760000,0.000000,0.360000,1.930000,47.640000,24.010000,164.000000,1.930000,0.000000,0.000000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,47.590000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,0,4.820000,0.880000,0.820000,0.000000,0.000000,81.880000,0.000000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,23.910000,1.590000,43.350000,61.410000,57.800000,20.470000,20.710000,37.210000,40.940000,2485.68

79,19:30-19:45,13.150000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,144.500000,81.880000,32.000000,7.710000,0.000000,0.520000,20.710000,96.330000,0.970000,14.450000,81.880000,0.000000,67.430000,163.760000,0.000000,0.360000,1.930000,47.640000,24.010000,164.000000,1.930000,0.000000,0.000000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,46.050000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,0,4.820000,0.880000,0.820000,0.000000,0.000000,81.880000,0.000000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,23.910000,1.590000,43.350000,61.410000,57.800000,20.470000,20.710000,37.210000,40.940000,2484.14

80,19:45-20:00,13.150000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,144.500000,81.880000,32.000000,7.710000,0.000000,0.520000,20.710000,96.330000,0.970000,14.450000,81.880000,0.000000,67.430000,163.760000,0.000000,0.360000,1.930000,47.640000,24.010000,164.000000,1.930000,0.000000,0.000000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,44.990000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,0,4.820000,0.880000,0.820000,0.000000,0.000000,81.880000,0.000000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,23.910000,1.590000,43.350000,61.410000,57.800000,20.470000,20.710000,37.210000,40.940000,2483.08

81,20:00-20:15,13.150000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,144.500000,81.880000,32.000000,7.710000,0.000000,0.520000,20.710000,96.330000,0.970000,14.450000,81.880000,0.000000,67.430000,163.760000,0.000000,0.360000,1.930000,47.640000,24.010000,164.000000,1.930000,32.000000,0.000000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,44.120000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,0,4.820000,0.880000,0.870000,0.000000,0.000000,81.880000,0.000000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,23.910000,1.590000,43.350000,61.410000,57.800000,20.470000,20.710000,37.210000,40.940000,2514.26

82,20:15-20:30,13.150000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,144.500000,81.880000,32.000000,7.710000,0.000000,0.520000,20.710000,96.330000,0.970000,14.450000,81.880000,0.000000,67.430000,163.760000,0.000000,0.360000,1.930000,47.640000,24.010000,164.000000,1.930000,32.000000,0.000000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,43.250000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,0,4.820000,0.880000,0.870000,0.000000,0.000000,81.880000,0.000000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,23.910000,1.590000,43.350000,61.410000,57.800000,20.470000,20.710000,37.210000,40.940000,2513.39

83,20:30-20:45,13.150000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,144.500000,81.880000,32.000000,7.710000,0.000000,0.520000,20.710000,96.330000,0.970000,14.450000,81.880000,0.000000,67.430000,163.760000,0.000000,0.360000,1.930000,47.640000,24.010000,164.000000,1.930000,32.000000,0.000000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,42.290000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,0,4.820000,0.880000,0.870000,0.000000,0.000000,81.880000,0.000000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,23.910000,1.590000,43.350000,61.410000,57.800000,20.470000,20.710000,37.210000,40.940000,2512.43

84,20:45-21:00,13.150000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,144.500000,81.880000,32.000000,7.710000,0.000000,0.520000,20.710000,96.330000,0.970000,14.450000,81.880000,0.000000,67.430000,163.760000,0.000000,0.360000,1.930000,47.640000,24.010000,164.000000,1.930000,32.000000,0.000000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,42.580000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,0,4.820000,0.880000,0.870000,0.000000,0.000000,81.880000,0.000000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,23.910000,1.590000,43.350000,61.410000,57.800000,20.470000,20.710000,37.210000,40.940000,2512.72

85,21:00-21:15,13.150000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,144.500000,81.880000,32.000000,7.710000,0.000000,0.520000,20.710000,96.330000,0.970000,14.450000,81.880000,0.000000,67.430000,163.760000,0.000000,0.360000,1.930000,47.640000,24.010000,164.000000,1.930000,32.000000,0.000000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,42.960000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,0,4.820000,0.880000,0.870000,0.000000,0.000000,81.880000,0.000000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,23.910000,1.590000,43.350000,61.410000,57.800000,20.470000,20.710000,37.210000,40.940000,2513.1

86,21:15-21:30,13.150000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,144.500000,81.880000,32.000000,7.710000,0.000000,0.520000,20.710000,96.330000,0.970000,14.450000,81.880000,0.000000,67.430000,163.760000,0.000000,0.360000,1.930000,47.640000,24.010000,164.000000,1.930000,32.000000,0.000000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,43.250000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,0,4.820000,0.880000,0.870000,0.000000,0.000000,81.880000,0.000000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,23.910000,1.590000,43.350000,61.410000,57.800000,20.470000,20.710000,37.210000,40.940000,2513.39

87,21:30-21:45,13.150000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,144.500000,81.880000,32.000000,7.710000,0.000000,0.520000,20.710000,96.330000,0.970000,14.450000,81.880000,0.000000,67.430000,163.760000,0.000000,0.360000,1.930000,47.640000,24.010000,164.000000,1.930000,32.000000,0.000000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,43.640000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,0,4.820000,0.880000,0.870000,0.000000,0.000000,81.880000,0.000000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,23.910000,1.590000,43.350000,61.410000,57.800000,20.470000,20.710000,37.210000,40.940000,2513.78

88,21:45-22:00,13.150000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,144.500000,81.880000,32.000000,7.710000,0.000000,0.520000,20.710000,96.330000,0.970000,14.450000,81.880000,0.000000,67.430000,163.760000,0.000000,0.360000,1.930000,47.640000,24.010000,164.000000,1.930000,32.000000,0.000000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,43.830000,0.000000,0.670000,48.160000,0.000000,0.000000,96.330000,0,4.820000,0.880000,0.870000,0.000000,0.000000,81.880000,0.000000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,23.910000,1.590000,43.350000,61.410000,57.800000,20.470000,20.710000,37.210000,40.940000,2513.97

89,22:00-22:15,13.150000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,144.500000,81.880000,32.000000,7.710000,0.000000,0.520000,20.710000,96.330000,0.970000,14.450000,81.880000,0.000000,67.430000,163.760000,0.000000,0.360000,1.930000,47.640000,24.010000,164.000000,1.930000,32.000000,12.190000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,44.120000,0.000000,0.670000,48.160000,54.190000,0.000000,96.330000,0,4.820000,0.880000,0.870000,0.000000,18.060000,81.880000,0.000000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,23.910000,1.590000,43.350000,61.410000,57.800000,20.470000,20.710000,37.210000,40.940000,2598.7

90,22:15-22:30,13.150000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,144.500000,81.880000,32.000000,7.710000,0.000000,0.520000,20.710000,96.330000,0.970000,14.450000,81.880000,0.000000,67.430000,163.760000,0.000000,0.360000,1.930000,47.640000,24.010000,164.000000,1.930000,32.000000,12.190000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,44.410000,0.000000,0.670000,48.160000,54.190000,0.000000,96.330000,0,4.820000,0.880000,0.870000,0.000000,18.060000,81.880000,0.000000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,23.910000,1.590000,43.350000,61.410000,57.800000,20.470000,20.710000,37.210000,40.940000,2598.99

91,22:30-22:45,13.150000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,144.500000,81.880000,32.000000,7.710000,0.000000,0.520000,20.710000,96.330000,0.970000,14.450000,81.880000,0.000000,67.430000,163.760000,0.000000,0.360000,1.930000,47.640000,24.010000,164.000000,0.960000,32.000000,12.190000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,44.600000,0.000000,0.670000,48.160000,54.190000,0.000000,96.330000,0,4.820000,0.880000,0.870000,0.000000,18.060000,81.880000,0.000000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,23.910000,1.590000,67.430000,61.410000,57.800000,20.470000,20.710000,37.210000,40.940000,2622.29

92,22:45-23:00,13.150000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,144.500000,81.880000,32.000000,7.710000,0.000000,0.520000,20.710000,96.330000,0.970000,14.450000,81.880000,0.000000,67.430000,163.760000,0.000000,0.360000,1.930000,47.640000,24.010000,164.000000,0.960000,32.000000,12.190000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,44.500000,0.000000,0.670000,48.160000,54.190000,0.000000,96.330000,0,4.820000,0.880000,0.870000,0.000000,18.060000,81.880000,0.000000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,23.910000,1.590000,67.430000,61.410000,57.800000,20.470000,20.710000,37.210000,40.940000,2622.19

93,23:00-23:15,13.150000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,144.500000,81.880000,32.000000,5.780000,0.000000,0.520000,20.710000,96.330000,0.970000,14.450000,81.880000,0.000000,67.430000,163.760000,0.000000,0.360000,1.930000,47.640000,24.010000,164.000000,2.890000,32.000000,12.190000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,44.410000,0.000000,0.670000,48.160000,54.190000,0.000000,96.330000,0,4.820000,0.880000,0.820000,0.000000,18.060000,81.880000,0.000000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,23.910000,1.590000,67.430000,61.410000,57.800000,20.470000,20.710000,37.210000,40.940000,2622.05

94,23:15-23:30,13.150000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,144.500000,81.880000,32.000000,5.780000,0.000000,0.520000,20.710000,96.330000,0.970000,14.450000,81.880000,0.000000,67.430000,163.760000,0.000000,0.360000,1.930000,47.640000,24.010000,164.000000,2.890000,32.000000,12.190000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,44.220000,0.000000,0.670000,48.160000,54.190000,0.000000,96.330000,0,4.820000,0.880000,0.820000,0.000000,18.060000,81.880000,0.000000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,23.910000,1.590000,67.430000,61.410000,57.800000,20.470000,20.710000,37.210000,40.940000,2621.86

95,23:30-23:45,13.150000,37.210000,134.860000,0.880000,15.520000,0.000000,37.210000,20.470000,144.500000,81.880000,32.000000,5.780000,0.000000,0.520000,20.710000,96.330000,0.970000,14.450000,81.880000,0.000000,67.430000,163.760000,0.000000,0.360000,1.930000,47.640000,24.010000,164.000000,2.890000,32.000000,12.190000,90.550000,64.620000,83.980000,240.820000,0.000000,0.000000,81.880000,44.120000,0.000000,0.670000,48.160000,54.190000,0.000000,96.330000,0,4.820000,0.880000,0.820000,0.000000,18.060000,81.880000,0.000000,0.000000,12.410000,0.480000,0.610000,40.940000,2.890000,66.650000,23.910000,1.590000,67.430000,61.410000,57.800000,20.470000,20.710000,37.210000,40.940000,2621.76

