Block,Time,KHSTPP-II,TALA,KHSTPP-I,SASAN,FSTPP I & II,BRBCL,DADRI_GF,UNCHAHAR4,URI,JHAJJAR,NAPP,DADRT2,UNCHAHAR2,DADRI_RF,DADRI_CRF,RIHAND2,RIHAND1,RAPPB,RAMPUR,KOLDAM,RIHAND3,SINGRAULI,NJPC,TEHRI,PARBATI3,DADRI_LF,ANTA_LF,AURY_LF,TANAKPUR,AURY_GF,DHAULIGNGA,RAPPC,KISHANGANGA,ANTA_GF,CHAMERA3,AURY_RF,BSIUL,CHAMERA2,AURY_CRF,SALAL,KOTESHWR,UNCHAHAR1,SINGRAULI_HYDRO,UNCHAHAR3,DULHASTI,SEWA2,ANTA_RF,URI2,CHAMERA1,TANDA2,ANTA_CRF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
28,06:45-07:00,142.293572,0.000000,44.756553,403.945542,19.740153,19.291953,0.000000,0.000000,40.466899,407.153667,42.134886,479.000103,40.889490,0.000000,0.000000,113.943375,88.743200,0.000000,0.000000,0.000000,58.530578,121.141702,112.814311,38.467283,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.800534,52.268105,0.000000,0.000000,28.033985,0.000000,18.869891,25.407641,0.000000,54.361962,30.435059,10.523786,0.775018,25.390585,31.791001,15.244585,0.000000,18.166119,24.385088,0.000000,0.000000,0,0,0,0,0

29,07:00-07:15,142.293572,0.000000,44.756553,403.945542,19.740153,19.291953,0.000000,0.000000,30.882634,420.020601,42.134886,543.662643,40.889490,0.000000,0.000000,113.943375,88.743200,0.000000,0.000000,0.000000,58.530578,121.141702,112.814311,38.467283,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26.437861,52.268105,0.000000,0.000000,28.033985,0.000000,18.869891,25.407641,0.000000,54.361962,30.435059,10.523786,0.775018,25.455890,31.791001,15.244585,0.000000,18.166119,40.656038,0.000000,0.000000,0,0,0,0,0

30,07:15-07:30,142.293572,0.000000,44.756553,403.945542,19.740153,19.291953,0.000000,0.000000,30.882634,420.020601,42.134886,545.639784,40.889490,0.000000,0.000000,113.943375,88.743200,0.000000,0.000000,0.000000,58.530578,121.141702,112.814311,38.467283,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26.437861,52.268105,0.000000,0.000000,28.033985,0.000000,18.869891,25.407641,0.000000,54.361962,30.435059,10.523786,0.775018,25.455890,31.791001,15.244585,0.000000,18.166119,40.656038,0.000000,0.000000,0,0,0,0,0

31,07:30-07:45,142.293572,0.000000,44.756553,403.945542,19.740153,19.291953,0.000000,0.000000,30.882634,420.020601,42.134886,463.581841,40.889490,0.000000,0.000000,113.943375,88.743200,0.000000,0.000000,0.000000,58.530578,121.141702,112.814311,38.467283,0.000000,0.000000,0.000000,0.000000,4.942610,0.000000,26.437861,52.268105,0.000000,0.000000,24.566433,0.000000,18.869891,38.111462,0.000000,54.361962,30.435059,10.523786,0.775018,25.455890,31.791001,15.244585,0.000000,18.166119,40.656038,0.000000,0.000000,0,0,0,0,0

32,07:45:08:00,142.293572,0.000000,44.756553,403.945542,19.740153,19.291953,0.000000,0.000000,30.882634,420.020601,42.134886,478.672139,40.889490,0.000000,0.000000,113.943375,88.743200,0.000000,0.000000,0.000000,58.530578,121.141702,112.814311,38.467283,0.000000,0.000000,0.000000,0.000000,4.942610,0.000000,26.437861,52.268105,0.000000,0.000000,18.688914,0.000000,12.579927,38.111462,0.000000,54.361962,30.435059,10.523786,0.775018,25.455890,31.791001,15.244585,0.000000,18.166119,40.656038,0.000000,0.000000,0,0,0,0,0

