Column1,Block,NR/2025/29743/C,NR/2025/27782/A/83163,NR/2025/26566/A/83447,NR/2025/29769/C,NR/2025/26572/A/83449,NR/2025/29797/C,NR/2025/26571/A/83448,NR/2025/29451/A/83087,NR/2025/29818/C,NR/2025/29819/C,NR/2025/29820/C,NR/2025/26975/A/83159,NR/2025/27242/A/83138,NR/2025/28719/A/83066,NR/2025/26445/A/83477,NR/2025/27500/A/82967,NR/2025/26952/A/82927,NR/2025/26889/A/83462,NR/2025/26860/A/83375,NR/2025/27725/A/83167,NR/2025/27727/A/83164,NR/2025/27168/A/83395,NR/2025/26562/A/83445,NR/2025/27281/A/83561,NR/2025/27187/A/83151,NR/2025/27157/A/83052,NR/2025/26861/A/83440,NR/2025/27176/A/83155,NR/2025/27088/A/83473,NR/2025/26085/A/82897,NR/2025/26785/A/82968,NR/2025/27499/A/83461,NR/2025/27728/A/83165,NR/2025/27167/A/83392,NR/2025/27726/A/83166,NR/2025/27506/A/82965,NR/2025/27100/A/83067,NR/2025/26565/A/83446,NR/2025/27185/A/83153,NR/2025/26777/A/83058,GNA/NR/2025/06/01/7782,NR/2025/29890/C,GNA/NR/2025/06/01/7663,NR/2025/29881/C/Alternate/1,NR/2025/29874/C,GNA/NR/2025/06/01/4973,NR/2025/29882/C,NR/2025/29883/C,NR/2025/29739/C,NR/2025/29888/C,GNA/NR/2025/06/01/2868,NR/2025/29880/C,NR/2025/29881/C,NR/2025/29885/C,GNA/NR/2025/06/16/6051,GNA/NR/2025/06/01/4444,NR/2025/29886/C,GNA/NR/2025/06/16/8791,GNA/NR/2025/06/20/3628,NR/2025/29815/C,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/5280,NR/2025/29865/C,GNA/NR/2025/06/01/7786,NR/2025/29872/C,NR/2025/29849/C,GNARE/NR/2024/12/20/3668,NR/2025/28774/A/82960,NR/2025/27356/A/83089,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/7762,NR/30092023/31122025/SH-07,GNA/NR/2025/06/01/9257,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,Total
84,20:45-21:00,0,7.73,144.96,0,144.96,0,0,96.64,0,0,0,27.06,41.07,13.53,96.64,7.73,0,5.8,90.36,14.64,43.92,20.54,144.96,24.88,19.33,217.44,164.29,76.94,164.29,0.92,0,8.7,37.34,20.54,43.92,1.93,25.2,0,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,29.06,0,164.53,0,0,0,0,0,20.85,0,20.54,11.92,0,41.07,0,0,0,0,0,53.39,20.54,0,20.54,18.31,29,2441.7099999999996

85,21:00-21:15,0,7.73,144.96,0,144.96,0,0,96.64,0,0,0,27.06,41.07,12.56,96.64,7.73,0,5.8,90.36,14.64,43.92,20.54,144.96,24.88,19.33,217.44,164.29,106.3,164.29,0.92,0,8.7,37.34,20.54,43.92,1.93,25.2,0,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,29.06,0,164.53,0,0,0,0,0,20.85,0.97,20.54,11.92,0,41.07,0,0,0,0,0,53.39,20.54,29,20.54,18.31,29,2500.0699999999997

86,21:15-21:30,0,7.73,144.96,0,144.96,0,0,96.64,0,0,0,27.06,41.07,12.56,96.64,7.73,0,5.8,90.36,14.64,43.92,20.54,144.96,24.88,19.33,217.44,164.29,106.3,164.29,0.92,0,8.7,37.34,20.54,43.92,1.93,25.2,0,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,29.06,0,164.53,0,0,0,0,0,20.85,0.97,20.54,11.92,0,41.07,0,0,0,0,0,53.39,20.54,29,20.54,18.31,29,2500.0699999999997

87,21:30-21:45,0,7.73,144.96,0,144.96,0,0,96.64,0,0,0,27.06,41.07,12.56,96.64,7.73,0,5.8,90.36,14.64,43.92,20.54,144.96,24.88,19.33,217.44,164.29,106.3,164.29,0.92,0,8.7,37.34,20.54,43.92,1.93,25.2,0,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,29.06,0,164.53,0,0,0,0,0,20.85,0.97,20.54,11.92,0,41.07,0,0,0,0,0,53.39,20.54,29,20.54,18.31,29,2500.0699999999997

88,21:45-22:00,0,7.73,144.96,0,144.96,0,0,96.64,0,0,0,27.06,41.07,12.56,96.64,7.73,0,5.8,90.36,14.64,43.92,20.54,144.96,24.88,19.33,217.44,164.29,106.3,164.29,0.92,0,8.7,37.34,20.54,43.92,1.93,25.2,0,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,29.06,0,164.53,0,0,0,0,0,20.85,0.97,20.54,11.92,0,41.07,0,0,0,0,0,53.39,20.54,29,20.54,18.31,29,2500.0699999999997

89,22:00-22:15,0,7.73,144.96,0,144.96,0,0,96.64,0,0,0,27.06,41.07,11.6,96.64,7.73,0,5.8,90.36,14.64,43.92,20.54,144.96,24.88,19.33,217.44,164.29,106.3,164.29,0.82,0,8.7,37.34,20.54,43.92,1.93,25.2,0,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,29.06,0,164.53,0,0,0,0,0,20.85,1.93,20.54,11.92,0,41.07,0,0,0,0,0,53.39,20.54,29,20.54,18.31,29,2499.97

90,22:15-22:30,0,7.73,144.96,0,144.96,0,0,96.64,0,0,0,27.06,41.07,11.6,96.64,7.73,0,5.8,90.36,14.64,43.92,20.54,144.96,24.88,19.33,217.44,164.29,106.3,164.29,0.82,0,8.7,37.34,20.54,43.92,1.93,25.2,0,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,29.06,0,164.53,0,0,0,0,0,20.85,1.93,20.54,11.92,0,41.07,0,0,0,0,0,53.39,20.54,29,20.54,18.31,29,2499.97

91,22:30-22:45,0,7.73,144.96,0,144.96,0,0,96.64,0,0,0,27.06,41.07,11.6,96.64,7.73,0,5.8,90.36,14.64,43.92,20.54,144.96,24.88,19.33,217.44,164.29,106.3,164.29,0.82,0,8.7,37.34,20.54,43.92,1.93,25.2,0,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,29.06,0,164.53,0,0,0,0,0,20.85,1.93,20.54,11.92,0,41.07,0,0,0,0,0,0,20.54,29,20.54,18.31,29,2446.58

92,22:45-23:00,0,7.73,144.96,0,144.96,0,0,96.64,0,0,0,27.06,41.07,11.6,96.64,7.73,0,5.8,90.36,14.64,43.92,20.54,144.96,24.88,19.33,217.44,164.29,106.3,164.29,0.82,0,8.7,37.34,20.54,43.92,1.93,25.2,0,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,29.06,0,164.53,0,0,0,0,0,20.85,1.93,20.54,11.92,0,41.07,0,0,0,0,0,0,20.54,29,20.54,18.31,29,2446.58

93,23:00-23:15,0,7.73,144.96,0,144.96,0,0,96.64,0,0,0,27.06,41.07,10.63,96.64,7.73,0,5.8,90.36,14.64,43.92,20.54,144.96,24.88,19.33,217.44,164.29,106.3,164.29,0.77,0,8.7,37.34,20.54,43.92,1.93,25.2,0,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,29.06,0,164.53,0,0,0,0,0,20.85,2.9,20.54,11.92,0,41.07,0,0,0,0,0,0,20.54,29,20.54,18.31,29,2446.53

94,23:15-23:30,0,7.73,144.96,0,144.96,0,0,96.64,0,0,0,27.06,41.07,10.63,96.64,7.73,0,5.8,90.36,14.64,43.92,20.54,144.96,24.88,19.33,217.44,164.29,106.3,164.29,0.77,0,8.7,37.34,20.54,43.92,1.93,25.2,0,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,29.06,0,164.53,0,0,0,0,0,20.85,2.9,20.54,11.92,0,41.07,0,0,0,0,0,0,20.54,29,20.54,18.31,29,2446.53

95,23:30-23:45,0,7.73,144.96,0,144.96,0,0,96.64,0,0,0,27.06,41.07,10.63,96.64,7.73,0,5.8,90.36,14.64,43.92,20.54,144.96,24.88,19.33,217.44,164.29,106.3,164.29,0.77,0,8.7,37.34,20.54,43.92,1.93,25.2,0,19.33,164.29,11.91,0,41.07,0,0,41.07,0,28.03,0,0,29.06,0,164.53,0,0,0,0,0,20.85,2.9,20.54,11.92,0,41.07,0,0,0,0,0,0,20.54,29,20.54,18.31,29,2446.53

96,23:45-24:00,0,7.73,144.96,0,144.96,0,0,96.64,0,0,0,27.06,41.07,10.63,96.64,7.73,0,5.8,90.36,14.64,43.92,20.54,144.96,24.88,19.33,217.44,164.29,106.3,164.29,0.77,0,8.7,37.34,20.54,43.92,1.93,25.2,0,19.33,164.29,12.18,0,41.07,0,0,41.07,0,28.03,0,0,29.06,0,164.53,0,0,0,0,0,20.85,2.9,20.54,11.92,0,41.07,0,0,0,0,0,0,20.54,29,20.54,18.31,29,2446.8

