Time,Block,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/21148/A/28829,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/16072024/31072024/NR/16072024/31072024/717758,NR/2024/21103/A/29085,NR/2024/21930/C,NR/2024/21160/A/28828,NR/2024/21144/A/28796,NR/2024/20573/A/28866,NR/2024/21142/A/28979,NR/01072024/31072024/R2,NR/2024/21141/A/28987,NR/2024/21023/A/28795,NR/2024/21199/A/28794,NR/2024/21906/C,NR/30092023/31122025/SH-07,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21075/A/29112,NR/2024/21183/A/29110,NR/2024/21173/A/28846,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/30092023/26122029/SH-06,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/2024/21186/A/29072,NR/2024/21156/A/28833,NR/2024/21153/A/28832,NR/2024/19779/A/28769,NR/2024/21922/C,NR/2024/21062/A/28876,NR/2024/21916/C,NR/01102023/23072042/L_NR_2012_04,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/21072/A/29063,NR/2024/21238/A/29113,NR/2024/21076/A/29109,NR/2024/21924/C,NR/2024/20688/A/28848,NR/2024/21087/A/28847,NR/2024/21682/A/29142,NR/2024/21159/A/28835,NR/2024/21099/A/28981,NR/2024/21865/C,NR/2024/20711/A/29143,NR/2024/20574/A/28868,NR/2024/21152/A/28737,NR/2024/21089/A/29062,NR/2024/21210/A/28977,NR/2024/21096/A/29090,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21146/A/28831,NR/2024/21715/A/28797,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/21904/C,NR/2024/21339/A/28973,NR/2024/21227/A/29083,NR/2024/21150/A/28830,NR/2024/21113/A/29061,NR/2024/21567/A/29060,NR/2024/20931/A/29032,NR/2024/21158/A/28834,NR/2024/21108/A/29080,NR/2024/20966/A/29117,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,SR/2024/13611/C,NR/2024/21903/C,Total
65,16:00-16:15,0.000000,0.520000,0.000000,0.000000,84.090000,0.000000,0.970000,0.480000,0.000000,48.230000,0.000000,0.000000,96.460000,72.340000,27.970000,22.970000,12.700000,11.720000,21.220000,24.120000,0.000000,22.970000,0.000000,24.730000,0.610000,1.590000,0.820000,0.000000,24.120000,0.000000,0.000000,0.000000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,12.540000,0.000000,164.220000,96.460000,0.000000,0.880000,37.260000,12.420000,48.230000,0.680000,24.040000,4.820000,0,0,0.00,1.33,1625.26

66,16:15-16:30,0.000000,0.520000,0.000000,0.000000,84.090000,0.000000,0.970000,0.480000,0.000000,48.230000,0.000000,0.000000,96.460000,72.340000,27.970000,22.970000,12.700000,11.720000,21.220000,24.120000,0.000000,22.970000,0.000000,24.730000,0.610000,1.590000,0.820000,0.000000,24.120000,0.000000,0.000000,0.000000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,12.540000,0.000000,164.220000,96.460000,0.000000,0.880000,37.260000,12.420000,48.230000,0.680000,24.040000,4.820000,0,0,0.00,0.94,1624.87

67,16:30-16:45,0.000000,0.520000,0.000000,0.000000,84.090000,0.000000,0.970000,0.480000,0.000000,48.230000,0.000000,0.000000,96.460000,72.340000,27.970000,22.970000,12.700000,11.720000,21.220000,24.120000,0.000000,22.970000,0.000000,24.730000,0.610000,1.590000,0.820000,0.000000,24.120000,0.000000,0.000000,0.000000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,12.540000,0.000000,164.220000,96.460000,0.000000,0.880000,37.260000,12.420000,48.230000,0.680000,24.040000,4.820000,0,0,0.00,0.75,1624.68

68,16:45-17:00,0.000000,0.520000,0.000000,0.000000,84.090000,0.000000,0.970000,0.480000,0.000000,48.230000,0.000000,0.000000,96.460000,72.340000,27.970000,22.970000,12.700000,11.720000,21.220000,24.120000,0.000000,22.970000,0.000000,24.730000,0.610000,1.590000,0.820000,0.000000,24.120000,0.000000,0.000000,0.000000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,12.540000,0.000000,164.220000,96.460000,0.000000,0.880000,37.260000,12.420000,48.230000,0.680000,24.040000,4.820000,0,0,0.00,0.72,1624.65

69,17:00-17:15,0.000000,0.520000,0.000000,0.000000,84.090000,0.000000,0.970000,0.480000,0.000000,48.230000,0.000000,0.000000,96.460000,72.340000,27.970000,22.970000,12.700000,11.720000,21.220000,24.120000,0.000000,22.970000,0.000000,24.730000,0.610000,1.590000,0.820000,0.000000,24.120000,0.000000,0.000000,0.000000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,12.540000,0.000000,164.220000,96.460000,0.000000,0.880000,37.260000,12.420000,48.230000,0.680000,24.040000,4.820000,0,0,0.00,0.65,1624.58

70,17:15-17:30,0.000000,0.520000,0.000000,0.000000,84.090000,0.000000,0.970000,0.480000,0.000000,48.230000,0.000000,0.000000,96.460000,72.340000,27.970000,22.970000,12.700000,11.720000,21.220000,24.120000,0.000000,22.970000,0.000000,24.730000,0.610000,1.590000,0.820000,0.000000,24.120000,0.000000,0.000000,0.000000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,12.540000,0.000000,164.220000,96.460000,0.000000,0.880000,37.260000,12.420000,48.230000,0.680000,24.040000,4.820000,0,0,0.00,0.53,1624.46

71,17:30-17:45,0.000000,0.520000,0.000000,0.000000,84.090000,0.000000,0.970000,0.480000,0.000000,48.230000,0.000000,0.000000,96.460000,72.340000,27.970000,22.970000,12.700000,11.720000,21.220000,24.120000,0.000000,22.970000,0.000000,24.730000,0.610000,1.590000,0.820000,0.000000,24.120000,0.000000,0.000000,0.000000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,12.540000,0.000000,164.220000,96.460000,0.000000,0.880000,37.260000,12.420000,48.230000,0.680000,24.040000,4.820000,0,0,0.00,0.32,1624.25

72,17:45-18:00,0.000000,0.520000,0.000000,0.000000,84.090000,0.000000,0.970000,0.480000,0.000000,48.230000,0.000000,0.000000,96.460000,72.340000,27.970000,22.970000,12.700000,11.720000,21.220000,24.120000,0.000000,22.970000,0.000000,24.730000,0.610000,1.590000,0.820000,0.000000,24.120000,0.000000,0.000000,0.000000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,12.540000,0.000000,164.220000,96.460000,0.000000,0.880000,37.260000,12.420000,48.230000,0.680000,24.040000,4.820000,0,0,0.00,0.23,1624.16

73,18:00-18:15,0.000000,0.520000,0.000000,48.230000,84.090000,0.000000,0.970000,0.480000,0.000000,48.230000,24.120000,47.710000,0.000000,0.000000,27.970000,22.970000,13.170000,0.000000,21.220000,24.120000,72.340000,22.970000,96.460000,24.730000,0.610000,1.590000,0.820000,0.000000,0.000000,0.000000,0.000000,96.460000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,24.120000,12.420000,15.140000,0.360000,11.580000,0.000000,164.220000,0.000000,0.000000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,0.00,0.15,1659.58

74,18:15-18:30,0.000000,0.520000,0.000000,48.230000,84.090000,0.000000,0.970000,0.480000,0.000000,48.230000,24.120000,47.710000,0.000000,0.000000,27.970000,22.970000,13.170000,0.000000,21.220000,24.120000,72.340000,22.970000,96.460000,24.730000,0.610000,1.590000,0.820000,0.000000,0.000000,0.000000,0.000000,96.460000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,24.120000,5.740000,15.140000,0.360000,11.580000,0.000000,164.220000,0.000000,0.000000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,0.00,0,1652.75

75,18:30-18:45,0.000000,0.520000,0.000000,48.230000,84.090000,0.000000,0.970000,0.480000,0.000000,48.230000,24.120000,47.710000,0.000000,0.000000,27.970000,22.970000,13.170000,0.000000,21.220000,24.120000,72.340000,22.970000,96.460000,24.730000,0.610000,1.590000,0.820000,0.000000,0.000000,0.000000,0.000000,96.460000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,43.410000,5.740000,15.140000,0.360000,11.580000,0.000000,164.220000,0.000000,0.000000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,0.00,0,1672.04

76,18:45-19:00,0.000000,0.520000,0.000000,48.230000,84.090000,0.000000,0.970000,0.480000,0.000000,48.230000,24.120000,47.710000,0.000000,0.000000,27.970000,22.970000,13.170000,0.000000,21.220000,24.120000,72.340000,22.970000,96.460000,24.730000,0.610000,1.590000,0.820000,0.000000,0.000000,0.000000,0.000000,96.460000,37.260000,2.890000,90.670000,0.000000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,43.410000,5.740000,15.140000,0.360000,11.580000,0.000000,164.220000,0.000000,0.000000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,0.00,0,1672.04

77,19:00-19:15,0.000000,0.520000,0.000000,48.230000,84.090000,38.580000,0.970000,0.480000,0.000000,48.230000,24.120000,47.710000,0.000000,0.000000,27.970000,32.000000,13.170000,0.000000,21.220000,24.120000,72.340000,32.000000,96.460000,24.730000,0.610000,1.590000,0.820000,96.460000,0.000000,144.690000,0.000000,96.460000,37.260000,2.890000,90.670000,144.690000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,43.410000,5.740000,15.140000,0.360000,11.580000,0.000000,164.220000,0.000000,0.000000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,0.00,0,2114.52

78,19:15-19:30,0.000000,0.520000,0.000000,48.230000,84.090000,38.580000,0.970000,0.480000,0.000000,48.230000,24.120000,47.710000,0.000000,0.000000,27.970000,32.000000,13.170000,0.000000,21.220000,24.120000,72.340000,32.000000,96.460000,24.730000,0.610000,1.590000,0.820000,96.460000,0.000000,144.690000,0.000000,96.460000,37.260000,2.890000,90.670000,144.690000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,43.410000,12.420000,15.140000,0.360000,11.580000,0.000000,164.220000,0.000000,0.000000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,0.00,0,2121.2

79,19:30-19:45,0.000000,0.520000,0.000000,48.230000,84.090000,38.580000,0.970000,0.480000,0.000000,48.230000,24.120000,47.710000,0.000000,0.000000,27.970000,32.000000,13.170000,0.000000,21.220000,24.120000,72.340000,32.000000,96.460000,24.730000,0.610000,1.590000,0.820000,96.460000,0.000000,144.690000,0.000000,96.460000,37.260000,2.890000,90.670000,144.690000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,43.410000,12.420000,15.140000,0.360000,11.580000,0.000000,164.220000,0.000000,0.000000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,0.00,0,2121.2

80,19:45-20:00,0.000000,0.520000,0.000000,48.230000,84.090000,38.580000,0.970000,0.480000,0.000000,48.230000,24.120000,47.710000,0.000000,0.000000,27.970000,32.000000,13.170000,0.000000,21.220000,24.120000,72.340000,32.000000,96.460000,24.730000,0.610000,1.590000,0.820000,96.460000,0.000000,144.690000,0.000000,96.460000,37.260000,2.890000,90.670000,144.690000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,43.410000,12.420000,15.140000,0.360000,11.580000,0.000000,164.220000,0.000000,0.000000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,0.00,0,2121.2

81,20:00-20:15,0.000000,0.520000,0.000000,48.230000,84.090000,38.580000,0.970000,0.480000,0.000000,48.230000,24.120000,47.710000,0.000000,0.000000,27.970000,32.000000,13.170000,0.000000,21.220000,24.120000,72.340000,32.000000,96.460000,24.730000,0.610000,1.590000,0.870000,192.920000,0.000000,144.690000,0.000000,96.460000,37.260000,2.890000,90.670000,144.690000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,43.410000,12.420000,15.140000,0.360000,11.580000,0.000000,164.220000,0.000000,0.000000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,0.00,0,2217.71

82,20:15-20:30,0.000000,0.520000,0.000000,48.230000,84.090000,38.580000,0.970000,0.480000,0.000000,48.230000,24.120000,47.710000,0.000000,0.000000,27.970000,32.000000,13.170000,0.000000,21.220000,24.120000,72.340000,32.000000,96.460000,24.730000,0.610000,1.590000,0.870000,192.920000,0.000000,144.690000,0.000000,96.460000,37.260000,2.890000,90.670000,144.690000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,43.410000,12.420000,15.140000,0.360000,11.580000,0.000000,164.220000,0.000000,0.000000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,0.00,0,2217.71

83,20:30-20:45,0.000000,0.520000,0.000000,48.230000,84.090000,38.580000,0.970000,0.480000,0.000000,48.230000,24.120000,47.710000,0.000000,0.000000,27.970000,32.000000,13.170000,0.000000,21.220000,24.120000,72.340000,32.000000,96.460000,24.730000,0.610000,1.590000,0.870000,192.920000,0.000000,144.690000,0.000000,96.460000,37.260000,2.890000,90.670000,144.690000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,43.410000,12.420000,15.140000,0.360000,10.610000,0.000000,164.220000,0.000000,0.000000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,0.00,0,2216.74

84,20:45-21:00,0.000000,0.520000,0.000000,48.230000,84.090000,38.580000,0.970000,0.480000,0.000000,48.230000,24.120000,47.710000,0.000000,0.000000,27.970000,32.000000,13.170000,0.000000,21.220000,24.120000,72.340000,32.000000,96.460000,24.730000,0.610000,1.590000,0.870000,192.920000,0.000000,144.690000,0.000000,96.460000,37.260000,2.890000,90.670000,144.690000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,43.410000,12.420000,15.140000,0.360000,10.610000,0.000000,164.220000,0.000000,0.000000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,0.00,0,2216.74

85,21:00-21:15,0.000000,0.520000,0.000000,48.230000,84.090000,38.580000,0.970000,0.480000,0.000000,48.230000,24.120000,47.710000,0.000000,0.000000,27.970000,32.000000,13.170000,0.000000,21.220000,24.120000,72.340000,32.000000,96.460000,24.730000,0.610000,1.590000,0.870000,192.920000,0.000000,144.690000,0.000000,96.460000,37.260000,2.890000,90.670000,144.690000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,43.410000,12.420000,15.140000,0.360000,10.610000,0.000000,164.220000,0.000000,0.000000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,0.00,0,2216.74

86,21:15-21:30,0.000000,0.520000,0.000000,48.230000,84.090000,38.580000,0.970000,0.480000,0.000000,48.230000,24.120000,47.710000,0.000000,0.000000,27.970000,32.000000,13.170000,0.000000,21.220000,24.120000,72.340000,32.000000,96.460000,24.730000,0.610000,1.590000,0.870000,192.920000,0.000000,144.690000,0.000000,96.460000,37.260000,2.890000,90.670000,144.690000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,43.410000,12.420000,15.140000,0.360000,10.610000,0.000000,164.220000,0.000000,0.000000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,0.00,0,2216.74

87,21:30-21:45,0.000000,0.520000,0.000000,48.230000,84.090000,38.580000,0.970000,0.480000,0.000000,48.230000,24.120000,47.710000,0.000000,0.000000,27.970000,32.000000,13.170000,0.000000,21.220000,24.120000,72.340000,32.000000,96.460000,24.730000,0.610000,1.590000,0.870000,192.920000,0.000000,144.690000,0.000000,96.460000,37.260000,2.890000,90.670000,144.690000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,43.410000,12.420000,15.140000,0.360000,10.610000,0.000000,164.220000,0.000000,0.000000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,0.00,0,2216.74

88,21:45-22:00,0.000000,0.520000,0.000000,48.230000,84.090000,38.580000,0.970000,0.480000,0.000000,48.230000,24.120000,47.710000,0.000000,0.000000,27.970000,32.000000,13.170000,0.000000,21.220000,24.120000,72.340000,32.000000,96.460000,24.730000,0.610000,1.590000,0.870000,192.920000,0.000000,144.690000,0.000000,96.460000,37.260000,2.890000,90.670000,144.690000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,0.000000,1.930000,37.260000,48.230000,43.410000,12.420000,15.140000,0.360000,10.610000,0.000000,164.220000,0.000000,0.000000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,0.00,0,2216.74

89,22:00-22:15,0.000000,0.520000,0.000000,48.230000,84.090000,38.580000,0.970000,0.480000,36.170000,48.230000,24.120000,47.710000,0.000000,0.000000,27.970000,32.000000,13.170000,0.000000,21.220000,24.120000,72.340000,32.000000,96.460000,24.730000,0.610000,1.590000,0.870000,192.920000,0.000000,144.690000,0.000000,96.460000,37.260000,2.890000,90.670000,144.690000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,12.060000,1.930000,37.260000,48.230000,43.410000,12.420000,15.140000,0.360000,10.610000,0.000000,164.220000,0.000000,12.200000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,0.00,0,2277.17

90,22:15-22:30,0.000000,0.520000,0.000000,48.230000,84.090000,38.580000,0.970000,0.480000,36.170000,48.230000,24.120000,47.710000,0.000000,0.000000,27.970000,32.000000,13.170000,0.000000,21.220000,24.120000,72.340000,32.000000,96.460000,24.730000,0.610000,1.590000,0.870000,192.920000,0.000000,144.690000,0.000000,96.460000,37.260000,2.890000,90.670000,144.690000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,12.060000,1.930000,37.260000,48.230000,43.410000,12.420000,15.140000,0.360000,10.610000,0.000000,164.220000,0.000000,12.200000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,0.00,0,2277.17

91,22:30-22:45,0.000000,0.520000,0.000000,48.230000,84.090000,38.580000,0.970000,0.480000,36.170000,48.230000,24.120000,47.710000,0.000000,0.000000,27.970000,32.000000,13.170000,0.000000,21.220000,24.120000,72.340000,32.000000,96.460000,24.730000,0.610000,1.590000,0.870000,192.920000,0.000000,144.690000,0.000000,96.460000,37.260000,2.890000,90.670000,144.690000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,12.060000,1.930000,37.260000,48.230000,67.520000,12.420000,15.140000,0.360000,10.610000,0.000000,164.220000,0.000000,12.200000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,0.00,0,2301.28

92,22:45-23:00,0.000000,0.520000,0.000000,48.230000,84.090000,38.580000,0.970000,0.480000,36.170000,48.230000,24.120000,47.710000,0.000000,0.000000,27.970000,32.000000,13.170000,0.000000,21.220000,24.120000,72.340000,32.000000,96.460000,24.730000,0.610000,1.590000,0.870000,192.920000,0.000000,144.690000,0.000000,96.460000,37.260000,2.890000,90.670000,144.690000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,12.060000,1.930000,37.260000,48.230000,67.520000,12.420000,15.140000,0.360000,10.610000,0.000000,164.220000,0.000000,12.200000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,0.00,0,2301.28

93,23:00-23:15,0.000000,0.520000,0.000000,48.230000,84.090000,38.580000,0.970000,0.480000,36.170000,48.230000,24.120000,47.710000,0.000000,0.000000,27.970000,32.000000,13.170000,0.000000,21.220000,24.120000,72.340000,32.000000,96.460000,24.730000,0.610000,1.590000,0.820000,192.920000,0.000000,144.690000,0.000000,96.460000,37.260000,2.890000,90.670000,144.690000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,12.060000,1.930000,37.260000,48.230000,67.520000,12.420000,15.140000,0.360000,9.650000,0.000000,164.220000,0.000000,12.200000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,0.00,0,2300.27

94,23:15-23:30,0.000000,0.520000,0.000000,48.230000,84.090000,38.580000,0.970000,0.480000,36.170000,48.230000,24.120000,47.710000,0.000000,0.000000,27.970000,32.000000,13.170000,0.000000,21.220000,24.120000,72.340000,32.000000,96.460000,24.730000,0.610000,1.590000,0.820000,192.920000,0.000000,144.690000,0.000000,96.460000,37.260000,2.890000,90.670000,144.690000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,12.060000,1.930000,37.260000,48.230000,67.520000,12.420000,15.140000,0.360000,9.650000,0.000000,164.220000,0.000000,12.200000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,0.00,0,2300.27

95,23:30-23:45,0.000000,0.520000,0.000000,48.230000,84.090000,38.580000,0.970000,0.480000,36.170000,48.230000,24.120000,47.710000,0.000000,0.000000,27.970000,32.000000,13.170000,0.000000,21.220000,24.120000,72.340000,32.000000,96.460000,24.730000,0.610000,1.590000,0.820000,192.920000,0.000000,144.690000,0.000000,96.460000,37.260000,2.890000,90.670000,144.690000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,12.060000,1.930000,37.260000,48.230000,67.520000,12.420000,15.140000,0.360000,9.650000,0.000000,164.220000,0.000000,12.200000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,0.00,0,2300.27

96,23:45-24:00,0.000000,0.520000,0.000000,48.230000,84.090000,38.580000,0.970000,0.480000,36.170000,48.230000,24.120000,47.710000,0.000000,0.000000,27.970000,32.000000,13.170000,0.000000,21.220000,24.120000,72.340000,32.000000,96.460000,24.730000,0.610000,1.590000,0.820000,192.920000,0.000000,144.690000,0.000000,96.460000,37.260000,2.890000,90.670000,144.690000,66.740000,24.120000,241.150000,0.880000,24.120000,0.000000,96.460000,12.060000,1.930000,37.260000,48.230000,67.520000,12.420000,15.140000,0.360000,9.650000,0.000000,164.220000,0.000000,12.200000,0.880000,37.260000,12.420000,0.000000,0.680000,24.040000,4.820000,0,0,0.00,0,2300.27

