Time,Block,NR/2024/21150/A/29373,NR/2024/21158/A/29377,NR/2024/20931/A/29522,NR/2024/21141/A/29324,NR/2024/21113/A/29613,NR/2024/22038/C,NR/2024/21099/A/29322,NR/2024/21186/A/29624,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/22031/C,NR/2024/21160/A/29374,NR/2024/21148/A/29372,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/22036/C,NR/2024/21153/A/29375,NR/2024/20966/A/29274,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/2024/21199/A/29342,NR/2024/22024/C,NR/2024/21173/A/29381,NR/2024/21072/A/29615,NR/2024/22023/C,NR/2024/21227/A/29590,NR/2024/21062/A/29570,NR/2024/22032/C,NR/2024/21339/A/29315,NR/2024/22029/C,NR/2024/21682/A/29600,NR/2024/21146/A/29371,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/21567/A/29612,NR/2024/20688/A/29383,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/20573/A/29572,NR/2024/22030/C,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/2024/21142/A/29320,NR/2024/21156/A/29378,NR/2024/21108/A/29587,NR/2024/21238/A/29632,NR/2024/19779/A/29453,NR/2024/21023/A/29343,NR/2024/21159/A/29376,NR/2024/20574/A/29571,NR/2024/21210/A/29318,NR/2024/21144/A/29341,NR/2024/21103/A/29592,NR/2024/21075/A/29631,NR/2024/21152/A/29273,NR/2024/21076/A/29628,NR/2024/21087/A/29382,NR/29072024/29072024/DD20240729NR25886,NR/01102023/23072042/L_NR_2012_04,NR/30092023/31122025/SH-07,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21096/A/29596,NR/2024/20711/A/29601,NR/2024/21978/A/29503,NR/30092023/26122029/SH-06,NR/01072024/31072024/R2,NR/16072024/31072024/NR/16072024/31072024/717758,NR/2024/21183/A/29629,NR/2024/21089/A/29614,NR/2024/22025/C,NR/01102023/02012046/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,Total
63,15:30-15:45,0.880000,0.670000,48.160000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,0.000000,0.000000,1.590000,4.820000,0.000000,0.000000,72.240000,163.980000,24.080000,37.210000,27.930000,0.000000,24.080000,0.000000,96.320000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,9.930000,0.000000,0.000000,0.000000,48.160000,0.610000,24.000000,2.890000,0.960000,96.320000,0.880000,0.000000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,22.970000,14.720000,24.080000,96.320000,12.520000,22.970000,0.000000,0.000000,21.190000,37.210000,2.18,0,0,1644.29

64,15:45-16:00,0.880000,0.670000,48.160000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,0.000000,0.000000,1.590000,4.820000,0.000000,0.000000,72.240000,163.980000,24.080000,37.210000,27.930000,0.000000,24.080000,0.000000,96.320000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,9.930000,0.000000,0.000000,0.000000,48.160000,0.610000,24.000000,2.890000,0.960000,96.320000,0.880000,0.000000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,22.970000,14.720000,24.080000,96.320000,12.520000,22.970000,0.000000,0.000000,21.190000,37.210000,2.72,0,0,1644.83

65,16:00-16:15,0.880000,0.670000,48.160000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,0.000000,0.000000,1.590000,4.820000,0.000000,0.000000,72.240000,163.980000,24.080000,37.210000,27.930000,0.000000,24.080000,0.000000,96.320000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,9.930000,0.000000,0.000000,0.000000,48.160000,0.610000,24.000000,2.890000,0.820000,96.320000,0.880000,0.000000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,22.970000,14.720000,24.080000,96.320000,12.520000,22.970000,0.000000,0.000000,21.190000,37.210000,2.15,0,0,1644.12

66,16:15-16:30,0.880000,0.670000,48.160000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,0.000000,0.000000,1.590000,4.820000,0.000000,0.000000,72.240000,163.980000,24.080000,37.210000,27.930000,0.000000,24.080000,0.000000,96.320000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,9.930000,0.000000,0.000000,0.000000,48.160000,0.610000,24.000000,2.890000,0.820000,96.320000,0.880000,0.000000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,22.970000,14.720000,24.080000,96.320000,12.520000,22.970000,0.000000,0.000000,21.190000,37.210000,1.13,0,0,1643.1

67,16:30-16:45,0.880000,0.670000,48.160000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,0.000000,0.000000,1.590000,4.820000,0.000000,0.000000,72.240000,163.980000,24.080000,37.210000,27.930000,0.000000,24.080000,0.000000,96.320000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,9.930000,0.000000,0.000000,0.000000,48.160000,0.610000,24.000000,2.890000,0.820000,96.320000,0.880000,0.000000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,22.970000,14.720000,24.080000,96.320000,12.520000,22.970000,0.000000,0.000000,21.190000,37.210000,1.26,0,0,1643.23

68,16:45-17:00,0.880000,0.670000,48.160000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,0.000000,0.000000,1.590000,4.820000,0.000000,0.000000,72.240000,163.980000,24.080000,37.210000,27.930000,0.000000,24.080000,0.000000,96.320000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,9.930000,0.000000,0.000000,0.000000,48.160000,0.610000,24.000000,2.890000,0.820000,96.320000,0.880000,0.000000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,22.970000,14.720000,24.080000,96.320000,12.520000,22.970000,0.000000,0.000000,21.190000,37.210000,1.19,0,0,1643.16

69,17:00-17:15,0.880000,0.670000,48.160000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,0.000000,0.000000,1.590000,4.820000,0.000000,0.000000,72.240000,163.980000,24.080000,37.210000,27.930000,0.000000,24.080000,0.000000,96.320000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,9.930000,0.000000,0.000000,0.000000,48.160000,0.610000,24.000000,2.890000,0.820000,96.320000,0.880000,0.000000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,22.970000,14.720000,24.080000,96.320000,12.520000,22.970000,0.000000,0.000000,21.190000,37.210000,0.81,0,0,1642.78

70,17:15-17:30,0.880000,0.670000,48.160000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,0.000000,0.000000,1.590000,4.820000,0.000000,0.000000,72.240000,163.980000,24.080000,37.210000,27.930000,0.000000,24.080000,0.000000,96.320000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,9.930000,0.000000,0.000000,0.000000,48.160000,0.610000,24.000000,2.890000,0.820000,96.320000,0.880000,0.000000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,22.970000,14.720000,24.080000,96.320000,12.520000,22.970000,0.000000,0.000000,21.190000,37.210000,0.75,0,0,1642.72

71,17:30-17:45,0.880000,0.670000,48.160000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,0.000000,0.000000,1.590000,4.820000,0.000000,0.000000,72.240000,163.980000,24.080000,37.210000,27.930000,0.000000,24.080000,0.000000,96.320000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,14.530000,0.000000,0.000000,0.000000,48.160000,0.610000,24.000000,2.890000,0.820000,96.320000,0.880000,0.000000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,22.970000,14.720000,24.080000,96.320000,12.520000,22.970000,0.000000,0.000000,21.190000,37.210000,0.75,0,0,1647.32

72,17:45-18:00,0.880000,0.670000,48.160000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,0.000000,0.000000,1.590000,4.820000,0.000000,0.000000,72.240000,163.980000,24.080000,37.210000,27.930000,0.000000,24.080000,0.000000,96.320000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,14.530000,0.000000,0.000000,0.000000,48.160000,0.610000,24.000000,2.890000,0.820000,96.320000,0.880000,0.000000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,22.970000,14.720000,24.080000,96.320000,12.520000,22.970000,0.000000,0.000000,21.190000,37.210000,0.75,0,0,1647.32

73,18:00-18:15,0.880000,0.670000,0.000000,47.640000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,96.320000,0.000000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,0.000000,0.000000,0.000000,0.000000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,14.530000,0.000000,0.000000,96.320000,48.160000,0.610000,24.000000,2.890000,0.820000,0.000000,0.880000,0.000000,48.160000,0.480000,83.970000,0.000000,1.930000,90.540000,24.080000,0.000000,0.000000,22.970000,14.720000,24.080000,96.320000,11.560000,22.970000,24.080000,48.160000,21.190000,37.210000,0.48,0,0,1682.03

74,18:15-18:30,0.880000,0.670000,0.000000,47.640000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,96.320000,0.000000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,0.000000,0.000000,0.000000,0.000000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,14.530000,0.000000,0.000000,96.320000,48.160000,0.610000,24.000000,2.890000,0.820000,0.000000,0.880000,0.000000,48.160000,0.480000,83.970000,0.000000,1.930000,90.540000,24.080000,0.000000,0.000000,22.970000,14.720000,24.080000,96.320000,11.560000,22.970000,24.080000,48.160000,21.190000,37.210000,0.31,0,0,1681.86

75,18:30-18:45,0.880000,0.670000,0.000000,47.640000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,96.320000,0.000000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,0.000000,0.000000,0.000000,0.000000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,14.530000,0.000000,0.000000,96.320000,48.160000,0.610000,24.000000,2.890000,0.820000,0.000000,0.880000,0.000000,48.160000,0.480000,83.970000,0.000000,1.930000,90.540000,24.080000,0.000000,0.000000,22.970000,14.720000,43.340000,96.320000,11.560000,22.970000,24.080000,48.160000,21.190000,37.210000,0.19,0,0,1701

76,18:45-19:00,0.880000,0.670000,0.000000,47.640000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,96.320000,0.000000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,0.000000,0.000000,0.000000,0.000000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,14.530000,0.000000,0.000000,96.320000,48.160000,0.610000,24.000000,2.890000,0.820000,0.000000,0.880000,0.000000,48.160000,0.480000,83.970000,0.000000,1.930000,90.540000,24.080000,0.000000,0.000000,16.670000,14.720000,43.340000,96.320000,11.560000,16.670000,24.080000,48.160000,21.190000,37.210000,0,0,0,1688.21

77,19:00-19:15,0.880000,0.670000,0.000000,47.640000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,38.530000,0.970000,0.520000,96.320000,96.320000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,0.000000,0.000000,24.080000,0.000000,48.160000,240.800000,0.360000,12.410000,12.410000,66.640000,14.530000,0.000000,144.480000,96.320000,48.160000,0.610000,24.000000,2.890000,0.820000,0.000000,0.880000,0.000000,48.160000,0.480000,83.970000,0.000000,1.930000,90.540000,24.080000,96.320000,0.000000,32.000000,14.720000,43.340000,96.320000,11.560000,32.000000,24.080000,48.160000,21.190000,37.210000,0,0,0,2166.76

78,19:15-19:30,0.880000,0.670000,0.000000,47.640000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,38.530000,0.970000,0.520000,96.320000,96.320000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,0.000000,0.000000,24.080000,0.000000,48.160000,240.800000,0.360000,12.410000,12.410000,66.640000,14.530000,0.000000,144.480000,96.320000,48.160000,0.610000,24.000000,2.890000,0.820000,0.000000,0.880000,0.000000,48.160000,0.480000,83.970000,0.000000,1.930000,90.540000,24.080000,96.320000,0.000000,32.000000,14.720000,43.340000,96.320000,11.560000,32.000000,24.080000,48.160000,21.190000,37.210000,0,0,0,2166.76

79,19:30-19:45,0.880000,0.670000,0.000000,47.640000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,38.530000,0.970000,0.520000,96.320000,96.320000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,0.000000,0.000000,24.080000,0.000000,48.160000,240.800000,0.360000,12.410000,12.410000,66.640000,14.530000,0.000000,144.480000,96.320000,48.160000,0.610000,24.000000,2.890000,0.820000,0.000000,0.880000,0.000000,48.160000,0.480000,83.970000,0.000000,1.930000,90.540000,24.080000,96.320000,0.000000,32.000000,14.720000,43.340000,96.320000,11.560000,32.000000,24.080000,48.160000,21.190000,37.210000,0,0,0,2166.76

80,19:45-20:00,0.880000,0.670000,0.000000,47.640000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,38.530000,0.970000,0.520000,96.320000,96.320000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,0.000000,0.000000,24.080000,0.000000,48.160000,240.800000,0.360000,12.410000,12.410000,66.640000,14.530000,0.000000,144.480000,96.320000,48.160000,0.610000,24.000000,2.890000,0.820000,0.000000,0.880000,0.000000,48.160000,0.480000,83.970000,0.000000,1.930000,90.540000,24.080000,96.320000,0.000000,32.000000,14.720000,43.340000,96.320000,11.560000,32.000000,24.080000,48.160000,21.190000,37.210000,0,0,0,2166.76

81,20:00-20:15,0.880000,0.670000,0.000000,47.640000,37.210000,31.900000,24.080000,48.160000,0.000000,0.000000,38.530000,0.970000,0.520000,96.320000,96.320000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,0.000000,0.000000,24.080000,0.000000,48.160000,240.800000,0.360000,12.410000,12.410000,66.640000,14.530000,0.000000,192.640000,96.320000,48.160000,0.610000,24.000000,2.890000,0.870000,0.000000,0.880000,0.000000,48.160000,0.480000,83.970000,0.000000,1.930000,90.540000,24.080000,96.320000,0.000000,32.000000,14.720000,43.340000,96.320000,11.560000,32.000000,24.080000,48.160000,21.190000,37.210000,0,0,0,2246.87

82,20:15-20:30,0.880000,0.670000,0.000000,47.640000,37.210000,34.540000,24.080000,48.160000,0.000000,0.000000,38.530000,0.970000,0.520000,96.320000,96.320000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,0.000000,0.000000,24.080000,0.000000,48.160000,240.800000,0.360000,12.410000,12.410000,66.640000,14.530000,0.000000,192.640000,96.320000,48.160000,0.610000,24.000000,2.890000,0.870000,0.000000,0.880000,0.000000,48.160000,0.480000,83.970000,0.000000,1.930000,90.540000,24.080000,96.320000,0.000000,32.000000,14.720000,43.340000,96.320000,11.560000,32.000000,24.080000,48.160000,21.190000,37.210000,0,0,0,2249.51

83,20:30-20:45,0.880000,0.670000,0.000000,47.640000,37.210000,33.440000,24.080000,48.160000,0.000000,0.000000,38.530000,0.970000,0.520000,96.320000,96.320000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,0.000000,0.000000,24.080000,0.000000,48.160000,240.800000,0.360000,12.410000,12.410000,66.640000,14.530000,0.000000,192.640000,96.320000,48.160000,0.610000,24.000000,2.890000,0.870000,0.000000,0.880000,0.000000,48.160000,0.480000,83.970000,0.000000,1.930000,90.540000,24.080000,96.320000,0.000000,32.000000,14.720000,43.340000,96.320000,10.600000,32.000000,24.080000,48.160000,21.190000,37.210000,0,0,0,2247.45

84,20:45-21:00,0.880000,0.670000,0.000000,47.640000,37.210000,32.020000,24.080000,48.160000,0.000000,0.000000,38.530000,0.970000,0.520000,96.320000,96.320000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,0.000000,0.000000,24.080000,0.000000,48.160000,240.800000,0.360000,12.410000,12.410000,66.640000,14.530000,0.000000,192.640000,96.320000,48.160000,0.610000,24.000000,2.890000,0.870000,0.000000,0.880000,0.000000,48.160000,0.480000,83.970000,0.000000,1.930000,90.540000,24.080000,96.320000,0.000000,32.000000,14.720000,43.340000,96.320000,10.600000,32.000000,24.080000,48.160000,21.190000,37.210000,0,0,0,2246.03

85,21:00-21:15,0.880000,0.670000,0.000000,47.640000,37.210000,33.570000,24.080000,48.160000,0.000000,0.000000,38.530000,0.970000,0.520000,96.320000,96.320000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,0.000000,0.000000,24.080000,0.000000,48.160000,240.800000,0.360000,12.410000,12.410000,66.640000,14.530000,0.000000,192.640000,96.320000,48.160000,0.610000,24.000000,2.890000,0.870000,0.000000,0.880000,0.000000,48.160000,0.480000,83.970000,0.000000,1.930000,90.540000,24.080000,96.320000,0.000000,32.000000,14.720000,43.340000,96.320000,10.600000,32.000000,24.080000,48.160000,21.190000,37.210000,0,0,0,2247.58

86,21:15-21:30,0.880000,0.670000,0.000000,47.640000,37.210000,32.800000,24.080000,48.160000,0.000000,0.000000,38.530000,0.970000,0.520000,96.320000,96.320000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,0.000000,0.000000,24.080000,0.000000,48.160000,240.800000,0.360000,12.410000,12.410000,66.640000,14.530000,0.000000,192.640000,96.320000,48.160000,0.610000,24.000000,2.890000,0.870000,0.000000,0.880000,0.000000,48.160000,0.480000,83.970000,0.000000,1.930000,90.540000,24.080000,96.320000,0.000000,32.000000,14.720000,43.340000,96.320000,10.600000,32.000000,24.080000,48.160000,21.190000,37.210000,0,0,0,2246.81

87,21:30-21:45,0.880000,0.670000,0.000000,47.640000,37.210000,35.460000,24.080000,48.160000,0.000000,0.000000,38.530000,0.970000,0.520000,96.320000,96.320000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,0.000000,0.000000,24.080000,0.000000,48.160000,240.800000,0.360000,12.410000,12.410000,66.640000,14.530000,0.000000,192.640000,96.320000,48.160000,0.610000,24.000000,2.890000,0.870000,0.000000,0.880000,0.000000,48.160000,0.480000,83.970000,0.000000,1.930000,90.540000,24.080000,96.320000,0.000000,32.000000,14.720000,43.340000,96.320000,10.600000,32.000000,24.080000,48.160000,21.190000,37.210000,0,0,0,2249.47

88,21:45-22:00,0.880000,0.670000,0.000000,47.640000,37.210000,37.280000,24.080000,48.160000,0.000000,0.000000,38.530000,0.970000,0.520000,96.320000,96.320000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,0.000000,0.000000,24.080000,0.000000,48.160000,240.800000,0.360000,12.410000,12.410000,66.640000,14.530000,0.000000,192.640000,96.320000,48.160000,0.610000,24.000000,2.890000,0.870000,0.000000,0.880000,0.000000,48.160000,0.480000,83.970000,0.000000,1.930000,90.540000,24.080000,96.320000,0.000000,32.000000,14.720000,43.340000,96.320000,10.600000,32.000000,24.080000,48.160000,21.190000,37.210000,0,0,0,2251.29

89,22:00-22:15,0.880000,0.670000,0.000000,47.640000,37.210000,39.500000,24.080000,48.160000,0.000000,0.000000,38.530000,0.970000,0.520000,96.320000,96.320000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,12.180000,0.000000,24.080000,0.000000,48.160000,240.800000,0.360000,12.410000,12.410000,66.640000,14.530000,36.120000,192.640000,96.320000,48.160000,0.610000,24.000000,2.890000,0.870000,0.000000,0.880000,12.040000,48.160000,0.480000,83.970000,0.000000,1.930000,90.540000,24.080000,96.320000,0.000000,32.000000,14.720000,43.340000,96.320000,10.600000,32.000000,24.080000,48.160000,21.190000,37.210000,0,0,0,2313.85

90,22:15-22:30,0.880000,0.670000,0.000000,47.640000,37.210000,38.540000,24.080000,48.160000,0.000000,0.000000,38.530000,0.970000,0.520000,96.320000,96.320000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,12.180000,0.000000,24.080000,0.000000,48.160000,240.800000,0.360000,12.410000,12.410000,66.640000,14.530000,36.120000,192.640000,96.320000,48.160000,0.610000,24.000000,2.890000,0.870000,0.000000,0.880000,12.040000,48.160000,0.480000,83.970000,0.000000,1.930000,90.540000,24.080000,96.320000,0.000000,32.000000,14.720000,43.340000,96.320000,10.600000,32.000000,24.080000,48.160000,21.190000,37.210000,0,0,0,2312.89

91,22:30-22:45,0.880000,0.670000,0.000000,47.640000,37.210000,37.470000,24.080000,48.160000,0.000000,0.000000,38.530000,0.970000,0.520000,96.320000,96.320000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,12.180000,0.000000,24.080000,0.000000,48.160000,240.800000,0.360000,12.410000,12.410000,66.640000,14.530000,36.120000,192.640000,96.320000,48.160000,0.610000,24.000000,2.890000,0.870000,0.000000,0.880000,12.040000,48.160000,0.480000,83.970000,0.000000,1.930000,90.540000,24.080000,96.320000,0.000000,32.000000,14.720000,67.420000,96.320000,10.600000,32.000000,24.080000,48.160000,21.190000,37.210000,0,0,0,2335.9

92,22:45-23:00,0.880000,0.670000,0.000000,47.640000,37.210000,35.270000,24.080000,48.160000,0.000000,0.000000,38.530000,0.970000,0.520000,96.320000,96.320000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,12.180000,0.000000,24.080000,0.000000,48.160000,240.800000,0.360000,12.410000,12.410000,66.640000,14.530000,36.120000,192.640000,96.320000,48.160000,0.610000,24.000000,2.890000,0.870000,0.000000,0.880000,12.040000,48.160000,0.480000,83.970000,0.000000,1.930000,90.540000,24.080000,96.320000,0.000000,32.000000,14.720000,67.420000,96.320000,10.600000,32.000000,24.080000,48.160000,21.190000,37.210000,0,0,0,2333.7

93,23:00-23:15,0.880000,0.670000,0.000000,47.640000,37.210000,37.760000,24.080000,48.160000,0.000000,0.000000,38.530000,0.970000,0.520000,96.320000,96.320000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,12.180000,0.000000,24.080000,0.000000,48.160000,240.800000,0.360000,12.410000,12.410000,66.640000,14.530000,36.120000,192.640000,96.320000,48.160000,0.610000,24.000000,2.890000,0.820000,0.000000,0.880000,12.040000,48.160000,0.480000,83.970000,0.000000,1.930000,90.540000,24.080000,96.320000,0.000000,32.000000,14.720000,67.420000,96.320000,9.630000,32.000000,24.080000,48.160000,21.190000,37.210000,0,0,0,2335.17

94,23:15-23:30,0.880000,0.670000,0.000000,47.640000,37.210000,37.880000,24.080000,48.160000,0.000000,0.000000,38.530000,0.970000,0.520000,96.320000,96.320000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,12.180000,0.000000,24.080000,0.000000,48.160000,240.800000,0.360000,12.410000,12.410000,66.640000,14.530000,36.120000,192.640000,96.320000,48.160000,0.610000,24.000000,2.890000,0.820000,0.000000,0.880000,12.040000,48.160000,0.480000,83.970000,0.000000,1.930000,90.540000,24.080000,96.320000,0.000000,32.000000,14.720000,67.420000,96.320000,9.630000,32.000000,24.080000,48.160000,21.190000,37.210000,0,0,0,2335.29

95,23:30-23:45,0.880000,0.670000,0.000000,47.640000,37.210000,40.440000,24.080000,48.160000,0.000000,0.000000,38.530000,0.970000,0.520000,96.320000,96.320000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,12.180000,0.000000,24.080000,0.000000,48.160000,240.800000,0.360000,12.410000,12.410000,66.640000,14.530000,36.120000,192.640000,96.320000,48.160000,0.610000,24.000000,2.890000,0.820000,0.000000,0.880000,12.040000,48.160000,0.480000,83.970000,0.000000,1.930000,90.540000,24.080000,96.320000,0.000000,32.000000,14.720000,67.420000,96.320000,9.630000,32.000000,24.080000,48.160000,21.190000,37.210000,0,0,0,2337.85

96,23:45-24:00,0.880000,0.670000,0.000000,47.640000,37.210000,40.170000,24.080000,48.160000,0.000000,0.000000,38.530000,0.970000,0.520000,96.320000,96.320000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,12.180000,0.000000,24.080000,0.000000,48.160000,240.800000,0.360000,12.410000,12.410000,66.640000,14.530000,36.120000,192.640000,96.320000,48.160000,0.610000,24.000000,2.890000,0.820000,0.000000,0.880000,12.040000,48.160000,0.480000,83.970000,0.000000,1.930000,90.540000,24.080000,96.320000,0.000000,32.000000,14.720000,67.420000,96.320000,9.630000,32.000000,24.080000,48.160000,21.190000,37.210000,0,0,0,2337.58

