Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/31136/A/89015,NR/2025/31137/A/89018,NR/2025/31136/A/89014,NR/2025/31347/A/88566,NR/2025/31138/A/89021,NR/2025/31138/A/89020,NR/2025/31137/A/89019,NR/2025/31571/C,NR/2025/31557/C,NR/2025/31515/C,NR/2025/31578/C,NR/2025/31563/C,NR/2025/31521/C,NR/2025/31579/C,NR/2025/31625/C,NR/2025/29985/A/88970,NR/2025/31419/A/89017,NR/2025/31420/A/89016,NR/2025/29353/A/89088,SR/2025/18628/C,NR/2025/30121/A/88570,NR/2025/30082/A/89081,NR/2025/29167/A/88629,NR/2025/30083/A/89070,NR/2025/30086/A/89067,NR/2025/30067/A/89153,NR/2025/27975/A/89062,NR/2025/29439/A/88691,NR/2025/30084/A/89068,NR/2025/27973/A/89061,NR/2025/30191/A/88567,NR/2025/31126/A/88683,NR/2025/30105/A/89066,NR/2025/27965/A/89059,NR/2025/29440/A/88552,NR/2025/26975/A/89078,NR/2025/27966/A/89060,NR/2025/28728/A/89048,NR/2025/31627/C,NR/2025/31631/C,NR/2025/29352/A/89089,NR/2025/31593/C,NR/2025/31622/C,NR/2025/31628/C,NR/2025/30101/A/89132,NR/2025/29628/A/89075,NR/2025/29915/A/88627,NR/2025/31622/C/Alternate/1,NR/2025/30217/A/89065,NR/2025/31339/A/88968,NR/2025/27978/A/89133,NR/2025/31632/C,NR/2025/31633/C,NR/2025/31618/C,NR/2025/31634/C,NR/2025/29910/A/89073,NR/2025/31619/C,NR/2025/31635/C,NR/2025/29992/A/88557,GNA/NR/2025/07/16/7255,GNA/SR/2025/07/16/9521,GNA/NR/2025/07/01/1192,NR/30092023/26122029/SH-06,GNA/NR/2025/07/01/8139,GNA/NR/2025/07/01/2786,NR/30092023/31122025/SH-07,GNA/NR/2025/07/16/5917,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/01/8154,NR/01082024/19092033/Chanju/TPDDL/01082024,Total
92,22:45-23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.72,57.68,6.73,48.07,54.08,14.57,37.15,0,96.14,25.07,43.7,0,48.07,12.5,29.13,0,0.91,25.96,96.14,81.72,0,0,28.6,0,192.28,0,48.07,105.75,0,0,7.69,134.6,96.14,0,0,0,0,19.23,0,0,44.22,163.44,35,0,29,134.84,43.7,29,81.72,0,0,20.74,17.57,1990.93

93,23:00-23:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.72,52.88,6.73,48.07,54.08,14.57,37.15,0,96.14,25.07,43.7,0,48.07,12.5,29.13,0,0.91,25.96,96.14,81.72,0,0,28.6,0,192.28,0,48.07,105.75,0,0,7.69,134.6,96.14,0,0,0,0,19.23,0,0,44.22,163.44,35,0,29,134.84,43.7,29,81.72,0,0,20.74,17.3,1985.86

94,23:15-23:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.72,48.07,6.73,48.07,54.08,14.57,37.15,0,96.14,25.07,43.7,0,48.07,12.5,29.13,0,0.91,25.96,96.14,81.72,0,0,28.6,0,192.28,0,48.07,105.75,0,0,7.69,134.6,96.14,0,0,0,0,19.23,0,0,44.22,163.44,35,0,29,134.84,43.7,29,81.72,0,0,20.74,17.3,1981.05

95,23:30-23:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.72,48.07,6.73,48.07,54.08,14.57,37.15,0,96.14,25.07,43.7,0,48.07,12.5,29.13,0,0.91,25.96,96.14,81.72,0,0,28.6,0,192.28,0,48.07,105.75,0,0,7.69,134.6,96.14,0,0,0,0,19.23,0,0,44.22,163.44,35,0,29,134.84,43.7,29,81.72,0,0,20.74,17.3,1981.05

96,23:45-24:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.72,48.07,6.73,48.07,54.08,14.57,37.15,0,96.14,25.07,43.7,0,48.07,12.5,29.13,0,0.91,26.1,96.14,81.72,0,0,28.6,0,192.28,0,48.07,105.75,0,0,7.69,134.6,96.14,0,0,0,0,19.23,0,0,44.22,163.44,35,0,29,134.84,43.7,29,81.72,0,0,20.74,17.3,1981.19

