Column1,Block,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/16/8791,GNA/NR/2025/06/20/3628,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/16/6051,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/9257,NR/2025/29816/A/83924,NR/2025/30192/C,NR/2025/27167/A/84036,NR/2025/28719/A/83930,NR/2025/30177/C,NR/2025/27725/A/84215,NR/2025/26952/A/83896,NR/2025/26975/A/84219,NR/2025/30156/C,NR/2025/30178/C,NR/2025/30102/C,NR/2025/26777/A/83910,NR/2025/26785/A/83818,NR/2025/26445/A/84391,NR/2025/30178/C/Alternate/1,NR/2025/30107/C,NR/2025/26860/A/84265,NR/2025/26562/A/84274,NR/2025/26566/A/84280,NR/2025/30115/C,NR/2025/30140/C,NR/2025/27281/A/84392,NR/2025/30116/C,NR/2025/27176/A/84209,NR/2025/27157/A/83925,NR/2025/26572/A/84284,NR/2025/30149/C,NR/2025/30117/C,NR/2025/27100/A/83919,NR/2025/26571/A/84282,NR/2025/27088/A/84387,NR/2025/26889/A/84335,NR/2025/30190/C,NR/2025/27728/A/84213,NR/2025/30186/C,NR/2025/27726/A/84214,NR/2025/27499/A/84334,NR/2025/26085/A/83814,NR/2025/29451/A/84204,NR/2025/30165/C,NR/2025/27168/A/84038,NR/2025/27506/A/83816,NR/2025/27727/A/84212,NR/2025/30153/C,NR/2025/27782/A/84211,NR/2025/30187/C,NR/2025/27242/A/83981,NR/2025/26565/A/84279,NR/2025/30188/C,NR/2025/27500/A/83817,NR/2025/28774/A/83811,NR/2025/27187/A/84217,NR/2025/30023/C,NR/2025/27185/A/84218,NR/2025/30014/C,GNARE/NR/2024/12/20/3668,NR/2025/30213/C,NR/2025/27356/A/84206,NR/2025/26861/A/84298,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,Total
84,20:45-21:00,20.54,41.07,20.54,11.91,11.92,0,20.85,53.39,41.07,0,29.17,0,41.07,20.54,0,0,20.54,13.53,28.03,8.78,0,27.06,0,0,0,164.29,0,96.64,164.53,0,90.36,144.96,144.96,0,0,24.88,0,76.94,217.44,144.96,0,0,25.2,0,164.29,5.8,0,26.35,0,26.35,8.7,0.92,96.64,0,20.54,1.93,26.35,0,7.73,0,41.07,0,0,7.73,0,19.33,0,19.33,0,0,0,0,164.29,18.31,29,29,2418.83

85,21:00-21:15,20.54,41.07,20.54,11.91,11.92,0,20.85,53.39,41.07,0,29.17,0,41.07,20.54,0.97,0,20.54,12.56,28.03,8.78,0,27.06,0,0,0,164.29,0,96.64,164.53,0,90.36,144.96,144.96,0,0,24.88,0,106.3,217.44,144.96,0,0,25.2,0,164.29,5.8,0,26.35,0,26.35,8.7,0.92,96.64,0,20.54,1.93,26.35,0,7.73,0,41.07,0,0,7.73,0,19.33,0,19.33,0,0,0,0,164.29,18.31,29,29,2448.1899999999996

86,21:15-21:30,20.54,41.07,20.54,11.91,11.92,0,20.85,53.39,41.07,0,29.17,0,41.07,20.54,0.97,0,20.54,12.56,28.03,8.78,0,27.06,0,0,0,164.29,0,96.64,164.53,0,90.36,144.96,144.96,0,0,24.88,0,106.3,217.44,144.96,0,0,25.2,0,164.29,5.8,0,26.35,0,26.35,8.7,0.92,96.64,0,20.54,1.93,26.35,0,7.73,0,41.07,0,0,7.73,0,19.33,0,19.33,0,0,0,0,164.29,18.31,29,29,2448.1899999999996

87,21:30-21:45,20.54,41.07,20.54,11.91,11.92,0,20.85,53.39,41.07,0,29.17,0,41.07,20.54,0.97,0,20.54,12.56,28.03,8.78,0,27.06,0,0,0,164.29,0,96.64,164.53,0,90.36,144.96,144.96,0,0,24.88,0,106.3,217.44,144.96,0,0,25.2,0,164.29,5.8,0,26.35,0,26.35,8.7,0.92,96.64,0,20.54,1.93,26.35,0,7.73,0,41.07,0,0,7.73,0,19.33,0,19.33,0,0,0,0,164.29,18.31,29,29,2448.1899999999996

88,21:45-22:00,20.54,41.07,20.54,11.91,11.92,0,20.85,53.39,41.07,0,29.17,0,41.07,20.54,0.97,0,20.54,12.56,28.03,8.78,0,27.06,0,0,0,164.29,0,96.64,164.53,0,90.36,144.96,144.96,0,0,24.88,0,106.3,217.44,144.96,0,0,25.2,0,164.29,5.8,0,26.35,0,26.35,8.7,0.92,96.64,0,20.54,1.93,26.35,0,7.73,0,41.07,0,0,7.73,0,19.33,0,19.33,0,0,0,0,164.29,18.31,29,29,2448.1899999999996

89,22:00-22:15,20.54,41.07,20.54,11.91,11.92,0,20.85,53.39,41.07,0,29.17,0,41.07,20.54,1.93,0,20.54,11.6,28.03,8.78,0,27.06,0,0,0,164.29,0,96.64,164.53,0,90.36,144.96,144.96,0,0,24.88,0,106.3,217.44,144.96,0,0,25.2,0,164.29,5.8,0,26.35,0,26.35,8.7,0.82,96.64,0,20.54,1.93,26.35,0,7.73,0,41.07,0,0,7.73,0,19.33,0,19.33,0,0,0,0,164.29,17.85,29,29,2447.6299999999997

90,22:15-22:30,20.54,41.07,20.54,11.91,11.92,0,20.85,53.39,41.07,0,29.17,0,41.07,20.54,1.93,0,20.54,11.6,28.03,8.78,0,27.06,0,0,0,164.29,0,96.64,164.53,0,90.36,144.96,144.96,0,0,24.88,0,106.3,217.44,144.96,0,0,25.2,0,164.29,5.8,0,26.35,0,26.35,8.7,0.82,96.64,0,20.54,1.93,26.35,0,7.73,0,41.07,0,0,7.73,0,19.33,0,19.33,0,0,0,0,164.29,17.85,29,29,2447.6299999999997

91,22:30-22:45,20.54,41.07,20.54,11.91,11.92,0,20.85,53.39,41.07,0,29.17,0,41.07,20.54,1.93,0,20.54,11.6,28.03,8.78,0,27.06,0,0,0,164.29,0,96.64,164.53,0,90.36,144.96,144.96,0,0,24.88,0,106.3,217.44,144.96,0,0,25.2,0,164.29,5.8,0,26.35,0,26.35,8.7,0.82,96.64,0,20.54,1.93,26.35,0,7.73,0,41.07,0,0,7.73,0,19.33,0,19.33,0,0,0,0,164.29,17.85,29,29,2447.6299999999997

92,22:45-23:00,20.54,41.07,20.54,11.91,11.92,0,20.85,53.39,41.07,0,29.17,0,41.07,20.54,1.93,0,20.54,11.6,28.03,8.78,0,27.06,0,0,0,164.29,0,96.64,164.53,0,90.36,144.96,144.96,0,0,24.88,0,106.3,217.44,144.96,0,0,25.2,0,164.29,5.8,0,26.35,0,26.35,8.7,0.82,96.64,0,20.54,1.93,26.35,0,7.73,0,41.07,0,0,7.73,0,19.33,0,19.33,0,0,0,0,164.29,17.85,29,29,2447.6299999999997

93,23:00-23:15,20.54,41.07,20.54,11.91,11.92,0,20.85,53.39,41.07,0,29.17,0,41.07,20.54,2.9,0,20.54,10.63,28.03,8.78,0,27.06,0,0,0,164.29,0,96.64,0,0,90.36,144.96,144.96,0,0,24.88,0,106.3,217.44,144.96,0,0,25.2,0,164.29,5.8,0,26.35,0,26.35,8.7,0.77,96.64,0,20.54,1.93,26.35,0,7.73,0,41.07,0,0,7.73,0,19.33,0,19.33,0,0,0,0,164.29,17.39,29,29,2282.5899999999997

94,23:15-23:30,20.54,41.07,20.54,11.91,11.92,0,20.85,53.39,41.07,0,29.17,0,41.07,20.54,2.9,0,20.54,10.63,28.03,8.78,0,27.06,0,0,0,164.29,0,96.64,164.53,0,90.36,144.96,144.96,0,0,24.88,0,106.3,217.44,144.96,0,0,25.2,0,164.29,5.8,0,26.35,0,26.35,8.7,0.77,96.64,0,20.54,1.93,26.35,0,7.73,0,41.07,0,0,7.73,0,19.33,0,19.33,0,0,0,0,164.29,17.39,29,29,2447.1199999999994

95,23:30-23:45,20.54,41.07,20.54,11.91,11.92,0,20.85,53.39,41.07,0,29.17,0,41.07,20.54,2.9,0,20.54,10.63,28.03,8.78,0,27.06,0,0,0,164.29,0,96.64,0,0,90.36,144.96,144.96,0,0,24.88,0,106.3,217.44,144.96,0,0,25.2,0,164.29,5.8,0,26.35,0,26.35,8.7,0.77,96.64,0,20.54,1.93,26.35,0,7.73,0,41.07,0,0,7.73,0,19.33,0,19.33,0,0,0,0,164.29,17.39,29,29,2282.5899999999997

96,23:45-24:00,20.54,41.07,20.54,12.18,11.92,0,20.85,53.39,41.07,0,29.17,0,41.07,20.54,2.9,0,20.54,10.63,28.03,8.78,0,27.06,0,0,0,164.29,0,96.64,0,0,90.36,144.96,144.96,0,0,24.88,0,106.3,217.44,144.96,0,0,25.2,0,164.29,5.8,0,26.35,0,26.35,8.7,0.77,96.64,0,20.54,1.93,26.35,0,7.73,0,41.07,0,0,7.73,0,19.33,0,19.33,0,0,0,0,164.29,17.39,29,29,2282.8599999999997

