Time,Block,NR/2024/19791/A/22753,NR/2024/20838/C,NR/2024/20524/A/22696,NR/2024/20516/A/22463,NR/2024/19757/A/22764,NR/2024/19640/A/22801,NR/2024/19760/A/22412,NR/2024/19988/A/22413,NR/2024/19919/A/22747,NR/2024/20557/A/22760,NR/2024/19642/A/22798,NR/2024/19683/A/22343,NR/2024/20212/A/22459,NR/2024/20553/A/22306,NR/2024/20597/A/22690,NR/2024/20515/A/22464,NR/2024/20142/A/22461,NR/2024/20837/C,NR/2024/20211/A/22458,NR/2024/20109/A/22859,NR/2024/20090/A/22310,NR/2024/20537/A/22858,NR/2024/19637/A/22437,NR/2024/20144/A/22460,NR/2024/20560/A/22758,NR/2024/20540/A/22192,NR/2024/20041/A/22687,NR/2024/20786/C,NR/2024/19779/A/22397,NR/2024/19918/A/22749,NR/2024/20598/A/22417,NR/2024/20599/A/22416,NR/2024/19355/A/22860,NR/2024/19432/A/22766,NR/2024/20513/A/22465,NR/2024/20050/A/22691,NR/2024/20141/A/22462,NR/2024/20572/A/22757,NR/2024/20554/A/22334,NR/2024/20048/A/22692,NR/2024/20037/A/22414,NR/2024/19978/A/22751,NR/2024/20836/C,NR/2024/19588/A/22475,NR/2024/20552/A/22307,NR/2024/20851/C,NR/2024/19475/A/22665,NR/2024/19966/A/22433,NR/2024/19699/A/22767,NR/2024/20558/A/22759,NR/2024/20130/A/22646,NR/2024/20854/C,Total
87,21:30-21:45,64.800000,0.000000,19.320000,0.980000,48.670000,90.800000,0.000000,96.600000,48.300000,10.970000,0.000000,1.930000,0.610000,48.300000,0.000000,0.880000,0.520000,0.000000,1.590000,241.500000,1.930000,0.000000,0.000000,0.880000,32.930000,11.590000,0.000000,0.000000,0.770000,13.520000,0.000000,0.000000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,0,66.840000,28.980000,0.000000,193.200000,0.000000,48.300000,32.930000,0.480000,130.410000,1549.91

88,21:45-22:00,64.800000,0.000000,19.320000,0.980000,48.670000,90.800000,0.000000,96.600000,48.300000,10.970000,0.000000,1.930000,0.610000,48.300000,0.000000,0.880000,0.520000,5.250000,1.590000,241.500000,1.930000,0.000000,0.000000,0.880000,32.930000,11.590000,0.000000,0.000000,0.770000,13.520000,0.000000,0.000000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,0,66.840000,28.980000,0.000000,193.200000,0.000000,48.300000,32.930000,0.480000,130.410000,1555.16

89,22:00-22:15,64.800000,0.000000,19.320000,0.980000,48.670000,90.800000,0.000000,96.600000,48.300000,10.970000,0.000000,1.930000,0.610000,48.300000,0.000000,0.880000,0.520000,44.010000,1.590000,241.500000,1.930000,0.000000,0.000000,0.880000,32.930000,8.690000,0.000000,0.000000,0.720000,13.520000,0.000000,0.000000,96.600000,24.150000,0.680000,144.900000,0.350000,32.930000,0.000000,48.300000,72.450000,84.220000,0,66.840000,28.980000,0.000000,193.200000,0.000000,48.300000,32.930000,0.480000,130.410000,1784.17

90,22:15-22:30,64.800000,0.000000,19.320000,0.980000,48.670000,90.800000,0.000000,96.600000,48.300000,10.970000,0.000000,1.930000,0.610000,48.300000,0.000000,0.880000,0.520000,87.370000,1.590000,241.500000,1.930000,0.000000,0.000000,0.880000,32.930000,8.690000,0.000000,0.000000,0.720000,13.520000,0.000000,0.000000,96.600000,24.150000,0.680000,144.900000,0.350000,32.930000,0.000000,48.300000,72.450000,84.220000,0,66.840000,28.980000,0.000000,193.200000,0.000000,48.300000,32.930000,0.480000,130.410000,1827.53

91,22:30-22:45,64.800000,0.000000,19.320000,0.980000,48.670000,90.800000,0.000000,96.600000,309.120000,10.970000,0.000000,1.930000,0.610000,48.300000,0.000000,0.880000,0.520000,66.330000,1.590000,241.500000,1.930000,0.000000,0.000000,0.880000,32.930000,8.690000,0.000000,0.000000,0.720000,13.520000,0.000000,0.000000,96.600000,24.150000,0.680000,144.900000,0.350000,32.930000,0.000000,48.300000,72.450000,84.220000,0,66.840000,28.980000,0.000000,193.200000,0.000000,48.300000,32.930000,0.480000,130.410000,2067.31

92,22:45-23:00,64.800000,0.000000,19.320000,0.980000,48.670000,90.800000,0.000000,96.600000,309.120000,10.970000,0.000000,1.930000,0.610000,48.300000,0.000000,0.880000,0.520000,39.870000,1.590000,241.500000,1.930000,0.000000,0.000000,0.880000,32.930000,8.690000,0.000000,0.000000,0.720000,13.520000,0.000000,0.000000,96.600000,24.150000,0.680000,144.900000,0.350000,32.930000,0.000000,48.300000,72.450000,84.220000,0,66.840000,28.980000,0.000000,193.200000,0.000000,48.300000,32.930000,0.480000,130.410000,2040.85

93,23:00-23:15,64.800000,0.000000,19.320000,0.980000,48.670000,90.800000,0.000000,96.600000,309.120000,10.970000,0.000000,1.930000,0.610000,48.300000,0.000000,0.880000,0.520000,0.000000,1.590000,241.500000,1.930000,0.000000,0.000000,0.880000,32.930000,8.690000,0.000000,0.000000,0.630000,13.520000,0.000000,0.000000,96.600000,24.150000,0.680000,144.900000,0.350000,32.930000,0.000000,48.300000,72.450000,84.220000,0,66.840000,28.980000,0.000000,193.200000,0.000000,48.300000,32.930000,0.480000,130.410000,2000.89

94,23:15-23:30,64.800000,0.000000,19.320000,0.980000,48.670000,90.800000,0.000000,96.600000,309.120000,10.970000,0.000000,1.930000,0.610000,48.300000,0.000000,0.880000,0.520000,0.000000,1.590000,241.500000,1.930000,0.000000,0.000000,0.880000,32.930000,8.690000,0.000000,0.000000,0.630000,13.520000,0.000000,0.000000,96.600000,24.150000,0.680000,144.900000,0.350000,32.930000,0.000000,48.300000,72.450000,84.220000,0,66.840000,28.980000,0.000000,193.200000,0.000000,48.300000,32.930000,0.480000,130.410000,2000.89

95,23:30-23:45,64.800000,0.000000,19.320000,0.980000,48.670000,90.800000,0.000000,96.600000,309.120000,10.970000,0.000000,1.930000,0.610000,48.300000,0.000000,0.880000,0.520000,0.000000,1.590000,241.500000,1.930000,0.000000,0.000000,0.880000,32.930000,8.690000,0.000000,0.000000,0.630000,13.520000,0.000000,0.000000,96.600000,24.150000,0.680000,144.900000,0.350000,32.930000,0.000000,48.300000,72.450000,84.220000,0,66.840000,28.980000,0.000000,193.200000,0.000000,48.300000,32.930000,0.480000,130.410000,2000.89

96,23:45-24:00,64.800000,0.000000,19.320000,0.980000,48.670000,90.800000,0.000000,96.600000,309.120000,10.970000,0.000000,1.930000,0.610000,48.300000,0.000000,0.880000,0.520000,0.000000,1.590000,241.500000,1.930000,0.000000,0.000000,0.880000,32.930000,8.690000,0.000000,0.000000,0.630000,13.520000,0.000000,0.000000,96.600000,24.150000,0.680000,144.900000,0.350000,32.930000,0.000000,48.300000,72.450000,84.220000,0,66.840000,28.980000,0.000000,193.200000,0.000000,48.300000,32.930000,0.480000,130.410000,2000.89

