Time,Block,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/16072024/31072024/NR/16072024/31072024/717758,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/20931/A/27327,NR/2024/21096/A/27384,NR/2024/21076/A/27411,NR/30092023/31122025/SH-07,NR/2024/21183/A/27415,NR/2024/21572/C,NR/2024/20688/A/27153,NR/01102023/23072042/L_NR_2012_04,NR/01072024/31072024/R2,NR/2024/21568/C,NR/2024/21496/A/27376,NR/2024/21146/A/27168,NR/2024/21108/A/27379,NR/2024/21199/A/27141,NR/2024/21227/A/27380,NR/2024/21153/A/27172,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/2024/20966/A/27085,NR/2024/21543/C,NR/2024/21152/A/27084,NR/2024/21150/A/27167,NR/2024/21542/C,NR/2024/21571/C,NR/2024/21558/C,NR/2024/21023/A/27142,NR/2024/21072/A/27397,NR/2024/21087/A/27152,NR/2024/21142/A/27116,NR/16072024/16072024/IEX_240715_01547,NR/2024/21144/A/27138,NR/2024/20711/A/27446,NR/2024/21099/A/27118,NR/2024/21570/C,NR/2024/21103/A/27381,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/20573/A/27369,NR/2024/21549/C,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/21156/A/27171,NR/2024/20574/A/27368,NR/2024/21113/A/27395,NR/30092023/26122029/SH-06,NR/2024/21141/A/27117,NR/2024/21210/A/27115,NR/2024/21148/A/27166,NR/2024/21545/C,NR/2024/21500/A/27139,NR/2024/21186/A/27406,NR/2024/21173/A/27150,NR/16072024/16072024/DD20240716NR25607,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/2024/21089/A/27396,NR/2024/21160/A/27169,NR/2024/21158/A/27165,NR/2024/21238/A/27417,NR/2024/21555/C,NR/2024/21062/A/27362,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21339/A/27113,NR/2024/21075/A/27416,NR/2024/21485/A/27445,NR/2024/21159/A/27170,NR/2024/21565/C,NR/2024/19779/A/27094,NR/2024/21544/C,NR/01102023/02012046/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,Total
59,14:30-14:45,6.940000,11.740000,0.000000,0.000000,48.020000,24.010000,90.280000,23.600000,21.130000,0.000000,66.450000,0.000000,0.000000,0.000000,0.000000,0.360000,23.930000,55.210000,0.000000,1.580000,0.000000,0.000000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,96.040000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,37.100000,23.600000,0.000000,48.020000,0.520000,7.200000,9.600000,48.020000,24.010000,0.000000,0.000000,37.100000,0.970000,0.670000,2.880000,0.000000,24.010000,14.950000,96.040000,11.670000,240.100000,0.870000,0.000000,0.960000,3.73,0,0,1614.26

60,14:45-15:00,6.940000,11.740000,0.000000,0.000000,48.020000,24.010000,90.280000,23.600000,21.130000,0.000000,66.450000,0.000000,0.000000,0.000000,0.000000,0.360000,23.930000,55.210000,0.000000,1.580000,0.000000,0.000000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,96.040000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,37.100000,23.600000,0.000000,48.020000,0.520000,7.200000,9.600000,48.020000,24.010000,0.000000,0.000000,37.100000,0.970000,0.670000,2.880000,0.000000,24.010000,14.950000,96.040000,11.670000,240.100000,0.870000,0.000000,0.960000,3.5,0,0,1614.03

61,15:00-15:15,6.940000,9.900000,0.000000,0.000000,48.020000,24.010000,90.280000,23.600000,21.130000,0.000000,66.450000,0.000000,0.000000,0.000000,0.000000,0.360000,23.930000,55.210000,0.000000,1.580000,0.000000,0.000000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,96.040000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,37.100000,23.600000,0.000000,48.020000,0.520000,7.200000,10.560000,48.020000,24.010000,0.000000,0.000000,37.100000,0.970000,0.670000,2.880000,0.000000,24.010000,14.950000,96.040000,11.670000,240.100000,0.870000,0.000000,0.960000,1.85,0,0,1611.5

62,15:15-15:30,6.940000,9.900000,0.000000,0.000000,48.020000,24.010000,90.280000,23.600000,21.130000,0.000000,66.450000,0.000000,0.000000,0.000000,0.000000,0.360000,23.930000,55.210000,0.000000,1.580000,0.000000,0.000000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,96.040000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,37.100000,23.600000,0.000000,48.020000,0.520000,7.200000,10.560000,48.020000,24.010000,0.000000,0.000000,37.100000,0.970000,0.670000,2.880000,0.000000,24.010000,14.950000,96.040000,11.670000,240.100000,0.870000,0.000000,0.960000,2.49,0,0,1612.14

63,15:30-15:45,6.940000,9.900000,0.000000,0.000000,48.020000,24.010000,90.280000,23.600000,21.130000,0.000000,66.450000,0.000000,0.000000,0.000000,0.000000,0.360000,23.930000,55.210000,0.000000,1.580000,0.000000,0.000000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,96.040000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,37.100000,23.600000,0.000000,48.020000,0.520000,7.200000,10.560000,48.020000,24.010000,0.000000,0.000000,37.100000,0.970000,0.670000,2.880000,0.000000,24.010000,14.950000,96.040000,11.670000,240.100000,0.870000,0.000000,0.960000,1.81,0,0,1611.46

64,15:45-16:00,6.940000,9.900000,0.000000,0.000000,48.020000,24.010000,90.280000,23.600000,21.130000,0.000000,66.450000,0.000000,0.000000,0.000000,0.000000,0.360000,23.930000,55.210000,0.000000,1.580000,0.000000,0.000000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,96.040000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,37.100000,23.600000,0.000000,48.020000,0.520000,7.200000,10.560000,48.020000,24.010000,0.000000,0.000000,37.100000,0.970000,0.670000,2.880000,0.000000,24.010000,14.950000,96.040000,11.670000,240.100000,0.870000,0.000000,0.960000,1.82,0,0,1611.47

65,16:00-16:15,6.940000,9.900000,0.000000,0.000000,48.020000,24.010000,90.280000,23.600000,21.130000,0.000000,66.450000,0.000000,0.000000,0.000000,0.000000,0.360000,23.930000,55.210000,0.000000,1.580000,0.000000,0.000000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,96.040000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,37.100000,23.600000,0.000000,48.020000,0.520000,7.200000,10.560000,48.020000,24.010000,0.000000,0.000000,37.100000,0.970000,0.670000,2.880000,0.000000,24.010000,14.950000,96.040000,11.670000,240.100000,0.870000,0.000000,0.820000,1.73,0,0,1611.24

66,16:15-16:30,6.940000,9.900000,0.000000,0.000000,48.020000,24.010000,90.280000,23.600000,21.130000,0.000000,66.450000,0.000000,0.000000,0.000000,0.000000,0.360000,23.930000,55.210000,0.000000,1.580000,0.000000,0.000000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,96.040000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,37.100000,23.600000,0.000000,48.020000,0.520000,7.200000,10.560000,48.020000,24.010000,0.000000,0.000000,37.100000,0.970000,0.670000,2.880000,0.000000,24.010000,14.950000,96.040000,11.670000,240.100000,0.870000,0.000000,0.820000,1.41,0,0,1610.92

67,16:30-16:45,6.940000,9.900000,0.000000,0.000000,48.020000,24.010000,90.280000,23.600000,21.130000,0.000000,66.450000,0.000000,0.000000,0.000000,0.000000,0.360000,23.930000,55.210000,0.000000,1.580000,0.000000,0.000000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,96.040000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,37.100000,23.600000,0.000000,48.020000,0.520000,7.200000,10.560000,48.020000,24.010000,0.000000,0.000000,37.100000,0.970000,0.670000,2.880000,0.000000,24.010000,14.950000,96.040000,11.670000,240.100000,0.870000,0.000000,0.820000,1.9,0,0,1611.41

68,16:45-17:00,6.940000,9.900000,0.000000,0.000000,48.020000,24.010000,90.280000,23.600000,21.130000,0.000000,66.450000,0.000000,0.000000,0.000000,0.000000,0.360000,23.930000,55.210000,0.000000,1.580000,0.000000,0.000000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,96.040000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,37.100000,23.600000,0.000000,48.020000,0.520000,7.200000,10.560000,48.020000,24.010000,0.000000,0.000000,37.100000,0.970000,0.670000,2.880000,0.000000,24.010000,14.950000,96.040000,11.670000,240.100000,0.870000,0.000000,0.820000,1.27,0,0,1610.78

69,17:00-17:15,6.940000,12.650000,0.000000,0.000000,48.020000,24.010000,90.280000,23.600000,21.130000,0.000000,66.450000,0.000000,0.000000,0.000000,0.000000,0.360000,23.930000,55.210000,0.000000,1.580000,0.000000,0.000000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,96.040000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,37.100000,23.600000,0.000000,48.020000,0.520000,7.200000,10.560000,48.020000,24.010000,0.000000,0.000000,37.100000,0.970000,0.670000,2.880000,0.000000,24.010000,14.950000,96.040000,11.670000,240.100000,0.870000,0.000000,0.820000,0.9,0,0,1613.16

70,17:15-17:30,6.940000,12.650000,0.000000,0.000000,48.020000,24.010000,90.280000,23.600000,21.130000,0.000000,66.450000,0.000000,0.000000,0.000000,0.000000,0.360000,23.930000,55.210000,0.000000,1.580000,0.000000,0.000000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,96.040000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,37.100000,23.600000,0.000000,48.020000,0.520000,7.200000,10.560000,48.020000,24.010000,0.000000,0.000000,37.100000,0.970000,0.670000,2.880000,0.000000,24.010000,14.950000,96.040000,11.670000,240.100000,0.870000,0.000000,0.820000,0.63,0,0,1612.89

71,17:30-17:45,6.940000,12.650000,0.000000,0.000000,48.020000,24.010000,90.280000,23.600000,21.130000,0.000000,66.450000,0.000000,0.000000,0.000000,0.000000,0.360000,23.930000,55.210000,0.000000,1.580000,0.000000,0.000000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,96.040000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,37.100000,23.600000,0.000000,48.020000,0.520000,7.200000,10.560000,48.020000,24.010000,0.000000,0.000000,37.100000,0.970000,0.670000,2.880000,0.000000,24.010000,14.950000,96.040000,11.670000,240.100000,0.870000,0.000000,0.820000,0.43,0,0,1612.69

72,17:45-18:00,6.940000,12.650000,0.000000,0.000000,48.020000,24.010000,90.280000,23.600000,21.130000,0.000000,66.450000,0.000000,0.000000,0.000000,0.000000,0.360000,23.930000,55.210000,0.000000,1.580000,0.000000,0.000000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,96.040000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,37.100000,23.600000,0.000000,48.020000,0.520000,7.200000,10.560000,48.020000,24.010000,0.000000,0.000000,37.100000,0.970000,0.670000,2.880000,0.000000,24.010000,14.950000,96.040000,11.670000,240.100000,0.870000,0.000000,0.820000,0.28,0,0,1612.54

73,18:00-18:15,6.940000,12.650000,48.020000,96.040000,0.000000,24.010000,90.280000,23.600000,21.130000,0.000000,66.450000,0.000000,24.010000,0.000000,0.000000,0.360000,23.930000,0.000000,0.000000,1.580000,0.000000,55.200000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,0.000000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,37.100000,23.600000,47.500000,48.020000,0.520000,7.200000,10.560000,48.020000,24.010000,0.000000,96.040000,37.100000,0.970000,0.670000,2.880000,0.000000,0.000000,14.950000,0.000000,0.000000,240.100000,0.870000,0.000000,0.820000,0.24,0,0,1648.32

74,18:15-18:30,6.940000,12.650000,48.020000,96.040000,0.000000,24.010000,90.280000,23.600000,21.130000,0.000000,66.450000,0.000000,24.010000,0.000000,0.000000,0.360000,23.930000,0.000000,0.000000,1.580000,0.000000,55.200000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,0.000000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,37.100000,23.600000,47.500000,48.020000,0.520000,7.200000,10.560000,48.020000,24.010000,0.000000,96.040000,37.100000,0.970000,0.670000,2.880000,0.000000,0.000000,14.950000,0.000000,0.000000,240.100000,0.870000,0.000000,0.820000,0.12,0,0,1648.2

75,18:30-18:45,6.940000,12.650000,48.020000,96.040000,0.000000,43.220000,90.280000,23.600000,21.130000,0.000000,66.450000,0.000000,24.010000,0.000000,0.000000,0.360000,23.930000,0.000000,0.000000,1.580000,0.000000,30.070000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,0.000000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,37.100000,23.600000,47.500000,48.020000,0.520000,7.200000,10.560000,48.020000,24.010000,0.000000,96.040000,37.100000,0.970000,0.670000,2.880000,0.000000,0.000000,14.950000,0.000000,0.000000,240.100000,0.870000,0.000000,0.820000,0,0,0,1642.16

76,18:45-19:00,6.940000,12.650000,48.020000,96.040000,0.000000,43.220000,90.280000,16.550000,21.130000,0.000000,66.450000,0.000000,24.010000,0.000000,0.000000,0.360000,23.930000,0.000000,0.000000,1.580000,0.000000,30.070000,4.800000,163.510000,1.920000,0.870000,27.850000,0.000000,0.000000,0.000000,37.100000,24.010000,48.020000,0.000000,0.480000,96.040000,24.010000,0.000000,83.730000,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,37.100000,32.000000,47.500000,48.020000,0.520000,7.200000,10.560000,48.020000,24.010000,0.000000,96.040000,37.100000,0.970000,0.670000,2.880000,0.000000,0.000000,14.950000,0.000000,0.000000,240.100000,0.870000,0.000000,0.820000,0,0,0,1643.51

77,19:00-19:15,6.940000,12.840000,48.020000,96.040000,0.000000,43.220000,90.280000,30.410000,21.130000,36.590000,66.450000,0.000000,24.010000,44.180000,0.000000,0.360000,23.930000,0.000000,0.000000,1.580000,0.000000,36.670000,4.800000,163.510000,1.920000,0.870000,27.850000,41.970000,89.800000,0.000000,37.100000,24.010000,48.020000,72.990000,0.480000,96.040000,24.010000,39.660000,83.730000,0.000000,0.000000,96.040000,0.000000,0.610000,0.000000,37.100000,30.410000,47.500000,34.830000,0.520000,7.200000,10.560000,48.020000,24.010000,67.230000,96.040000,37.100000,0.970000,0.670000,2.880000,0.000000,0.000000,14.950000,0.000000,0.000000,240.100000,0.870000,0.000000,0.820000,0,0,0,2137.84

78,19:15-19:30,6.940000,12.840000,48.020000,96.040000,0.000000,43.220000,90.280000,30.410000,21.130000,36.020000,66.450000,0.000000,24.010000,44.180000,0.000000,0.360000,23.930000,0.000000,0.000000,1.580000,0.000000,36.670000,4.800000,163.510000,1.920000,0.870000,27.850000,41.110000,89.800000,0.000000,37.100000,24.010000,48.020000,72.990000,0.480000,96.040000,24.010000,38.130000,83.730000,0.000000,0.000000,96.040000,0.000000,0.610000,0.000000,37.100000,30.410000,47.500000,34.830000,0.520000,7.200000,10.560000,48.020000,24.010000,67.230000,96.040000,37.100000,0.970000,0.670000,2.880000,0.000000,0.000000,14.950000,0.000000,0.000000,240.100000,0.870000,0.000000,0.820000,0,0,0,2134.88

79,19:30-19:45,6.940000,12.840000,48.020000,96.040000,0.000000,43.220000,90.280000,30.030000,21.130000,35.440000,66.450000,0.000000,24.010000,44.180000,0.000000,0.360000,23.930000,0.000000,0.000000,1.580000,0.000000,36.670000,4.800000,163.510000,1.920000,0.870000,27.850000,40.340000,90.760000,0.000000,37.100000,24.010000,48.020000,72.990000,0.480000,96.040000,24.010000,38.320000,83.730000,0.000000,0.000000,96.040000,0.000000,0.610000,0.000000,37.100000,30.030000,47.500000,34.830000,0.520000,7.200000,10.560000,48.020000,24.010000,67.230000,96.040000,37.100000,0.970000,0.670000,2.880000,0.000000,0.000000,14.950000,0.000000,0.000000,240.100000,0.870000,0.000000,0.820000,0,0,0,2133.92

80,19:45-20:00,6.940000,12.840000,48.020000,96.040000,0.000000,43.220000,90.280000,30.030000,21.130000,35.050000,66.450000,0.000000,24.010000,44.180000,0.000000,0.360000,23.930000,0.000000,0.000000,1.580000,0.000000,36.670000,4.800000,163.510000,1.920000,0.870000,27.850000,39.660000,92.680000,0.000000,37.100000,24.010000,48.020000,72.990000,0.480000,96.040000,24.010000,38.320000,83.730000,0.000000,0.000000,96.040000,0.000000,0.610000,0.000000,37.100000,30.030000,47.500000,34.830000,0.520000,7.200000,10.560000,48.020000,24.010000,67.230000,96.040000,37.100000,0.970000,0.670000,2.880000,0.000000,0.000000,14.950000,0.000000,0.000000,240.100000,0.870000,0.000000,0.820000,0,0,0,2134.77

81,20:00-20:15,6.940000,12.840000,48.020000,96.040000,0.000000,43.220000,90.280000,30.030000,21.130000,34.480000,66.450000,0.000000,24.010000,44.180000,0.000000,0.360000,23.930000,0.000000,0.000000,1.580000,0.000000,36.670000,4.800000,163.510000,1.920000,0.870000,27.850000,39.090000,74.910000,0.000000,37.100000,24.010000,48.020000,72.990000,0.480000,96.040000,24.010000,29.960000,83.730000,0.000000,0.000000,240.100000,0.000000,0.610000,0.000000,37.100000,30.030000,47.500000,34.830000,0.520000,7.200000,10.560000,48.020000,24.010000,67.230000,96.040000,37.100000,0.970000,0.670000,2.880000,0.000000,0.000000,14.950000,0.000000,0.000000,240.100000,0.870000,0.000000,0.860000,0,0,0,2251.6

82,20:15-20:30,6.940000,12.840000,48.020000,96.040000,0.000000,43.220000,90.280000,30.030000,21.130000,34.380000,66.450000,0.000000,24.010000,44.180000,0.000000,0.360000,23.930000,0.000000,0.000000,1.580000,0.000000,36.670000,4.800000,163.510000,1.920000,0.870000,27.850000,38.420000,77.790000,0.000000,37.100000,24.010000,48.020000,72.990000,0.480000,96.040000,24.010000,30.160000,83.730000,0.000000,0.000000,240.100000,0.000000,0.610000,0.000000,37.100000,30.030000,47.500000,34.830000,0.520000,7.200000,10.560000,48.020000,24.010000,67.230000,96.040000,37.100000,0.970000,0.670000,2.880000,0.000000,0.000000,14.950000,0.000000,0.000000,240.100000,0.870000,0.000000,0.860000,0,0,0,2253.91

83,20:30-20:45,6.940000,12.840000,48.020000,96.040000,0.000000,43.220000,90.280000,30.030000,21.130000,34.380000,66.450000,0.000000,24.010000,44.180000,14.410000,0.360000,23.930000,0.000000,0.000000,1.580000,0.000000,36.670000,4.800000,163.510000,1.920000,0.870000,27.850000,37.840000,81.630000,0.000000,37.100000,24.010000,48.020000,72.990000,0.480000,96.040000,24.010000,30.250000,83.730000,0.000000,0.000000,240.100000,0.000000,0.610000,0.000000,37.100000,30.030000,47.500000,34.830000,0.520000,7.200000,10.560000,48.020000,24.010000,67.230000,96.040000,37.100000,0.970000,0.670000,2.880000,0.000000,0.000000,14.950000,0.000000,0.000000,240.100000,0.870000,0.000000,0.860000,0,0,0,2271.67

84,20:45-21:00,6.940000,12.840000,48.020000,96.040000,0.000000,43.220000,90.280000,30.030000,21.130000,34.290000,66.450000,0.000000,24.010000,44.180000,14.410000,0.360000,23.930000,0.000000,0.000000,1.580000,0.000000,36.670000,4.800000,163.510000,1.920000,0.870000,27.850000,37.460000,82.110000,0.000000,37.100000,24.010000,48.020000,72.990000,0.480000,96.040000,24.010000,30.440000,83.730000,0.000000,0.000000,240.100000,0.000000,0.610000,0.000000,37.100000,30.030000,47.500000,34.830000,0.520000,7.200000,10.560000,48.020000,24.010000,67.230000,96.040000,37.100000,0.970000,0.670000,2.880000,0.000000,0.000000,14.950000,0.000000,0.000000,240.100000,0.870000,0.000000,0.860000,0,0,0,2271.87

85,21:00-21:15,6.940000,13.110000,48.020000,96.040000,0.000000,43.220000,90.280000,30.030000,21.130000,34.190000,66.450000,0.000000,24.010000,44.180000,14.410000,0.360000,23.930000,0.000000,0.000000,1.580000,0.000000,36.670000,4.800000,163.510000,1.920000,0.870000,27.850000,37.070000,89.320000,0.000000,37.100000,24.010000,48.020000,72.990000,0.480000,96.040000,24.010000,30.440000,83.730000,0.000000,0.000000,240.100000,0.000000,0.610000,0.000000,37.100000,30.030000,47.500000,34.830000,0.520000,7.200000,10.560000,48.020000,24.010000,67.230000,96.040000,37.100000,0.970000,0.670000,2.880000,24.010000,0.000000,14.950000,0.000000,0.000000,240.100000,0.870000,72.030000,0.860000,0,0,0,2374.9

86,21:15-21:30,6.940000,13.110000,48.020000,96.040000,0.000000,43.220000,90.280000,30.030000,21.130000,33.520000,66.450000,0.000000,24.010000,44.180000,14.410000,0.360000,23.930000,0.000000,0.000000,1.580000,0.000000,36.670000,4.800000,163.510000,1.920000,0.870000,27.850000,36.780000,91.240000,0.000000,37.100000,24.010000,48.020000,72.990000,0.480000,96.040000,24.010000,30.540000,83.730000,0.000000,0.000000,240.100000,0.000000,0.610000,0.000000,37.100000,30.030000,47.500000,34.830000,0.520000,7.200000,10.560000,48.020000,24.010000,67.230000,96.040000,37.100000,0.970000,0.670000,2.880000,24.010000,0.000000,14.950000,0.000000,0.000000,240.100000,0.870000,72.030000,0.860000,0,0,0,2375.96

87,21:30-21:45,6.940000,13.110000,48.020000,96.040000,0.000000,43.220000,90.280000,30.030000,21.130000,32.850000,66.450000,0.000000,24.010000,44.180000,14.410000,0.360000,23.930000,0.000000,0.000000,1.580000,0.000000,36.670000,4.800000,163.510000,1.920000,0.870000,27.850000,36.400000,94.600000,0.000000,37.100000,24.010000,48.020000,72.990000,0.480000,96.040000,24.010000,30.830000,83.730000,0.000000,0.000000,240.100000,0.000000,0.610000,0.000000,37.100000,30.030000,47.500000,34.830000,0.520000,7.200000,10.560000,48.020000,24.010000,67.230000,96.040000,37.100000,0.970000,0.670000,2.880000,24.010000,0.000000,14.950000,0.000000,0.000000,240.100000,0.870000,72.030000,0.860000,0,0,0,2378.56

88,21:45-22:00,6.940000,13.110000,48.020000,96.040000,0.000000,43.220000,90.280000,30.030000,21.130000,32.270000,66.450000,0.000000,24.010000,44.180000,14.410000,0.360000,23.930000,0.000000,0.000000,1.580000,0.000000,36.670000,4.800000,163.510000,1.920000,0.870000,27.850000,36.590000,100.360000,0.000000,37.100000,24.010000,48.020000,72.990000,0.480000,96.040000,24.010000,31.120000,83.730000,0.000000,0.000000,240.100000,0.000000,0.610000,0.000000,37.100000,30.030000,47.500000,34.830000,0.520000,7.200000,10.560000,48.020000,24.010000,67.230000,96.040000,37.100000,0.970000,0.670000,2.880000,24.010000,0.000000,14.950000,0.000000,0.000000,240.100000,0.870000,72.030000,0.860000,0,0,0,2384.22

89,22:00-22:15,6.940000,13.110000,48.020000,96.040000,0.000000,43.220000,90.280000,30.530000,21.130000,31.690000,66.450000,0.000000,24.010000,44.180000,14.410000,0.360000,23.930000,0.000000,12.150000,1.580000,0.000000,36.670000,4.800000,163.510000,1.920000,0.870000,27.850000,36.780000,104.200000,0.000000,37.100000,24.010000,48.020000,72.990000,0.480000,96.040000,24.010000,35.630000,83.730000,0.000000,18.010000,240.100000,0.000000,0.610000,6.000000,37.100000,30.530000,47.500000,34.830000,0.520000,7.200000,9.600000,48.020000,24.010000,67.230000,96.040000,37.100000,0.970000,0.670000,2.880000,24.010000,0.000000,14.950000,0.000000,0.000000,240.100000,0.870000,144.060000,0.860000,0,0,0,2500.41

90,22:15-22:30,6.940000,13.110000,48.020000,96.040000,0.000000,43.220000,90.280000,30.530000,21.130000,31.410000,66.450000,0.000000,24.010000,44.180000,14.410000,0.360000,23.930000,0.000000,12.150000,1.580000,0.000000,36.670000,4.800000,163.510000,1.920000,0.870000,27.850000,36.980000,106.120000,0.000000,37.100000,24.010000,48.020000,72.990000,0.480000,96.040000,24.010000,36.110000,83.730000,0.000000,18.010000,240.100000,0.000000,0.610000,6.000000,37.100000,30.530000,47.500000,34.830000,0.520000,7.200000,9.600000,48.020000,24.010000,67.230000,96.040000,37.100000,0.970000,0.670000,2.880000,24.010000,0.000000,14.950000,0.000000,0.000000,240.100000,0.870000,144.060000,0.860000,0,0,0,2502.73

91,22:30-22:45,6.940000,13.110000,48.020000,96.040000,0.000000,67.230000,90.280000,30.530000,21.130000,31.020000,66.450000,0.000000,24.010000,44.180000,92.200000,0.360000,23.930000,0.000000,12.150000,1.580000,0.000000,36.670000,4.800000,163.510000,1.920000,0.870000,27.850000,37.070000,104.680000,0.000000,37.100000,24.010000,48.020000,72.990000,0.480000,96.040000,24.010000,36.880000,83.730000,0.000000,18.010000,240.100000,0.000000,0.610000,6.000000,37.100000,30.530000,47.500000,34.830000,0.520000,7.200000,9.600000,48.020000,24.010000,67.230000,96.040000,37.100000,0.970000,0.670000,2.880000,24.010000,0.000000,14.950000,0.000000,0.000000,240.100000,0.870000,144.060000,0.860000,0,0,0,2603.56

92,22:45-23:00,6.940000,13.110000,48.020000,96.040000,0.000000,67.230000,90.280000,30.530000,21.130000,30.730000,66.450000,0.000000,24.010000,44.180000,92.200000,0.360000,23.930000,0.000000,12.150000,1.580000,0.000000,36.670000,4.800000,163.510000,1.920000,0.870000,27.850000,37.360000,100.840000,0.000000,37.100000,24.010000,48.020000,72.990000,0.480000,96.040000,24.010000,37.650000,83.730000,0.000000,18.010000,240.100000,0.000000,0.610000,6.000000,37.100000,30.530000,47.500000,34.830000,0.520000,7.200000,9.600000,48.020000,24.010000,67.230000,96.040000,37.100000,0.970000,0.670000,2.880000,24.010000,0.000000,14.950000,0.000000,0.000000,240.100000,0.870000,144.060000,0.860000,0,0,0,2600.49

