Block,Time,CHAMERA1,DADRI_CRF,UNCHAHAR4,SINGRAULI_HYDRO,TANDA2,CHAMERA2,CHAMERA3,KOLDAM,SEWA2,RAMPUR,RAPPB,BSIUL,DADRI_GF,RIHAND3,TEHRI,KISHANGANGA,UNCHAHAR1,NAPP,UNCHAHAR2,DADRT2,ANTA_CRF,RAPPC,KOTESHWR,DADRI_LF,ANTA_LF,DHAULIGNGA,SINGRAULI,DULHASTI,DADRI_RF,JHAJJAR,UNCHAHAR3,ANTA_GF,TANAKPUR,RIHAND1,NJPC,PARBATI3,AURY_CRF,AURY_LF,ANTA_RF,SALAL,URI2,URI,AURY_RF,AURY_GF,KUDGI,KHSTPP-II,SASAN,FSTPP I & II,KHSTPP-I,BRBCL,RIHAND2,TALA,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
30,07:15-07:30,41.209560,0.000000,0.000000,0.942459,0.000000,0.000000,0.000000,0.000000,15.266710,0.000000,0.000000,0.000000,0.000000,119.460993,62.805456,0.000000,11.401703,37.759781,12.611334,218.499540,0.000000,49.034160,34.289136,0.000000,0.000000,35.347582,121.317525,31.728077,0.000000,328.440000,13.199951,0.000000,9.528334,88.872000,147.740523,0.000000,0.000000,0.000000,0.000000,80.819424,30.812872,45.324720,0.000000,0.000000,38.64,37.751280,330.915375,5.360817,10.336200,14.490000,114.108750,25.560360,0,0,0,0,0

31,07:30-07:45,41.209560,0.000000,0.000000,0.942459,0.000000,0.000000,0.000000,0.000000,15.266710,0.000000,0.000000,0.000000,0.000000,119.460993,62.805456,0.000000,11.401703,37.759781,10.935346,218.499540,0.000000,49.034160,34.289136,0.000000,0.000000,35.347582,121.317525,31.728077,0.000000,328.440000,13.199951,0.000000,9.528334,88.872000,147.740523,0.000000,0.000000,0.000000,0.000000,80.819424,30.812872,45.324720,0.000000,0.000000,38.64,50.684474,333.405844,5.360817,14.491159,14.490000,114.108750,25.560360,0,0,0,0,0

32,07:45:08:00,41.209560,0.000000,0.000000,0.942459,0.000000,0.000000,0.000000,0.000000,15.266710,0.000000,0.000000,0.000000,0.000000,119.460993,62.805456,0.000000,11.401703,37.759781,8.421365,218.499540,0.000000,49.034160,34.289136,0.000000,0.000000,35.347582,121.317525,31.728077,0.000000,328.440000,13.199951,0.000000,9.528334,88.872000,147.740523,0.000000,0.000000,0.000000,0.000000,80.819424,30.812872,45.324720,0.000000,0.000000,38.64,50.684474,333.632250,5.360817,14.491159,14.490000,114.108750,25.560360,0,0,0,0,0

33,08:00-08:15,41.209560,0.000000,0.000000,0.942459,0.000000,0.000000,0.000000,0.000000,15.266710,0.000000,0.000000,0.000000,0.000000,119.460993,62.805456,0.000000,11.496257,37.759781,13.082431,218.499540,0.000000,49.034160,34.289136,0.000000,0.000000,35.347582,121.317525,31.728077,0.000000,328.440000,13.587659,0.000000,11.384503,88.872000,147.740523,0.000000,0.000000,0.000000,0.000000,80.819424,30.812872,45.324720,0.000000,0.000000,45.86,50.259434,333.632250,5.360817,14.423539,14.490000,114.108750,25.560360,0,0,0,0,0

34,08:15-08:30,41.209560,0.000000,0.000000,0.942459,0.000000,0.000000,0.000000,0.000000,15.266710,0.000000,0.000000,0.000000,0.000000,119.460993,62.805456,0.000000,11.496257,37.759781,13.813800,218.499540,0.000000,49.034160,34.289136,0.000000,0.000000,35.347582,121.317525,31.728077,0.000000,328.440000,13.587659,0.000000,11.384503,88.872000,147.740523,0.000000,0.000000,0.000000,0.000000,80.819424,30.812872,45.324720,0.000000,0.000000,48.75,50.259434,333.632250,5.360817,14.423539,14.490000,114.108750,25.560360,0,0,0,0,0

