Column1,Block,NR/2025/31463/C,NR/2025/29440/A/87978,NR/2025/31459/C,NR/2025/27962/A/88482,NR/2025/30086/A/88510,NR/2025/30084/A/88511,NR/2025/31439/C,NR/2025/31461/C,NR/2025/30105/A/88508,NR/2025/29910/A/88515,NR/2025/30082/A/88518,NR/2025/30083/A/88512,NR/2025/29992/A/88137,NR/2025/29352/A/88416,NR/2025/30101/A/88532,NR/2025/27970/A/88486,NR/2025/27968/A/88485,NR/2025/29439/A/88139,NR/2025/30822/A/88135,NR/2025/30191/A/87992,NR/2025/31126/A/88148,NR/2025/29985/A/88136,NR/2025/31138/A/88476,NR/2025/31200/A/88177,GNARE/NR/2024/12/20/3668,NR/2025/31137/A/88474,NR/2025/31138/A/88475,NR/2025/31136/A/88472,NR/2025/31137/A/88473,NR/2025/31132/A/88181,NR/2025/31136/A/88471,NR/2025/30334/A/87990,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,GNA/NR/2025/07/01/2786,NR/30092023/31122025/SH-07,GNA/NR/2025/07/01/2236,NR/2025/31407/C,GNA/NR/2025/07/01/2997,NR/2025/31411/C,NR/2025/31412/C,NR/2025/31358/C,GNA/NR/2025/07/01/1192,GNA/NR/2025/07/01/8230,NR/2025/31359/C,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/01/8139,GNA/NR/2025/07/01/8154,NR/2025/26975/A/88524,NR/2025/31481/C,NR/2025/31478/C,NR/2025/31482/C,NR/2025/27964/A/88484,NR/2025/29915/A/88079,NR/2025/31479/C,NR/2025/31483/C,NR/2025/27963/A/88483,NR/2025/29628/A/88521,NR/2025/31480/C,NR/2025/28725/A/88487,NR/2025/31476/C,NR/2025/30067/A/88614,NR/2025/29353/A/88413,NR/2025/30121/A/88001,NR/2025/31469/C,NR/2025/29167/A/88081,NR/2025/31490/C/Alternate/1,NR/2025/27978/A/88533,NR/2025/30217/A/88507,NR/2025/31491/C,NR/2025/31490/C,NR/2025/31467/C,NR/2025/31494/C,Total
90,22:15-22:30,0,0.91,0,96.14,37.15,43.7,0,0,29.13,19.23,48.07,14.57,44.22,28.6,48.07,144.21,0,25.07,134.6,48.07,13.46,0,0,0,0,0,0,0,0,0,0,0,17.3,26.8,43.7,26.8,81.72,0,0,0,0,0,0,224.73,0,0,134.84,20.74,25.96,0,0,0,144.21,0,0,0,0,105.75,0,143.01,0,0,81.72,6.73,0,54.08,0,96.14,7.69,0,192.28,0,0,2209.4

91,22:30-22:45,0,0.91,0,96.14,37.15,43.7,0,0,29.13,19.23,48.07,14.57,44.22,28.6,48.07,144.21,0,25.07,134.6,48.07,12.5,0,0,0,0,0,0,0,0,0,0,0,17.3,26.8,43.7,26.8,81.72,0,0,0,0,0,0,224.73,0,0,134.84,20.74,25.96,0,0,0,144.21,0,0,0,0,105.75,0,143.01,0,0,81.72,6.73,0,54.08,191.58,96.14,7.69,0,0.7,0,0,2208.4399999999996

92,22:45-23:00,0,0.91,0,96.14,37.15,43.7,0,0,29.13,19.23,48.07,14.57,44.22,28.6,48.07,144.21,0,25.07,134.6,48.07,12.5,0,0,0,0,0,0,0,0,0,0,0,17.3,26.8,43.7,26.8,81.72,0,0,0,0,0,0,224.73,0,0,134.84,20.74,25.96,0,0,0,144.21,0,0,0,0,105.75,0,143.01,0,0,81.72,6.73,0,54.08,192.06,96.14,7.69,0,0.22,0,0,2208.4399999999996

93,23:00-23:15,0,0.91,0,96.14,37.15,43.7,0,0,29.13,19.23,48.07,14.57,44.22,28.6,48.07,144.21,0,25.07,134.6,48.07,12.5,0,0,0,0,0,0,0,0,0,0,0,17.3,26.8,43.7,26.8,81.72,0,0,0,0,0,0,224.73,0,0,134.84,20.74,25.96,0,0,0,144.21,0,0,0,0,105.75,0,143.01,0,0,81.72,6.73,0,54.08,119.11,96.14,7.69,28.84,42.94,0,0,2207.05

94,23:15-23:30,0,0.91,0,96.14,37.15,43.7,0,0,29.13,19.23,48.07,14.57,44.22,28.6,48.07,144.21,0,25.07,134.6,48.07,12.5,0,0,0,0,0,0,0,0,0,0,0,17.3,26.8,43.7,26.8,81.72,0,0,0,0,0,0,224.73,0,0,134.84,20.74,25.96,0,0,0,144.21,0,0,0,0,105.75,0,143.01,0,0,81.72,6.73,0,54.08,120.07,96.14,7.69,28.84,41.97,0,0,2207.04

95,23:30-23:45,0,0.91,0,96.14,37.15,43.7,0,0,29.13,19.23,48.07,14.57,44.22,28.6,48.07,144.21,0,25.07,134.6,48.07,12.5,0,0,0,0,0,0,0,0,0,0,0,17.3,26.8,43.7,26.8,81.72,0,0,0,0,0,0,224.73,0,0,134.84,20.74,25.96,0,0,0,144.21,0,0,0,0,105.75,0,143.01,0,0,81.72,6.73,0,54.08,121.56,96.14,7.69,28.84,40.48,0,0,2207.04

96,23:45-24:00,0,0.91,0,96.14,37.15,43.7,0,0,29.13,19.23,48.07,14.57,44.22,28.6,48.07,144.21,0,25.07,134.6,48.07,12.5,0,0,0,0,0,0,0,0,0,0,0,17.3,26.8,43.7,26.8,81.72,0,0,0,0,0,0,224.73,0,0,134.84,20.74,26.1,0,0,0,144.21,0,0,0,0,105.75,0,143.01,0,0,81.72,6.73,0,54.08,118.76,96.14,7.69,28.84,43.28,0,0,2207.1800000000003

