Column1,Block,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/4444,NR/2025/28774/A/84064,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/7762,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/2868,NR/2025/27356/A/84207,GNARE/NR/2024/12/20/3668,NR/2025/30280/C,GNA/NR/2025/06/01/7663,NR/2025/30134/C,GNA/NR/2025/06/16/8791,NR/2025/30291/C/Alternate/1,GNA/NR/2025/06/16/6051,GNA/NR/2025/06/20/3628,NR/2025/30278/C,NR/2025/30221/C,NR/2025/30279/C,NR/2025/30222/C,NR/2025/30126/C,NR/2025/30285/C,NR/2025/30212/C,NR/30092023/31122025/SH-07,NR/2025/30218/C,NR/2025/30266/C,NR/2025/30219/C,NR/2025/26565/A/84586,NR/2025/27782/A/84599,NR/2025/30282/C,NR/2025/27242/A/84264,NR/2025/27506/A/84071,NR/2025/29816/A/84189,NR/2025/27187/A/84606,NR/2025/30234/C,NR/2025/28719/A/84187,NR/2025/26566/A/84587,NR/2025/26861/A/84590,NR/2025/30289/C,NR/2025/27281/A/84653,NR/2025/26952/A/84133,NR/2025/27728/A/84601,NR/2025/27168/A/84039,NR/2025/30290/C,NR/2025/27100/A/84202,NR/2025/27157/A/84199,NR/2025/26572/A/84589,NR/2025/26777/A/84174,NR/2025/26785/A/84074,NR/2025/27726/A/84602,NR/2025/30291/C,NR/2025/26975/A/84609,NR/2025/26571/A/84588,NR/2025/26860/A/84510,NR/2025/27499/A/84618,NR/2025/27727/A/84600,NR/2025/27176/A/84607,NR/2025/26889/A/84619,NR/2025/27167/A/84037,NR/2025/26562/A/84585,NR/2025/27725/A/84603,NR/2025/26085/A/84061,NR/2025/29451/A/84205,NR/2025/27088/A/84654,NR/2025/27500/A/84072,NR/2025/27185/A/84608,NR/2025/30238/C,NR/2025/26445/A/84658,NR/2025/30239/C,Total
84,20:45-21:00,20.54,41.07,11.91,0,0,16.92,20.54,11.92,15.62,53.39,20.54,26.95,10.63,0,0,0,41.07,0,0,164.53,0,20.85,0,0,0,0,0,0,0,26.95,0,0,0,0,7.73,0,41.07,1.93,2.9,19.33,0,10.63,144.96,164.29,0,24.88,0,24.16,20.54,28.03,25.2,217.44,144.96,164.29,0,24.16,0,27.06,0,90.36,8.7,24.16,76.94,5.8,20.54,144.96,8.05,0.92,96.64,164.29,7.73,19.33,0,96.64,0,2362.0499999999997

85,21:00-21:15,20.54,41.07,11.91,0,0,16.92,20.54,11.92,15.62,53.39,20.54,26.95,10.63,0,0,0,41.07,0,0,164.53,0,20.85,0,0,0,0,0,0,0,26.95,0,0,0,0,7.73,0,41.07,1.93,3.87,19.33,0,9.66,144.96,164.29,0,24.88,0,24.16,20.54,28.03,25.2,217.44,144.96,164.29,0,24.16,0,27.06,0,90.36,8.7,24.16,106.3,5.8,20.54,144.96,8.05,0.92,96.64,164.29,7.73,19.33,0,96.64,0,2391.41

86,21:15-21:30,20.54,41.07,11.91,0,0,16.92,20.54,11.92,15.62,53.39,20.54,26.95,10.63,0,0,0,41.07,0,0,164.53,0,20.85,0,0,0,0,0,0,0,26.95,0,0,0,0,7.73,0,41.07,1.93,3.87,19.33,0,9.66,144.96,164.29,0,24.88,0,24.16,20.54,28.03,25.2,217.44,144.96,164.29,0,24.16,0,27.06,0,90.36,8.7,24.16,106.3,5.8,20.54,144.96,8.05,0.92,96.64,164.29,7.73,19.33,0,96.64,0,2391.41

87,21:30-21:45,20.54,41.07,11.91,0,0,16.92,20.54,11.92,15.62,53.39,20.54,26.95,10.63,0,0,0,41.07,0,0,164.53,0,20.85,0,0,0,0,0,0,0,26.95,0,0,0,0,7.73,0,41.07,1.93,3.87,19.33,0,9.66,144.96,164.29,0,24.88,0,24.16,20.54,28.03,25.2,217.44,144.96,164.29,0,24.16,0,27.06,0,90.36,8.7,24.16,106.3,5.8,20.54,144.96,8.05,0.92,96.64,164.29,7.73,19.33,0,96.64,0,2391.41

88,21:45-22:00,20.54,41.07,11.91,0,0,16.92,20.54,11.92,15.62,53.39,20.54,26.95,10.63,0,0,0,41.07,0,0,164.53,0,20.85,0,0,0,0,0,0,0,26.95,0,0,0,0,7.73,0,41.07,1.93,3.87,19.33,0,9.66,144.96,164.29,0,24.88,0,24.16,20.54,28.03,25.2,217.44,144.96,164.29,0,24.16,0,27.06,0,90.36,8.7,24.16,106.3,5.8,20.54,144.96,8.05,0.92,96.64,164.29,7.73,19.33,0,96.64,0,2391.41

89,22:00-22:15,20.54,41.07,11.91,0,0,16.92,20.54,11.92,15.62,53.39,20.54,26.95,12.94,0,0,0,41.07,0,0,164.53,0,20.85,0,0,0,0,0,0,0,26.95,0,0,0,0,7.73,0,41.07,1.93,3.87,19.33,0,9.66,144.96,164.29,0,24.88,0,24.16,20.54,28.03,25.2,217.44,144.96,164.29,0,24.16,0,27.06,0,90.36,8.7,24.16,106.3,5.8,20.54,144.96,8.05,0.82,96.64,164.29,7.73,19.33,0,96.64,0,2393.6199999999994

90,22:15-22:30,20.54,41.07,11.91,0,0,16.92,20.54,11.92,15.62,53.39,20.54,26.95,12.94,0,0,0,41.07,0,0,164.53,0,20.85,0,0,0,0,0,0,0,26.95,0,0,0,0,7.73,0,41.07,1.93,3.87,19.33,0,9.66,144.96,164.29,0,24.88,0,24.16,20.54,28.03,25.2,217.44,144.96,164.29,0,24.16,0,27.06,0,90.36,8.7,24.16,106.3,5.8,20.54,144.96,8.05,0.82,96.64,164.29,7.73,19.33,0,96.64,0,2393.6199999999994

91,22:30-22:45,20.54,41.07,11.91,0,0,16.92,20.54,11.92,15.62,53.39,20.54,26.95,12.94,0,0,0,41.07,0,0,164.53,0,20.85,0,0,0,0,0,0,0,26.95,0,0,0,0,7.73,0,41.07,1.93,3.87,19.33,0,9.66,144.96,164.29,0,24.88,0,24.16,20.54,28.03,25.2,217.44,144.96,164.29,0,24.16,0,27.06,0,90.36,8.7,24.16,106.3,5.8,20.54,144.96,8.05,0.82,96.64,164.29,7.73,19.33,0,96.64,0,2393.6199999999994

92,22:45-23:00,20.54,41.07,11.91,0,0,16.92,20.54,11.92,15.62,53.39,20.54,26.95,12.94,0,0,0,41.07,0,0,164.53,0,20.85,0,0,0,0,0,0,0,26.95,0,0,0,0,7.73,0,41.07,1.93,3.87,19.33,0,9.66,144.96,164.29,0,24.88,0,24.16,20.54,28.03,25.2,217.44,144.96,164.29,0,24.16,0,27.06,0,90.36,8.7,24.16,106.3,5.8,20.54,144.96,8.05,0.82,96.64,164.29,7.73,19.33,0,96.64,0,2393.6199999999994

93,23:00-23:15,20.54,41.07,11.91,0,0,16.65,20.54,11.92,15.62,53.39,20.54,26.95,12.94,0,0,0,41.07,0,0,164.53,0,20.85,0,0,0,0,0,0,0,26.95,0,0,0,0,7.73,0,41.07,1.93,3.87,19.33,0,9.66,144.96,164.29,0,24.88,0,24.16,20.54,28.03,25.2,217.44,144.96,164.29,0,24.16,0,27.06,0,90.36,8.7,24.16,106.3,5.8,20.54,144.96,8.05,0.77,96.64,164.29,7.73,19.33,0,96.64,0,2393.2999999999997

94,23:15-23:30,20.54,41.07,11.91,0,0,16.65,20.54,11.92,15.62,53.39,20.54,26.95,12.94,0,0,0,41.07,0,0,164.53,0,20.85,0,0,0,0,0,0,0,26.95,0,0,0,0,7.73,0,41.07,1.93,3.87,19.33,0,9.66,144.96,164.29,0,24.88,0,24.16,20.54,28.03,25.2,217.44,144.96,164.29,0,24.16,0,27.06,0,90.36,8.7,24.16,106.3,5.8,20.54,144.96,8.05,0.77,96.64,164.29,7.73,19.33,0,96.64,0,2393.2999999999997

95,23:30-23:45,20.54,41.07,11.91,0,0,16.65,20.54,11.92,15.62,53.39,20.54,26.95,12.94,0,0,0,41.07,0,0,164.53,0,20.85,0,0,0,0,0,0,0,26.95,0,0,0,0,7.73,0,41.07,1.93,3.87,19.33,0,9.66,144.96,164.29,0,24.88,0,24.16,20.54,28.03,25.2,217.44,144.96,164.29,0,24.16,0,27.06,0,90.36,8.7,24.16,106.3,5.8,20.54,144.96,8.05,0.77,96.64,164.29,7.73,19.33,0,96.64,0,2393.2999999999997

96,23:45-24:00,20.54,41.07,12.18,0,0,16.65,20.54,11.92,15.62,53.39,20.54,26.95,12.94,0,0,0,41.07,0,0,164.53,0,20.85,0,0,0,0,0,0,0,26.95,0,0,0,0,7.73,0,41.07,1.93,3.87,19.33,0,9.66,144.96,164.29,0,24.88,0,24.16,20.54,28.03,25.2,217.44,144.96,164.29,0,24.16,0,27.06,0,90.36,8.7,24.16,106.3,5.8,20.54,144.96,8.05,0.77,96.64,164.29,7.73,19.33,0,96.64,0,2393.5699999999997

