Column1,Block,NR/2025/29996/C,NR/2025/26777/A/83601,NR/2025/26860/A/83945,NR/2025/29936/C,NR/2025/30003/C,NR/2025/27728/A/84002,NR/2025/27187/A/84007,NR/2025/27726/A/84003,NR/2025/27185/A/84008,NR/2025/27727/A/84001,NR/2025/27506/A/83544,NR/2025/26861/A/84163,NR/2025/29928/C,NR/2025/27167/A/83787,NR/2025/27500/A/83546,NR/2025/27725/A/84004,NR/2025/28774/A/83539,GNARE/NR/2024/12/20/3668,NR/2025/27356/A/83709,GNA/NR/2025/06/01/7782,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/20/3628,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/16/6051,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/16/8791,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/4444,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/5280,NR/30092023/31122025/SH-07,NR/2025/30028/C,NR/2025/30054/C,NR/2025/27176/A/83751,NR/2025/30007/C,NR/2025/30054/C/Alternate/1,NR/2025/30008/C,NR/2025/30055/C,NR/2025/26562/A/84158,NR/2025/27281/A/84067,NR/2025/30009/C,NR/2025/26445/A/84054,NR/2025/27157/A/83628,NR/2025/26952/A/83527,NR/2025/30032/C,NR/2025/27782/A/84000,NR/2025/27100/A/83629,NR/2025/30033/C,NR/2025/30044/C,NR/2025/30057/C,NR/2025/29451/A/83707,NR/2025/26889/A/83994,NR/2025/30059/C,NR/2025/26785/A/83547,NR/2025/27088/A/84047,NR/2025/30047/C,NR/2025/27499/A/83993,NR/2025/26085/A/83704,NR/2025/26566/A/84160,NR/2025/30051/C,NR/2025/30062/C,NR/2025/26572/A/84162,NR/2025/27242/A/83727,NR/2025/26571/A/84161,NR/2025/27168/A/83788,NR/2025/29816/A/83671,NR/2025/30061/C,NR/2025/28719/A/83599,NR/2025/26565/A/84159,NR/2025/30053/C,NR/2025/26975/A/84009,Total
84,20:45-21:00,0,164.29,90.36,0,0,37.34,19.33,43.92,19.33,43.92,1.93,164.29,0,20.54,7.73,14.64,0,0,0,11.91,29,20.54,20.85,20.54,41.07,41.07,0,29.06,0,53.39,0,19.24,41.07,20.54,11.92,29,0,0,76.94,0,164.53,0,28.03,144.96,24.88,0,96.64,217.44,0,0,7.73,25.2,0,0,0,96.64,5.8,0,0,164.29,0,8.7,0.92,144.96,0,0,144.96,41.07,0,20.54,0,0,13.53,0,0,27.06,2471.640000000001

85,21:00-21:15,0,164.29,90.36,0,0,37.34,19.33,43.92,19.33,43.92,1.93,164.29,0,20.54,7.73,14.64,0,0,0,11.91,29,20.54,20.85,20.54,41.07,41.07,0,29.06,0,53.39,0,19.24,41.07,20.54,11.92,29,0,66.35,106.3,0,98.18,0,28.03,144.96,24.88,0,96.64,217.44,0,0,7.73,25.2,0,0,0,96.64,5.8,0,0,164.29,0,8.7,0.92,144.96,0,0,144.96,41.07,0,20.54,0.97,0,12.56,0,0,27.06,2501

86,21:15-21:30,0,164.29,90.36,0,0,37.34,19.33,43.92,19.33,43.92,1.93,164.29,0,20.54,7.73,14.64,0,0,0,11.91,29,20.54,20.85,20.54,41.07,41.07,0,29.06,0,53.39,0,19.24,41.07,20.54,11.92,29,0,66.27,106.3,0,98.26,0,28.03,144.96,24.88,0,96.64,217.44,0,0,7.73,25.2,0,0,0,96.64,5.8,0,0,164.29,0,8.7,0.92,144.96,0,0,144.96,41.07,0,20.54,0.97,0,12.56,0,0,27.06,2501

87,21:30-21:45,0,164.29,90.36,0,0,37.34,19.33,43.92,19.33,43.92,1.93,164.29,0,20.54,7.73,14.64,0,0,0,11.91,29,20.54,20.85,20.54,41.07,41.07,0,29.06,0,53.39,0,19.24,41.07,20.54,11.92,29,0,66.64,106.3,0,97.89,0,28.03,144.96,24.88,0,96.64,217.44,0,0,7.73,25.2,0,0,0,96.64,5.8,0,0,164.29,0,8.7,0.92,144.96,0,0,144.96,41.07,0,20.54,0.97,0,12.56,0,0,27.06,2501.0000000000005

88,21:45-22:00,0,164.29,90.36,0,0,37.34,19.33,43.92,19.33,43.92,1.93,164.29,0,20.54,7.73,14.64,0,0,0,11.91,29,20.54,20.85,20.54,41.07,41.07,0,29.06,0,53.39,0,19.24,41.07,20.54,11.92,29,0,66.9,106.3,0,97.63,0,28.03,144.96,24.88,0,96.64,217.44,0,0,7.73,25.2,0,0,0,96.64,5.8,0,0,164.29,0,8.7,0.92,144.96,0,0,144.96,41.07,0,20.54,0.97,0,12.56,0,0,27.06,2501.0000000000005

89,22:00-22:15,0,164.29,90.36,0,0,37.34,19.33,43.92,19.33,43.92,1.93,164.29,0,20.54,7.73,14.64,0,0,0,11.91,29,20.54,20.85,20.54,41.07,41.07,0,29.06,0,53.39,0,18.78,41.07,20.54,11.92,29,0,65.93,106.3,0,98.6,0,28.03,144.96,24.88,0,96.64,217.44,0,0,7.73,25.2,0,0,0,96.64,5.8,0,0,164.29,0,8.7,0.82,144.96,0,0,144.96,41.07,0,20.54,1.93,0,11.6,0,0,27.06,2500.44

90,22:15-22:30,0,164.29,90.36,0,0,37.34,19.33,43.92,19.33,43.92,1.93,164.29,0,20.54,7.73,14.64,0,0,0,11.91,29,20.54,20.85,20.54,41.07,41.07,0,29.06,0,53.39,0,18.78,41.07,20.54,11.92,29,0,65.5,106.3,0,99.03,0,28.03,144.96,24.88,0,96.64,217.44,0,0,7.73,25.2,0,0,0,96.64,5.8,0,0,164.29,0,8.7,0.82,144.96,0,0,144.96,41.07,0,20.54,1.93,0,11.6,0,0,27.06,2500.44

91,22:30-22:45,0,164.29,90.36,0,0,37.34,19.33,43.92,19.33,43.92,1.93,164.29,0,20.54,7.73,14.64,0,0,0,11.91,29,20.54,20.85,20.54,41.07,41.07,0,29.06,0,53.39,0,18.78,41.07,20.54,11.92,29,0,65.06,106.3,0,99.47,0,28.03,144.96,24.88,0,96.64,217.44,0,0,7.73,25.2,0,0,0,96.64,5.8,0,0,164.29,0,8.7,0.82,144.96,0,0,144.96,41.07,0,20.54,1.93,0,11.6,0,0,27.06,2500.44

92,22:45-23:00,0,164.29,90.36,0,0,37.34,19.33,43.92,19.33,43.92,1.93,164.29,0,20.54,7.73,14.64,0,0,0,11.91,29,20.54,20.85,20.54,41.07,41.07,0,29.06,0,53.39,0,18.78,41.07,20.54,11.92,29,0,65.25,106.3,0,99.28,0,28.03,144.96,24.88,0,96.64,217.44,0,0,7.73,25.2,0,0,0,96.64,5.8,0,0,164.29,0,8.7,0.82,144.96,0,0,144.96,41.07,0,20.54,1.93,0,11.6,0,0,27.06,2500.44

93,23:00-23:15,0,164.29,90.36,0,0,37.34,19.33,43.92,19.33,43.92,1.93,164.29,0,20.54,7.73,14.64,0,0,0,11.91,29,20.54,20.85,20.54,41.07,41.07,0,29.06,0,53.39,0,18.78,41.07,20.54,11.92,29,0,0,106.3,0,164.53,0,28.03,144.96,24.88,0,96.64,217.44,0,0,7.73,25.2,0,0,0,96.64,5.8,0,0,164.29,0,8.7,0.77,144.96,0,0,144.96,41.07,0,20.54,2.9,0,10.63,0,0,27.06,2500.3900000000003

94,23:15-23:30,0,164.29,90.36,0,0,37.34,19.33,43.92,19.33,43.92,1.93,164.29,0,20.54,7.73,14.64,0,0,0,11.91,29,20.54,20.85,20.54,41.07,41.07,0,29.06,0,53.39,0,18.78,41.07,20.54,11.92,29,0,0,106.3,0,164.53,0,28.03,144.96,24.88,0,96.64,217.44,0,0,7.73,25.2,0,0,0,96.64,5.8,0,0,164.29,0,8.7,0.77,144.96,0,0,144.96,41.07,0,20.54,2.9,0,10.63,0,0,27.06,2500.3900000000003

95,23:30-23:45,0,164.29,90.36,0,0,37.34,19.33,43.92,19.33,43.92,1.93,164.29,0,20.54,7.73,14.64,0,0,0,11.91,29,20.54,20.85,20.54,41.07,41.07,0,29.06,0,53.39,0,18.78,41.07,20.54,11.92,29,0,0,106.3,0,164.53,0,28.03,144.96,24.88,0,96.64,217.44,0,0,7.73,25.2,0,0,0,96.64,5.8,0,0,164.29,0,8.7,0.77,144.96,0,0,144.96,41.07,0,20.54,2.9,0,10.63,0,0,27.06,2500.3900000000003

96,23:45-24:00,0,164.29,90.36,0,0,37.34,19.33,43.92,19.33,43.92,1.93,164.29,0,20.54,7.73,14.64,0,0,0,12.18,29,20.54,20.85,20.54,41.07,41.07,0,29.06,0,53.39,0,18.78,41.07,20.54,11.92,29,0,0,106.3,0,164.53,0,28.03,144.96,24.88,0,96.64,217.44,0,0,7.73,25.2,0,0,0,96.64,5.8,0,0,164.29,0,8.7,0.77,144.96,0,0,144.96,41.07,0,20.54,2.9,0,10.63,0,0,27.06,2500.6600000000003

