Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/28864/C,NR/2025/28865/C,NR/2025/28866/C,NR/2025/28868/C,NR/2025/27356/A/80176,NR/2025/28932/C,NR/2025/28922/C,NR/2025/28787/C,NR/2025/28933/C,NR/2025/28902/C,NR/2025/28848/C,NR/2025/28929/C,NR/2025/27622/A/80090,NR/2025/28931/C,NR/2025/28778/C,NR/2025/28928/C,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/4973,NR/30092023/31122025/SH-07,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/15/6656,NR/2025/26563/A/80696,NR/2025/27242/A/80295,NR/2025/26952/A/80144,NR/2025/27728/A/80561,NR/2025/26785/A/80600,NR/2025/28953/C,NR/2025/27499/A/80555,NR/2025/28913/C,NR/2025/28139/A/80170,NR/2025/28141/A/80174,NR/2025/26975/A/80577,NR/2025/28914/C,NR/2025/28965/C,NR/2025/28719/A/80476,NR/2025/27088/A/80593,NR/2025/27782/A/80559,NR/2025/27726/A/80562,NR/2025/28916/C,GNA/NR/2025/06/01/7786,NR/2025/26085/A/80115,NR/2025/27168/A/80569,NR/2025/26777/A/80186,NR/2025/26445/A/80599,NR/2025/26889/A/80556,NR/2025/26860/A/80494,NR/2025/28140/A/80172,NR/2025/27162/A/80576,NR/2025/27167/A/80568,NR/2025/27727/A/80560,NR/2025/27281/A/80644,NR/2025/27725/A/80563,NR/2025/26569/A/80694,NR/2025/28911/C,NR/2025/27157/A/80188,NR/2025/26561/A/80697,NR/2025/27462/A/80091,NR/2025/28912/C,NR/2025/28917/C,NR/2025/26564/A/80695,NR/2025/26861/A/80553,NR/2025/26570/A/80693,NR/2025/28138/A/80168,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/15/8348,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/7663,Total
87,21:30-21:45,0,3.87,0,0,0,0,98.71,0,0,0,146.88,0,0,0,0,0,28.99,17.11,29.16,24.16,48.32,14.66,24.16,11.91,96.63,0,48.32,0,24.16,0,48.32,8.7,0,28.99,135.28,27.06,0,170.07,9.66,192.64,8.05,24.16,0,48.32,0.92,24.16,193.26,96.63,5.8,106.29,33.82,55.99,24.16,24.16,24.88,8.05,0,0,217.42,115.96,9.66,0,0,115.96,193.26,115.96,38.65,14.66,62.81,24.16,96.63,0,11.9,48.32,2981.76

88,21:45-22:00,0,3.87,0,0,0,0,98.71,0,0,0,146.88,0,0,0,0,0,28.99,17.11,29.16,24.16,48.32,14.66,24.16,11.91,96.63,0,48.32,0,24.16,0,48.32,8.7,0,28.99,135.28,27.06,0,170.07,9.66,192.64,8.05,24.16,0,48.32,0.92,24.16,193.26,96.63,5.8,106.29,33.82,55.99,24.16,24.16,24.88,8.05,0,0,217.42,115.96,9.66,0,0,115.96,193.26,115.96,38.65,14.66,62.81,24.16,96.63,0,11.9,48.32,2981.76

89,22:00-22:15,0,3.87,0,0,0,0,98.71,0,0,0,146.88,0,0,0,0,0,28.99,16.92,29.16,24.16,48.32,14.66,24.16,11.91,193.26,0,48.32,0,24.16,0,48.32,8.7,0,28.99,135.28,27.06,0,170.07,9.66,192.64,8.05,24.16,0,48.32,0.82,24.16,193.26,96.63,5.8,106.29,33.82,55.99,24.16,24.16,24.88,8.05,0,0,217.42,115.96,9.66,0,0,115.96,193.26,115.96,38.65,14.66,62.81,24.16,96.63,0,11.9,48.32,3078.1000000000004

90,22:15-22:30,0,3.87,0,0,0,0,98.71,0,0,0,146.88,0,0,0,0,0,28.99,16.92,29.16,24.16,48.32,14.66,24.16,11.91,193.26,0,48.32,0,24.16,0,48.32,8.7,0,28.99,135.28,27.06,0,170.07,9.66,192.64,8.05,24.16,0,48.32,0.82,24.16,193.26,96.63,5.8,106.29,33.82,55.99,24.16,24.16,24.88,8.05,0,0,217.42,115.96,9.66,0,0,115.96,193.26,115.96,38.65,14.66,62.81,24.16,96.63,0,11.9,48.32,3078.1000000000004

91,22:30-22:45,0,3.87,0,0,0,0,98.71,0,0,0,146.88,0,0,0,0,0,28.99,16.92,29.16,24.16,48.32,14.66,24.16,11.91,193.26,0,48.32,0,24.16,0,48.32,8.7,0,28.99,135.28,27.06,0,170.07,9.66,192.64,8.05,24.16,0,48.32,0.82,24.16,193.26,96.63,5.8,106.29,33.82,55.99,24.16,24.16,24.88,8.05,0,0,217.42,115.96,9.66,0,0,115.96,193.26,115.96,38.65,14.66,62.81,24.16,96.63,0,11.9,48.32,3078.1000000000004

92,22:45-23:00,0,3.87,0,0,0,0,98.71,0,0,0,146.88,0,0,0,0,0,28.99,16.92,29.16,24.16,48.32,14.66,24.16,11.91,193.26,0,48.32,0,24.16,0,48.32,8.7,0,28.99,135.28,27.06,0,170.07,9.66,192.64,8.05,24.16,0,48.32,0.82,24.16,193.26,96.63,5.8,106.29,33.82,55.99,24.16,24.16,24.88,8.05,0,0,217.42,115.96,9.66,0,0,115.96,193.26,115.96,38.65,14.66,62.81,24.16,96.63,0,11.9,48.32,3078.1000000000004

93,23:00-23:15,0,3.87,0,0,0,0,98.71,0,0,0,146.88,0,0,0,0,0,28.99,16.47,29.16,24.16,48.32,14.66,24.16,11.91,193.26,0,48.32,0,24.16,0,96.63,8.7,0,28.99,135.28,27.06,0,170.07,9.66,192.64,8.05,24.16,0,48.32,0.77,24.16,193.26,96.63,5.8,106.29,33.82,55.99,24.16,24.16,24.88,8.05,0,0,217.42,115.96,9.66,0,0,115.96,193.26,115.96,38.65,14.66,62.81,24.16,96.63,0,11.9,48.32,3125.91

94,23:15-23:30,0,3.87,0,0,0,0,98.71,0,0,0,146.88,0,0,0,0,0,28.99,16.47,29.16,24.16,48.32,14.66,24.16,11.91,193.26,0,48.32,0,24.16,0,96.63,8.7,0,28.99,135.28,27.06,0,170.07,9.66,192.64,8.05,24.16,0,48.32,0.77,24.16,193.26,96.63,5.8,106.29,33.82,55.99,24.16,24.16,24.88,8.05,0,0,217.42,115.96,9.66,0,0,115.96,193.26,115.96,38.65,14.66,62.81,24.16,96.63,0,11.9,48.32,3125.91

95,23:30-23:45,0,3.87,0,0,0,0,98.71,0,0,0,146.88,0,0,0,0,0,28.99,16.47,29.16,24.16,48.32,14.66,24.16,11.91,193.26,0,48.32,0,24.16,0,96.63,8.7,0,28.99,135.28,27.06,0,170.07,9.66,192.64,8.05,24.16,0,48.32,0.77,24.16,193.26,96.63,5.8,106.29,33.82,55.99,24.16,24.16,24.88,8.05,0,0,217.42,115.96,9.66,0,0,115.96,193.26,115.96,38.65,14.66,62.81,24.16,96.63,0,11.9,48.32,3125.91

96,23:45-24:00,0,3.87,0,0,0,0,98.71,0,0,0,146.88,0,0,0,0,0,28.99,16.47,29.16,24.16,48.32,14.66,24.16,11.91,193.26,0,48.32,0,24.16,0,96.63,8.7,0,28.99,135.28,27.06,0,170.07,9.66,192.64,8.05,24.16,0,48.32,0.77,24.16,193.26,96.63,5.8,106.29,33.82,55.76,24.16,24.16,24.88,8.05,0,0,217.42,115.96,9.66,0,0,115.96,193.26,115.96,38.65,14.66,62.81,24.16,96.63,0,12.18,48.32,3125.96

