Column1,Block,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/12/8022,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/12/3458,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/01/7786,NR/30092023/31122025/SH-07,GNA/NR/2025/06/12/2531,GNA/NR/2025/06/01/7663,GNARE/NR/2024/12/20/3668,NR/2025/27356/A/79487,NR/2025/27622/A/79384,NR/2025/28753/C,GNA/NR/2025/06/01/4444,NR/30092023/26122029/SH-06,NR/2025/28715/C,NR/2025/28644/C,GNA/NR/2025/06/01/9257,NR/2025/28588/C,NR/2025/28630/C,NR/2025/28589/C,NR/2025/28520/C,NR/2025/28646/C,NR/2025/28470/C,NR/2025/28648/C,NR/2025/28474/C,GNA/NR/2025/06/01/5280,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/7782,NR/2025/27168/A/79772,NR/2025/28637/C,NR/2025/27727/A/79782,NR/2025/28636/C,NR/2025/28606/C,NR/2025/26975/A/79793,NR/2025/28138/A/79483,NR/2025/28605/C,NR/2025/26952/A/79346,NR/2025/26785/A/79389,NR/2025/26777/A/79438,NR/2025/28595/C,NR/2025/26860/A/79715,NR/2025/28604/C,NR/2025/27462/A/79385,NR/2025/27242/A/79748,NR/2025/28141/A/79486,NR/2025/28540/C,NR/2025/27162/A/79790,NR/2025/26564/A/79729,NR/2025/26085/A/79365,NR/2025/27782/A/79781,NR/2025/27281/A/79874,NR/2025/27157/A/79445,NR/2025/28548/C,NR/2025/28620/C,NR/2025/26861/A/79743,NR/2025/28549/C,NR/2025/28633/C,NR/2025/28587/C,NR/2025/28551/C,NR/2025/27724/A/79450,NR/2025/26561/A/79727,NR/2025/26445/A/79870,NR/2025/28594/C,NR/2025/28616/C,NR/2025/27499/A/79768,NR/2025/26563/A/79728,NR/2025/28139/A/79484,NR/2025/28611/C,NR/2025/28140/A/79485,NR/2025/26889/A/79769,NR/2025/26569/A/79730,NR/2025/27167/A/79767,NR/2025/27728/A/79783,NR/2025/27088/A/79866,NR/2025/26570/A/79731,NR/2025/27726/A/79784,NR/2025/28617/C,NR/2025/27725/A/79786,Total
81,20:00-20:15,62.81,170.07,24.16,24.16,38.85,48.32,29.16,36.09,29,60.88,36.09,0,0,0,48.32,0,29,57.98,16.43,24.16,0,32.85,0,0,19.33,0,48.32,0,11.91,16,11.9,24.16,99.43,43.92,32.08,0,27.06,38.65,0,0,0,193.26,0,106.29,0,9.66,48.32,135.28,0,55.99,144.94,0.92,14.64,24.88,217.42,0,162.87,193.26,0,48.32,0,0,13.53,144.94,63.58,0,0,8.7,0,28.99,18.66,33.82,5.8,0,24.16,37.34,192.64,144.94,43.92,14.49,14.64,3287.2900000000004

82,20:15-20:30,62.81,170.07,24.16,24.16,38.85,48.32,29.16,36.09,29,60.88,36.09,0,0,0,48.32,0,29,57.98,16.43,24.16,0,32.85,0,0,19.33,0,48.32,0,11.91,16,11.9,24.16,99.43,43.92,32.08,0,27.06,38.65,0,0,0,193.26,0,106.29,0,9.66,48.32,135.28,0,55.99,144.94,0.92,14.64,24.88,217.42,0,162.87,193.26,0,48.32,0,0,13.53,144.94,63.58,0,0,8.7,0,28.99,18.66,33.82,5.8,0,24.16,37.34,192.64,144.94,43.92,14.49,14.64,3287.2900000000004

83,20:30-20:45,62.81,170.07,24.16,24.16,38.85,48.32,29.16,36.09,29,60.88,36.09,0,0,0,48.32,0,29,57.98,16.43,24.16,0,32.85,0,0,19.33,0,48.32,0,11.91,16,11.9,24.16,99.43,43.92,32.08,0,27.06,38.65,0,0,0,193.26,0,106.29,0,9.66,48.32,135.28,0,55.99,144.94,0.92,14.64,24.88,217.42,0,162.87,193.26,0,48.32,0,0,13.53,144.94,63.58,0,0,8.7,0,28.99,34.51,33.82,5.8,0,24.16,37.34,192.64,144.94,43.92,14.49,14.64,3303.140000000001

84,20:45-21:00,62.81,170.07,24.16,24.16,38.85,48.32,29.16,36.09,29,60.88,36.09,0,0,0,48.32,0,29,57.98,16.43,24.16,0,32.85,0,0,19.33,0,48.32,0,11.91,16,11.9,24.16,99.43,43.92,32.08,0,27.06,38.65,0,0,0,193.26,0,106.29,0,9.66,48.32,135.28,0,55.99,144.94,0.92,14.64,24.88,217.42,0,162.87,193.26,0,48.32,0,0,13.53,144.94,63.58,0,0,8.7,0,28.99,34.51,33.82,5.8,0,24.16,37.34,192.64,144.94,43.92,14.49,14.64,3303.140000000001

85,21:00-21:15,62.81,170.07,24.16,24.16,38.85,48.32,29.16,36.09,29,60.88,36.09,0,0,0,48.32,0,29,57.98,16.43,24.16,0,32.85,0,0,19.33,0,48.32,0,11.91,15.72,11.9,24.16,99.43,43.92,32.08,0,27.06,38.65,0,0,0,193.26,0,106.29,0,9.66,48.32,135.28,0,55.99,144.94,0.92,14.64,24.88,217.42,0,98.71,193.26,0,48.32,0,0,12.56,144.94,63.58,0,0,8.7,0,28.99,34.51,33.82,5.8,0,24.16,37.34,192.64,144.94,43.92,28.99,14.64,3252.23

86,21:15-21:30,62.81,170.07,24.16,24.16,37.69,48.32,29.16,36.09,29,60.88,36.09,0,0,0,48.32,0,29,57.98,16.43,24.16,0,32.85,0,0,19.33,0,48.32,0,11.91,15.72,11.9,24.16,94.21,43.92,30.82,0,27.06,38.65,0,0,0,193.26,0,106.29,0,9.66,48.32,135.28,0,55.99,144.94,0.92,14.64,24.88,217.42,0,98.71,193.26,0,48.32,0,0,12.56,144.94,63.58,0,0,8.7,0,28.99,34.51,33.82,5.8,0,24.16,37.34,192.64,144.94,43.92,28.99,14.64,3244.5900000000006

87,21:30-21:45,62.81,170.07,24.16,24.16,37.69,48.32,29.16,36.09,29,60.88,36.09,0,0,0,48.32,0,29,57.98,16.43,24.16,0,32.85,0,0,19.33,0,48.32,0,11.91,15.72,11.9,24.16,94.21,43.92,30.82,0,27.06,38.65,0,0,0,193.26,0,106.29,0,9.66,48.32,135.28,0,55.99,144.94,0.92,14.64,24.88,217.42,0,98.71,193.26,0,48.32,0,0,12.56,144.94,63.58,0,0,8.7,0,28.99,34.51,33.82,5.8,0,24.16,37.34,192.64,144.94,43.92,28.99,14.64,3244.5900000000006

88,21:45-22:00,62.81,170.07,24.16,24.16,38.85,48.32,29.16,36.09,29,60.88,36.09,0,0,0,48.32,0,29,57.98,16.43,24.16,0,32.85,0,0,19.33,0,48.32,0,11.91,15.72,11.9,24.16,99.43,43.92,32.08,0,27.06,38.65,0,0,0,193.26,0,106.29,0,9.66,48.32,135.28,0,55.99,144.94,0.92,14.64,24.88,217.42,0,98.71,193.26,0,48.32,0,0,12.56,144.94,63.58,0,0,8.7,0,28.99,34.51,33.82,5.8,0,24.16,37.34,192.64,144.94,43.92,28.99,14.64,3252.23

89,22:00-22:15,62.81,170.07,24.16,24.16,38.85,48.32,29.16,36.09,29,60.88,36.09,0,0,0,48.32,0,29,57.98,16.43,24.16,0,32.85,0,0,19.33,0,48.32,0,11.91,16.92,11.9,24.16,99.43,43.92,32.08,0,27.06,38.65,0,0,0,193.26,0,106.29,0,9.66,48.32,135.28,0,55.99,144.94,0.82,14.64,24.88,217.42,0,98.71,193.26,0,48.32,0,0,11.6,144.94,63.58,0,0,8.7,0,28.99,34.51,33.82,5.8,0,24.16,37.34,192.64,144.94,43.92,28.99,14.64,3252.3700000000003

90,22:15-22:30,62.81,170.07,24.16,24.16,38.85,48.32,29.16,36.09,29,60.88,36.09,0,0,0,48.32,0,29,57.98,16.43,24.16,0,32.85,0,0,19.33,0,48.32,0,11.91,16.92,11.9,24.16,99.43,43.92,32.08,0,27.06,38.65,0,0,0,193.26,0,106.29,0,9.66,48.32,135.28,0,55.99,144.94,0.82,14.64,24.88,217.42,0,98.71,193.26,0,48.32,0,0,11.6,144.94,63.58,0,0,8.7,0,28.99,34.51,33.82,5.8,0,24.16,37.34,192.64,144.94,43.92,28.99,14.64,3252.3700000000003

91,22:30-22:45,62.81,170.07,24.16,24.16,38.85,48.32,29.16,36.09,29,60.88,36.09,0,0,0,48.32,0,29,57.98,16.43,24.16,0,32.85,0,0,19.33,0,48.32,0,11.91,16.92,11.9,24.16,99.43,43.92,32.08,0,27.06,38.65,0,0,0,193.26,0,106.29,0,9.66,48.32,135.28,0,55.99,144.94,0.82,14.64,24.88,217.42,0,98.71,193.26,0,48.32,0,0,11.6,144.94,63.58,0,0,8.7,0,28.99,34.51,33.82,5.8,0,24.16,37.34,192.64,144.94,43.92,28.99,14.64,3252.3700000000003

92,22:45-23:00,62.81,170.07,24.16,24.16,37.69,48.32,29.16,36.09,29,60.88,36.09,0,0,0,48.32,0,29,57.98,16.43,24.16,0,32.85,0,0,19.33,0,48.32,0,11.91,16.92,11.9,24.16,94.21,43.92,30.82,0,27.06,38.65,0,0,0,193.26,0,106.29,0,9.66,48.32,135.28,0,55.99,144.94,0.82,14.64,24.88,217.42,0,98.71,193.26,0,48.32,0,0,11.6,144.94,63.58,0,0,8.7,0,28.99,34.51,33.82,5.8,0,24.16,37.34,192.64,144.94,43.92,28.99,14.64,3244.73

93,23:00-23:15,62.81,170.07,24.16,24.16,37.69,48.32,29.16,36.09,29,60.88,36.09,0,0,0,48.32,0,29,57.98,16.43,24.16,0,32.85,0,0,19.33,0,48.32,0,11.91,16.47,11.9,24.16,94.21,43.92,30.82,0,27.06,38.65,0,0,0,193.26,0,106.29,0,9.66,48.32,135.28,0,55.99,144.94,0.77,14.64,24.88,217.42,0,98.71,193.26,0,48.32,0,0,10.63,144.94,63.58,0,0,8.7,0,28.99,34.51,33.82,5.8,0,24.16,37.34,192.64,144.94,43.92,28.99,14.64,3243.26

94,23:15-23:30,62.81,170.07,24.16,24.16,37.69,48.32,29.16,36.09,29,60.88,36.09,0,0,0,48.32,0,29,57.98,16.43,24.16,0,32.85,0,0,19.33,0,48.32,0,11.91,16.47,11.9,24.16,94.21,43.92,30.82,0,27.06,38.65,0,0,0,193.26,0,106.29,0,9.66,48.32,135.28,0,55.99,144.94,0.77,14.64,24.88,217.42,0,98.71,193.26,0,48.32,0,0,10.63,144.94,63.58,0,0,8.7,0,28.99,34.51,33.82,5.8,0,24.16,37.34,192.64,144.94,43.92,28.99,14.64,3243.26

95,23:30-23:45,62.81,170.07,24.16,24.16,37.69,48.32,29.16,36.09,29,60.88,36.09,0,0,0,48.32,0,29,57.98,16.43,24.16,0,32.85,0,0,19.33,0,48.32,0,11.91,16.47,11.9,24.16,94.21,43.92,30.82,0,27.06,38.65,0,0,0,193.26,0,106.29,0,9.66,48.32,135.28,0,55.99,144.94,0.77,14.64,24.88,217.42,0,98.71,193.26,0,48.32,0,0,10.63,144.94,63.58,0,0,8.7,0,28.99,34.51,33.82,5.8,0,24.16,37.34,192.64,144.94,43.92,28.99,14.64,3243.26

96,23:45-24:00,62.81,170.07,24.16,24.16,37.69,48.32,29.16,36.09,29,60.88,36.09,0,0,0,48.32,0,29,57.98,16.43,24.16,0,32.85,0,0,19.33,0,48.32,0,11.91,16.47,12.18,24.16,94.21,43.92,30.82,0,27.06,38.65,0,0,0,193.26,0,106.29,0,9.66,48.32,135.28,0,55.76,144.94,0.77,14.64,24.88,217.42,0,98.71,193.26,0,48.32,0,0,10.63,144.94,63.58,0,0,8.7,0,28.99,34.51,33.82,5.8,0,24.16,37.34,192.64,144.94,43.92,28.99,14.64,3243.3100000000004

